"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Cytokine.cytokine.receptor.interaction..KEGG.",31,0.000445505409081401,0.00218297650449886,2,255,"Cytokine.cytokine.receptor.interaction..KEGG."
"IL.7.up.reg..targets..Netpath.",32,1,1,0,51,"IL.7.up.reg..targets..Netpath."
"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways.",33,0.0132046744244745,0.02588116187197,1,137,"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways."
"Toll.like.receptor.signaling.pathway..KEGG.",34,0.00966434690117945,0.0197313749232414,1,100,"Toll.like.receptor.signaling.pathway..KEGG."
"Toll.like.receptor.signaling.pathway..Wikipathways.",35,0.00966434690117945,0.0197313749232414,1,100,"Toll.like.receptor.signaling.pathway..Wikipathways."
"X.TRAF6.55...Static.Module.",36,1,1,0,54,"X.TRAF6.55...Static.Module."
"IL.4.down.reg..targets..Netpath.",37,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",38,3.90689427704391e-05,0.000319063032625252,2,75,"IL.6.up.reg..targets..Netpath."
"Cell.adhesion.molecules..CAMs...KEGG.",39,9.23256747709842e-07,2.26197903188911e-05,3,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Integrin.cell.surface.interactions..Reactome.",40,4.90219766256152e-05,0.000343153836379307,2,84,"Integrin.cell.surface.interactions..Reactome."
"Malaria..KEGG.",41,0.00484977097891104,0.0132021543314801,1,50,"Malaria..KEGG."
"Amoebiasis..KEGG.",42,7.80359259989965e-05,0.000477970046743854,2,106,"Amoebiasis..KEGG."
"Rheumatoid.arthritis..KEGG.",43,0.00831979359496776,0.01853044937061,1,86,"Rheumatoid.arthritis..KEGG."
"Leishmaniasis..KEGG.",44,0.00668343730743711,0.0155946870506866,1,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",45,0.0141582610391488,0.0265589729017901,1,147,"Phagosome..KEGG."
"Tuberculosis..KEGG.",46,0.000206835266614152,0.00112610311823261,2,173,"Tuberculosis..KEGG."
"IL.5.up.reg..targets..Netpath.",47,1,1,0,125,"IL.5.up.reg..targets..Netpath."
"Gene.Expression..Reactome.",48,0.0392998119735998,0.0687746709537997,1,416,"Gene.Expression..Reactome."
"Metabolism.of.RNA..Reactome.",49,1,1,0,161,"Metabolism.of.RNA..Reactome."
