"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"X.SREBF1.11...Static.Module.",29,0.380415378870087,0.810450154984097,2,11,"X.SREBF1.11...Static.Module."
"Chagas.disease..American.trypanosomiasis...KEGG...",30,0.538425603785576,1,14,102,"Chagas.disease..American.trypanosomiasis...KEGG..."
"Cytokine.cytokine.receptor.interaction..KEGG.",31,0.0788891849130403,0.380817309842982,21,255,"Cytokine.cytokine.receptor.interaction..KEGG."
"IL.7.up.reg..targets..Netpath.",32,0.274262841002116,0.730712335517802,3,51,"IL.7.up.reg..targets..Netpath."
"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways.",33,0.0618674914370165,0.380817309842982,9,137,"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways."
"Toll.like.receptor.signaling.pathway..KEGG.",34,0.0854896001688327,0.380817309842982,6,100,"Toll.like.receptor.signaling.pathway..KEGG."
"Toll.like.receptor.signaling.pathway..Wikipathways.",35,0.0854896001688327,0.380817309842982,6,100,"Toll.like.receptor.signaling.pathway..Wikipathways."
"X.TRAF6.55...Static.Module.",36,0.287704544139741,0.730712335517802,9,54,"X.TRAF6.55...Static.Module."
"IL.4.down.reg..targets..Netpath.",37,0.0707272232905724,0.380817309842982,5,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",38,0.103810115055164,0.42389130314192,4,75,"IL.6.up.reg..targets..Netpath."
"Cell.adhesion.molecules..CAMs...KEGG.",39,0.073205768042822,0.380817309842982,22,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Integrin.cell.surface.interactions..Reactome.",40,0.124584403098552,0.46958736552531,5,84,"Integrin.cell.surface.interactions..Reactome."
"Malaria..KEGG.",41,0.82874917390725,1,5,50,"Malaria..KEGG."
"Amoebiasis..KEGG.",42,0.650564596264305,1,14,106,"Amoebiasis..KEGG."
"Rheumatoid.arthritis..KEGG.",43,0.738248128968963,1,11,86,"Rheumatoid.arthritis..KEGG."
"Leishmaniasis..KEGG.",44,0.456368773962504,0.931752913506778,10,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",45,0.199365310917949,0.692394570372193,12,147,"Phagosome..KEGG."
"Tuberculosis..KEGG.",46,0.0443279611244521,0.380817309842982,12,173,"Tuberculosis..KEGG."
"IL.5.up.reg..targets..Netpath.",47,0.211957521542508,0.692394570372193,10,125,"IL.5.up.reg..targets..Netpath."
"Gene.Expression..Reactome.",48,1.47274867015084e-06,7.21646848373911e-05,20,416,"Gene.Expression..Reactome."
"Metabolism.of.RNA..Reactome.",49,0.000515389090955697,0.0126270327284146,6,161,"Metabolism.of.RNA..Reactome."
