Var1,Var2,Edge Type,Freq
KPNA6,BGN,Correlation,0.11776997
MPHOSPH9,BGN,Correlation,-0.637094335
MXI1,BGN,Correlation,0.327765603
NDUFS5 /// RPL10,BGN,Correlation,0.040290448
NKTR,BGN,Correlation,0.282141556
NUTF2 /// NUTF2P4,BGN,Correlation,-0.175717999
LOC101927673 /// OTUB1,BGN,Correlation,-0.371692926
PFDN1,BGN,Correlation,-0.508796069
PLEKHB1,BGN,Correlation,0.247531157
PLOD2,BGN,Correlation,0.615313046
POGZ,BGN,Correlation,0.237830367
PPP1R7,BGN,Correlation,-0.396087891
PPP2CA,BGN,Correlation,0.087419008
PPP2CB,BGN,Correlation,0.199839374
PRPF3,BGN,Correlation,0.395880144
PTPN13,BGN,Correlation,0.028642141
RAB40B,BGN,Correlation,0.450007096
RPL35A,BGN,Correlation,0.090337298
RPL37,BGN,Correlation,0.237101378
SCN1B,BGN,Correlation,-0.410480982
SERBP1,BGN,Correlation,0.511996388
SF3B1,BGN,Correlation,-0.098865488
SPARC,BGN,Correlation,0.507309933
STMN1,BGN,Correlation,-0.588514161
TARDBP,BGN,Correlation,-0.440965104
TCF4,BGN,Correlation,0.56257993
TUBB4B,BGN,Correlation,-0.586433711
TUG1,BGN,Correlation,-0.384623706
VPS13B,BGN,Correlation,0.423905949
ZFP36,BGN,Correlation,-0.029070763
ZFYVE26,BGN,Correlation,-0.31271355
ZNF518A,BGN,Correlation,0.055646832
CDH11,BPTF,Correlation,0.306439918
CREG1,BPTF,Correlation,0.443571563
CSRP1,BPTF,Correlation,0.372128025
CST3,BPTF,Correlation,0.243641923
DCN,BPTF,Correlation,0.809724392
GBAS,BPTF,Correlation,0.165030523
JAG1,BPTF,Correlation,0.233948078
KCTD12,BPTF,Correlation,0.1265407
KPNA6,BPTF,Correlation,0.125680539
MPHOSPH9,BPTF,Correlation,-0.484266782
MXI1,BPTF,Correlation,0.433722283
NDUFS5 /// RPL10,BPTF,Correlation,0.025246744
NKTR,BPTF,Correlation,-0.111331978
NUTF2 /// NUTF2P4,BPTF,Correlation,-0.485142073
LOC101927673 /// OTUB1,BPTF,Correlation,-0.141952096
PFDN1,BPTF,Correlation,-0.258740021
PLEKHB1,BPTF,Correlation,0.19288358
PLOD2,BPTF,Correlation,0.726920755
POGZ,BPTF,Correlation,0.415847613
PPP1R7,BPTF,Correlation,-0.362986938
PPP2CA,BPTF,Correlation,-0.078880315
PPP2CB,BPTF,Correlation,-0.016699561
PRPF3,BPTF,Correlation,0.071642624
PTPN13,BPTF,Correlation,-0.24840152
RAB40B,BPTF,Correlation,0.226386399
RPL35A,BPTF,Correlation,0.073274311
RPL37,BPTF,Correlation,0.379452718
SCN1B,BPTF,Correlation,-0.339655615
SERBP1,BPTF,Correlation,-0.136706235
SF3B1,BPTF,Correlation,0.170627107
SPARC,BPTF,Correlation,0.417119324
STMN1,BPTF,Correlation,-0.33188448
TARDBP,BPTF,Correlation,-0.207033934
TCF4,BPTF,Correlation,0.250958849
TUBB4B,BPTF,Correlation,-0.200834601
TUG1,BPTF,Correlation,-0.320419529
VPS13B,BPTF,Correlation,-0.392645002
ZFP36,BPTF,Correlation,-0.15647166
ZFYVE26,BPTF,Correlation,-0.55562289
ZNF518A,BPTF,Correlation,-0.43952857
CREG1,CDH11,Correlation,0.051404492
CSRP1,CDH11,Correlation,0.01721998
CST3,CDH11,Correlation,-0.210963017
DCN,CDH11,Correlation,0.12309188
GBAS,CDH11,Correlation,-0.111112811
JAG1,CDH11,Correlation,0.681660222
KCTD12,CDH11,Correlation,0.758191987
KPNA6,CDH11,Correlation,-0.13451579
MPHOSPH9,CDH11,Correlation,0.474608837
MXI1,CDH11,Correlation,0.369896353
NDUFS5 /// RPL10,CDH11,Correlation,-0.548724331
NKTR,CDH11,Correlation,-0.033334324
NUTF2 /// NUTF2P4,CDH11,Correlation,-0.897127875
LOC101927673 /// OTUB1,CDH11,Correlation,-0.575508627
PFDN1,CDH11,Correlation,-0.572053519
PLEKHB1,CDH11,Correlation,-0.160865343
PLOD2,CDH11,Correlation,-0.355414865
POGZ,CDH11,Correlation,0.427279233
PPP1R7,CDH11,Correlation,-0.735500158
PPP2CA,CDH11,Correlation,-0.267524734
PPP2CB,CDH11,Correlation,-0.159081629
PRPF3,CDH11,Correlation,0.328994894
PTPN13,CDH11,Correlation,0.672497915
RAB40B,CDH11,Correlation,0.029217856
RPL35A,CDH11,Correlation,-0.236331794
RPL37,CDH11,Correlation,0.496244661
SCN1B,CDH11,Correlation,-0.615011465
SERBP1,CDH11,Correlation,0.033393263
SF3B1,CDH11,Correlation,-0.128127713
SPARC,CDH11,Correlation,0.768931819
STMN1,CDH11,Correlation,0.051204245
TARDBP,CDH11,Correlation,-0.173575585
TCF4,CDH11,Correlation,0.256800753
TUBB4B,CDH11,Correlation,-0.156636874
TUG1,CDH11,Correlation,-0.062410756
VPS13B,CDH11,Correlation,-0.178585706
ZFP36,CDH11,Correlation,0.53569984
ZFYVE26,CDH11,Correlation,0.010414732
ZNF518A,CDH11,Correlation,0.383349398
CSRP1,CREG1,Correlation,0.575562195
CST3,CREG1,Correlation,0.570259564
DCN,CREG1,Correlation,0.302475991
GBAS,CREG1,Correlation,0.325436009
JAG1,CREG1,Correlation,-0.011337836
KCTD12,CREG1,Correlation,0.361134458
KPNA6,CREG1,Correlation,0.301882218
MPHOSPH9,CREG1,Correlation,-0.60997084
MXI1,CREG1,Correlation,0.891128374
NDUFS5 /// RPL10,CREG1,Correlation,0.737310877
NKTR,CREG1,Correlation,-0.043922999
NUTF2 /// NUTF2P4,CREG1,Correlation,0.083644838
LOC101927673 /// OTUB1,CREG1,Correlation,0.461655616
PFDN1,CREG1,Correlation,0.107890422
PLEKHB1,CREG1,Correlation,0.026460429
PLOD2,CREG1,Correlation,0.452741037
POGZ,CREG1,Correlation,-0.172472588
PPP1R7,CREG1,Correlation,0.287074893
PPP2CA,CREG1,Correlation,0.349152665
PPP2CB,CREG1,Correlation,0.118677666
PRPF3,CREG1,Correlation,0.117499858
PTPN13,CREG1,Correlation,-0.229680267
RAB40B,CREG1,Correlation,-0.008448743
RPL35A,CREG1,Correlation,0.499778028
RPL37,CREG1,Correlation,0.499769053
SCN1B,CREG1,Correlation,0.110996291
SERBP1,CREG1,Correlation,0.178279806
SF3B1,CREG1,Correlation,0.333434253
SPARC,CREG1,Correlation,0.444805722
STMN1,CREG1,Correlation,-0.077880575
TARDBP,CREG1,Correlation,0.269238101
TCF4,CREG1,Correlation,0.049756732
TUBB4B,CREG1,Correlation,0.381519277
TUG1,CREG1,Correlation,0.27168206
VPS13B,CREG1,Correlation,0.197926235
ZFP36,CREG1,Correlation,-0.132330104
ZFYVE26,CREG1,Correlation,-0.191163176
ZNF518A,CREG1,Correlation,-0.306502628
CST3,CSRP1,Correlation,0.881167542
DCN,CSRP1,Correlation,-0.105133251
GBAS,CSRP1,Correlation,0.323673565
JAG1,CSRP1,Correlation,-0.142732174
KCTD12,CSRP1,Correlation,0.327491536
KPNA6,CSRP1,Correlation,-0.047140925
MPHOSPH9,CSRP1,Correlation,-0.673472346
MXI1,CSRP1,Correlation,0.639073664
NDUFS5 /// RPL10,CSRP1,Correlation,0.386177346
NKTR,CSRP1,Correlation,-0.244253743
NUTF2 /// NUTF2P4,CSRP1,Correlation,0.065925984
LOC101927673 /// OTUB1,CSRP1,Correlation,0.075458841
PFDN1,CSRP1,Correlation,-0.066060652
PLEKHB1,CSRP1,Correlation,0.742998018
PLOD2,CSRP1,Correlation,0.434661772
POGZ,CSRP1,Correlation,0.08919395
PPP1R7,CSRP1,Correlation,0.190456229
PPP2CA,CSRP1,Correlation,0.242903241
PPP2CB,CSRP1,Correlation,0.647529906
PRPF3,CSRP1,Correlation,0.452861172
PTPN13,CSRP1,Correlation,0.207415763
RAB40B,CSRP1,Correlation,0.785415881
RPL35A,CSRP1,Correlation,0.806066178
RPL37,CSRP1,Correlation,0.670514655
SCN1B,CSRP1,Correlation,0.236987443
SERBP1,CSRP1,Correlation,0.450855004
SF3B1,CSRP1,Correlation,0.632097667
SPARC,CSRP1,Correlation,0.364610527
STMN1,CSRP1,Correlation,0.132183674
TARDBP,CSRP1,Correlation,0.208855623
TCF4,CSRP1,Correlation,0.673904007
TUBB4B,CSRP1,Correlation,0.139189713
TUG1,CSRP1,Correlation,0.354840242
VPS13B,CSRP1,Correlation,0.451701249
ZFP36,CSRP1,Correlation,0.015579735
ZFYVE26,CSRP1,Correlation,-0.607131632
ZNF518A,CSRP1,Correlation,-0.421384967
DCN,CST3,Correlation,-0.237093509
GBAS,CST3,Correlation,0.660030027
JAG1,CST3,Correlation,-0.324188278
KCTD12,CST3,Correlation,0.077881976
KPNA6,CST3,Correlation,0.361363666
MPHOSPH9,CST3,Correlation,-0.780258304
MXI1,CST3,Correlation,0.50241435
NDUFS5 /// RPL10,CST3,Correlation,0.584378211
NKTR,CST3,Correlation,0.131670923
NUTF2 /// NUTF2P4,CST3,Correlation,0.356168852
LOC101927673 /// OTUB1,CST3,Correlation,0.355751359
PFDN1,CST3,Correlation,0.112235689
PLEKHB1,CST3,Correlation,0.79161292
PLOD2,CST3,Correlation,0.41108473
POGZ,CST3,Correlation,-0.328603995
PPP1R7,CST3,Correlation,0.311356812
PPP2CA,CST3,Correlation,0.659002517
PPP2CB,CST3,Correlation,0.842666729
PRPF3,CST3,Correlation,0.049245837
PTPN13,CST3,Correlation,-0.039575277
RAB40B,CST3,Correlation,0.64024273
RPL35A,CST3,Correlation,0.616735096
RPL37,CST3,Correlation,0.300213682
SCN1B,CST3,Correlation,0.562755327
SERBP1,CST3,Correlation,0.612903892
SF3B1,CST3,Correlation,0.754015385
SPARC,CST3,Correlation,0.027052356
STMN1,CST3,Correlation,0.330771097
TARDBP,CST3,Correlation,0.179592768
TCF4,CST3,Correlation,0.534844629
TUBB4B,CST3,Correlation,0.186259837
TUG1,CST3,Correlation,0.562577788
VPS13B,CST3,Correlation,0.439355031
ZFP36,CST3,Correlation,-0.32349166
ZFYVE26,CST3,Correlation,-0.594787488
ZNF518A,CST3,Correlation,-0.263307069
GBAS,DCN,Correlation,-0.216775123
JAG1,DCN,Correlation,0.15339753
KCTD12,DCN,Correlation,-0.107647965
KPNA6,DCN,Correlation,0.029359724
MPHOSPH9,DCN,Correlation,-0.24400719
MXI1,DCN,Correlation,0.194901317
NDUFS5 /// RPL10,DCN,Correlation,-0.000346731
NKTR,DCN,Correlation,-0.200821448
NUTF2 /// NUTF2P4,DCN,Correlation,-0.368518497
LOC101927673 /// OTUB1,DCN,Correlation,-0.060417627
PFDN1,DCN,Correlation,-0.164138591
PLEKHB1,DCN,Correlation,-0.300343582
PLOD2,DCN,Correlation,0.636661781
POGZ,DCN,Correlation,0.469493573
PPP1R7,DCN,Correlation,-0.213258597
PPP2CA,DCN,Correlation,-0.350964197
PPP2CB,DCN,Correlation,-0.547878738
PRPF3,DCN,Correlation,-0.011940809
PTPN13,DCN,Correlation,-0.483956285
RAB40B,DCN,Correlation,-0.265460863
RPL35A,DCN,Correlation,-0.139339025
RPL37,DCN,Correlation,0.123287591
SCN1B,DCN,Correlation,-0.475121483
SERBP1,DCN,Correlation,-0.491303442
SF3B1,DCN,Correlation,-0.266992255
SPARC,DCN,Correlation,0.233514693
STMN1,DCN,Correlation,-0.593443576
TARDBP,DCN,Correlation,-0.126778686
TCF4,DCN,Correlation,-0.169502376
TUBB4B,DCN,Correlation,-0.178112131
TUG1,DCN,Correlation,-0.593137941
VPS13B,DCN,Correlation,-0.579308061
ZFP36,DCN,Correlation,-0.08396788
ZFYVE26,DCN,Correlation,-0.110082161
ZNF518A,DCN,Correlation,-0.444217182
JAG1,GBAS,Correlation,0.07254279
KCTD12,GBAS,Correlation,0.017420518
KPNA6,GBAS,Correlation,0.660075123
MPHOSPH9,GBAS,Correlation,-0.511714487
MXI1,GBAS,Correlation,0.205062211
NDUFS5 /// RPL10,GBAS,Correlation,0.459620315
NKTR,GBAS,Correlation,0.642851354
NUTF2 /// NUTF2P4,GBAS,Correlation,0.196043807
LOC101927673 /// OTUB1,GBAS,Correlation,0.384514568
PFDN1,GBAS,Correlation,0.329015247
PLEKHB1,GBAS,Correlation,0.403518977
PLOD2,GBAS,Correlation,0.250930418
POGZ,GBAS,Correlation,-0.741181378
PPP1R7,GBAS,Correlation,-0.051540543
PPP2CA,GBAS,Correlation,0.881410827
PPP2CB,GBAS,Correlation,0.774295381
PRPF3,GBAS,Correlation,-0.585179614
PTPN13,GBAS,Correlation,-0.289708997
RAB40B,GBAS,Correlation,0.226116357
RPL35A,GBAS,Correlation,-0.061688813
RPL37,GBAS,Correlation,-0.197415558
SCN1B,GBAS,Correlation,0.488584283
SERBP1,GBAS,Correlation,0.454515664
SF3B1,GBAS,Correlation,0.673882823
SPARC,GBAS,Correlation,-0.128621082
STMN1,GBAS,Correlation,0.416141193
TARDBP,GBAS,Correlation,-0.313125936
TCF4,GBAS,Correlation,0.035686344
TUBB4B,GBAS,Correlation,0.115952406
TUG1,GBAS,Correlation,0.466957296
VPS13B,GBAS,Correlation,0.169071909
ZFP36,GBAS,Correlation,-0.756007146
ZFYVE26,GBAS,Correlation,-0.589490708
ZNF518A,GBAS,Correlation,0.160386843
KCTD12,JAG1,Correlation,0.709350749
KPNA6,JAG1,Correlation,-0.355025749
MPHOSPH9,JAG1,Correlation,0.3338055
MXI1,JAG1,Correlation,0.201562686
NDUFS5 /// RPL10,JAG1,Correlation,-0.352607774
NKTR,JAG1,Correlation,0.000970352
NUTF2 /// NUTF2P4,JAG1,Correlation,-0.802489637
LOC101927673 /// OTUB1,JAG1,Correlation,-0.464687536
PFDN1,JAG1,Correlation,-0.03545577
PLEKHB1,JAG1,Correlation,-0.419577978
PLOD2,JAG1,Correlation,-0.071473974
POGZ,JAG1,Correlation,0.137407162
PPP1R7,JAG1,Correlation,-0.733422087
PPP2CA,JAG1,Correlation,-0.305226905
PPP2CB,JAG1,Correlation,-0.163998706
PRPF3,JAG1,Correlation,0.049717905
PTPN13,JAG1,Correlation,0.266551333
RAB40B,JAG1,Correlation,-0.014634801
RPL35A,JAG1,Correlation,-0.296160274
RPL37,JAG1,Correlation,0.316883839
SCN1B,JAG1,Correlation,-0.671204202
SERBP1,JAG1,Correlation,-0.2770627
SF3B1,JAG1,Correlation,-0.069468957
SPARC,JAG1,Correlation,0.702673562
STMN1,JAG1,Correlation,-0.183862818
TARDBP,JAG1,Correlation,-0.638964139
TCF4,JAG1,Correlation,-0.207239507
TUBB4B,JAG1,Correlation,-0.097334559
TUG1,JAG1,Correlation,-0.336889995
VPS13B,JAG1,Correlation,-0.055342674
ZFP36,JAG1,Correlation,0.024944956
ZFYVE26,JAG1,Correlation,-0.259500549
ZNF518A,JAG1,Correlation,0.262847176
KPNA6,KCTD12,Correlation,-0.310797297
MPHOSPH9,KCTD12,Correlation,0.153814838
MXI1,KCTD12,Correlation,0.587620432
NDUFS5 /// RPL10,KCTD12,Correlation,-0.167438409
NKTR,KCTD12,Correlation,-0.063172832
NUTF2 /// NUTF2P4,KCTD12,Correlation,-0.615920258
LOC101927673 /// OTUB1,KCTD12,Correlation,-0.442299734
PFDN1,KCTD12,Correlation,-0.33589211
PLEKHB1,KCTD12,Correlation,-0.14626947
PLOD2,KCTD12,Correlation,-0.183627895
POGZ,KCTD12,Correlation,0.206823404
PPP1R7,KCTD12,Correlation,-0.494026255
PPP2CA,KCTD12,Correlation,-0.170084156
PPP2CB,KCTD12,Correlation,0.030786213
PRPF3,KCTD12,Correlation,0.532505859
PTPN13,KCTD12,Correlation,0.644775662
RAB40B,KCTD12,Correlation,0.229475228
RPL35A,KCTD12,Correlation,0.141626349
RPL37,KCTD12,Correlation,0.66366697
SCN1B,KCTD12,Correlation,-0.544979679
SERBP1,KCTD12,Correlation,0.225050812
SF3B1,KCTD12,Correlation,-0.019131041
SPARC,KCTD12,Correlation,0.92912589
STMN1,KCTD12,Correlation,-0.110505584
TARDBP,KCTD12,Correlation,-0.236798409
TCF4,KCTD12,Correlation,0.266498865
TUBB4B,KCTD12,Correlation,-0.043676278
TUG1,KCTD12,Correlation,-0.019564631
VPS13B,KCTD12,Correlation,0.408054662
ZFP36,KCTD12,Correlation,0.425815292
ZFYVE26,KCTD12,Correlation,-0.081186616
ZNF518A,KCTD12,Correlation,0.323047706
MPHOSPH9,KPNA6,Correlation,-0.312895377
MXI1,KPNA6,Correlation,0.068358391
NDUFS5 /// RPL10,KPNA6,Correlation,0.378584325
NKTR,KPNA6,Correlation,0.743580564
NUTF2 /// NUTF2P4,KPNA6,Correlation,0.34109135
LOC101927673 /// OTUB1,KPNA6,Correlation,0.486322174
PFDN1,KPNA6,Correlation,0.005792087
PLEKHB1,KPNA6,Correlation,0.16380382
PLOD2,KPNA6,Correlation,0.055012502
POGZ,KPNA6,Correlation,-0.599567523
PPP1R7,KPNA6,Correlation,0.099331071
PPP2CA,KPNA6,Correlation,0.847501577
PPP2CB,KPNA6,Correlation,0.325005786
PRPF3,KPNA6,Correlation,-0.635773284
PTPN13,KPNA6,Correlation,-0.387354171
RAB40B,KPNA6,Correlation,-0.285257849
RPL35A,KPNA6,Correlation,-0.342287736
RPL37,KPNA6,Correlation,-0.486414451
SCN1B,KPNA6,Correlation,0.498508451
SERBP1,KPNA6,Correlation,0.44394038
SF3B1,KPNA6,Correlation,0.224377489
SPARC,KPNA6,Correlation,-0.389273461
STMN1,KPNA6,Correlation,0.342010971
TARDBP,KPNA6,Correlation,0.078247474
TCF4,KPNA6,Correlation,-0.030591354
TUBB4B,KPNA6,Correlation,0.027869686
TUG1,KPNA6,Correlation,0.432588017
VPS13B,KPNA6,Correlation,-0.16639886
ZFP36,KPNA6,Correlation,-0.472095109
ZFYVE26,KPNA6,Correlation,0.030060981
ZNF518A,KPNA6,Correlation,0.289761194
MXI1,MPHOSPH9,Correlation,-0.336977807
NDUFS5 /// RPL10,MPHOSPH9,Correlation,-0.648249147
NKTR,MPHOSPH9,Correlation,-0.130824305
NUTF2 /// NUTF2P4,MPHOSPH9,Correlation,-0.425837882
LOC101927673 /// OTUB1,MPHOSPH9,Correlation,-0.346218646
PFDN1,MPHOSPH9,Correlation,-0.161003094
PLEKHB1,MPHOSPH9,Correlation,-0.516903224
PLOD2,MPHOSPH9,Correlation,-0.850575685
POGZ,MPHOSPH9,Correlation,0.201056754
PPP1R7,MPHOSPH9,Correlation,-0.303308091
PPP2CA,MPHOSPH9,Correlation,-0.449630222
PPP2CB,MPHOSPH9,Correlation,-0.492730282
PRPF3,MPHOSPH9,Correlation,0.017286692
PTPN13,MPHOSPH9,Correlation,0.500447399
RAB40B,MPHOSPH9,Correlation,-0.446468771
RPL35A,MPHOSPH9,Correlation,-0.471574612
RPL37,MPHOSPH9,Correlation,-0.092774872
SCN1B,MPHOSPH9,Correlation,-0.318413069
SERBP1,MPHOSPH9,Correlation,-0.346716474
SF3B1,MPHOSPH9,Correlation,-0.431992911
SPARC,MPHOSPH9,Correlation,0.053572685
STMN1,MPHOSPH9,Correlation,0.217153326
TARDBP,MPHOSPH9,Correlation,0.054768562
TCF4,MPHOSPH9,Correlation,-0.300292661
TUBB4B,MPHOSPH9,Correlation,0.044968357
TUG1,MPHOSPH9,Correlation,-0.04312448
VPS13B,MPHOSPH9,Correlation,-0.320380924
ZFP36,MPHOSPH9,Correlation,0.530828781
ZFYVE26,MPHOSPH9,Correlation,0.559054346
ZNF518A,MPHOSPH9,Correlation,0.465491733
NDUFS5 /// RPL10,MXI1,Correlation,0.517375929
NKTR,MXI1,Correlation,-0.284162827
NUTF2 /// NUTF2P4,MXI1,Correlation,-0.227399591
LOC101927673 /// OTUB1,MXI1,Correlation,0.292037746
PFDN1,MXI1,Correlation,0.041500827
PLEKHB1,MXI1,Correlation,0.070574878
PLOD2,MXI1,Correlation,0.220674134
POGZ,MXI1,Correlation,0.013183217
PPP1R7,MXI1,Correlation,0.143033468
PPP2CA,MXI1,Correlation,0.16496954
PPP2CB,MXI1,Correlation,0.128502662
PRPF3,MXI1,Correlation,0.275029492
PTPN13,MXI1,Correlation,0.105952243
RAB40B,MXI1,Correlation,0.107010693
RPL35A,MXI1,Correlation,0.582661402
RPL37,MXI1,Correlation,0.787924277
SCN1B,MXI1,Correlation,0.009342554
SERBP1,MXI1,Correlation,0.070231888
SF3B1,MXI1,Correlation,0.442004228
SPARC,MXI1,Correlation,0.66334858
STMN1,MXI1,Correlation,0.125308825
TARDBP,MXI1,Correlation,0.345174664
TCF4,MXI1,Correlation,0.137017708
TUBB4B,MXI1,Correlation,0.502720666
TUG1,MXI1,Correlation,0.3792013
VPS13B,MXI1,Correlation,0.102900253
ZFP36,MXI1,Correlation,0.115436157
ZFYVE26,MXI1,Correlation,-0.263373819
ZNF518A,MXI1,Correlation,-0.31240488
NKTR,NDUFS5 /// RPL10,Correlation,0.007013194
NUTF2 /// NUTF2P4,NDUFS5 /// RPL10,Correlation,0.622189719
LOC101927673 /// OTUB1,NDUFS5 /// RPL10,Correlation,0.882032433
PFDN1,NDUFS5 /// RPL10,Correlation,0.650388904
PLEKHB1,NDUFS5 /// RPL10,Correlation,0.081788135
PLOD2,NDUFS5 /// RPL10,Correlation,0.405254705
POGZ,NDUFS5 /// RPL10,Correlation,-0.613427357
PPP1R7,NDUFS5 /// RPL10,Correlation,0.737696817
PPP2CA,NDUFS5 /// RPL10,Correlation,0.573364505
PPP2CB,NDUFS5 /// RPL10,Correlation,0.280264738
