,C9,sALS,FTLD,VCP,PET,RAV,corMean
PSMC6 (interacts with) PCMT1,0.844117647058823,0.844117647058823,0.844117647058823,0.844117647058823,0.844117647058823,0.78021978021978,0.833468002585649
PSMC6 (interacts with) EPRS,0.928571428571429,0.928571428571429,0.928571428571429,0.857142857142857,0.928571428571429,0.686813186813187,0.876373626373627
PSMC6 (interacts with) EPS15,0.892857142857143,0.892857142857143,0.892857142857143,0.571428571428571,0.892857142857143,0.620879120879121,0.793956043956044
PSMC6 (interacts with) RNF14,0.523809523809524,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0.686813186813187,0.654151404151404
PSMD2 (interacts with) CLK1,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285
ANKMY2 (interacts with) SKIV2L2,0.682646969290558,0.857142857142857,0.741176470588235,0.607142857142857,0.857142857142857,0.543956043956044,0.714868009210568
ANKMY2 (interacts with) COPS2,0.802409595481884,0.857142857142857,0.679411764705882,0.928571428571428,0.509803921568628,0.571428571428571,0.724794689816542
ANKMY2 (interacts with) TXNL1,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.629901960784314,0.571428571428571,0.581174136321195
ANKMY2 (interacts with) PAFAH1B1,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286
ANKMY2 (interacts with) PTGER3,0.504901960784314,0.504901960784314,0.504901960784314,0.504901960784314,0.504901960784314,0.504901960784314,0.504901960784314
CLCN6 (interacts with) VPS35,0.619047619047619,0.714285714285714,0.714285714285714,0.714285714285714,0.683823529411765,0.714285714285714,0.693335667600373
ZFPM2 (interacts with) HERC1,0.805882352941176,0.805882352941176,0.805882352941176,0.805882352941176,0.805882352941176,0.805882352941176,0.805882352941176
PAPSS1 (interacts with) NFATC1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
FKBP3 (interacts with) PCMT1,0.595238095238095,0.576923076923077,0.641176470588235,0.576923076923077,0.576923076923077,0.576923076923077,0.590684478919773
ATP6V1B2 (interacts with) MRPL9,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.686274509803922,0.964285714285714,0.917950513538749
ATP6V1B2 (interacts with) GOT2,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714
RTCA (interacts with) GABRG2,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714
RTCA (interacts with) NPEPPS,0.681372549019608,0.681372549019608,0.681372549019608,0.681372549019608,0.681372549019608,0.681372549019608,0.681372549019608
BCAS2 (interacts with) ZC3H15,0.718137254901961,0.718137254901961,0.718137254901961,0.718137254901961,0.718137254901961,0.78021978021978,0.728484342454931
BCAS2 (interacts with) RASA1,0.771084337349398,0.857142857142857,0.857142857142857,0.857142857142857,0.519607843137255,0.857142857142857,0.786543934843013
BCAS2 (interacts with) AKAP12,0.790433332862751,0.764705882352941,0.764705882352941,0.764705882352941,0.764705882352941,0.764705882352941,0.768993790771243
BCAS2 (interacts with) SKIV2L2,0.708333333333333,0.892857142857143,0.708333333333333,0.708333333333333,0.708333333333333,0.708333333333333,0.739087301587301
BCAS2 (interacts with) SNAP25,0.59881313095663,0.964285714285714,0.826470588235294,0.75,0.705882352941177,0.697802197802198,0.757208997370169
BCAS2 (interacts with) PCMT1,0.658694444052292,0.892857142857143,0.620879120879121,0.620879120879121,0.620879120879121,0.620879120879121,0.672511345070987
CDC123 (interacts with) ATP6V1A,0.571428571428572,0.857142857142857,0.797058823529412,0.607142857142857,0.83578431372549,0.571428571428571,0.706664332399626
CDC123 (interacts with) MAPRE2,0.58554004376912,0.785714285714285,0.620588235294118,0.642857142857143,0.769607843137255,0.642857142857143,0.674527448938177
CDC123 (interacts with) PSMD1,0.75,0.75,0.75,0.75,0.75,0.75,0.75
RAN (interacts with) PCMT1,0.69462323190969,0.821428571428571,0.607142857142857,0.607142857142857,0.779411764705882,0.607142857142857,0.686148689912119
RAN (interacts with) VPS35,0.656862745098039,0.928571428571428,0.656862745098039,0.535714285714286,0.656862745098039,0.656862745098039,0.681956115779645
RAN (interacts with) STAU1,0.850314645958414,0.964285714285714,0.850314645958414,0.821428571428571,0.850314645958414,0.615384615384615,0.825340473162357
RAN (interacts with) PFN2,0.840659340659341,0.840659340659341,0.840659340659341,0.840659340659341,0.840659340659341,0.840659340659341,0.840659340659341
PAFAH1B1 (interacts with) ANK2,0.523809523809524,0.785714285714285,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.646825396825397
MORF4L1 (interacts with) PCMT1,0.761904761904762,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.632936507936508
FURIN (interacts with) GNAI2,0.594117647058824,0.821428571428571,0.594117647058824,0.594117647058824,0.594117647058824,0.594117647058824,0.632002801120448
GOT1 (interacts with) VDAC3,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428
GOT1 (interacts with) HINT1,0.534313725490196,0.534313725490196,0.534313725490196,0.534313725490196,0.534313725490196,0.534313725490196,0.534313725490196
DNM1L (interacts with) UBE2V2,0.634335047416547,0.821428571428571,0.821428571428571,0.642857142857143,0.779411764705882,0.821428571428571,0.753481611544214
PJA2 (interacts with) USP14,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428
PJA2 (interacts with) ARL1,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143
PJA2 (interacts with) VPS35,0.963235294117647,0.963235294117647,0.963235294117647,0.963235294117647,0.963235294117647,0.963235294117647,0.963235294117647
ARMC1 (interacts with) CDC42,0.595238095238095,0.535714285714286,0.797058823529412,0.928571428571428,0.71078431372549,0.67032967032967,0.706282769518064
ARMC1 (interacts with) ATP6V1A,0.642857142857143,0.928571428571428,0.826470588235294,0.642857142857143,0.642857142857143,0.642857142857143,0.721078431372549
ARMC1 (interacts with) RASA1,0.79656862745098,0.892857142857143,0.79656862745098,0.892857142857143,0.79656862745098,0.516483516483517,0.781983947425124
ARMC1 (interacts with) TMEM30A,0.666666666666667,0.841176470588235,0.841176470588235,0.841176470588235,0.841176470588235,0.587912087912088,0.769880772821949
ARMC1 (interacts with) PCMT1,0.587912087912088,0.587912087912088,0.767647058823529,0.587912087912088,0.757352941176471,0.587912087912088,0.646108058608059
ARMC1 (interacts with) PAFAH1B1,0.738095238095238,0.738095238095238,0.738095238095238,0.785714285714285,0.738095238095238,0.738095238095238,0.746031746031746
ARMC1 (interacts with) ZC3H15,0.785714285714286,0.785714285714285,0.825980392156863,0.825980392156863,0.825980392156863,0.825980392156863,0.812558356676004
ARMC1 (interacts with) VPS35,0.880952380952381,0.880952380952381,0.720588235294118,0.880952380952381,0.880952380952381,0.880952380952381,0.85422502334267
ARMC1 (interacts with) CUL1,0.75,0.75,0.75,0.75,0.75,0.75,0.75
ARMC1 (interacts with) PSMD6,0.904761904761905,0.571428571428571,0.904761904761905,0.904761904761905,0.904761904761905,0.904761904761905,0.849206349206349
ARMC1 (interacts with) PDHB,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428,0.928571428571428
ADAM15 (interacts with) U2AF2,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143,0.892857142857143
SERPINI1 (interacts with) SYNJ1,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143
NDFIP1 (interacts with) RNF14,0.547619047619048,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.597222222222222
NDFIP1 (interacts with) VPS35,0.686813186813187,0.686813186813187,0.686813186813187,0.571428571428571,0.686813186813187,0.686813186813187,0.667582417582418
NDFIP1 (interacts with) TOR1AIP2,0.652941176470588,0.652941176470588,0.652941176470588,0.652941176470588,0.652941176470588,0.652941176470588,0.652941176470588
NDFIP1 (interacts with) ARL1,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428
PRDX6 (interacts with) GATM,0.75,0.75,0.785294117647059,0.75,0.75,0.75,0.755882352941176
MCM4 (interacts with) CYFIP2,0.659340659340659,0.659340659340659,0.659340659340659,0.659340659340659,0.659340659340659,0.659340659340659,0.659340659340659
SH3GL2 (interacts with) NELL1,0.658694444052292,0.857142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.657401454961096
SH3GL2 (interacts with) CYFIP2,0.686274509803922,0.857142857142857,0.686274509803922,0.686274509803922,0.686274509803922,0.686274509803922,0.714752567693745
WASF1 (interacts with) VPS35,0.648351648351648,0.928571428571428,0.814705882352941,0.648351648351648,0.648351648351648,0.648351648351648,0.722780650721827
WASF1 (interacts with) USP14,0.892857142857143,0.892857142857143,0.620588235294118,0.892857142857143,0.725490196078431,0.892857142857143,0.819584500466853
DYNLT3 (interacts with) HPRT1,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571
ATP6V1A (interacts with) VPS35,1,1,1,1,1,1,1
GORASP2 (interacts with) NLK,0.833333333333333,0.892857142857143,0.53921568627451,0.75,0.53921568627451,0.565934065934066,0.68675931911226
NECAP1 (interacts with) MRPL9,0.591176470588235,0.591176470588235,0.591176470588235,0.591176470588235,0.591176470588235,0.591176470588235,0.591176470588235
NECAP1 (interacts with) CYFIP2,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285,0.785714285714285
RSL1D1 (interacts with) BASP1,0.642857142857143,0.821428571428571,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.672619047619048
TAX1BP1 (interacts with) VPS35,0.619047619047619,0.964285714285714,0.652941176470588,0.607142857142857,0.619047619047619,0.857142857142857,0.719934640522876
TAX1BP1 (interacts with) ARL1,0.776470588235294,0.642857142857143,0.776470588235294,0.607142857142857,0.776470588235294,0.631868131868132,0.701879982762336
ARL6IP5 (interacts with) VPS35,0.547619047619048,1,0.75,0.857142857142857,0.556372549019608,0.82967032967033,0.756800797241974
SPI1 (interacts with) MYH9,0.7319250547114,0.723529411764706,0.723529411764706,0.607142857142857,0.676470588235294,0.723529411764706,0.697687789230611
CHUK (interacts with) UBR5,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143
GNG3 (interacts with) NDEL1,0.610789393575762,0.75,0.75,0.75,0.75,0.664835164835165,0.712604093068488
SPOCK1 (interacts with) HERC1,0.708823529411765,0.964285714285714,0.708823529411765,0.708823529411765,0.708823529411765,0.681318681318681,0.746816418875242
SARAF (interacts with) SKIV2L2,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.725274725274725,0.676434676434677
SARAF (interacts with) PCMT1,0.892857142857143,1,0.892857142857143,0.892857142857143,0.892857142857143,0.664835164835165,0.872710622710623
SARAF (interacts with) KIF3A,0.604395604395604,0.604395604395604,0.604395604395604,0.604395604395604,0.604395604395604,0.604395604395604,0.604395604395604
SARAF (interacts with) VPS35,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714
SARAF (interacts with) ATP6V1A,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428
SARAF (interacts with) ZC3H15,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
OAT (interacts with) AKAP12,0.674019607843137,0.892857142857143,0.674019607843137,0.674019607843137,0.674019607843137,0.674019607843137,0.710492530345471
OAT (interacts with) UBE2V2,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.825980392156863,0.71978021978022,0.686198197227609
OAT (interacts with) PPP3CA,0.708333333333333,0.892857142857143,0.567647058823529,0.678571428571428,0.708333333333333,0.708333333333333,0.710679271708683
COPS4 (interacts with) HINT1,0.54656862745098,0.54656862745098,0.54656862745098,0.54656862745098,0.54656862745098,0.730769230769231,0.577268728004022
PLD2 (interacts with) ADAMTSL4,0.629411764705882,0.629411764705882,0.629411764705882,0.629411764705882,0.629411764705882,0.629411764705882,0.629411764705882
ALAS1 (interacts with) DYNLT3,0.514979292622701,0.964285714285714,0.614705882352941,0.535714285714286,0.666666666666667,0.615384615384615,0.651956076171154
ADSS (interacts with) KIAA0368,0.554945054945055,0.554945054945055,0.554945054945055,0.554945054945055,0.554945054945055,0.554945054945055,0.554945054945055
ADSS (interacts with) GABRG2,0.838338383339281,0.838338383339281,0.838338383339281,0.838338383339281,0.838338383339281,0.838338383339281,0.838338383339281
DDX1 (interacts with) UBE2V2,0.51234753829798,0.821428571428571,0.832352941176471,0.642857142857143,0.832352941176471,0.637362637362637,0.713116962049879
DDX1 (interacts with) AKAP12,0.805882352941176,0.714285714285714,0.805882352941176,0.805882352941176,0.558823529411765,0.774725274725275,0.744246929541047
DDX1 (interacts with) TUBA1B,0.648351648351648,0.648351648351648,0.648351648351648,0.648351648351648,0.648351648351648,0.648351648351648,0.648351648351648
DDX1 (interacts with) RANBP6,0.80952380952381,0.857142857142857,0.85,0.75,0.857142857142857,0.857142857142857,0.83015873015873
VDAC2 (interacts with) VDAC3,0.690476190476191,0.964285714285714,0.847058823529412,0.535714285714286,0.632352941176471,0.847058823529412,0.752824463118581
TBK1 (interacts with) EPS15,0.874267171196679,0.857142857142857,0.770588235294118,0.785714285714285,0.747549019607843,0.593406593406593,0.771444693727062
SNAP91 (interacts with) GULP1,0.571428571428571,0.892857142857143,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.625
SNAP91 (interacts with) SNAP25,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714,0.964285714285714
SNAP91 (interacts with) VDAC3,0.736263736263736,0.736263736263736,0.835294117647059,0.736263736263736,0.736263736263736,0.736263736263736,0.752768799827623
RNF11 (interacts with) SKIV2L2,0.547619047619048,0.527472527472527,0.614705882352941,0.821428571428571,0.632352941176471,0.527472527472527,0.611841916253681
RNF11 (interacts with) BCAS2,0.550908080480099,0.964285714285714,0.720588235294118,0.714285714285714,0.964285714285714,0.785714285714286,0.783344624057608
RNF11 (interacts with) UBE2D2,0.619047619047619,1,0.619047619047619,0.607142857142857,0.619047619047619,0.576923076923077,0.673534798534798
GGH (interacts with) MAPRE2,0.811764705882353,0.811764705882353,0.811764705882353,0.811764705882353,0.811764705882353,0.697802197802198,0.79277095453566
HSPE1 (interacts with) GOLIM4,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143
HSPE1 (interacts with) VDAC1,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.607843137254902,-0.714285714285714,-0.696545284780579
ATP6V1E1 (interacts with) BCL2,-0.547619047619048,-0.661764705882353,-0.567647058823529,-0.714285714285714,-0.661764705882353,-0.661764705882353,-0.635807656395892
RAB14 (interacts with) FLNA,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857
RAB14 (interacts with) TRIM38,-0.587912087912088,-0.587912087912088,-0.587912087912088,-0.587912087912088,-0.587912087912088,-0.587912087912088,-0.587912087912088
CDC42 (interacts with) TRIM8,-0.674019607843137,-0.674019607843137,-0.674019607843137,-0.674019607843137,-0.674019607843137,-0.674019607843137,-0.674019607843137
PSMC6 (interacts with) YBX1,-0.607142857142857,-0.678571428571428,-0.607142857142857,-0.607142857142857,-0.517156862745098,-0.532967032967033,-0.591687315952022
PSMC6 (interacts with) TRIM8,-0.678571428571428,-0.678571428571428,-0.678571428571428,-0.678571428571428,-0.757352941176471,-0.678571428571428,-0.691701680672269
PSMC6 (interacts with) BCL2,-0.571428571428572,-0.582417582417582,-0.582417582417582,-0.582417582417582,-0.582417582417582,-0.582417582417582,-0.58058608058608
PSMC6 (interacts with) CASP10,-0.558823529411765,-0.558823529411765,-0.558823529411765,-0.558823529411765,-0.558823529411765,-0.558823529411765,-0.558823529411765
PSMC6 (interacts with) TRIM38,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143
PSMD2 (interacts with) CFLAR,-0.678571428571428,-0.964285714285714,-0.505882352941176,-0.678571428571428,-0.678571428571428,-0.840659340659341,-0.724423615600086
ANKMY2 (interacts with) COPS7A,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714
ZFPM2 (interacts with) RPS24,-0.80952380952381,-0.80952380952381,-0.80952380952381,-0.80952380952381,-0.80952380952381,-0.80952380952381,-0.80952380952381
BCAS2 (interacts with) U2AF2,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571
BCAS2 (interacts with) IKBKB,-0.698529411764706,-0.698529411764706,-0.698529411764706,-0.698529411764706,-0.698529411764706,-0.698529411764706,-0.698529411764706
MORF4L1 (interacts with) EFEMP2,-0.639705882352941,-0.639705882352941,-0.55,-0.639705882352941,-0.639705882352941,-0.549450549450549,-0.609712346477052
TMOD1 (interacts with) TRIP10,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857
FURIN (interacts with) HABP4,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714
FURIN (interacts with) HSP90AB1,-0.535714285714286,-0.785714285714285,-0.65,-0.535714285714286,-0.573529411764706,-0.535714285714286,-0.602731092436975
FURIN (interacts with) USP14,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.529411764705882,-0.529411764705882
AMPH (interacts with) CFLAR,-0.523809523809524,-0.523809523809524,-0.523809523809524,-0.523809523809524,-0.523809523809524,-0.675824175824176,-0.549145299145299
PJA2 (interacts with) TRIM8,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714
PJA2 (interacts with) YBX1,-0.576923076923077,-0.576923076923077,-0.576923076923077,-0.576923076923077,-0.576923076923077,-0.576923076923077,-0.576923076923077
ARMC1 (interacts with) U2AF2,-0.766480807624486,-0.928571428571428,-0.549450549450549,-0.571428571428571,-0.549450549450549,-0.549450549450549,-0.652472075996022
TRIM5 (interacts with) RAB27A,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571,-0.821428571428571
GORASP2 (interacts with) MMP14,-0.879581914199181,-0.964285714285714,-0.658823529411765,-0.785714285714285,-0.536764705882353,-0.574966156035362,-0.733356050921443
GORASP2 (interacts with) GATM,-0.71978021978022,-0.71978021978022,-0.71978021978022,-0.71978021978022,-0.71978021978022,-0.71978021978022,-0.71978021978022
NECAP1 (interacts with) GABRG2,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714,-0.964285714285714
BRMS1 (interacts with) DAAM2,-0.535714285714286,-0.535714285714286,-0.535714285714286,-0.535714285714286,-0.535714285714286,-0.535714285714286,-0.535714285714286
SARAF (interacts with) CLTC,-0.547058823529412,-0.547058823529412,-0.547058823529412,-0.547058823529412,-0.547058823529412,-0.547058823529412,-0.547058823529412
AHCY (interacts with) GATM,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857,-0.607142857142857
ADSS (interacts with) RPS18,-0.713235294117647,-0.713235294117647,-0.713235294117647,-0.713235294117647,-0.713235294117647,-0.713235294117647,-0.713235294117647
KIF3A (interacts with) NOTCH3,-0.730769230769231,-0.571428571428571,-0.730769230769231,-0.642857142857143,-0.651960784313726,-0.730769230769231,-0.676425698484522
SYNJ1 (interacts with) RPL11,-0.538461538461538,-0.538461538461538,-0.538461538461538,-0.538461538461538,-0.538461538461538,-0.538461538461538,-0.538461538461538
AAAS (interacts with) PCMT1,-0.562884343099232,-0.642857142857143,-0.541176470588235,-0.678571428571428,-0.811274509803922,-0.582417582417582,-0.636530246222924
GGH (interacts with) MYH9,-0.623529411764706,-0.857142857142857,-0.623529411764706,-0.623529411764706,-0.623529411764706,-0.623529411764706,-0.662464985994398
