Pathway,Pathway Type,Overall Type
Serotonergic synapse,Nervous system,Nervous system
Gastric acid secretion,Digestive system,Digestive system
NOD-like receptor signaling pathway,Immune system,Immune response
Pertussis,Infectious diseases: Bacterial,Immune response
Vasopressin-regulated water reabsorption,Excretory system,Excretory system
Vascular smooth muscle contraction,Circulatory system,Circulatory system
Wnt signaling pathway,Signal transduction,Signal transduction
Retrograde endocannabinoid signaling,Nervous system,Nervous system
Oocyte meiosis,Cell growth and death,Cell cycle
Renin secretion,Endocrine system,Endocrine system
Malaria,Infectious diseases: Parasitic,Immune response
