Pathway1,Pathway2,vec,overlap
Glioma_Homo.sapiens_hsa05214,Hepatitis.C_Homo.sapiens_hsa05160,0.296296296,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Insulin.signaling.pathway_Homo.sapiens_hsa04910,0.295454545,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.294117647,overlap
Glioma_Homo.sapiens_hsa05214,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.294117647,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.294117647,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.292307692,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Shigellosis_Homo.sapiens_hsa05131,0.291666667,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.290322581,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.288888889,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Glioma_Homo.sapiens_hsa05214,0.285714286,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.285714286,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.285714286,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Pathways.in.cancer_Homo.sapiens_hsa05200,0.283018868,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Measles_Homo.sapiens_hsa05162,0.282051282,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Hepatitis.C_Homo.sapiens_hsa05160,0.28125,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.28,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Colorectal.cancer_Homo.sapiens_hsa05210,0.28,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.279069767,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.279069767,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Influenza.A_Homo.sapiens_hsa05164,0.278688525,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.277777778,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.277777778,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Acute.myeloid.leukemia_Homo.sapiens_hsa05221,0.275862069,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,0.275862069,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.275862069,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Hepatitis.C_Homo.sapiens_hsa05160,0.275862069,overlap
TNF.signaling.pathway_Homo.sapiens_hsa04668,Hepatitis.C_Homo.sapiens_hsa05160,0.275862069,overlap
Chemokine.signaling.pathway_Homo.sapiens_hsa04062,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.275862069,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.275,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.272727273,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Endometrial.cancer_Homo.sapiens_hsa05213,0.272727273,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.272727273,overlap
Carbon.metabolism_Homo.sapiens_hsa01200,Citrate.cycle..TCA.cycle._Homo.sapiens_hsa00020,0.272727273,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Herpes.simplex.infection_Homo.sapiens_hsa05168,0.270833333,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.270833333,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Osteoclast.differentiation_Homo.sapiens_hsa04380,0.27027027,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.269230769,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.269230769,overlap
Focal.adhesion_Homo.sapiens_hsa04510,Pathways.in.cancer_Homo.sapiens_hsa05200,0.268656716,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.266666667,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.266666667,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.266666667,overlap
PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,Pathways.in.cancer_Homo.sapiens_hsa05200,0.263157895,overlap
Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.263157895,overlap
Antigen.processing.and.presentation_Homo.sapiens_hsa04612,Viral.myocarditis_Homo.sapiens_hsa05416,0.263157895,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.260869565,overlap
Glioma_Homo.sapiens_hsa05214,Colorectal.cancer_Homo.sapiens_hsa05210,0.260869565,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.26,overlap
Pathways.in.cancer_Homo.sapiens_hsa05200,Colorectal.cancer_Homo.sapiens_hsa05210,0.26,overlap
Glioma_Homo.sapiens_hsa05214,Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,0.259259259,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Prolactin.signaling.pathway_Homo.sapiens_hsa04917,0.259259259,overlap
TNF.signaling.pathway_Homo.sapiens_hsa04668,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.259259259,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.258064516,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Prostate.cancer_Homo.sapiens_hsa05215,0.258064516,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.258064516,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Hepatitis.C_Homo.sapiens_hsa05160,0.258064516,overlap
ErbB.signaling.pathway_Homo.sapiens_hsa04012,Hepatitis.C_Homo.sapiens_hsa05160,0.258064516,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.258064516,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.258064516,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Measles_Homo.sapiens_hsa05162,0.256410256,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.254901961,overlap
Rap1.signaling.pathway_Homo.sapiens_hsa04015,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.253968254,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Viral.carcinogenesis_Homo.sapiens_hsa05203,0.253968254,overlap
Epstein.Barr.virus.infection_Homo.sapiens_hsa05169,Herpes.simplex.infection_Homo.sapiens_hsa05168,0.25,overlap
Focal.adhesion_Homo.sapiens_hsa04510,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.25,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Osteoclast.differentiation_Homo.sapiens_hsa04380,0.25,overlap
Prostate.cancer_Homo.sapiens_hsa05215,PI3K.Akt.signaling.pathway_Homo.sapiens_hsa04151,0.25,overlap
Acute.myeloid.leukemia_Homo.sapiens_hsa05221,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.25,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.25,overlap
Bacterial.invasion.of.epithelial.cells_Homo.sapiens_hsa05100,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.25,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Fc.gamma.R.mediated.phagocytosis_Homo.sapiens_hsa04666,0.25,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.25,overlap
FoxO.signaling.pathway_Homo.sapiens_hsa04068,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.25,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.25,overlap
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Endometrial.cancer_Homo.sapiens_hsa05213,0.25,overlap
Proteoglycans.in.cancer_Homo.sapiens_hsa05205,Endometrial.cancer_Homo.sapiens_hsa05213,0.25,overlap
Prostate.cancer_Homo.sapiens_hsa05215,Chemokine.signaling.pathway_Homo.sapiens_hsa04062,0.25,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Colorectal.cancer_Homo.sapiens_hsa05210,0.25,overlap
Endometrial.cancer_Homo.sapiens_hsa05213,Longevity.regulating.pathway...multiple.species_Homo.sapiens_hsa04213,0.25,overlap
Influenza.A_Homo.sapiens_hsa05164,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.25,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,Hepatitis.C_Homo.sapiens_hsa05160,0.25,overlap
Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,Hepatitis.C_Homo.sapiens_hsa05160,0.25,overlap
Prolactin.signaling.pathway_Homo.sapiens_hsa04917,Hepatitis.C_Homo.sapiens_hsa05160,0.25,overlap
Chemokine.signaling.pathway_Homo.sapiens_hsa04062,Hepatitis.C_Homo.sapiens_hsa05160,0.25,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.25,overlap
Toxoplasmosis_Homo.sapiens_hsa05145,HTLV.I.infection_Homo.sapiens_hsa05166,0.245283019,overlap
Regulation.of.actin.cytoskeleton_Homo.sapiens_hsa04810,Glioma_Homo.sapiens_hsa05214,0.243902439,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,FoxO.signaling.pathway_Homo.sapiens_hsa04068,0.243902439,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Insulin.signaling.pathway_Homo.sapiens_hsa04910,0.243243243,overlap
T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,Prostate.cancer_Homo.sapiens_hsa05215,0.242424242,overlap
Osteoclast.differentiation_Homo.sapiens_hsa04380,Fc.epsilon.RI.signaling.pathway_Homo.sapiens_hsa04664,0.242424242,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,0.242424242,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Endometrial.cancer_Homo.sapiens_hsa05213,0.242424242,overlap
Natural.killer.cell.mediated.cytotoxicity_Homo.sapiens_hsa04650,Colorectal.cancer_Homo.sapiens_hsa05210,0.24137931,overlap
Chronic.myeloid.leukemia_Homo.sapiens_hsa05220,Pathways.in.cancer_Homo.sapiens_hsa05200,0.240740741,overlap
Renal.cell.carcinoma_Homo.sapiens_hsa05211,Colorectal.cancer_Homo.sapiens_hsa05210,0.24,overlap
B.cell.receptor.signaling.pathway_Homo.sapiens_hsa04662,Non.small.cell.lung.cancer_Homo.sapiens_hsa05223,0.24,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Pathways.in.cancer_Homo.sapiens_hsa05200,0.23943662,overlap
Ras.signaling.pathway_Homo.sapiens_hsa04014,Prostate.cancer_Homo.sapiens_hsa05215,0.239130435,overlap
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,Proteoglycans.in.cancer_Homo.sapiens_hsa05205,0.239130435,overlap
