Gene symbol,Cell type
NKAIN4,Astrocytes
NOTCH2,Astrocytes
NQO1,Astrocytes
NT5E,Astrocytes
NTM,Astrocytes
NTSR2,Astrocytes
NWD1,Astrocytes
P2RY1,Astrocytes
PALLD,Astrocytes
PAMR1,Astrocytes
PAPLN,Astrocytes
PARP9,Astrocytes
PBXIP1,Astrocytes
PCSK5,Astrocytes
PCYT1B,Astrocytes
PDLIM3,Astrocytes
PHKA1,Astrocytes
PLA2G5,Astrocytes
PLEKHO2,Astrocytes
PLTP,Astrocytes
PPAP2B,Astrocytes
PPP1R1B,Astrocytes
PRCP,Astrocytes
PRDM16,Astrocytes
PREX2,Astrocytes
PRODH,Astrocytes
PRSS35,Astrocytes
PSD2,Astrocytes
RGL3,Astrocytes
RGS20,Astrocytes
RLBP1,Astrocytes
RNF182,Astrocytes
RNF43,Astrocytes
SALL3,Astrocytes
SCRG1,Astrocytes
SDC4,Astrocytes
SERPINE2,Astrocytes
SGCD,Astrocytes
SLC13A5,Astrocytes
SLC14A1,Astrocytes
SLC15A2,Astrocytes
SLC1A2,Astrocytes
SLC25A18,Astrocytes
SLC25A48,Astrocytes
SLC2A4,Astrocytes
SLC39A12,Astrocytes
SLC7A10,Astrocytes
SNTA1,Astrocytes
SORCS2,Astrocytes
SOX2,Astrocytes
SOX9,Astrocytes
SPARCL1,Astrocytes
SPATA6,Astrocytes
STON2,Astrocytes
THSD1,Astrocytes
TLCD1,Astrocytes
TMEM164,Astrocytes
TMEM47,Astrocytes
TNS3,Astrocytes
TP53BP2,Astrocytes
TPCN1,Astrocytes
TPD52L1,Astrocytes
TRIL,Astrocytes
TRIM47,Astrocytes
TRPS1,Astrocytes
TTPA,Astrocytes
TTYH1,Astrocytes
TULP3,Astrocytes
VEGFA,Astrocytes
WDFY3-AS2,Astrocytes
WFS1,Astrocytes
WIF1,Astrocytes
WLS,Astrocytes
ZNF423,Astrocytes
ZNRF3,Astrocytes
ABCG2,Endothelial
ADCY4,Endothelial
ANXA1,Endothelial
ANXA2P2,Endothelial
ANXA3,Endothelial
APOLD1,Endothelial
ATP10A,Endothelial
BIRC3,Endothelial
C10orf10,Endothelial
CALD1,Endothelial
CD34,Endothelial
CFH,Endothelial
CLDN5,Endothelial
CLEC1A,Endothelial
CRISPLD2,Endothelial
DCN,Endothelial
EBF1,Endothelial
EDN3,Endothelial
ELTD1,Endothelial
ERG,Endothelial
ETS1,Endothelial
FOXC1,Endothelial
FOXF1,Endothelial
FXYD5,Endothelial
GGT5,Endothelial
GIMAP4,Endothelial
GJC1,Endothelial
GNG11,Endothelial
GPR4,Endothelial
GPX3,Endothelial
H3F3C,Endothelial
HIGD1B,Endothelial
ICAM1,Endothelial
IFI27,Endothelial
IFI44,Endothelial
IFI44L,Endothelial
IFIH1,Endothelial
IL32,Endothelial
IL6,Endothelial
IRF1,Endothelial
ITGA1,Endothelial
KLF10,Endothelial
KLF4,Endothelial
LAMA4,Endothelial
LGALS1,Endothelial
LOC100505495,Endothelial
LRRC32,Endothelial
MCL1,Endothelial
MECOM,Endothelial
MIR22HG,Endothelial
MT1L,Endothelial
NDUFA4L2,Endothelial
NFKBIA,Endothelial
NID1,Endothelial
NOSTRIN,Endothelial
NR4A1,Endothelial
OMD,Endothelial
PDLIM1,Endothelial
S100A10,Endothelial
SDPR,Endothelial
SERTAD1,Endothelial
SIK1,Endothelial
SLC39A8,Endothelial
TBX18,Endothelial
TBX3,Endothelial
TES,Endothelial
TGM2,Endothelial
THSD4,Endothelial
TINAGL1,Endothelial
TM4SF18,Endothelial
TMEM2,Endothelial
TWIST1,Endothelial
UTRN,Endothelial
VCAM1,Endothelial
ZC3HAV1,Endothelial
ZMYM6NB,Endothelial
ABCB4,Microglia
ADAM28,Microglia
ADAP2,Microglia
ALOX5AP,Microglia
AOAH,Microglia
ARHGAP25,Microglia
B3GNT5,Microglia
BCL2A1,Microglia
BLNK,Microglia
C1orf38,Microglia
C1QA,Microglia
C1QB,Microglia
C3,Microglia
C3AR1,Microglia
C5AR1,Microglia
CASP1,Microglia
CCL3L1,Microglia
CCL4,Microglia
CCR1,Microglia
CD300A,Microglia
CD53,Microglia
CD83,Microglia
CD84,Microglia
CD86,Microglia
CLEC7A,Microglia
CLECL1,Microglia
CMTM6,Microglia
CSF1R,Microglia
CSF3R,Microglia
CTSC,Microglia
CX3CR1,Microglia
CXCL16,Microglia
CXorf21,Microglia
CYBA,Microglia
CYBB,Microglia
DHRS9,Microglia
DOCK8,Microglia
EBI3,Microglia
EGR2,Microglia
EMR2,Microglia
EVI2B,Microglia
FCER1G,Microglia
FCGR1A,Microglia
FCGR1B,Microglia
FCGR1C,Microglia
FCGR3A,Microglia
GAB3,Microglia
GPR183,Microglia
HAVCR2,Microglia
HCLS1,Microglia
HCST,Microglia
HK2,Microglia
HLA-DPB1,Microglia
HLA-DRA,Microglia
HLA-DRB1,Microglia
HPGDS,Microglia
IFI30,Microglia
IGSF6,Microglia
IKZF1,Microglia
IL10RA,Microglia
IL18,Microglia
IL1A,Microglia
IL1B,Microglia
IL1RN,Microglia
IL6R,Microglia
IL8,Microglia
IRAK2,Microglia
ITGAM,Microglia
ITGAX,Microglia
KCTD12,Microglia
LAPTM5,Microglia
LCP1,Microglia
LHFPL2,Microglia
LILRB4,Microglia
LYN,Microglia
MPEG1,Microglia
MS4A7,Microglia
NCKAP1L,Microglia
OBFC2A,Microglia
OLR1,Microglia
P2RX4,Microglia
P2RY12,Microglia
P2RY13,Microglia
PIK3AP1,Microglia
PIK3CG,Microglia
PLEK,Microglia
PLVAP,Microglia
PTGER4,Microglia
PTPRC,Microglia
RBM47,Microglia
RGS1,Microglia
RGS10,Microglia
RNASE6,Microglia
RUNX1-IT1,Microglia
SAMSN1,Microglia
SASH3,Microglia
SCIN,Microglia
SERPINA1,Microglia
SERPINB9,Microglia
SIGLEC10,Microglia
SIGLEC14,Microglia
SIGLEC8,Microglia
SLC1A5,Microglia
SLC2A5,Microglia
SLCO2B1,Microglia
SOCS6,Microglia
STK10,Microglia
TAL1,Microglia
TBXAS1,Microglia
TLR1,Microglia
TLR2,Microglia
TREM2,Microglia
TRIB1,Microglia
TYROBP,Microglia
UCP2,Microglia
VSIG4,Microglia
WDFY4,Microglia
XIRP1,Microglia
AACS,Neurons
ABCC5,Neurons
ABHD14A,Neurons
ABLIM2,Neurons
ABR,Neurons
ACCN1,Neurons
ACD,Neurons
ACHE,Neurons
ACTL6B,Neurons
ACYP1,Neurons
ADAM11,Neurons
ADAM23,Neurons
ADAMTS6,Neurons
ADARB1,Neurons
ADD2,Neurons
AES,Neurons
AFAP1,Neurons
AFF3,Neurons
AGAP2,Neurons
AGBL4,Neurons
AIP,Neurons
AJAP1,Neurons
AKAP5,Neurons
ALDH1L2,Neurons
ALDH5A1,Neurons
ALG6,Neurons
AMPH,Neurons
ANK1,Neurons
ANKRD19P,Neurons
ANKRD20A5P,Neurons
ANKRD30B,Neurons
ANKRD34C,Neurons
ANKRD55,Neurons
ANKZF1,Neurons
AP2A2,Neurons
AP3B2,Neurons
APAF1,Neurons
APBA1,Neurons
APBA2,Neurons
ARHGAP20,Neurons
ARHGAP28,Neurons
ARHGAP44,Neurons
ARHGEF17,Neurons
ARHGEF3,Neurons
ARL15,Neurons
ARL4C,Neurons
ARL6,Neurons
ARMCX4,Neurons
ARMCX5,Neurons
ARMCX5-GPRASP2,Neurons
ARNTL2,Neurons
ARPC5L,Neurons
ARPP21,Neurons
ARSF,Neurons
ASNS,Neurons
ASPHD2,Neurons
ATCAY,Neurons
ATG16L1,Neurons
ATP13A2,Neurons
ATP1A3,Neurons
ATP2B3,Neurons
ATP6V0C,Neurons
ATP8A2,Neurons
ATRNL1,Neurons
B3GALT2,Neurons
B3GNT1,Neurons
B4GALT6,Neurons
B9D1,Neurons
BABAM1,Neurons
BAIAP3,Neurons
BASP1,Neurons
BCL11A,Neurons
BCL11B,Neurons
BCL7A,Neurons
BEND4,Neurons
BEND6,Neurons
BEX1,Neurons
BEX2,Neurons
BEX5,Neurons
BID,Neurons
BOLA3-AS1,Neurons
BSN,Neurons
BTBD11,Neurons
C10orf35,Neurons
C10orf82,Neurons
C11orf31,Neurons
C11orf63,Neurons
C11orf80,Neurons
C11orf87,Neurons
C12orf47,Neurons
C12orf53,Neurons
C12orf68,Neurons
C14orf23,Neurons
C15orf61,Neurons
C16orf13,Neurons
C16orf55,Neurons
C17orf108,Neurons
C17orf51,Neurons
C17orf79,Neurons
C19orf66,Neurons
C1orf173,Neurons
C1orf31,Neurons
C1orf35,Neurons
C1orf96,Neurons
C20orf7,Neurons
C2orf80,Neurons
C5orf25,Neurons
C5orf49,Neurons
C6orf174,Neurons
C9orf16,Neurons
C9orf4,Neurons
C9orf68,Neurons
CA7,Neurons
CABP1,Neurons
CACNA1A,Neurons
CACNA1B,Neurons
CACNA1C,Neurons
CACNA1D,Neurons
CACNA1E,Neurons
CACNA1I,Neurons
CACNA2D3,Neurons
CACNG2,Neurons
CACNG3,Neurons
CACNG8,Neurons
CADM3,Neurons
CADPS,Neurons
CALB2,Neurons
CALN1,Neurons
CAMK1G,Neurons
CAMK2A,Neurons
CAMK2N2,Neurons
CAMKV,Neurons
CAMTA2,Neurons
CAND2,Neurons
CAP2,Neurons
CAPRIN2,Neurons
CATSPER2,Neurons
CBLN1,Neurons
CBLN4,Neurons
CBWD6,Neurons
CC2D1A,Neurons
CCDC165,Neurons
CCDC57,Neurons
CCDC64,Neurons
CCDC85A,Neurons
CCK,Neurons
CCNG2,Neurons
CCT6P1,Neurons
CD24,Neurons
CDC25B,Neurons
CDC7,Neurons
CDH18,Neurons
CDH7,Neurons
CDH8,Neurons
CDH9,Neurons
CDK14,Neurons
CDK5,Neurons
CDK5R1,Neurons
CDK8,Neurons
CDKN2AIPNL,Neurons
CDKN2D,Neurons
CDO1,Neurons
CELF3,Neurons
CELF4,Neurons
CELF5,Neurons
CELSR3,Neurons
CEND1,Neurons
CERS6,Neurons
CFL1P1,Neurons
CHCHD6,Neurons
CHD5,Neurons
CHGA,Neurons
CHGB,Neurons
CHID1,Neurons
CHRM1,Neurons
CHRM3,Neurons
CHRNA2,Neurons
CHST15,Neurons
CHST2,Neurons
CHSY3,Neurons
CIT,Neurons
CKMT1A,Neurons
CKMT1B,Neurons
CLEC4GP1,Neurons
CLGN,Neurons
CLSTN1,Neurons
CLSTN2,Neurons
CLSTN3,Neurons
CLTB,Neurons
CLVS1,Neurons
CNKSR2,Neurons
CNNM1,Neurons
CNTN1,Neurons
CNTN3,Neurons
CNTN4,Neurons
CNTN5,Neurons
CNTN6,Neurons
CNTNAP2,Neurons
COCH,Neurons
COG1,Neurons
COLQ,Neurons
COPG2,Neurons
COQ3,Neurons
CORO2A,Neurons
CPLX2,Neurons
CPNE5,Neurons
CPNE7,Neurons
CPNE9,Neurons
CPT1C,Neurons
CRHBP,Neurons
CRMP1,Neurons
CROCCP3,Neurons
CSMD1,Neurons
CSMD2,Neurons
CSMD3,Neurons
CTXN2,Neurons
CXXC4,Neurons
CYB561,Neurons
CYFIP2,Neurons
CYP2E1,Neurons
CYP4X1,Neurons
D4S234E,Neurons
DAB1,Neurons
DACH2,Neurons
DCAF4L1,Neurons
DCC,Neurons
DCK,Neurons
DCLK1,Neurons
DCTN3,Neurons
DCX,Neurons
DENND5B,Neurons
DGAT1,Neurons
DGCR2,Neurons
DGCR6L,Neurons
DGKB,Neurons
DGKD,Neurons
DGKE,Neurons
DGKI,Neurons
DHRS1,Neurons
DIRAS2,Neurons
DIRAS3,Neurons
DISP2,Neurons
DLEU2L,Neurons
DLG3,Neurons
DLGAP1,Neurons
DLX5,Neurons
DLX6,Neurons
DLX6-AS1,Neurons
DNAH14,Neurons
DNAH6,Neurons
DNAJC5,Neurons
DNM1,Neurons
DOC2A,Neurons
DOK6,Neurons
DOPEY2,Neurons
DPCD,Neurons
DPP10,Neurons
DPP4,Neurons
DPP6,Neurons
DPY19L2P1,Neurons
DRP2,Neurons
DSCAM,Neurons
DTX3,Neurons
DUSP26,Neurons
EBP,Neurons
ECE2,Neurons
EEF1A2,Neurons
EFHA2,Neurons
EGFEM1P,Neurons
EGFL6,Neurons
EHD3,Neurons
EID2B,Neurons
ELAVL2,Neurons
ELAVL4,Neurons
ELMOD1,Neurons
ELOVL4,Neurons
EML5,Neurons
EML6,Neurons
ENC1,Neurons
ENTPD3,Neurons
ENTPD6,Neurons
EPB41L4B,Neurons
EPB49,Neurons
EPDR1,Neurons
EPHA10,Neurons
EPHA3,Neurons
EPHA5,Neurons
EPHA7,Neurons
EPHB6,Neurons
ERC2,Neurons
EVL,Neurons
FAAH2,Neurons
FABP3,Neurons
FAM123C,Neurons
FAM133A,Neurons
FAM153B,Neurons
FAM169A,Neurons
FAM175B,Neurons
FAM189A1,Neurons
FAM190A,Neurons
FAM19A2,Neurons
FAM216A,Neurons
FAM3C,Neurons
FAM65B,Neurons
FAM81A,Neurons
FAM84A,Neurons
FAR2,Neurons
FAXC,Neurons
FBLL1,Neurons
FBXL16,Neurons
FBXL2,Neurons
FBXL20,Neurons
FBXO41,Neurons
FGF12,Neurons
FGF13,Neurons
FGF14,Neurons
FGF14-IT1,Neurons
FGF9,Neurons
FHOD3,Neurons
FKRP,Neurons
FLJ41278,Neurons
FLJ43390,Neurons
FLRT3,Neurons
FMNL1,Neurons
FNBP1L,Neurons
FNDC9,Neurons
FRMPD4,Neurons
FRY,Neurons
FSD1,Neurons
FSTL5,Neurons
FXYD6,Neurons
GABBR2,Neurons
GABRA1,Neurons
GABRA3,Neurons
GABRA4,Neurons
GABRA5,Neurons
GABRB2,Neurons
GABRB3,Neurons
GABRG2,Neurons
GABRG3,Neurons
GAD1,Neurons
GAD2,Neurons
GALE,Neurons
GALNT14,Neurons
GAP43,Neurons
GAS2,Neurons
GDA,Neurons
GDAP1L1,Neurons
GFRA2,Neurons
GGA2,Neurons
GLMN,Neurons
GLRA2,Neurons
GLS,Neurons
GLS2,Neurons
GMCL1,Neurons
GNAL,Neurons
GNB3,Neurons
GNB5,Neurons
GNG2,Neurons
GNG3,Neurons
GPR12,Neurons
GPR123,Neurons
GPR137C,Neurons
GPR149,Neurons
GPR158,Neurons
GPR162,Neurons
GPR83,Neurons
GPRASP1,Neurons
GREM2,Neurons
GRHL1,Neurons
GRIA1,Neurons
GRIA3,Neurons
GRIK1,Neurons
GRIK2,Neurons
GRIN1,Neurons
GRIN2A,Neurons
GRIN2B,Neurons
GRIP1,Neurons
GRIP2,Neurons
GRM1,Neurons
GRM5,Neurons
GRM7,Neurons
GRM8,Neurons
GSDMB,Neurons
GUCY1B3,Neurons
GUSBP11,Neurons
HAGH,Neurons
HAPLN1,Neurons
HCN1,Neurons
HCN3,Neurons
HDAC9,Neurons
HDGFRP3,Neurons
HECW1,Neurons
HEXB,Neurons
HGFAC,Neurons
HIST3H2A,Neurons
HMGCLL1,Neurons
HMP19,Neurons
HN1,Neurons
HOOK1,Neurons
HOOK2,Neurons
HPCAL4,Neurons
HPRT1,Neurons
HRAS,Neurons
HRH2,Neurons
HS6ST3,Neurons
HSPA12A,Neurons
HSPB3,Neurons
HTR5A,Neurons
HUNK,Neurons
HYLS1,Neurons
IAH1,Neurons
ICA1,Neurons
IGF1,Neurons
IGFBP3,Neurons
IGFBP5,Neurons
IGSF21,Neurons
IL1RAPL2,Neurons
IMMP1L,Neurons
INA,Neurons
INADL,Neurons
INPP4B,Neurons
IQGAP2,Neurons
IQSEC3,Neurons
IRS1,Neurons
ITPR1,Neurons
JAK2,Neurons
JAKMIP1,Neurons
JPH1,Neurons
JPH3,Neurons
JPH4,Neurons
KAT8,Neurons
KAZN,Neurons
KCNA3,Neurons
KCNA4,Neurons
KCNA6,Neurons
KCNAB2,Neurons
KCNAB3,Neurons
KCNB1,Neurons
KCNB2,Neurons
KCNC1,Neurons
KCNC2,Neurons
KCNC4,Neurons
KCND2,Neurons
KCNH1,Neurons
KCNH2,Neurons
KCNH3,Neurons
KCNH7,Neurons
KCNIP1,Neurons
KCNIP2,Neurons
KCNIP4,Neurons
KCNIP4-IT1,Neurons
KCNJ3,Neurons
KCNMB2,Neurons
KCNN2,Neurons
KCNQ3,Neurons
KCNQ5,Neurons
KCNT1,Neurons
KCNT2,Neurons
KCTD13,Neurons
KCTD16,Neurons
KGFLP2,Neurons
KHDRBS2,Neurons
KIAA0513,Neurons
KIAA1024,Neurons
KIAA1045,Neurons
KIAA1211,Neurons
KIAA1217,Neurons
KIAA1324,Neurons
KIAA1377,Neurons
KIAA1456,Neurons
KIAA1549,Neurons
KIAA1644,Neurons
KIAA1804,Neurons
KIAA2022,Neurons
KIF1A,Neurons
KIF5A,Neurons
KLHDC3,Neurons
KLHL13,Neurons
KLHL29,Neurons
KMO,Neurons
KRT222,Neurons
KSR2,Neurons
L1CAM,Neurons
L2HGDH,Neurons
L3MBTL2,Neurons
L3MBTL3,Neurons
LAMB3,Neurons
LDB2,Neurons
LDOC1L,Neurons
LGI2,Neurons
LHFPL3,Neurons
LHFPL4,Neurons
LHX6,Neurons
LIN7B,Neurons
LINC00087,Neurons
LINC00294,Neurons
LINC00340,Neurons
LINGO2,Neurons
LMO7,Neurons
LNP1,Neurons
LNX1,Neurons
LOC100128590,Neurons
LOC100129361,Neurons
LOC100505483,Neurons
LOC100505576,Neurons
LOC100505761,Neurons
LOC100506123,Neurons
LOC100506548,Neurons
LOC100507341,Neurons
LOC100507387,Neurons
LOC147670,Neurons
LOC148189,Neurons
LOC152217,Neurons
LOC157627,Neurons
LOC254559,Neurons
LOC283683,Neurons
LOC284215,Neurons
LOC285878,Neurons
LOC285954,Neurons
LOC286002,Neurons
LOC338651,Neurons
LOC392232,Neurons
LOC440040,Neurons
LOC645166,Neurons
LOC646762,Neurons
LOC728392,Neurons
LOC728730,Neurons
LOC729177,Neurons
LOC730811,Neurons
LPCAT4,Neurons
LPPR4,Neurons
LPPR5,Neurons
LRCH2,Neurons
LRFN5,Neurons
LRP11,Neurons
LRRC2,Neurons
LRRC37A4,Neurons
LRRC39,Neurons
LRRC4,Neurons
LRRC6,Neurons
LRRC7,Neurons
LRRFIP1,Neurons
LRRTM2,Neurons
LYPD5,Neurons
LYPD6,Neurons
MACROD2,Neurons
MAGEE1,Neurons
MAGEF1,Neurons
MAL2,Neurons
MANEAL,Neurons
MAP2,Neurons
MAP3K9,Neurons
MAP7D2,Neurons
MAPK10,Neurons
MAPK9,Neurons
MARK1,Neurons
MAST1,Neurons
MB21D2,Neurons
MC4R,Neurons
MCF2,Neurons
MCF2L2,Neurons
MCM3AP,Neurons
MCTP1,Neurons
MDGA2,Neurons
ME3,Neurons
MEG3,Neurons
MEGF8,Neurons
MEIS3,Neurons
METAP1D,Neurons
METTL6,Neurons
MFSD4,Neurons
MICAL2,Neurons
MLLT11,Neurons
MMP16,Neurons
MMP24,Neurons
MOAP1,Neurons
MORN4,Neurons
MRAP2,Neurons
MRPL17,Neurons
MRPS23,Neurons
MTBP,Neurons
MTUS2,Neurons
MXRA7,Neurons
MYH7,Neurons
MYL6B,Neurons
MYO16,Neurons
MYRIP,Neurons
MYT1L,Neurons
MZT1,Neurons
N4BP2,Neurons
NAALAD2,Neurons
NAP1L2,Neurons
NAP1L3,Neurons
NAPB,Neurons
NBEA,Neurons
NCDN,Neurons
NCOA5,Neurons
NDST3,Neurons
NDST4,Neurons
NECAB2,Neurons
NEDD4L,Neurons
NEFH,Neurons
NEFL,Neurons
NEFM,Neurons
NEGR1,Neurons
NEK10,Neurons
NELL2,Neurons
NETO2,Neurons
NEUROD6,Neurons
NIPSNAP3B,Neurons
NISCH,Neurons
NME1,Neurons
NMNAT2,Neurons
NMT2,Neurons
NNAT,Neurons
NOC2L,Neurons
NOS1AP,Neurons
NPAS4,Neurons
NPM2,Neurons
NPR3,Neurons
NPTX1,Neurons
NPTXR,Neurons
NREP,Neurons
NRIP3,Neurons
NRSN1,Neurons
NRSN2,Neurons
NRXN2,Neurons
NRXN3,Neurons
NT5DC3,Neurons
NTN4,Neurons
NUDT10,Neurons
NUDT11,Neurons
NXPH2,Neurons
NYAP2,Neurons
OCA2,Neurons
ODZ1,Neurons
ODZ3,Neurons
ODZ4,Neurons
OLFM1,Neurons
OLFM3,Neurons
OPCML,Neurons
OPRK1,Neurons
ORAI2,Neurons
OSBPL10,Neurons
OSBPL3,Neurons
OXCT1,Neurons
P4HA2,Neurons
PACSIN1,Neurons
PAFAH1B3,Neurons
PAK1,Neurons
PAK3,Neurons
PAK7,Neurons
PAM,Neurons
PAR5,Neurons
PARP8,Neurons
PCDH11X,Neurons
PCDH15,Neurons
PCDH18,Neurons
PCDH19,Neurons
PCDH20,Neurons
PCDH8,Neurons
PCLO,Neurons
PCNXL2,Neurons
PCP4L1,Neurons
PCSK2,Neurons
PCYOX1L,Neurons
PDE10A,Neurons
PDE2A,Neurons
PDIA2,Neurons
PDXP,Neurons
PDZD4,Neurons
PGBD5,Neurons
PGM2L1,Neurons
PHF15,Neurons
PHLPP2,Neurons
PHTF1,Neurons
PHYHIP,Neurons
PIGZ,Neurons
PILRB,Neurons
PIN1,Neurons
PIP5K1C,Neurons
PITPNM3,Neurons
PKD1,Neurons
PKD1P1,Neurons
PKIA,Neurons
PKIB,Neurons
PLCB1,Neurons
PLCL2,Neurons
PLCXD3,Neurons
PLD3,Neurons
PLD5,Neurons
PLEKHA5,Neurons
PLEKHA6,Neurons
PLK2,Neurons
PLS1,Neurons
PLXNA4,Neurons
PLXNC1,Neurons
PNMA2,Neurons
PNMA3,Neurons
PNMAL1,Neurons
PNMAL2,Neurons
PNOC,Neurons
PODXL2,Neurons
POLQ,Neurons
POLR3K,Neurons
POP7,Neurons
PPARGC1B,Neurons
PPFIA4,Neurons
PPL,Neurons
PPM1E,Neurons
PPOX,Neurons
PPP1R1A,Neurons
PRC1,Neurons
PRICKLE2,Neurons
PRKAA2,Neurons
PRKAR2A,Neurons
PRKCE,Neurons
PRMT8,Neurons
ProSAPiP1,Neurons
PRPS1,Neurons
PSMG4,Neurons
PTCHD4,Neurons
PTHLH,Neurons
PTPN4,Neurons
PTPN5,Neurons
PTPRN,Neurons
PTPRN2,Neurons
PTPRR,Neurons
PTPRT,Neurons
PWRN1,Neurons
PXDNL,Neurons
QTRT1,Neurons
R3HDM1,Neurons
RAB15,Neurons
RAB24,Neurons
RAB26,Neurons
RAB27B,Neurons
RAB3A,Neurons
RAB3B,Neurons
RAB3C,Neurons
RAB9B,Neurons
RAI1,Neurons
RANBP17,Neurons
RAPGEF4,Neurons
RAPGEFL1,Neurons
RASAL2,Neurons
RASD2,Neurons
RASGEF1A,Neurons
RASGRF1,Neurons
RBFOX2,Neurons
RBFOX3,Neurons
RBM24,Neurons
RBP4,Neurons
REEP1,Neurons
REEP2,Neurons
RELN,Neurons
RFK,Neurons
RFPL1-AS1,Neurons
RFX7,Neurons
RGMB,Neurons
RGNEF,Neurons
RGS12,Neurons
RGS4,Neurons
RGS6,Neurons
RGS7,Neurons
RGS7BP,Neurons
RIMBP2,Neurons
RIMKLA,Neurons
RIMS1,Neurons
RIMS2,Neurons
RIMS3,Neurons
RND2,Neurons
RNF112,Neurons
RNF113A,Neurons
RNF128,Neurons
RNF175,Neurons
RNF207,Neurons
ROBO2,Neurons
RP1-177G6.2,Neurons
RPH3A,Neurons
RPS6KA6,Neurons
RPS6KL1,Neurons
RSPH1,Neurons
RSPO2,Neurons
RTN1,Neurons
RUSC1,Neurons
RUSC2,Neurons
RYR2,Neurons
SCAI,Neurons
SCAMP5,Neurons
SCG2,Neurons
SCN1A,Neurons
SCN2A,Neurons
SCN2B,Neurons
SCN3A,Neurons
SCN3B,Neurons
SCN7A,Neurons
SCN8A,Neurons
SCN9A,Neurons
SCUBE2,Neurons
SDK2,Neurons
SEC61A2,Neurons
SEMA4F,Neurons
SEMA4G,Neurons
SEMA5B,Neurons
SEMA6C,Neurons
SERGEF,Neurons
SERTM1,Neurons
SETBP1,Neurons
SEZ6,Neurons
SEZ6L,Neurons
SEZ6L2,Neurons
SGK196,Neurons
SGK494,Neurons
SGSM1,Neurons
SGSM2,Neurons
SGTB,Neurons
SH2D5,Neurons
SH3GL2,Neurons
SHC3,Neurons
SHISA9,Neurons
SIAH3,Neurons
SIDT1,Neurons
SLBP,Neurons
SLC10A4,Neurons
SLC12A5,Neurons
SLC16A7,Neurons
SLC17A7,Neurons
SLC1A1,Neurons
SLC24A3,Neurons
SLC24A4,Neurons
SLC25A14,Neurons
SLC25A27,Neurons
SLC26A10,Neurons
SLC26A4,Neurons
SLC29A1,Neurons
SLC2A13,Neurons
SLC32A1,Neurons
SLC35F2,Neurons
SLC35F3,Neurons
SLC35F4,Neurons
SLC41A2,Neurons
SLC44A5,Neurons
SLC47A1,Neurons
SLC4A10,Neurons
SLC5A8,Neurons
SLC6A15,Neurons
SLC6A17,Neurons
SLC6A7,Neurons
SLC7A14,Neurons
SLC7A6,Neurons
SLC7A8,Neurons
SLC8A3,Neurons
SLC9A2,Neurons
