SUID,name,Overall Type,Pathway Type,selected,shared name
173673,Thyroid hormone synthesis,Endocrine system,Endocrine system,FALSE,Thyroid hormone synthesis
173674,Nicotine addiction,Nervous system,Substance dependence,FALSE,Nicotine addiction
173675,Chagas disease (American trypanosomiasis),Immune response,Infectious diseases: Parasitic,FALSE,Chagas disease (American trypanosomiasis)
173676,Tight junction,Cellular processes,Cellular community - eukaryotes,FALSE,Tight junction
173677,Non-alcoholic fatty liver disease (NAFLD),Endocrine system,Endocrine and metabolic diseases,FALSE,Non-alcoholic fatty liver disease (NAFLD)
173678,Axon guidance,Cell cycle,Development,FALSE,Axon guidance
173679,AMPK signaling pathway,Signal transduction,Signal transduction,FALSE,AMPK signaling pathway
173680,Insulin secretion,Endocrine system,Endocrine system,FALSE,Insulin secretion
173681,Thyroid hormone signaling pathway,Endocrine system,Endocrine system,FALSE,Thyroid hormone signaling pathway
173682,Estrogen signaling pathway,Endocrine system,Endocrine system,FALSE,Estrogen signaling pathway
173683,mTOR signaling pathway,Signal transduction,Signal transduction,FALSE,mTOR signaling pathway
173684,Glucagon signaling pathway,Endocrine system,Endocrine system,FALSE,Glucagon signaling pathway
173685,Alzheimer's disease,Nervous system,Neurodegenerative diseases,FALSE,Alzheimer's disease
173686,Cholinergic synapse,Nervous system,Nervous system,FALSE,Cholinergic synapse
173687,GnRH signaling pathway,Endocrine system,Endocrine system,FALSE,GnRH signaling pathway
173688,Gap junction,Cellular processes,Cellular community - eukaryotes,FALSE,Gap junction
173689,Amyotrophic lateral sclerosis (ALS),Nervous system,Neurodegenerative diseases,FALSE,Amyotrophic lateral sclerosis (ALS)
173690,Dopaminergic synapse,Nervous system,Nervous system,FALSE,Dopaminergic synapse
173691,Long-term depression,Nervous system,Nervous system,FALSE,Long-term depression
173692,Insulin resistance,Endocrine system,Endocrine and metabolic diseases,FALSE,Insulin resistance
173693,Platelet activation,Immune response,Immune system,FALSE,Platelet activation
173694,Aldosterone synthesis and secretion,Endocrine system,Endocrine system,FALSE,Aldosterone synthesis and secretion
173695,cAMP signaling pathway,Signal transduction,Signal transduction,FALSE,cAMP signaling pathway
173696,Oxytocin signaling pathway,Endocrine system,Endocrine system,FALSE,Oxytocin signaling pathway
173697,Circadian entrainment,Nervous system,Environmental adaptation,FALSE,Circadian entrainment
173698,Calcium signaling pathway,Signal transduction,Signal transduction,FALSE,Calcium signaling pathway
173699,Long-term potentiation,Nervous system,Nervous system,FALSE,Long-term potentiation
173700,Amphetamine addiction,Nervous system,Substance dependence,FALSE,Amphetamine addiction
173701,Apoptosis,Cell cycle,Cell growth and death,FALSE,Apoptosis
173702,cGMP-PKG signaling pathway,Signal transduction,Signal transduction,FALSE,cGMP-PKG signaling pathway
173703,Cocaine addiction,Nervous system,Substance dependence,FALSE,Cocaine addiction
173704,Glutamatergic synapse,Nervous system,Nervous system,FALSE,Glutamatergic synapse
173391,GRN,,,FALSE,GRN
173705,Hepatitis C,Immune response,Infectious diseases: Viral,FALSE,Hepatitis C
173706,Metabolic pathways,Metabolism,Global metabolism,FALSE,Metabolic pathways
173707,Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism,FALSE,Citrate cycle (TCA cycle)
173708,Toll-like receptor signaling pathway,Immune response,Immune system,FALSE,Toll-like receptor signaling pathway
173709,Chemokine signaling pathway,Immune response,Immune system,FALSE,Chemokine signaling pathway
173710,Non-small cell lung cancer,Cell cycle,Cancers: Specific types,FALSE,Non-small cell lung cancer
173711,Type II diabetes mellitus,Endocrine system,Endocrine and metabolic diseases,FALSE,Type II diabetes mellitus
173712,Purine metabolism,Metabolism,Nucleotide metabolism,FALSE,Purine metabolism
173713,NF-kappa B signaling pathway,Signal transduction,Signal transduction,FALSE,NF-kappa B signaling pathway
173714,TNF signaling pathway,Signal transduction,Signal transduction,FALSE,TNF signaling pathway
173715,RNA transport,Genetic Information Processing,Translation,FALSE,RNA transport
173716,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism,FALSE,Cysteine and methionine metabolism
173717,Viral carcinogenesis,Cell cycle,Cancers: Overview,FALSE,Viral carcinogenesis
173718,Biosynthesis of amino acids,Metabolism,Global metabolism,FALSE,Biosynthesis of amino acids
173719,Shigellosis,Immune response,Infectious diseases: Bacterial,FALSE,Shigellosis
173720,DNA replication,Genetic Information Processing,Replication and repair,FALSE,DNA replication
173721,Pathways in cancer,Cell cycle,Cancers: Overview,FALSE,Pathways in cancer
173722,Colorectal cancer,Cell cycle,Cancers: Specific types,FALSE,Colorectal cancer
173723,Fc gamma R-mediated phagocytosis,Immune response,Immune system,FALSE,Fc gamma R-mediated phagocytosis
173724,Nucleotide excision repair,Genetic Information Processing,Replication and repair,FALSE,Nucleotide excision repair
173725,Huntington's disease,Nervous system,Neurodegenerative diseases,FALSE,Huntington's disease
173726,Endometrial cancer,Cell cycle,Cancers: Specific types,FALSE,Endometrial cancer
173727,Adherens junction,Cellular processes,Cellular community - eukaryotes,FALSE,Adherens junction
173728,Natural killer cell mediated cytotoxicity,Immune response,Immune system,FALSE,Natural killer cell mediated cytotoxicity
173729,PI3K-Akt signaling pathway,Signal transduction,Signal transduction,FALSE,PI3K-Akt signaling pathway
173730,Influenza A,Immune response,Infectious diseases: Viral,FALSE,Influenza A
173731,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism,FALSE,Pentose phosphate pathway
173732,Carbon metabolism,Metabolism,Global metabolism,FALSE,Carbon metabolism
173733,Measles,Immune response,Infectious diseases: Viral,FALSE,Measles
173734,Prolactin signaling pathway,Endocrine system,Endocrine system,FALSE,Prolactin signaling pathway
173735,Ribosome,Genetic Information Processing,Translation,FALSE,Ribosome
173736,Fc epsilon RI signaling pathway,Immune response,Immune system,FALSE,Fc epsilon RI signaling pathway
173737,Prostate cancer,Cell cycle,Cancers: Specific types,FALSE,Prostate cancer
173738,Central carbon metabolism in cancer,Cell cycle,Cancers: Overview,FALSE,Central carbon metabolism in cancer
173739,Hematopoietic cell lineage,Immune response,Immune system,FALSE,Hematopoietic cell lineage
173740,Chronic myeloid leukemia,Cell cycle,Cancers: Specific types,FALSE,Chronic myeloid leukemia
173741,Osteoclast differentiation,Cell cycle,Development,FALSE,Osteoclast differentiation
173742,Glioma,Cell cycle,Cancers: Specific types,FALSE,Glioma
173743,Mismatch repair,Cellular processes,Replication and repair,FALSE,Mismatch repair
173744,Bacterial invasion of epithelial cells,Immune response,Infectious diseases: Bacterial,FALSE,Bacterial invasion of epithelial cells
173745,T cell receptor signaling pathway,Immune response,Immune system,FALSE,T cell receptor signaling pathway
173746,ErbB signaling pathway,Signal transduction,Signal transduction,FALSE,ErbB signaling pathway
173747,Focal adhesion,Cellular processes,Cellular community - eukaryotes,FALSE,Focal adhesion
173748,Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation",FALSE,Ubiquitin mediated proteolysis
173749,Basal transcription factors,Genetic Information Processing,Transcription,FALSE,Basal transcription factors
173750,Insulin signaling pathway,Endocrine system,Endocrine system,FALSE,Insulin signaling pathway
173751,Renal cell carcinoma,Cell cycle,Cancers: Specific types,FALSE,Renal cell carcinoma
173752,Herpes simplex infection,Immune response,Infectious diseases: Viral,FALSE,Herpes simplex infection
173753,Acute myeloid leukemia,Cell cycle,Cancers: Specific types,FALSE,Acute myeloid leukemia
173754,B cell receptor signaling pathway,Immune response,Immune system,FALSE,B cell receptor signaling pathway
173755,Proteasome,Genetic Information Processing,"Folding, sorting and degradation",FALSE,Proteasome
173756,Neurotrophin signaling pathway,Nervous system,Nervous system,FALSE,Neurotrophin signaling pathway
173757,Endocytosis,Cellular processes,Transport and catabolism,FALSE,Endocytosis
173758,Jak-STAT signaling pathway,Signal transduction,Signal transduction,FALSE,Jak-STAT signaling pathway
173759,Spliceosome,Genetic Information Processing,Transcription,FALSE,Spliceosome
173760,Epstein-Barr virus infection,Immune response,Infectious diseases: Viral,FALSE,Epstein-Barr virus infection
173448,VCP,,,FALSE,VCP
173761,Leishmaniasis,Immune response,Infectious diseases: Parasitic,FALSE,Leishmaniasis
173762,Asthma,Immune response,Immune diseases,FALSE,Asthma
173763,Intestinal immune network for IgA production,Immune response,Immune system,FALSE,Intestinal immune network for IgA production
173764,Longevity regulating pathway - mammal,Cell cycle,Aging,FALSE,Longevity regulating pathway - mammal
173765,Toxoplasmosis,Immune response,Infectious diseases: Parasitic,FALSE,Toxoplasmosis
173766,Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation",FALSE,Protein processing in endoplasmic reticulum
173767,Ras signaling pathway,Signal transduction,Signal transduction,FALSE,Ras signaling pathway
173768,Systemic lupus erythematosus,Immune response,Immune diseases,FALSE,Systemic lupus erythematosus
173769,FoxO signaling pathway,Signal transduction,Signal transduction,FALSE,FoxO signaling pathway
173770,Hypertrophic cardiomyopathy (HCM),Cell cycle,Cardiovascular diseases,FALSE,Hypertrophic cardiomyopathy (HCM)
173771,Rap1 signaling pathway,Signal transduction,Signal transduction,FALSE,Rap1 signaling pathway
173772,Graft-versus-host disease,Immune response,Immune diseases,FALSE,Graft-versus-host disease
173773,Hippo signaling pathway,Signal transduction,Signal transduction,FALSE,Hippo signaling pathway
173774,Viral myocarditis,Immune response,Cardiovascular diseases,FALSE,Viral myocarditis
173775,Tuberculosis,Immune response,Infectious diseases: Bacterial,FALSE,Tuberculosis
173776,mRNA surveillance pathway,Genetic Information Processing,Translation,FALSE,mRNA surveillance pathway
173777,Rheumatoid arthritis,Immune response,Immune diseases,FALSE,Rheumatoid arthritis
173778,TGF-beta signaling pathway,Signal transduction,Signal transduction,FALSE,TGF-beta signaling pathway
173779,Longevity regulating pathway - multiple species,Cell cycle,Aging,FALSE,Longevity regulating pathway - multiple species
173780,Proteoglycans in cancer,Cell cycle,Cancers: Overview,FALSE,Proteoglycans in cancer
173781,Antigen processing and presentation,Immune response,Immune system,FALSE,Antigen processing and presentation
173782,HTLV-I infection,Immune response,Infectious diseases: Viral,FALSE,HTLV-I infection
173783,Phagosome,Cellular processes,Transport and catabolism,FALSE,Phagosome
173784,Regulation of actin cytoskeleton,Cellular processes,Cell motility,FALSE,Regulation of actin cytoskeleton
173785,Staphylococcus aureus infection,Immune response,Infectious diseases: Bacterial,FALSE,Staphylococcus aureus infection
173786,MAPK signaling pathway,Signal transduction,Signal transduction,FALSE,MAPK signaling pathway
173475,C9orf72,,,FALSE,C9orf72
