,transcript,gene,chr,n_exons,cds_start,cds_end,bp,mu_syn,mu_mis,mu_lof,n_syn,n_mis,n_lof,exp_syn,exp_mis,exp_lof,syn_z,mis_z,lof_z,pLI,pRec,pNull
12316,ENST00000256339.4,UNC79,14,47,93943986,94173250,7377,3.32E-05,7.23E-05,6.17E-06,352,593,5,392.0124471,830.0136047,88.47776338,1.252835745,4.023899402,8.791104223,1,2.61E-11,1.21E-30
4128,ENST00000355072.5,HTT,4,67,3076552,3241786,9429,4.72E-05,9.80E-05,8.10E-06,506,884,10,508.6349416,1049.108124,110.0247051,0.072428674,2.493299652,9.446085265,1,3.15E-11,6.46E-34
14600,ENST00000358691.5,HELZ,17,30,65074367,65214920,5829,2.04E-05,5.19E-05,4.78E-06,247,465,0,240.6038928,594.8757803,65.65986694,-0.255630923,2.604542893,8.026749361,1,3.48E-11,7.19E-27
8897,ENST00000399262.2,JMJD1C,10,26,64927804,65225422,7623,2.37E-05,6.37E-05,5.32E-06,329,708,1,274.3204931,720.7083191,69.88075269,-2.046655656,0.231538978,8.162229111,1,3.74E-11,1.73E-27
120,ENST00000263934.6,KIF1B,1,46,10292386,10436645,5313,2.11E-05,5.47E-05,5.78E-06,230,419,4,253.0183299,625.6591377,82.85456029,0.897112108,4.041123412,8.581403034,1,4.11E-11,1.80E-29
11613,ENST00000380250.3,FRY,13,61,32605932,32869597,9042,3.70E-05,8.63E-05,8.37E-06,447,732,12,440.3172799,991.2182284,118.0716547,-0.197432454,4.027145506,9.669771348,1,4.20E-11,5.34E-35
7556,ENST00000265709.8,ANK1,8,43,41513245,41753998,5694,3.64E-05,7.16E-05,4.80E-06,363,637,1,404.1694298,784.2517446,69.54400784,1.269528018,2.571870078,8.141967013,1,4.24E-11,2.35E-27
2152,ENST00000356805.4,SPTBN1,2,35,54753555,54895706,7095,3.67E-05,8.16E-05,5.62E-06,485,579,3,428.4207991,935.1813253,77.78279942,-1.694614829,5.696913741,8.399426576,1,5.26E-11,1.63E-28
14551,ENST00000397786.2,MED13,17,30,60023828,60142566,6525,2.07E-05,5.48E-05,4.63E-06,287,566,0,243.4964847,626.3419947,64.39342284,-1.728332562,1.179316578,7.948962326,1,5.59E-11,2.28E-26
14169,ENST00000353139.5,ACACA,17,56,35444250,35766389,7152,2.49E-05,7.02E-05,7.24E-06,277,375,9,303.2137138,813.8400878,104.0544555,0.933261542,7.524076382,9.230640151,1,5.64E-11,1.32E-32
9071,ENST00000265990.6,BTAF1,10,38,93683833,93788690,5550,1.80E-05,4.71E-05,5.18E-06,241,362,2,214.706711,537.7463078,72.94840191,-1.112427541,3.706926034,8.22857126,1,6.17E-11,1.19E-27
5264,ENST00000532219.1,ANKHD1-EIF4EBP3,5,36,139781552,139928822,7854,2.90E-05,6.90E-05,5.74E-06,299,558,3,322.9470142,762.5496983,77.33180146,0.826104509,3.623107729,8.373080722,1,6.23E-11,2.46E-28
5265,ENST00000297183.6,ANKHD1,5,36,139781552,139928822,7854,2.90E-05,6.90E-05,5.74E-06,299,558,3,322.9470142,762.5496983,77.33180146,0.826104509,3.623107729,8.373080722,1,6.23E-11,2.46E-28
3983,ENST00000424196.1,EIF4G1,3,32,184033584,184052696,4821,2.24E-05,5.62E-05,5.02E-06,272,453,1,257.8381276,632.9040717,68.46189756,-0.546760894,3.49774853,8.076510569,1,6.35E-11,6.29E-27
17288,ENST00000216181.5,MYH9,22,40,36678713,36745281,5883,3.57E-05,7.52E-05,4.97E-06,419,519,2,413.9601468,852.6168094,71.99985761,-0.153564962,5.588399318,8.171861929,1,8.80E-11,2.82E-27
14054,ENST00000314616.6,SUPT6H,17,36,27000419,27028643,5181,2.14E-05,5.57E-05,5.49E-06,252,346,3,253.1026027,633.1834059,75.79908244,0.042965427,5.582271985,8.282923156,1,1.11E-10,9.94E-28
2711,ENST00000374866.3,COL5A2,2,54,189898795,190044330,4500,1.69E-05,4.46E-05,4.73E-06,192,440,2,198.2960237,490.0382568,71.26864651,0.277176982,1.105615205,8.127877174,1,1.16E-10,5.48E-27
11532,ENST00000389561.2,EP400,12,52,132445164,132562218,9372,5.86E-05,0.000113708,8.06E-06,619,901,10,634.1942952,1217.985665,106.5168115,0.374040823,4.44258151,9.263680738,1,1.17E-10,1.58E-32
1845,ENST00000326225.3,AHCTF1,1,36,247004107,247094629,6828,2.26E-05,5.76E-05,5.76E-06,227,575,3,256.7187367,631.2195533,75.47400745,1.149874711,1.094495477,8.263675448,1,1.25E-10,1.34E-27
4869,ENST00000357387.3,RICTOR,5,38,38942405,39074479,5127,1.70E-05,4.55E-05,5.96E-06,190,376,4,201.1979564,514.0671999,79.76000545,0.489415925,2.978496114,8.403053159,1,1.31E-10,3.03E-28
13604,ENST00000268489.5,ZFHX3,16,9,72821062,72994044,11112,6.34E-05,0.000121244,5.94E-06,836,1502,2,721.2850346,1374.552692,70.74362927,-2.647989614,-1.68137776,8.096148711,1,1.41E-10,8.85E-27
17006,ENST00000400454.1,DSCAM,21,33,41384960,42218587,6039,3.30E-05,7.04E-05,5.09E-06,375,548,2,381.8589143,799.5940456,70.37504875,0.21759681,4.351930683,8.073800186,1,1.62E-10,1.24E-26
12514,ENST00000361937.3,INO80,15,35,41272420,41388508,4671,1.67E-05,4.57E-05,5.38E-06,235,377,3,199.8425483,523.5554652,74.31661996,-1.541783971,3.132832727,8.194783026,1,1.92E-10,3.84E-27
17610,ENST00000357033.4,DMD,X,79,31140035,33229429,11058,3.64E-05,9.59E-05,1.19E-05,375,995,12,293.7895706,728.9821548,113.944898,-2.937263654,-4.819130691,9.460361986,1,1.96E-10,2.29E-33
15426,ENST00000360228.5,CACNA1A,19,47,13318126,13617038,7521,5.25E-05,0.000111603,7.13E-06,409,489,4,448.0716424,942.8936229,78.3231631,1.144292181,7.23001499,8.318954576,1,2.24E-10,1.12E-27
3752,ENST00000260818.6,DNAJC13,3,55,132153394,132257126,6732,2.15E-05,5.71E-05,6.47E-06,253,607,8,263.5446243,661.6880016,95.01810696,0.402673014,1.03987678,8.842928827,1,3.18E-10,4.43E-30
4375,ENST00000358602.4,ANKRD17,4,34,73941947,74124385,7812,3.02E-05,7.01E-05,4.91E-06,336,487,2,345.0148326,787.8246337,68.30257567,0.300875401,5.242217587,7.946969695,1,3.51E-10,8.18E-26
12531,ENST00000219905.7,MGA,15,23,41961092,42059478,9198,2.86E-05,7.69E-05,6.44E-06,371,925,4,319.4974753,847.1990092,77.10263958,-1.786257409,-1.307401303,8.246850916,1,3.53E-10,3.41E-27
12371,ENST00000361246.2,CDC42BPB,14,37,103400048,103523510,5136,3.05E-05,6.21E-05,5.06E-06,316,429,2,323.2239313,654.0477569,68.16184651,0.249097534,4.30414094,7.938284062,1,3.70E-10,9.30E-26
11190,ENST00000378743.3,ZFC3H1,12,35,72004207,72057390,5970,2.03E-05,5.24E-05,5.78E-06,260,482,4,237.4685038,589.8982759,76.88139665,-0.906434763,2.172913839,8.233713461,1,3.84E-10,4.17E-27
9263,ENST00000369144.3,EIF3A,10,22,120795550,120840188,4149,1.44E-05,5.11E-05,5.98E-06,178,374,4,170.2370846,583.4174737,76.51497745,-0.368847096,4.240721146,8.211910205,1,4.40E-10,5.82E-27
2619,ENST00000303395.4,SCN1A,2,26,166847754,166930131,6030,2.16E-05,5.52E-05,5.09E-06,237,341,2,252.2353227,628.2373552,67.55034832,0.59469945,5.605258163,7.900432895,1,4.65E-10,1.62E-25
9226,ENST00000361804.4,SMC3,10,29,112327574,112364060,3654,1.04E-05,3.10E-05,4.23E-06,146,116,0,127.5145137,357.5309361,58.52251539,-1.014847756,6.247875354,7.577940696,0.999999999,5.02E-10,4.79E-24
6231,ENST00000369393.3,MDN1,6,102,90353723,90529326,16791,6.00E-05,0.00015326,1.48E-05,745,1786,34,715.2100493,1761.343524,208.3948546,-0.690562759,-0.287353837,11.96684979,0.999999999,5.11E-10,1.28E-47
15334,ENST00000359526.4,DNMT1,19,41,10244342,10305575,4899,2.86E-05,6.19E-05,4.71E-06,294,333,2,323.1010622,673.824121,67.18209705,1.003667087,6.422047317,7.877551566,0.999999999,5.33E-10,2.27E-25
12621,ENST00000543779.2,DMXL2,15,43,51741180,51914742,9114,2.95E-05,7.58E-05,7.54E-06,384,826,10,346.7203101,865.3762199,102.1231509,-1.241172731,0.654708188,9.030179258,0.999999999,6.04E-10,8.64E-31
10572,ENST00000315939.6,WNK1,12,28,862731,1017958,7149,2.96E-05,6.81E-05,5.73E-06,348,654,4,339.1959947,767.6835901,75.53155233,-0.296349472,2.006888054,8.153106657,0.999999999,6.35E-10,1.42E-26
5092,ENST00000284049.3,CHD1,5,35,98192083,98262090,5133,1.52E-05,4.25E-05,4.91E-06,191,329,2,178.069632,474.2065892,66.70594297,-0.60071231,3.261512249,7.84786652,0.999999999,6.37E-10,3.50E-25
13985,ENST00000268712.3,NCOR1,17,45,15935609,16097883,7323,2.72E-05,7.08E-05,7.14E-06,308,604,9,319.8963226,801.6721775,97.1596578,0.412341242,3.414787096,8.85965087,0.999999999,7.43E-10,7.08E-30
13756,ENST00000572621.1,PRPF8,17,42,1554095,1587865,7008,3.09E-05,7.99E-05,6.66E-06,460,266,8,366.5925022,920.2266894,92.61839353,-3.024401186,10.54865977,8.709753105,0.999999999,7.81E-10,3.94E-29
5529,ENST00000439151.2,NSD1,5,22,176562104,176722460,8091,2.80E-05,7.34E-05,5.88E-06,345,693,4,323.7855166,833.7357955,74.84725873,-0.730892627,2.384003367,8.111941362,0.999999999,8.21E-10,2.66E-26
622,ENST00000257177.4,ZCCHC11,1,29,52889606,52991952,4938,1.60E-05,4.22E-05,4.53E-06,183,394,1,188.9586884,477.9206,61.43996167,0.268730889,1.877617607,7.638154054,0.999999999,8.78E-10,3.78E-24
5238,ENST00000314358.5,KDM3B,5,24,137688484,137771389,5286,2.22E-05,5.25E-05,4.35E-06,235,313,0,228.2876141,552.9826613,56.8998533,-0.275414107,4.991610329,7.472144358,0.999999999,9.22E-10,2.10E-23
14466,ENST00000225964.5,COL1A1,17,51,48262862,48278874,4395,2.50E-05,5.50E-05,5.06E-06,262,391,3,275.3131053,587.7372475,69.86587869,0.497410826,3.969276593,7.924314375,0.999999999,1.02E-09,2.21E-25
12946,ENST00000394196.4,CHD2,15,38,93444467,93567935,5487,2.00E-05,5.15E-05,5.72E-06,229,333,5,235.8380118,584.3313181,78.34438498,0.276039742,5.085498422,8.208288829,0.999999999,1.15E-09,1.23E-26
11444,ENST00000300648.6,GCN1L1,12,58,120565652,120632500,8016,4.21E-05,8.83E-05,6.20E-06,496,667,8,483.2450919,991.1197187,91.55337737,-0.359701932,5.035687119,8.650007988,0.999999999,1.16E-09,1.04E-28
14818,ENST00000320876.6,SMCHD1,18,48,2656074,2802550,6018,2.03E-05,5.29E-05,5.92E-06,215,407,3,201.7473639,505.4746278,69.40170275,-0.578424355,2.14235295,7.895576348,0.999999999,1.21E-09,3.38E-25
17814,ENST00000374080.3,MED12,X,45,70338604,70362068,6534,2.70E-05,7.07E-05,6.30E-06,200,193,0,196.8273716,495.0673137,56.16477681,-0.140191606,6.640305807,7.423722404,0.999999999,1.21E-09,4.11E-23
11414,ENST00000281928.3,MED13L,12,31,116399070,116714936,6633,2.73E-05,6.40E-05,4.66E-06,308,496,2,315.2772269,726.6061878,64.75259846,0.254078268,4.184445172,7.724898805,0.999999999,1.32E-09,2.08E-24
2432,ENST00000283195.6,RANBP2,2,29,109336062,109400357,9675,3.15E-05,7.90E-05,6.51E-06,267,672,6,360.0745344,886.6906786,82.06675819,3.040773035,3.526497817,8.317656397,0.999999999,1.49E-09,4.67E-27
674,ENST00000294383.6,USP24,1,68,55534717,55680786,7863,3.07E-05,7.36E-05,8.55E-06,302,475,9,273.2652944,637.1651299,95.27562584,-1.077615553,3.142301453,8.755619984,0.999999998,1.50E-09,3.94E-29
13160,ENST00000344836.4,USP7,16,31,8987854,9057142,3309,1.49E-05,3.32E-05,4.35E-06,194,130,1,173.1562547,374.3552167,59.85457358,-0.981985687,6.177263419,7.535658987,0.999999998,1.59E-09,1.60E-23
8326,ENST00000277225.5,ZNF462,9,12,109685664,109773311,7521,3.33E-05,7.69E-05,4.84E-06,413,681,1,382.558911,876.1112139,59.83484541,-0.964851879,3.224178259,7.534374966,0.999999998,1.60E-09,1.63E-23
2719,ENST00000304636.3,COL3A1,2,51,189839215,189876500,4401,1.66E-05,4.24E-05,5.09E-06,195,318,4,190.4173444,455.3004996,73.05201585,-0.205881691,3.147309818,8.002947339,0.999999998,1.61E-09,1.36E-25
10618,ENST00000357008.2,CHD4,12,39,6679841,6715539,5739,2.11E-05,6.05E-05,5.78E-06,256,320,6,255.4314248,701.9345514,81.85697898,-0.022055613,7.051103647,8.305339274,0.999999998,1.61E-09,5.65E-27
4570,ENST00000394329.3,FAT4,4,17,126237566,126412923,14946,6.17E-05,0.000142502,6.65E-06,714,1644,6,704.207463,1617.549039,81.82189418,-0.22876666,-0.321684287,8.303277356,0.999999998,1.64E-09,5.84E-27
15356,ENST00000429416.3,SMARCA4,19,34,11094827,11172492,4944,3.44E-05,7.07E-05,4.51E-06,342,261,1,358.7432575,719.6791144,58.76375449,0.548022783,8.362882107,7.464321411,0.999999998,2.39E-09,4.32E-23
1313,ENST00000368069.3,COPA,1,33,160259946,160312960,3702,1.33E-05,3.75E-05,3.68E-06,123,273,0,161.0273033,429.2691067,54.35224121,1.857783915,3.689136871,7.302951501,0.999999998,2.39E-09,2.14E-22
9725,ENST00000529230.1,CKAP5,11,43,46765572,46842782,6099,1.97E-05,5.15E-05,5.22E-06,250,455,5,239.0061727,596.2278768,76.31553651,-0.440851901,2.828986097,8.086625918,0.999999998,2.47E-09,7.84E-26
15698,ENST00000222270.7,KMT2B,19,37,36208920,36229458,8148,4.67E-05,0.000113332,6.21E-06,498,700,3,399.5494599,956.3908233,67.40982523,-3.053388458,4.0550965,7.771059315,0.999999997,2.55E-09,2.07E-24
2568,ENST00000243326.5,RIF1,2,35,152266937,152331585,7419,2.31E-05,5.95E-05,4.82E-06,329,814,3,270.2260519,674.3860102,67.3926862,-2.216512947,-2.629608837,7.769979003,0.999999997,2.56E-09,2.10E-24
14529,ENST00000300896.4,USP32,17,34,58256615,58469300,4815,1.62E-05,4.29E-05,5.22E-06,135,292,4,193.5933176,489.768791,71.48678463,2.610671338,4.370978713,7.906705089,0.999999997,2.88E-09,5.68E-25
13350,ENST00000262518.4,SRCAP,16,32,30712145,30751054,9693,4.05E-05,0.000107324,6.73E-06,552,1066,8,470.5564779,1225.568683,89.08744592,-2.327555394,2.229441433,8.510107704,0.999999997,2.92E-09,9.84E-28
2146,ENST00000404125.1,PSME4,2,46,54093225,54197921,5532,1.90E-05,4.85E-05,6.22E-06,239,453,7,199.5603024,504.3716188,84.48861242,-1.730796419,1.118830326,8.350807668,0.999999997,3.14E-09,5.78E-27
324,ENST00000324856.7,ARID1A,1,20,27022894,27107247,6858,4.04E-05,8.02E-05,4.71E-06,361,518,1,340.1128905,747.1487849,57.85302466,-0.702127643,4.100440186,7.404235669,0.999999997,3.36E-09,9.91E-23
17869,ENST00000373275.4,BRWD3,X,41,79932107,80064970,5409,1.73E-05,4.97E-05,5.49E-06,155,209,0,137.4221689,374.2715018,52.96795968,-0.929577437,4.178506058,7.209353422,0.999999996,4.01E-09,7.56E-22
