gene,pLI,mis_z
TAS1R1,7.91E-09,0.022071508
NPHP4,1.29E-17,-1.722439343
RPL22,0.348492156,2.467158396
RNF207,5.19E-06,0.050128931
HES3,0.268868568,1.923793207
CHD5,0.999999995,6.14206494
PHF13,0.931111283,2.111162212
THAP3,0.001484225,0.80387343
ACOT7,0.381517902,2.692706876
HES2,0.067046655,2.062737689
GPR153,0.000377954,0.967026072
VAMP3,0.054263067,0.157964784
SLC45A1,0.045189256,2.171059501
CA6,0.008023621,-0.085224349
DNAJC11,0.99997079,1.996922456
PIK3CD,0.999984295,5.610522559
ENO1,0.010373413,0.807999598
SLC25A33,0.451158319,1.185932044
ERRFI1,0.046551582,0.071316852
SLC2A5,5.68E-05,1.264425144
GPR157,2.63E-05,0.548821196
UTS2,0.151041459,0.152224213
SLC2A7,2.99E-17,-0.750867109
TMEM201,0.841903867,0.656998616
TNFRSF9,0.253050501,-0.46061782
CAMTA1,0.999999955,3.600902266
PARK7,0.903949397,-0.186053424
PER3,2.19E-10,-1.097078064
H6PD,0.000111404,-0.729460394
SPSB1,0.709596082,3.017307176
RERE,0.999995655,3.572708222
PEX14,0.634568378,1.44503397
CLSTN1,0.84421445,1.125769296
APITD1-CORT,0.008520901,-1.152509702
DFFA,0.000218371,0.543982567
TARDBP,0.980707837,4.328992866
EXOSC10,1.66E-07,0.527856247
LZIC,0.001979247,0.291213805
CORT,0.009837791,-0.868611167
SRM,0.869848472,3.2955629
PGD,0.968660462,1.09211721
RBP7,0.408810206,0.340282444
CTNNBIP1,0.02298674,0.439075684
C1orf200,0.054923005,1.030771308
CASZ1,0.999938476,4.043177174
KIF1B,1,4.041123412
MASP2,1.58E-14,-1.675737973
UBE4B,0.999987414,3.779914969
C1orf127,1.33E-05,-0.903902932
APITD1,0.008520901,-1.152509702
NMNAT1,0.225291939,-0.931919084
FBXO6,0.000485731,-0.400311329
FBXO2,0.273382986,0.869061374
FBXO44,3.60E-05,0.875357732
NPPB,0.00038006,0.119238873
MAD2L2,0.202505866,2.150030559
UBIAD1,0.568905634,1.654691201
MIIP,1.96E-15,-0.584798718
MFN2,0.999816094,2.029520454
C1orf167,0.155526802,0.493768728
CLCN6,0.163974191,1.597592085
TNFRSF8,0.845965387,0.308692813
PLOD1,2.70E-07,0.409273493
MTOR,1,7.891558899
DRAXIN,6.64E-10,0.414696357
ANGPTL7,8.44E-09,-0.473837605
MTHFR,2.46E-07,0.846016895
NPPA,0.016931635,-1.152990879
AGTRAP,0.041663403,0.319012985
PTCHD2,4.17E-05,2.43816477
AADACL3,0.000156334,-0.353485401
PRAMEF6,0.691325858,3.037154953
PRAMEF1,0.098105164,2.192578589
PRAMEF12,3.90E-06,-1.594726294
HNRNPCL1,0.010723266,-1.127674555
TNFRSF1B,0.778880984,1.135984729
DHRS3,0.661359704,2.021061451
PRAMEF2,0.00056761,-1.263311447
C1orf158,1.57E-08,-0.68520464
PRAMEF22,0.617146896,3.05181978
PRAMEF11,0.285437975,2.119056143
PRAMEF4,0.074609525,2.659140418
AADACL4,0.000547686,-1.97750787
PRAMEF10,0.875594719,4.219913393
VPS13D,0.999992132,1.852626086
PRAMEF7,0.176862963,3.44005806
PRAMEF14,0.559641613,3.31697476
PRDM2,0.995040619,0.334429566
TMEM51,0.870759443,0.092233028
PRAMEF19,0.583094142,3.483597396
PDPN,0.000983708,-0.565402491
CELA2B,0.000617209,0.755909983
CTRC,5.22E-06,0.122321557
EFHD2,0.378995544,2.153556678
PRAMEF17,0.790929576,4.150484066
PRAMEF13,0.529422081,2.874305469
CELA2A,1.98E-06,0.83064267
KAZN,0.144589791,2.809793578
AGMAT,0.003672625,0.843808301
SPEN,1,2.988320592
TMEM82,1.23E-05,-0.744473108
SLC25A34,0.000948153,-0.879309953
FBLIM1,0.00078906,0.410156754
PLEKHM2,0.005065575,-0.127976177
CLCNKA,2.75E-14,1.251085517
DNAJC16,3.79E-05,-0.023339553
RSG1,1.08E-06,0.008536658
ARHGEF19,7.64E-09,0.813530847
FAM131C,0.276924373,1.123583614
EPHA2,0.738294173,2.142573489
HSPB7,0.013149237,0.883530071
CLCNKB,7.81E-12,0.673901766
ZBTB17,0.998165365,4.738160709
DDI2,0.941088127,3.134753488
RSC1A1,1.46E-08,-1.662808398
C1orf64,0.010559209,-0.678961671
CASP9,0.003193956,-0.326119058
FBXO42,0.975946027,1.885842803
PADI1,5.27E-11,-2.136454723
CROCC,4.71E-20,-0.971422716
ATP13A2,0.001204951,1.734023877
ARHGEF10L,0.038306294,1.573638186
PADI2,0.000124031,0.252517395
PADI4,1.30E-09,-0.529705579
SDHB,0.050102772,0.015044753
NECAP2,6.87E-05,0.78133107
MFAP2,0.000124328,0.554152266
SPATA21,3.58E-06,-0.624461591
RCC2,0.787633127,3.513798608
SZRD1,0.719865991,1.079960488
IGSF21,0.547298803,0.569055641
PADI3,4.69E-10,-0.665268443
ACTL8,0.077144246,1.545971196
UBR4,1,5.977937185
KLHDC7A,2.58E-10,1.938233584
CAPZB,0.592160351,2.880294979
AKR7A3,6.14E-10,0.661941611
TMCO4,9.98E-13,-0.61129854
NBL1,0.108864873,0.78602974
ALDH4A1,0.000434044,-0.583122084
EMC1,6.04E-14,1.326631326
PAX7,0.6298293,1.729485004
HTR6,0.001067254,1.635168716
AKR7L,0.004382442,0.794508949
TAS1R2,6.18E-13,-0.471733747
PQLC2,0.000146809,0.919343409
OTUD3,2.63E-05,0.63632521
MINOS1,0.348880395,-0.57896184
IFFO2,0.382583916,2.318128358
AKR7A2,3.56E-06,0.665585008
MINOS1-NBL1,0.068107983,0.942510854
RNF186,0.015478324,-0.036443919
MRTO4,0.86997792,-0.933444532
NBPF3,1.98E-11,1.319650271
PINK1,4.08E-07,0.076791883
DDOST,0.134980574,0.358304476
EIF4G3,0.999999907,2.301555486
CDA,0.787227682,-0.430663786
PLA2G5,0.000190275,0.203878646
ECE1,0.999768646,2.956706512
CAMK2N1,0.138563182,1.707345381
PLA2G2F,2.10E-06,-0.976798118
MUL1,3.49E-06,1.087415145
SH2D5,0.002653616,-0.493182113
KIF17,3.34E-13,1.081278319
PLA2G2A,0.398124558,1.094845484
PLA2G2D,0.000177683,-0.805826494
PLA2G2C,0.000569563,-0.677687219
PLA2G2E,0.000343166,0.264170852
UBXN10,0.000293935,-0.171832172
HP1BP3,0.991643468,1.46110203
RAP1GAP,0.974156915,2.456434974
EPHA8,1.14E-08,0.572495172
C1QB,0.085881049,1.286438699
ZBTB40,1.21E-05,0.782043261
C1QC,0.017381903,0.720617089
LUZP1,0.287846256,-0.022050784
CELA3A,9.82E-08,-0.565939613
EPHB2,0.999948635,3.452815075
LDLRAD2,0.000195123,0.87559971
ALPL,0.001106496,1.655041776
CDC42,0.656574472,3.229705629
C1QA,0.049789979,1.593204373
WNT4,0.153837856,2.905138873
CELA3B,2.12E-10,0.014148894
USP48,0.999997429,4.254881038
HTR1D,0.813006425,-0.302143294
HSPG2,6.95E-06,0.870428053
KDM1A,0.991027965,5.555721064
MDS2,0.042965573,-0.284447573
HNRNPR,0.999079074,3.560025001
RPL11,0.725843321,1.638584384
ZNF436,0.304488387,0.617582447
IL22RA1,0.064400851,-0.45609551
TCEB3,0.999991942,1.225187897
C1orf213,0.000260771,0.283617026
LYPLA2,0.979519145,1.881324317
FUCA1,3.39E-08,1.004748698
TCEA3,0.000965886,0.378275478
GALE,3.27E-08,-0.172623119
E2F2,0.914702778,0.9524307
HMGCL,0.002562529,-0.493890569
PITHD1,0.102416723,1.578149278
ID3,0.688794338,-0.178455776
MYOM3,9.28E-28,-1.226164432
CNR2,0.000110726,-0.199784653
ASAP3,2.36E-10,0.873879407
TMEM50A,0.333486481,0.583187314
C1orf63,2.72E-08,2.168244402
RCAN3,0.003206422,0.362239914
MAN1C1,0.04904804,2.344749135
MTFR1L,0.431750878,0.714966332
IFNLR1,0.308615222,0.432368339
RHD,0.0060601,0.27914964
TMEM57,0.992504411,3.718723618
SYF2,0.037927097,0.325204412
RUNX3,0.673967692,4.319436208
CLIC4,0.009462004,0.321380412
RHCE,0.861454126,1.813709833
NIPAL3,0.000454712,0.3617244
NCMAP,0.067267034,0.517427318
GRHL3,0.995583958,1.376423903
LDLRAP1,2.90E-05,0.202576486
SRRM1,0.999999022,2.433323983
STPG1,0.000106434,-0.08690026
SEPN1,1.08E-07,0.530915512
UBXN11,1.20E-10,0.127894402
LIN28A,0.196269887,1.435912972
CATSPER4,3.16E-05,0.094764471
FAM110D,0.550404227,2.505823644
AUNIP,5.49E-08,-0.239559345
CNKSR1,3.79E-16,0.414764858
ZNF683,0.001560697,-1.447745118
CEP85,0.005851269,-0.938122797
PAFAH2,2.69E-07,-0.848692883
PDIK1L,0.381253877,2.963185494
DHDDS,0.704700923,1.658900429
AIM1L,3.33E-07,1.285513536
STMN1,0.648591504,1.974248999
SLC30A2,0.708283236,0.716326258
SH3BGRL3,0.795103829,0.490494405
ZNF593,0.156440974,1.312999017
TRIM63,4.72E-12,0.016152422
EXTL1,1.18E-12,0.548539304
PAQR7,0.009310768,0.422271395
CD52,0.530686212,0.15802119
FCN3,0.017251338,-0.218627861
WDTC1,0.999307826,4.17749768
PIGV,7.20E-06,-0.174426122
ARID1A,0.999999997,4.100440186
HMGN2,0.796674559,-0.301521718
TMEM222,0.071986075,0.789728652
SFN,0.490890062,1.927966495
CD164L2,0.033744866,-0.246524008
MAP3K6,4.91E-15,1.230674154
GPATCH3,6.05E-07,-0.145232982
RPS6KA1,0.725875553,2.975363907
SYTL1,1.08E-07,0.996739416
ZDHHC18,0.00119785,1.974645824
NUDC,0.822775133,0.62404405
GPN2,0.036923454,1.042853475
FAM46B,0.051189875,1.585437055
NR0B2,5.83E-08,-0.838510192
SLC9A1,0.95222813,4.36790653
C1orf172,0.153805474,0.817586918
XKR8,1.43E-05,1.369866331
STX12,0.896720266,0.59133313
EYA3,0.995035731,1.869869348
PPP1R8,0.95405437,3.03024479
FGR,0.177174439,3.0373566
IFI6,0.230931225,1.222459411
SESN2,0.000763709,1.737869605
FAM76A,0.000561029,1.825293774
ATPIF1,0.059353504,0.481209476
AHDC1,0.999431448,4.786897956
MED18,0.000448334,1.3499855
PTAFR,0.118775353,1.65807531
GPR3,0.020935797,1.232643377
THEMIS2,0.064721712,1.466781008
WASF2,0.975317446,1.775495018
SMPDL3B,1.39E-07,0.555433215
DNAJC8,0.582006642,2.111746302
RPA2,0.888461679,0.413252191
SRSF4,0.934762697,2.564887699
OPRD1,0.109062189,2.949027493
SNRNP40,0.825363236,1.822784043
PHACTR4,0.004273776,0.563502825
TAF12,0.892665248,1.442225168
SDC3,0.527916181,-0.855092644
LAPTM5,0.735702166,0.078836941
RCC1,0.193943931,1.52775703
PUM1,0.999998855,4.588706081
PTPRU,0.990698956,3.453543911
ZCCHC17,0.21514759,-0.489986392
GMEB1,0.960593932,1.73396593
TMEM200B,0.155282701,2.969767557
EPB41,0.062109871,0.3427167
RAB42,0.002554984,-0.179873204
TRNAU1AP,0.882819952,1.492164554
MATN1,0.005273986,0.605346878
NKAIN1,0.615737173,1.240057603
YTHDF2,0.991165728,2.470997348
MECR,0.003603132,-0.448026153
FABP3,0.354913337,-0.173377897
EIF3I,0.417329825,3.000120687
COL16A1,3.38E-15,-0.073031065
CCDC28B,9.97E-08,0.650003387
PEF1,0.323496549,0.346744616
BAI2,0.995235377,4.822819792
SERINC2,1.03E-06,-0.742278237
KPNA6,0.988827606,3.489755966
AC114494.1,0.029679158,0.732885846
PTP4A2,0.760772901,2.431563946
SPOCD1,8.80E-06,-0.239605279
TXLNA,0.995925358,1.438832702
HCRTR1,0.261800018,1.075348879
IQCC,2.26E-07,-1.38090332
TMEM234,0.000523998,0.067826664
DCDC2B,8.88E-08,-0.938623776
TINAGL1,0.245105548,1.889126274
KHDRBS1,0.946876459,3.499023923
TMEM39B,0.021450432,1.745076438
BSDC1,0.482345221,0.347082704
TMEM54,0.164454121,0.261762734
TSSK3,0.763235263,-0.731790492
FAM167B,0.002691153,0.883799588
ZBTB8B,0.360954125,-0.341111188
HPCA,0.433846186,2.46076709
MARCKSL1,0.653774932,0.108700431
KIAA1522,0.802365147,-0.560710809
ZBTB8A,0.106372648,1.232888969
ZBTB8OS,0.955749358,0.343222182
FNDC5,0.406509132,0.526833225
HDAC1,0.93791699,3.908626902
SYNC,0.041685306,0.807843248
RNF19B,0.625353365,1.586026203
RBBP4,0.989804589,4.713984017
YARS,0.000308554,1.146621249
LCK,0.999425041,3.745387977
S100PBP,0.947039389,-0.532933371
PHC2,0.205656048,2.382147136
TRIM62,0.001611418,3.086888604
SFPQ,0.99952726,4.14706914
SMIM12,0.396299543,0.777279252
ADC,0.00234311,-0.16649709
ZMYM1,0.001729001,-0.044083438
GJB3,0.002733071,-0.808180192
C1orf94,0.00437226,-1.501351988
AK2,0.005565586,0.12924637
A3GALT2,6.50E-07,1.963896714
GJA4,0.239138209,1.679996289
DLGAP3,0.999638516,3.97513561
GJB4,1.96E-06,-0.594892804
ZNF362,0.928285965,3.301480204
ZSCAN20,0.071955283,0.376877969
ZMYM4,0.999999929,2.713542235
ZMYM6,1.40E-08,0.431002849
HMGB4,9.96E-06,-1.741793376
GJB5,7.71E-05,-0.240245294
COL8A2,0.699343493,1.027082247
KIAA0319L,0.188543869,0.986968832
TEKT2,4.73E-09,-0.67555053
AGO3,0.999998844,5.451213177
ADPRHL2,6.50E-05,0.357829393
AGO4,0.990043812,3.839776252
C1orf216,0.128378758,0.068484981
MAP7D1,0.973584104,1.336061308
CLSPN,0.991559393,-1.020284246
PSMB2,0.972351383,1.824624544
AGO1,0.999999463,6.526670924
NCDN,0.996735084,4.756714802
EVA1B,0.656674968,1.981802242
THRAP3,0.999996899,2.3327711
SH3D21,0.000722998,-0.831870014
TRAPPC3,0.81053922,1.402291878
TFAP2E,0.000972259,1.103504293
LSM10,0.615647823,0.8132073
STK40,0.991723985,1.371180686
DNALI1,6.82E-08,-0.519478919
EPHA10,3.16E-18,1.578278887
CDCA8,0.097153232,1.384312368
ZC3H12A,0.911632715,2.416507079
MTF1,0.991394717,2.422087824
C1orf122,0.1232465,1.583714372
CSF3R,1.42E-06,1.111209019
OSCP1,0.000148147,0.488475787
SF3A3,0.999895352,3.590436904
RSPO1,0.002910514,0.599235317
FHL3,0.534417266,0.861540114
MRPS15,0.000342016,0.480878003
GNL2,0.45303247,-0.539614159
SNIP1,0.905058049,2.324034923
GRIK3,0.99998017,3.853673598
YRDC,0.133395608,0.405940042
MANEAL,0.004389044,2.121842918
INPP5B,7.43E-09,0.393107081
MEAF6,0.730388139,2.367631925
C1orf109,6.27E-08,0.835264587
PPIE,0.98080984,1.379450473
KIAA0754,0.021036127,-1.691105581
PABPC4,0.992493064,3.4322037
NT5C1A,8.15E-05,1.362260848
GJA9,3.07E-06,-0.794016472
HPCAL4,0.018422751,1.658344384
HEYL,6.81E-07,-0.04666847
MYCBP,0.739328409,1.050202834
UTP11L,1.27E-06,0.385123957
MYCL,0.358812473,2.315320548
BMP8A,0.456963119,3.696083194
TRIT1,9.43E-10,0.729748129
RRAGC,0.600078052,2.274873054
BMP8B,0.774529936,2.994976822
MACF1,1,2.627377992
AKIRIN1,0.67201582,0.591861675
NDUFS5,0.098217332,-0.327906882
RHBDL2,2.70E-06,-0.694411508
PPT1,3.75E-05,-0.255502591
RLF,0.999999867,2.52290908
ZFP69,8.56E-08,0.031292086
CTPS1,0.932192404,3.727275324
SCMH1,0.524101684,1.996821818
TMCO2,0.039711313,0.317792378
KCNQ4,0.985178282,3.974608363
EXO5,0.000872651,-0.105273216
SLFNL1,0.000108969,-1.206987826
ZFP69B,2.52E-09,-0.5393554
SMAP2,0.014285645,1.100231073
FOXO6,0.437580051,2.116293395
COL9A2,0.182801206,0.767077829
NFYC,0.63195935,2.489909728
ZMPSTE24,1.25E-07,0.101947144
RIMS3,0.007251108,0.954062905
CITED4,0.358265029,1.490957097
CAP1,0.585940926,0.993166042
ZNF684,0.002217419,0.098092625
MFSD2A,0.91767122,2.00314736
HIVEP3,0.030810602,0.388874984
FOXJ3,0.977575009,0.657409601
PPCS,0.003536336,2.21105762
ZNF691,0.41775865,0.645780919
C1orf50,0.007015926,-0.462187076
ZMYND12,0.001059947,0.34591156
SLC2A1,0.93980813,3.642028865
YBX1,0.990640769,3.677956372
GUCA2A,0.006072258,-1.972412268
CLDN19,0.175565901,0.5420747
GUCA2B,0.707935696,0.16357692
PPIH,0.004755027,1.694606152
CCDC23,0.213154888,0.653882014
FAM183A,0.029326736,-0.466189876
LEPRE1,1.64E-17,1.335592348
EDN2,0.011086441,-0.341101229
ERMAP,5.81E-05,-0.196945961
CCDC30,6.07E-12,0.218156705
RIMKLA,0.087395327,1.314757336
EBNA1BP2,2.38E-06,0.925460551
PTPRF,0.999998379,3.421844639
ATP6V0B,0.927635231,2.143887881
C1orf210,0.001219636,-0.203597531
B4GALT2,0.295417381,2.367470246
KDM4A,0.999993865,3.591245731
WDR65,8.58E-09,-0.132064935
HYI,3.16E-08,-0.793560017
MPL,1.44E-06,0.176027634
DPH2,0.006846748,0.587848359
SLC6A9,0.044253041,2.181821452
ARTN,0.293100342,2.857539048
SZT2,1.52E-07,2.686948306
IPO13,0.972444338,3.17066511
CDC20,0.000181854,2.175210429
MED8,8.16E-06,0.65364836
TMEM125,0.000428556,-0.205941097
ST3GAL3,0.573989459,2.23435989
ELOVL1,0.22341453,2.088779908
CCDC24,2.01E-08,-1.322333356
TIE1,8.71E-12,1.779819118
PTCH2,6.11E-10,0.090269071
MUTYH,8.57E-11,-0.46213443
RNF220,0.999277879,3.186110285
ZSWIM5,0.116879096,3.32732849
KLF17,4.25E-09,-0.665635507
TCTEX1D4,0.208823534,2.179377052
DMAP1,0.336141633,2.45833535
KIF2C,0.017194072,1.158846244
TMEM53,0.038975168,1.694886366
BEST4,0.003095114,2.970577863
RPS8,0.965122842,3.082553596
HPDL,0.013964827,2.109308596
UROD,0.00014221,1.310524664
ERI3,0.129756091,2.282392622
EIF2B3,0.393440243,0.557724903
PLK3,6.25E-05,1.668376459
HECTD3,0.01704278,3.155057508
TOE1,6.59E-09,1.514659792
MAST2,5.44E-11,1.475960224
CCDC163P,0.143398569,-1.306305565
PIK3R3,1.41E-06,-0.404368601
UQCRH,0.218440721,0.426737014
PRDX1,1.44E-07,-0.748044267
MMACHC,5.26E-14,-2.118713467
NSUN4,1.39E-06,0.644180749
CCDC17,3.59E-13,-0.716424442
NASP,0.4702163,-0.692149833
FAAH,5.93E-07,1.194278854
RAD54L,2.74E-13,-0.361191128
POMGNT1,1.68E-09,0.727244723
LURAP1,0.220934119,0.264100928
TSPAN1,0.000714382,0.171568619
TMEM69,0.000261683,-0.177879725
TESK2,8.65E-06,0.279147968
IPP,0.00253171,-0.135609927
AKR1A1,0.000107486,-0.814513348
LRRC41,0.999804641,3.175124703
GPBP1L1,0.43532405,-0.484886416
MOB3C,0.034004954,1.340419048
MKNK1,0.000222399,0.669774781
CYP4B1,5.37E-10,-0.675122416
STIL,0.20268784,-0.732530599
CYP4Z1,5.28E-06,0.862393721
ATPAF1,0.236382638,1.091130993
CMPK1,0.31927351,2.399256247
PDZK1IP1,0.000484065,-0.448807307
CYP4X1,1.72E-06,0.498909106
TAL1,0.824692215,2.41346778
KNCN,0.029530671,-0.282701711
TRABD2B,0.370916244,0.929142275
DMBX1,0.915995647,1.140106085
EFCAB14,0.000132863,-0.25342873
CYP4A11,1.57E-15,-0.89943611
CYP4A22,1.42E-08,0.294529582
RNF11,0.420327239,1.90759513
BEND5,0.114990689,2.178275189
TXNDC12,0.344869173,0.712188135
CDKN2C,0.315707026,0.977182325
FAF1,0.997397842,2.244600436
ZFYVE9,0.943796744,0.684144847
OSBPL9,0.998515313,1.596575708
TTC39A,0.098310255,1.20910456
EPS15,0.241707066,-0.367511891
SLC5A9,6.42E-13,0.410870312
BTF3L4,0.451300212,2.097041054
ELAVL4,0.976912762,3.056558059
AGBL4,3.58E-06,-0.173448325
RAB3B,0.15644302,0.295451535
NRD1,0.878722429,1.999057422
KTI12,0.034293834,2.36227346
SPATA6,2.03E-11,-1.089959305
ZCCHC11,0.999999999,1.877617607
SCP2,0.00013976,1.275027529
NDC1,0.937525026,-0.392834279
DMRTB1,0.589036511,1.565662266
GLIS1,0.099980948,-0.618318612
MAGOH,0.747938336,2.849823257
ZYG11B,0.999923789,3.924535862
CC2D1B,4.76E-10,-2.287122423
CPT2,4.77E-07,-0.44824047
C1orf123,1.26E-07,-0.381799318
ORC1,3.39E-05,-0.114513325
GPX7,0.000179755,0.224933525
SELRC1,0.167434927,-0.092393966
ECHDC2,1.18E-07,0.217914157
FAM159A,0.000284218,-0.608451006
PODN,5.20E-07,1.552808343
LRP8,0.99998576,2.76831822
PRPF38A,0.996467619,2.455115919
SLC1A7,1.87E-05,-0.963041448
ACOT11,1.33E-10,0.286962183
HSPB11,0.00497874,-0.509434666
CYB5RL,4.23E-05,-1.523836413
SSBP3,0.999756196,3.008294007
YIPF1,0.017379324,-1.291989655
DIO1,0.271104149,0.02006525
LRRC42,1.67E-06,-0.852728716
PARS2,0.701898,0.186510887
TMEM59,2.23E-07,-0.026436902
MROH7,6.65E-19,-1.397306437
TCEANC2,2.81E-05,0.128196456
CDCP2,6.92E-10,-1.158277758
TTC4,0.043967592,-0.982177472
TTC22,0.000878027,0.736951902
FAM151A,3.92E-13,-0.907907445
LDLRAD1,0.000101665,-0.841968922
MRPL37,0.000268371,0.808208017
C1orf177,2.53E-11,-0.225080254
JUN,0.460851901,3.610346444
C8A,5.36E-11,-1.726570011
MYSM1,0.020231645,0.850689148
TMEM61,0.004375773,-0.036972358
FGGY,1.21E-11,-1.88270864
OMA1,3.51E-09,-0.901690993
DHCR24,0.969136893,2.634429042
C1orf168,2.36E-30,-2.165089201
C1orf87,1.58E-17,-1.098252286
CYP2J2,4.51E-12,-0.316691849
C8B,1.49E-09,-1.575436428
PPAP2B,0.961834123,1.992828146
PCSK9,1.03E-10,0.555820087
PRKAA2,1.44E-05,2.256035532
DAB1,0.981408567,1.055590115
USP24,0.999999998,3.142301453
TACSTD2,0.205248032,1.591081914
BSND,4.41E-07,-0.635535369
HOOK1,4.16E-05,-0.02774039
ALG6,0.055367626,0.760567532
NFIA,0.999555166,3.058431681
KANK4,5.40E-08,-0.800311648
ITGB3BP,1.47E-05,-0.47319863
DOCK7,0.771361086,2.636310916
ANGPTL3,2.12E-07,-1.529100887
TM2D1,0.042061483,0.476055127
UBE2U,7.81E-08,-0.150687039
PGM1,9.96E-06,0.075739161
ROR1,0.906688532,2.103872136
USP1,0.993180568,-0.591288018
RAVER2,1.86E-06,-0.681802276
INADL,6.18E-26,-0.249497251
L1TD1,0.000340201,-1.389004137
ATG4C,3.33E-09,-2.200924603
EFCAB7,1.67E-12,-0.010941726
CACHD1,0.838036969,0.680390401
JAK1,0.99590968,4.479398255
SGIP1,0.999651093,-0.466976047
IL23R,0.006495296,0.035807485
C1orf141,2.70E-05,-1.37128249
MIER1,0.966295466,1.125215779
TCTEX1D1,0.006424682,-0.52869677
LEPROT,0.094789357,0.19789452
PDE4B,0.709078617,1.981936235
INSL5,1.52E-05,-0.577937591
DIRAS3,0.037239176,1.943320935
SERBP1,0.999863114,3.334563609
IL12RB2,4.51E-06,-0.295184645
LEPR,0.999805342,-0.646357477
WDR78,7.88E-11,-0.664465301
GNG12,0.553351818,0.019378694
AK4,0.236133361,2.229737587
SLC35D1,0.001854201,0.137309502
DNAJC6,0.999188351,0.850566101
GADD45A,0.109847669,2.799899352
TNNI3K,1.80E-38,-2.510701407
PTGER3,0.787642829,2.917505883
TYW3,0.43187196,-0.425893477
CRYZ,1.14E-14,-0.395178879
FPGT,5.97E-08,-1.825874973
SRSF11,0.999787767,3.337088449
ZRANB2,0.99288109,1.760143147
DEPDC1,3.30E-07,-0.320666435
WLS,0.344541187,0.162609875
NEGR1,0.951349395,1.283052277
C1orf173,4.16E-32,-3.497070639
CTH,4.09E-05,-0.127428325
LRRC7,0.999998533,2.909521553
ANKRD13C,0.999095558,2.51638224
RPE65,1.46E-07,-1.076803112
FPGT-TNNI3K,1.84E-38,-2.548571467
HHLA3,0.00618097,0.180499098
LRRC40,2.65E-19,-0.934765708
LRRIQ3,3.22E-15,-3.624573664
IFI44,4.72E-14,-2.396973205
SLC44A5,0.03422869,0.57779331
FUBP1,0.999972831,2.886099231
DNAJB4,0.840407621,0.125881849
ST6GALNAC5,0.852521023,1.033339981
RABGGTB,0.449469062,1.462177727
NEXN,3.66E-06,-1.31574667
PIGK,0.000544788,-0.172109292
IFI44L,2.22E-10,-2.234117356
LHX8,0.663323206,1.866641721
ST6GALNAC3,0.178471681,-0.728730957
ASB17,0.006158696,-1.302104306
GIPC2,3.42E-08,-0.268323955
ACADM,8.44E-10,0.141601229
MSH4,3.70E-15,-1.067585021
PTGFR,0.760040675,0.286075218
AK5,0.139499449,1.854004739
ZZZ3,0.999729639,0.457987268
USP33,0.996116691,1.376741943
FAM73A,0.000750459,-0.648432639
C1orf52,0.359076552,0.277841662
WDR63,0.000118222,0.230232612
LPHN2,0.999999945,0.770070447
