"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0048738~cardiac muscle tissue development"	0.460461660746411	1	213	14	1
"GO:0009798~axis specification"	0.460461660746411	1	213	14	1
"GO:0045670~regulation of osteoclast differentiation"	0.460461660746411	1	213	14	1
"GO:0045445~myoblast differentiation"	0.460461660746411	1	213	14	1
"GO:0046887~positive regulation of hormone secretion"	0.460461660746411	1	213	14	1
"GO:0050482~arachidonic acid secretion"	0.460461660746411	1	213	14	1
"GO:0010744~positive regulation of macrophage derived foam cell differentiation"	0.460461660746411	1	213	14	1
"GO:0071902~positive regulation of protein serine/threonine kinase activity"	0.460461660746411	1	213	14	1
"GO:0007416~synapse assembly"	0.438294173061682	1	213	29	2
"GO:0006364~rRNA processing"	0.431240881525632	0.209929855759171	213	88	6
"GO:0034976~response to endoplasmic reticulum stress"	0.417604517889269	1	213	15	1
"GO:0051258~protein polymerization"	0.417604517889269	1	213	30	2
"GO:0051726~regulation of cell cycle"	0.417604517889269	0.220792835496223	213	90	6
"GO:0010039~response to iron ion"	0.417604517889269	1	213	15	1
"GO:0006402~mRNA catabolic process"	0.417604517889269	1	213	15	1
"GO:0007520~myoblast fusion"	0.417604517889269	1	213	15	1
"GO:0046328~regulation of JNK cascade"	0.417604517889269	1	213	15	1
"GO:0009165~nucleotide biosynthetic process"	0.417604517889269	1	213	15	1
"GO:0006754~ATP biosynthetic process"	0.417604517889269	1	213	30	2
"GO:0008154~actin polymerization or depolymerization"	0.417604517889269	1	213	15	1
"GO:0070542~response to fatty acid"	0.417604517889269	1	213	15	1
"GO:2001244~positive regulation of intrinsic apoptotic signaling pathway"	0.417604517889269	1	213	15	1
"GO:0043536~positive regulation of blood vessel endothelial cell migration"	0.417604517889269	1	213	15	1
"GO:0001659~temperature homeostasis"	0.417604517889269	1	213	15	1
"GO:0045862~positive regulation of proteolysis"	0.417604517889269	1	213	15	1
"GO:0035725~sodium ion transmembrane transport"	0.417604517889269	1	213	15	1
"GO:0001954~positive regulation of cell-matrix adhesion"	0.417604517889269	1	213	15	1
"GO:0042445~hormone metabolic process"	0.417604517889269	1	213	15	1
"GO:0000038~very long-chain fatty acid metabolic process"	0.417604517889269	1	213	15	1
"GO:0021549~cerebellum development"	0.398249679179591	1	213	31	2
"GO:0002576~platelet degranulation"	0.394527594812346	0.520667826942439	213	78	5
"GO:0022604~regulation of cell morphogenesis"	0.380104517889269	1	213	16	1
"GO:0000381~regulation of alternative nuclear mRNA splicing, via spliceosome"	0.380104517889269	1	213	16	1
"GO:0007263~nitric oxide mediated signal transduction"	0.380104517889269	1	213	16	1
"GO:0007259~JAK-STAT cascade"	0.380104517889269	1	213	32	2
"GO:0006612~protein targeting to membrane"	0.380104517889269	1	213	16	1
"GO:0007052~mitotic spindle organization"	0.380104517889269	1	213	16	1
"GO:0042311~vasodilation"	0.380104517889269	1	213	16	1
"GO:0015701~bicarbonate transport"	0.380104517889269	1	213	16	1
"GO:0043407~negative regulation of MAP kinase activity"	0.380104517889269	1	213	32	2
"GO:0050768~negative regulation of neurogenesis"	0.380104517889269	1	213	16	1
"GO:0060291~long-term synaptic potentiation"	0.380104517889269	1	213	16	1
"GO:0042325~regulation of phosphorylation"	0.380104517889269	1	213	16	1
"GO:0048511~rhythmic process"	0.380104517889269	1	213	16	1
"GO:0008589~regulation of smoothened signaling pathway"	0.380104517889269	1	213	16	1
"GO:0006275~regulation of DNA replication"	0.380104517889269	1	213	16	1
"GO:0019216~regulation of lipid metabolic process"	0.380104517889269	1	213	16	1
"GO:0016024~CDP-diacylglycerol biosynthetic process"	0.380104517889269	1	213	16	1
"GO:0006164~purine nucleotide biosynthetic process"	0.380104517889269	1	213	16	1
"GO:0009651~response to salt stress"	0.380104517889269	1	213	16	1
"GO:0001933~negative regulation of protein phosphorylation"	0.363059063343814	1	213	33	2
"GO:0031016~pancreas development"	0.363059063343814	1	213	33	2
"GO:0045880~positive regulation of smoothened signaling pathway"	0.347016282595151	1	213	17	1
"GO:0045785~positive regulation of cell adhesion"	0.347016282595151	1	213	34	2
"GO:0000302~response to reactive oxygen species"	0.347016282595151	1	213	17	1
"GO:0030111~regulation of Wnt receptor signaling pathway"	0.347016282595151	1	213	17	1
"GO:0050821~protein stabilization"	0.347016282595151	1	213	68	4
"GO:0046513~ceramide biosynthetic process"	0.347016282595151	1	213	17	1
"GO:0030148~sphingolipid biosynthetic process"	0.347016282595151	1	213	34	2
"GO:0048041~focal adhesion assembly"	0.347016282595151	1	213	17	1
"GO:0045859~regulation of protein kinase activity"	0.347016282595151	1	213	17	1
"GO:0006953~acute-phase response"	0.347016282595151	1	213	34	2
"GO:0061098~positive regulation of protein tyrosine kinase activity"	0.347016282595151	1	213	17	1
"GO:0055074~calcium ion homeostasis"	0.347016282595151	1	213	17	1
"GO:0051491~positive regulation of filopodium assembly"	0.347016282595151	1	213	17	1
"GO:0009168~purine ribonucleoside monophosphate biosynthetic process"	0.347016282595151	1	213	17	1
"GO:0007250~activation of NF-kappaB-inducing kinase activity"	0.347016282595151	1	213	17	1
"GO:0045736~negative regulation of cyclin-dependent protein kinase activity"	0.347016282595151	1	213	17	1
"GO:0060412~ventricular septum morphogenesis"	0.347016282595151	1	213	17	1
"GO:0007519~skeletal muscle tissue development"	0.336835287120038	1	213	52	3
"GO:0000288~nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	0.32703848015342	1	213	53	3
"GO:0022900~electron transport chain"	0.317604517889269	1	213	36	2
"GO:0006826~iron ion transport"	0.317604517889269	1	213	18	1
"GO:0006298~mismatch repair"	0.317604517889269	1	213	18	1
"GO:0009083~branched chain family amino acid catabolic process"	0.317604517889269	1	213	18	1
"GO:0010575~positive regulation vascular endothelial growth factor production"	0.317604517889269	1	213	18	1
"GO:0006665~sphingolipid metabolic process"	0.317604517889269	1	213	72	4
"GO:0002026~regulation of the force of heart contraction"	0.317604517889269	1	213	18	1
"GO:0034599~cellular response to oxidative stress"	0.317604517889269	1	213	18	1
"GO:0060612~adipose tissue development"	0.317604517889269	1	213	18	1
"GO:0007026~negative regulation of microtubule depolymerization"	0.317604517889269	1	213	18	1
"GO:0006144~purine base metabolic process"	0.317604517889269	1	213	36	2
"GO:0001916~positive regulation of T cell mediated cytotoxicity"	0.317604517889269	1	213	18	1
"GO:0019229~regulation of vasoconstriction"	0.317604517889269	1	213	18	1
"GO:0001709~cell fate determination"	0.317604517889269	1	213	18	1
"GO:0006904~vesicle docking involved in exocytosis"	0.317604517889269	1	213	18	1
"GO:0001974~blood vessel remodeling"	0.304091004375755	1	213	37	2
"GO:0032870~cellular response to hormone stimulus"	0.304091004375755	1	213	37	2
"GO:0048812~neuron projection morphogenesis"	0.304091004375755	1	213	37	2
"GO:0030334~regulation of cell migration"	0.299747375032126	1	213	56	3
"GO:0010467~gene expression"	0.294877245161996	2.78720044782658e-09	213	660	35
"GO:0046688~response to copper ion"	0.291288728415584	1	213	19	1
"GO:0006383~transcription from RNA polymerase III promoter"	0.291288728415584	1	213	38	2
"GO:0030100~regulation of endocytosis"	0.291288728415584	1	213	19	1
"GO:0008654~phospholipid biosynthetic process"	0.291288728415584	1	213	38	2
"GO:0006297~nucleotide-excision repair, DNA gap filling"	0.291288728415584	1	213	19	1
"GO:0007031~peroxisome organization"	0.291288728415584	1	213	19	1
"GO:0046209~nitric oxide metabolic process"	0.291288728415584	1	213	19	1
"GO:0000083~regulation of transcription involved in G1/S phase of mitotic cell cycle"	0.291288728415584	1	213	19	1
"GO:0008209~androgen metabolic process"	0.291288728415584	1	213	19	1
"GO:0006606~protein import into nucleus"	0.291288728415584	1	213	38	2
"GO:0051898~negative regulation of protein kinase B signaling cascade"	0.291288728415584	1	213	19	1
"GO:0009612~response to mechanical stimulus"	0.283121759268579	1	213	58	3
"GO:0006635~fatty acid beta-oxidation"	0.27914297942773	1	213	39	2
"GO:0010951~negative regulation of endopeptidase activity"	0.275231636533337	1	213	59	3
"GO:0006417~regulation of translation"	0.275231636533337	1	213	59	3
"GO:0048015~phosphatidylinositol-mediated signaling"	0.267604517889269	1	213	80	4
"GO:0051145~smooth muscle cell differentiation"	0.267604517889269	1	213	20	1
"GO:0008652~cellular amino acid biosynthetic process"	0.267604517889269	1	213	20	1
"GO:0043434~response to peptide hormone stimulus"	0.267604517889269	1	213	80	4
"GO:0043966~histone H3 acetylation"	0.267604517889269	1	213	40	2
"GO:0006892~post-Golgi vesicle-mediated transport"	0.267604517889269	1	213	40	2
"GO:0006687~glycosphingolipid metabolic process"	0.267604517889269	1	213	40	2
"GO:0010165~response to X-ray"	0.267604517889269	1	213	20	1
"GO:0014003~oligodendrocyte development"	0.267604517889269	1	213	20	1
"GO:0042346~positive regulation of NF-kappaB import into nucleus"	0.267604517889269	1	213	20	1
"GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis"	0.267604517889269	1	213	20	1
"GO:0042744~hydrogen peroxide catabolic process"	0.267604517889269	1	213	20	1
"GO:0031647~regulation of protein stability"	0.267604517889269	1	213	20	1
"GO:0006362~transcription elongation from RNA polymerase I promoter"	0.246175946460697	1	213	21	1
"GO:0018149~peptide cross-linking"	0.246175946460697	1	213	21	1
"GO:0030178~negative regulation of Wnt receptor signaling pathway"	0.246175946460697	1	213	42	2
"GO:0070371~ERK1 and ERK2 cascade"	0.246175946460697	1	213	21	1
"GO:0006699~bile acid biosynthetic process"	0.246175946460697	1	213	21	1
"GO:0006820~anion transport"	0.246175946460697	1	213	21	1
"GO:0042098~T cell proliferation"	0.246175946460697	1	213	21	1
"GO:0032201~telomere maintenance via semi-conservative replication"	0.246175946460697	1	213	21	1
"GO:0050999~regulation of nitric-oxide synthase activity"	0.246175946460697	1	213	21	1
"GO:0045768~positive regulation of anti-apoptosis"	0.246175946460697	1	213	42	2
"GO:0034504~protein localization to nucleus"	0.246175946460697	1	213	21	1
"GO:0010942~positive regulation of cell death"	0.246175946460697	1	213	21	1
"GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process"	0.236209169052059	1	213	43	2
"GO:0042593~glucose homeostasis"	0.232989133273884	1	213	65	3
"GO:0034097~response to cytokine stimulus"	0.232989133273884	1	213	65	3
"GO:0001702~gastrulation with mouth forming second"	0.226695426980178	1	213	22	1
"GO:0043542~endothelial cell migration"	0.226695426980178	1	213	22	1
"GO:0045600~positive regulation of fat cell differentiation"	0.226695426980178	1	213	22	1
"GO:0030032~lamellipodium assembly"	0.226695426980178	1	213	22	1
"GO:0045777~positive regulation of blood pressure"	0.226695426980178	1	213	22	1
"GO:0043484~regulation of RNA splicing"	0.226695426980178	1	213	22	1
"GO:0045071~negative regulation of viral genome replication"	0.226695426980178	1	213	22	1
"GO:0051928~positive regulation of calcium ion transport"	0.226695426980178	1	213	22	1
"GO:0060548~negative regulation of cell death"	0.226695426980178	1	213	22	1
"GO:0007220~Notch receptor processing"	0.226695426980178	1	213	22	1
"GO:0010033~response to organic substance"	0.222098899911741	1	213	89	4
"GO:0007018~microtubule-based movement"	0.213208913493664	1	213	91	4
"GO:0006363~termination of RNA polymerase I transcription"	0.208908865715356	1	213	23	1
"GO:0051028~mRNA transport"	0.208908865715356	1	213	46	2
"GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway"	0.208908865715356	1	213	23	1
"GO:0006767~water-soluble vitamin metabolic process"	0.208908865715356	1	213	46	2
"GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein"	0.208908865715356	1	213	23	1
"GO:0046847~filopodium assembly"	0.208908865715356	1	213	23	1
"GO:0031572~G2/M transition DNA damage checkpoint"	0.208908865715356	1	213	23	1
"GO:0042102~positive regulation of T cell proliferation"	0.208908865715356	1	213	46	2
"GO:0000718~nucleotide-excision repair, DNA damage removal"	0.208908865715356	1	213	23	1
"GO:0050680~negative regulation of epithelial cell proliferation"	0.208908865715356	1	213	46	2
"GO:0050790~regulation of catalytic activity"	0.208908865715356	1	213	23	1
"GO:0042147~retrograde transport, endosome to Golgi"	0.208908865715356	1	213	23	1
"GO:2000379~positive regulation of reactive oxygen species metabolic process"	0.208908865715356	1	213	23	1
"GO:0045739~positive regulation of DNA repair"	0.208908865715356	1	213	23	1
"GO:0045664~regulation of neuron differentiation"	0.208908865715356	1	213	23	1
"GO:0001819~positive regulation of cytokine production"	0.208908865715356	1	213	23	1
"GO:0006283~transcription-coupled nucleotide-excision repair"	0.200583241293524	1	213	47	2
"GO:0050729~positive regulation of inflammatory response"	0.200583241293524	1	213	47	2
"GO:0051899~membrane depolarization"	0.192604517889269	1	213	24	1
"GO:0034446~substrate adhesion-dependent cell spreading"	0.192604517889269	1	213	24	1
"GO:0045669~positive regulation of osteoblast differentiation"	0.192604517889269	1	213	48	2
"GO:0001892~embryonic placenta development"	0.192604517889269	1	213	24	1
"GO:0006418~tRNA aminoacylation for protein translation"	0.192604517889269	1	213	48	2
"GO:0048147~negative regulation of fibroblast proliferation"	0.192604517889269	1	213	24	1
"GO:0042755~eating behavior"	0.192604517889269	1	213	24	1
"GO:0070301~cellular response to hydrogen peroxide"	0.192604517889269	1	213	24	1
"GO:0048169~regulation of long-term neuronal synaptic plasticity"	0.192604517889269	1	213	24	1
"GO:0001558~regulation of cell growth"	0.187467531587899	1	213	73	3
"GO:0016525~negative regulation of angiogenesis"	0.184951456664779	1	213	49	2
"GO:0030216~keratinocyte differentiation"	0.177604517889269	1	213	50	2
"GO:0051092~positive regulation of NF-kappaB transcription factor activity"	0.177604517889269	1	213	100	4
"GO:0070979~protein K11-linked ubiquitination"	0.177604517889269	1	213	25	1
"GO:0048839~inner ear development"	0.177604517889269	1	213	50	2
"GO:0000188~inactivation of MAPK activity"	0.177604517889269	1	213	25	1
"GO:0051017~actin filament bundle assembly"	0.177604517889269	1	213	25	1
"GO:0006099~tricarboxylic acid cycle"	0.177604517889269	1	213	25	1
"GO:0000375~RNA splicing, via transesterification reactions"	0.177604517889269	1	213	25	1
"GO:0000722~telomere maintenance via recombination"	0.177604517889269	1	213	25	1
"GO:0045787~positive regulation of cell cycle"	0.177604517889269	1	213	25	1
"GO:0010977~negative regulation of neuron projection development"	0.177604517889269	1	213	25	1
"GO:0071363~cellular response to growth factor stimulus"	0.177604517889269	1	213	50	2
"GO:0051276~chromosome organization"	0.177604517889269	1	213	25	1
"GO:0051209~release of sequestered calcium ion into cytosol"	0.177604517889269	1	213	25	1
"GO:0048010~vascular endothelial growth factor receptor signaling pathway"	0.177604517889269	1	213	25	1
"GO:0042221~response to chemical stimulus"	0.177604517889269	1	213	25	1
"GO:0070098~chemokine-mediated signaling pathway"	0.177604517889269	1	213	25	1
"GO:0001822~kidney development"	0.174040161453625	1	213	101	4
"GO:0043085~positive regulation of catalytic activity"	0.170545694359857	1	213	51	2
"GO:0060070~canonical Wnt receptor signaling pathway"	0.168253868538619	1	213	77	3
"GO:0017148~negative regulation of translation"	0.163758364043115	1	213	26	1
"GO:0048536~spleen development"	0.163758364043115	1	213	26	1
"GO:0006361~transcription initiation from RNA polymerase I promoter"	0.163758364043115	1	213	26	1
"GO:0006360~transcription from RNA polymerase I promoter"	0.163758364043115	1	213	26	1
"GO:0033574~response to testosterone stimulus"	0.163758364043115	1	213	26	1
"GO:0051403~stress-activated MAPK cascade"	0.163758364043115	1	213	52	2
"GO:0032720~negative regulation of tumor necrosis factor production"	0.163758364043115	1	213	26	1
"GO:0006446~regulation of translational initiation"	0.163758364043115	1	213	26	1
"GO:0006944~cellular membrane fusion"	0.163758364043115	1	213	26	1
"GO:0009954~proximal/distal pattern formation"	0.163758364043115	1	213	26	1
"GO:0001654~eye development"	0.163758364043115	1	213	26	1
"GO:0008333~endosome to lysosome transport"	0.163758364043115	1	213	26	1
"GO:0051225~spindle assembly"	0.163758364043115	1	213	26	1
"GO:0000096~sulfur amino acid metabolic process"	0.163758364043115	1	213	26	1
"GO:0016311~dephosphorylation"	0.160461660746412	1	213	105	4
"GO:0000723~telomere maintenance"	0.157227159398703	1	213	53	2
"GO:0051260~protein homooligomerization"	0.153425413411657	1	213	134	5
"GO:0007346~regulation of mitotic cell cycle"	0.150937851222602	1	213	27	1
"GO:0001824~blastocyst development"	0.150937851222602	1	213	27	1
"GO:0006766~vitamin metabolic process"	0.150937851222602	1	213	54	2
"GO:0021537~telencephalon development"	0.150937851222602	1	213	27	1
"GO:0005977~glycogen metabolic process"	0.150937851222602	1	213	27	1
