Node1,Node2,Mean,INT
AGO3,DENND4A,0.418963226,Correlation
AGO3,EIF1B,0.302594628,Correlation
AGO3,FHL1,0.57105868,Correlation
AGO3,HEATR3,0.283919452,Correlation
AGO3,KCNAB1,0.314093586,Correlation
AGO3,MAP4K5,0.403562541,Correlation
AGO3,MED8,0.369565647,Correlation
AGO3,METTL9,0.356826181,Correlation
AGO3,NBR1,0.274504844,Correlation
AGO3,PIGA,0.290578972,Correlation
AGO3,R3HCC1,0.401258709,Correlation
AGO3,SLC26A2,0.356614056,Correlation
AGO3,SORBS1,0.275160396,Correlation
AGO3,SPOCK1,0.407352941,Correlation
AGO3,SSBP3,0.360422502,Correlation
AGO3,TMOD2,0.492606019,Correlation
AGO3,UNC13B,0.313733822,Correlation
AHR,ANKRD27,0.503100086,Correlation
AHR,HNMT,0.361956346,Correlation
AHR,STAG2,0.414957265,Correlation
AHR,TGOLN2,0.334944959,Correlation
AHR,TMEM38B,0.471870636,Correlation
AHR,TRIM5,0.375266841,Correlation
AKR1B1,BCLAF1,0.350741114,Correlation
AKR1B1,SMNDC1,0.442819462,Correlation
AKR1C1,CYP2E1,0.364640343,Correlation
AKR1C1,FLNC,0.42681635,Correlation
AKR1C1,PRDX4,0.410933206,Correlation
ALDOA,ANXA1,0.332258518,Correlation
ALDOA,ENPP2,0.458000428,Correlation
ALDOA,SLC35A3,0.339322117,Correlation
ALMS1,ATP8B1,0.600091811,Correlation
ALMS1,CLIC4,0.426506832,Correlation
ALMS1,EIF3E,0.487007193,Correlation
AMD1,ADAMTS1,0.268517029,Correlation
AMD1,CLIC4,0.345765101,Correlation
AMD1,ESRRG,0.298750269,Correlation
AMD1,PDE4B,0.480112045,Correlation
AMD1,PLEKHA2,0.548246529,Correlation
AMD1,PPFIA1,0.320675321,Correlation
AMD1,PPP1R12B,0.303939525,Correlation
AMD1,PPP3CA,0.513486677,Correlation
AMD1,RAP1A,0.427397287,Correlation
AMD1,RCN2,0.447677404,Correlation
AMD1,SEPT6,0.345698664,Correlation
AMD1,TCF12,0.496573116,Correlation
AMD1,TGOLN2,0.539879177,Correlation
AMD1,TIMP2,0.622779324,Correlation
AMD1,TRIT1,0.704597318,Correlation
AMD1,TXN2,0.566060655,Correlation
AMD1,WASF1,0.544436364,Correlation
AMD1,YY1AP1,0.745101242,Correlation
AMD1,ZCCHC6,0.561240394,Correlation
AMD1,ZFX,0.381325616,Correlation
AMD1,ZNF573,0.505668485,Correlation
ANKRD10,ABI1,0.549165228,Correlation
ANKRD10,BCLAF1,0.517603799,Correlation
ANKRD10,C6orf120,0.340064434,Correlation
ANKRD10,CDIPT,0.462141875,Correlation
ANKRD10,CEP57,0.462273815,Correlation
ANKRD10,CRLF3,0.339202005,Correlation
ANKRD10,CYP2E1,0.33440737,Correlation
ANKRD10,ERBB4,0.588781395,Correlation
ANKRD10,LRRC14,0.559508236,Correlation
ANKRD10,MAP4K3,0.484200132,Correlation
ANKRD10,NDEL1,0.257595779,Correlation
ANKRD10,TCEAL1,0.439702975,Correlation
ANKRD10,TSPYL5,0.481535518,Correlation
ANKRD10,USP3,0.498025749,Correlation
ANKRD10,WSB1,0.690535622,Correlation
ANKRD10,ZFX,0.511470197,Correlation
ANKRD27,CYP2E1,0.588977771,Correlation
ANKRD27,DEDD,0.39648644,Correlation
ANKRD27,SRSF10,0.49692719,Correlation
ANKRD27,STAG2,0.458910616,Correlation
ANKRD27,TGOLN2,0.525310566,Correlation
ANKRD28,CLIC4,0.394492028,Correlation
ANKRD28,DOLPP1,0.534328988,Correlation
ANKRD28,KRIT1,0.377651189,Correlation
ANKRD28,SSBP3,0.419995691,Correlation
ANKRD28,STX2,0.407170689,Correlation
ANKRD28,TNFAIP3,0.555475652,Correlation
ANXA1,CENPU,0.48274031,Correlation
ANXA1,DHX29,0.312870712,Correlation
ANXA1,MED8,0.531026175,Correlation
ANXA1,RCN2,0.44589667,Correlation
ANXA1,TMOD2,0.546065365,Correlation
ARMC1,ADNP,0.57986156,Correlation
ARMC1,AKR1C1,0.599533147,Correlation
ARMC1,ATM,0.427194224,Correlation
ARMC1,AUH,0.362346126,Correlation
ARMC1,BCLAF1,0.593042736,Correlation
ARMC1,CENPU,0.293294348,Correlation
ARMC1,CREG1,0.567207589,Correlation
ARMC1,DEDD,0.571555201,Correlation
ARMC1,FAM65B,0.441313951,Correlation
ARMC1,GSAP,0.335640047,Correlation
ARMC1,HABP4,0.475023809,Correlation
ARMC1,HLA-B,0.452325289,Correlation
ARMC1,HNMT,0.435979741,Correlation
ARMC1,MAP4K5,0.412148414,Correlation
ARMC1,MARK4,0.404748438,Correlation
ARMC1,MED8,0.496725742,Correlation
ARMC1,NDEL1,0.210751367,Correlation
ARMC1,PLCB1,0.362261187,Correlation
ARMC1,PPP3CA,0.489616103,Correlation
ARMC1,PROSER1,0.377110723,Correlation
ARMC1,RANGRF,0.478715974,Correlation
ARMC1,SETD2,0.498635352,Correlation
ARMC1,SRSF10,0.319629235,Correlation
ARMC1,SUN1,0.359002191,Correlation
ARMC1,TGOLN2,0.485089363,Correlation
ARMC1,TMOD2,0.282278276,Correlation
ARMC1,TMX1,0.502417039,Correlation
ARMC1,UCHL1,0.560718775,Correlation
ARMC1,UPF3B,0.514166289,Correlation
ARMC1,WASF1,0.498868778,Correlation
ARMC1,ZCCHC10,0.408017309,Correlation
ARMC1,ZFX,0.413055904,Correlation
ASXL2,AKR1C1,0.446832579,Correlation
ASXL2,ANKRD27,0.661525892,Correlation
ASXL2,CEP170B,0.369662777,Correlation
ASXL2,CLCN6,0.524336529,Correlation
ASXL2,CXorf56,0.521719457,Correlation
ASXL2,DEDD,0.38713694,Correlation
ASXL2,FHL1,0.506700244,Correlation
ASXL2,HNMT,0.457814858,Correlation
ASXL2,LRCH3,0.410368984,Correlation
ASXL2,MARK4,0.430205216,Correlation
ASXL2,RCN2,0.536620161,Correlation
ASXL2,RFX7,0.435874383,Correlation
ASXL2,RIT1,0.378995188,Correlation
ASXL2,SEPT6,0.42164494,Correlation
ASXL2,SH2B3,0.454044567,Correlation
ATF7IP,ASXL2,0.508749012,Correlation
ATF7IP,CRLF3,0.55690135,Correlation
ATF7IP,ENPP2,0.643360514,Correlation
ATF7IP,HABP4,0.389626799,Correlation
ATF7IP,ITPR2,0.476433779,Correlation
ATF7IP,LRBA,0.415588337,Correlation
ATF7IP,MFN1,0.541566114,Correlation
ATF7IP,MUS81,0.524130037,Correlation
ATF7IP,PNISR,0.399745924,Correlation
ATF7IP,ROCK1,0.197905143,Correlation
ATF7IP,SAT1,0.388137434,Correlation
ATF7IP,SH2B3,0.348316634,Correlation
ATF7IP,SORBS1,0.371166351,Correlation
ATF7IP,STRN3,0.301042915,Correlation
ATF7IP,SUN1,0.292477376,Correlation
AUH,ATM,0.498624106,Correlation
AUH,CEP57,0.460163782,Correlation
AUH,FLNC,0.385669943,Correlation
AUTS2,ANKRD27,0.523641636,Correlation
AUTS2,CDH22,0.431542743,Correlation
AUTS2,GIPC1,0.431307908,Correlation
AUTS2,KCNAB1,0.575112224,Correlation
AUTS2,NUP43,0.501581915,Correlation
AUTS2,PHKB,0.683072844,Correlation
AUTS2,SH3GLB1,0.48388009,Correlation
AUTS2,SLC11A2,0.450066368,Correlation
BCLAF1,RFX7,0.263307764,Correlation
BCLAF1,TGOLN2,0.425452391,Correlation
BCLAF1,TRIM5,0.439266816,Correlation
BNIP3,ABI1,0.546200531,Correlation
BNIP3,CRLF3,0.420845005,Correlation
BNIP3,DEDD,0.500843753,Correlation
BNIP3,DERL1,0.435212515,Correlation
BNIP3,ESRRG,0.461744057,Correlation
BNIP3,FHL1,0.225800833,Correlation
BNIP3,GDI1,0.593610994,Correlation
BNIP3,IFRD1,0.363787438,Correlation
BNIP3,LIMA1,0.433022696,Correlation
BNIP3,MARK4,0.526809955,Correlation
BNIP3,NBR1,0.351929297,Correlation
BNIP3,R3HCC1,0.503099188,Correlation
BNIP3,THUMPD2,0.27056696,Correlation
BNIP3,WSB1,0.424390397,Correlation
BTG1,AUTS2,0.269903218,Correlation
BTG1,CBLB,0.518224522,Correlation
BTG1,EIF3E,0.589870353,Correlation
BTG1,ENPP2,0.420906465,Correlation
BTG1,HEATR3,0.521623258,Correlation
BTG1,MAN2A1,0.335970157,Correlation
BTG1,TPP1,0.340256231,Correlation
BTG1,VCAN,0.266391941,Correlation
C6orf120,CBLB,0.245527531,Correlation
C6orf120,FLNC,0.318125842,Correlation
C6orf120,METTL9,0.385280909,Correlation
CALD1,ALMS1,0.454951594,Correlation
CALD1,CLIC4,0.350479423,Correlation
CALD1,ERBB4,0.444763111,Correlation
CALD1,HMGN4,0.264612861,Correlation
CALD1,LRBA,0.521814798,Correlation
CALD1,LRCH3,0.477536207,Correlation
CALD1,PHKB,0.443076729,Correlation
CALD1,PLEKHA2,0.502703946,Correlation
CALD1,PUM2,0.397672018,Correlation
CALD1,SASH1,0.327853193,Correlation
CALD1,SAV1,0.441580478,Correlation
CALD1,SMAD5,0.496142175,Correlation
CALD1,SPEN,0.524358974,Correlation
CALD1,SSBP3,0.451704913,Correlation
CALD1,STRN3,0.514817874,Correlation
CALD1,TCF12,0.623727824,Correlation
CALD1,UNC13B,0.576061362,Correlation
CALD1,UPF3B,0.576309395,Correlation
CARD8,CPOX,0.580043903,Correlation
CARD8,EIF3E,0.55749489,Correlation
CARD8,ERBB4,0.43398988,Correlation
CARD8,HLA-B,0.578227573,Correlation
CARD8,MON2,0.477876962,Correlation
CARD8,NBPF1,0.49385998,Correlation
CARD8,OGT,0.463633024,Correlation
CARD8,SAV1,0.332589061,Correlation
CARD8,SF3A1,0.452003878,Correlation
CARD8,SH2B3,0.622834518,Correlation
CARD8,SSFA2,0.519704418,Correlation
CARD8,TSPYL5,0.394309775,Correlation
CARD8,ZNF83,0.434069525,Correlation
CBLB,ANKRD27,0.36462397,Correlation
CBLB,BCLAF1,0.43074803,Correlation
CBLB,CCDC90B,0.448323925,Correlation
CBLB,GIPC1,0.536135462,Correlation
CBLB,TCEAL1,0.633254606,Correlation
CBLB,TGOLN2,0.497746026,Correlation
CBLB,TRIM5,0.50822053,Correlation
CBLB,TWIST1,0.548930403,Correlation
CCDC90B,SMNDC1,0.437419685,Correlation
CCNL1,AASS,0.30909078,Correlation
CCNL1,ADAMTS1,0.391504024,Correlation
CCNL1,ERBB4,0.384913065,Correlation
CCNL1,FLNC,0.490439381,Correlation
CCNL1,HNRNPA2B1,0.492023989,Correlation
CCNL1,MON2,0.468060394,Correlation
CCNL1,MUS81,0.398264562,Correlation
CCNL1,N4BP2L2,0.428386483,Correlation
CCNL1,PHKB,0.413713419,Correlation
CCNL1,PIGA,0.349979468,Correlation
CCNL1,PNN,0.427514724,Correlation
CCNL1,PTPRA,0.558968602,Correlation
CCNL1,RAP1B,0.522631559,Correlation
CCNL1,SAT1,0.462842958,Correlation
CCNL1,SOCS2,0.554679308,Correlation
CCNL1,SPEN,0.605418193,Correlation
CCNL1,TMEM38B,0.548741053,Correlation
CDH11,ALMS1,0.577133767,Correlation
CDH11,AUH,0.534855897,Correlation
CDH11,CARD8,0.385373124,Correlation
CDH11,CCDC90B,0.430496889,Correlation
CDH11,CMTM6,0.385182791,Correlation
CDH11,KLF6,0.360472779,Correlation
CDH11,MAP4K3,0.36335806,Correlation
CDH11,MON2,0.323011649,Correlation
CDH11,NCOA6,0.344502562,Correlation
CDH11,PALLD,0.458037959,Correlation
CDH11,PTPRA,0.529872862,Correlation
CDH11,SH3GLB1,0.267390289,Correlation
CDH22,AKR1C1,0.207692799,Correlation
CDH22,KRIT1,0.337424514,Correlation
CDH22,MARK4,0.233581131,Correlation
CDH22,SSBP3,0.417713276,Correlation
CDIPT,ADNP,0.350787645,Correlation
CDIPT,CPOX,0.358640963,Correlation
CDIPT,CREG1,0.510932679,Correlation
CDIPT,DIDO1,0.50412376,Correlation
CDK12,PLCB1,0.404935444,Correlation
CDK12,POT1,0.396349353,Correlation
CDK12,SEPT6,0.618421436,Correlation
CDK12,USP3,0.250717982,Correlation
CDK12,WSB1,0.435005558,Correlation
CEBPZ,ATM,0.411764926,Correlation
CEBPZ,CDH22,0.431120916,Correlation
CEBPZ,HNMT,0.475398576,Correlation
CEBPZ,MARK3,0.508090125,Correlation
CEBPZ,PRDX4,0.591078395,Correlation
CEBPZ,R3HCC1,0.509413384,Correlation
CEBPZ,SRSF10,0.451639138,Correlation
CEBPZ,TGOLN2,0.351396982,Correlation
CEBPZ,TWIST1,0.375679553,Correlation
CEBPZ,TXN2,0.517835148,Correlation
CENPU,CYP2E1,0.390478373,Correlation
CEP170B,PDE4A,0.492435347,Correlation
CEP170B,RBM12,0.461955573,Correlation
CEP170B,SMNDC1,0.263265657,Correlation
CEP57,ANKRD27,0.455297888,Correlation
CEP57,DIDO1,0.409110824,Correlation
CEP57,NEK1,0.535684658,Correlation
CEP57,SEPT6,0.469899627,Correlation
CEP57,SORBS1,0.400215904,Correlation
CEP57,TSPYL5,0.482957157,Correlation
CHD1,BCLAF1,0.529494214,Correlation
CHD1,LPCAT4,0.787871152,Correlation
CHD1,MAP3K7,0.447041533,Correlation
CHD1,PDE4A,0.461322991,Correlation
CHD1,POT1,0.420949149,Correlation
CHD1,STAG2,0.45423849,Correlation
CHD1,TCEAL1,0.508924082,Correlation
CHD1,TGOLN2,0.526341991,Correlation
CHD1,TMEM38B,0.385699372,Correlation
CHD1,TXN2,0.588042268,Correlation
CLCN6,CYP2E1,0.544463298,Correlation
CLIC4,ANXA1,0.40282945,Correlation
CLIC4,BCLAF1,0.427792233,Correlation
CLIC4,C6orf120,0.412148975,Correlation
CLIC4,CBLB,0.490674727,Correlation
CLIC4,CCDC90B,0.331883569,Correlation
CLIC4,CLCN6,0.392637183,Correlation
CLIC4,FOXN3,0.403238347,Correlation
CLIC4,MAP3K7,0.477949257,Correlation
CLIC4,MED14,0.397800402,Correlation
CLIC4,OGT,0.516568077,Correlation
CLIC4,R3HCC1,0.484981685,Correlation
CLIC4,RCN2,0.482901494,Correlation
CLIC4,SMNDC1,0.452468781,Correlation
CLIC4,SNX11,0.540680322,Correlation
CLIC4,SRSF10,0.568876819,Correlation
CLIC4,SSBP3,0.571960964,Correlation
CLIC4,TCEAL1,0.337306076,Correlation
CLIC4,TRIM5,0.501907737,Correlation
CLIC4,TXN2,0.276473282,Correlation
CLK4,HMGN4,0.311554153,Correlation
CLK4,MAN2A1,0.450739969,Correlation
CLK4,NCOA6,0.288274519,Correlation
CLK4,PHKB,0.444471156,Correlation
CLK4,RBM12,0.312783867,Correlation
CLK4,SAV1,0.538143436,Correlation
CLK4,SORBS1,0.296617967,Correlation
CLK4,TCF12,0.376532025,Correlation
CLK4,TPP1,0.527934609,Correlation
CMTM6,ASXL2,0.464114235,Correlation
CMTM6,FAM65B,0.333896583,Correlation
CMTM6,FHL1,0.461180241,Correlation
CMTM6,REL,0.434276916,Correlation
CMTM6,SF3A1,0.332509158,Correlation
CMTM6,SH2B3,0.484343353,Correlation
CMTM6,SLC35A3,0.409473946,Correlation
CMTM6,STAG2,0.344249623,Correlation
CMTM6,STRN3,0.395426904,Correlation
CMTM6,WSB1,0.353954787,Correlation
CMTM6,ZCCHC8,0.473624113,Correlation
CNOT1,AKR1C1,0.29675896,Correlation
CNOT1,ANKRD10,0.37366898,Correlation
CNOT1,ANXA1,0.379967268,Correlation
CNOT1,C6orf120,0.305859999,Correlation
CNOT1,CDH11,0.485444049,Correlation
CNOT1,DIDO1,0.42611147,Correlation
CNOT1,DOLPP1,0.46633538,Correlation
CNOT1,EIF3E,0.431664507,Correlation
CNOT1,GOLGA7,0.222847992,Correlation
CNOT1,HNMT,0.444253487,Correlation
CNOT1,IFRD1,0.33629067,Correlation
CNOT1,KCTD12,0.451514051,Correlation
CNOT1,KLF6,0.34890469,Correlation
CNOT1,MFN1,0.357199418,Correlation
CNOT1,SAT1,0.528642354,Correlation
CNOT1,SOCS2,0.668006177,Correlation
CNOT1,UBXN7,0.311803451,Correlation
CNOT1,USP3,0.423221878,Correlation
CNOT1,WSB1,0.371301085,Correlation
CNOT1,YY1AP1,0.408976331,Correlation
CNOT1,ZCCHC8,0.482385262,Correlation
COX5A,ABCA8,0.33225957,Correlation
COX5A,ANKRD10,0.431001527,Correlation
COX5A,DEDD,0.463328373,Correlation
COX5A,DENND4A,0.373260971,Correlation
COX5A,ESRRG,0.483095418,Correlation
COX5A,HNMT,0.224694535,Correlation
COX5A,KCNE4,0.432182199,Correlation
COX5A,LRBA,0.337079929,Correlation
COX5A,MGST3,0.419716476,Correlation
COX5A,MUS81,0.175442613,Correlation
COX5A,OGT,0.295899609,Correlation
COX5A,PLSCR1,0.444630553,Correlation
COX5A,PNISR,0.335861524,Correlation
COX5A,PPP1R12B,0.316347381,Correlation
COX5A,PROSER1,0.517865172,Correlation
COX5A,PTPRA,0.434004806,Correlation
COX5A,RANGRF,0.365944839,Correlation
COX5A,TMEM38B,0.216953006,Correlation
COX5A,TRIT1,0.26600941,Correlation
COX5A,UPF3B,0.371048981,Correlation
COX5A,ZBTB7A,0.352242453,Correlation
COX5A,ZNF12,0.396902563,Correlation
CPOX,PDE4A,0.207874728,Correlation
CPOX,TMOD2,0.265837991,Correlation
CPOX,TWIST1,0.28505834,Correlation
CPSF6,SMNDC1,0.39060287,Correlation
CPSF7,ABI1,0.309696277,Correlation
CPSF7,ANKRD10,0.331985041,Correlation
CPSF7,CRLF3,0.389345867,Correlation
CPSF7,DEDD,0.502610965,Correlation
CPSF7,EIF1B,0.518368886,Correlation
CPSF7,EIF3E,0.21856053,Correlation
CPSF7,ENPP2,0.352051424,Correlation
CPSF7,NBPF1,0.310702614,Correlation
CPSF7,NBR1,0.452064134,Correlation
CPSF7,OAT,0.591691805,Correlation
CPSF7,SLC35A3,0.296222014,Correlation
CPSF7,SPEN,0.421595561,Correlation
CPSF7,STX16,0.584177261,Correlation
CPSF7,TARDBP,0.586568089,Correlation
CPSF7,TMEM165,0.384753645,Correlation
CPSF7,TMOD2,0.469805055,Correlation
CPSF7,WIPI2,0.468713639,Correlation
CPSF7,ZBTB7A,0.313243303,Correlation
CREG1,ATM,0.339189313,Correlation
CREG1,C6orf120,0.384425848,Correlation
CREG1,CEP170B,0.455430469,Correlation
CREG1,CHD1,0.567999874,Correlation
CREG1,CLIC4,0.475191895,Correlation
CREG1,CPOX,0.369063098,Correlation
CREG1,FHL1,0.333336573,Correlation
CREG1,GDI1,0.436613093,Correlation
CREG1,GIPC1,0.352341586,Correlation
CREG1,HNMT,0.451363751,Correlation
CREG1,MAP4K5,0.46926891,Correlation
CREG1,MED14,0.464670791,Correlation
CREG1,SH2B3,0.365555451,Correlation
CREG1,TPP1,0.508040984,Correlation
CREG1,UBXN7,0.51526493,Correlation
CREG1,ZFX,0.53117298,Correlation
CRISPLD2,ADAMTS1,0.548652126,Correlation
CRISPLD2,CHD1,0.562474862,Correlation
CRISPLD2,DERL1,0.308362735,Correlation
CRISPLD2,HNMT,0.526658892,Correlation
CRISPLD2,JMJD1C,0.470636716,Correlation
CRISPLD2,SAT1,0.489137578,Correlation
CRISPLD2,SH2B3,0.501502909,Correlation
CRISPLD2,TIMP2,0.358746729,Correlation
CRISPLD2,USP3,0.451596944,Correlation
CRLF3,C6orf120,0.309821568,Correlation
CRLF3,CLCN6,0.390684479,Correlation
CRLF3,CPSF6,0.490858651,Correlation
CRLF3,FAM65B,0.30165048,Correlation
CRLF3,HNMT,0.301821334,Correlation
CRLF3,LRCH3,0.338219224,Correlation
CRLF3,R3HCC1,0.432785678,Correlation
CRLF3,RPRD1A,0.427705954,Correlation
CRLF3,SETD2,0.532438232,Correlation
CRLF3,SH3GLB1,0.307929326,Correlation
CRLF3,SNX11,0.392068372,Correlation
CRLF3,SOCS2,0.380788982,Correlation
CRLF3,SPOCK1,0.562920168,Correlation
CRLF3,TMEM165,0.282354737,Correlation
CRLF3,TSPYL5,0.464413201,Correlation
CRLF3,UBXN7,0.433059864,Correlation
CRLF3,ZCCHC10,0.535927063,Correlation
CRY1,AHR,0.329153105,Correlation
CRY1,ANKRD10,0.499162461,Correlation
CRY1,ANXA1,0.557890325,Correlation
CRY1,BCLAF1,0.318846505,Correlation
CRY1,BNIP3,0.304948541,Correlation
CRY1,CEP57,0.489451347,Correlation
CRY1,CRISPLD2,0.473157461,Correlation
CRY1,DIDO1,0.363581268,Correlation
CRY1,HABP4,0.374158564,Correlation
CRY1,HIPK1,0.224532644,Correlation
CRY1,HLA-B,0.371244249,Correlation
CRY1,KCNE4,0.380686238,Correlation
CRY1,LRRC14,0.389937318,Correlation
CRY1,MAP3K7,0.410145433,Correlation
CRY1,MAP4K5,0.31574759,Correlation
CRY1,MCMBP,0.3182351,Correlation
CRY1,MED8,0.378494424,Correlation
CRY1,METTL9,0.331927656,Correlation
CRY1,NAA50,0.414285714,Correlation
CRY1,NEK4,0.41796537,Correlation
CRY1,NSMAF,0.348980641,Correlation
CRY1,PCNA,0.405483831,Correlation
CRY1,PLCB1,0.391066898,Correlation
CRY1,PLSCR1,0.344681203,Correlation
CRY1,PPP1R11,0.506068857,Correlation
CRY1,PPP3CA,0.334668471,Correlation
CRY1,ROCK1,0.39041764,Correlation
CRY1,SLC26A2,0.455354329,Correlation
CRY1,SMARCA2,0.262074963,Correlation
CRY1,SNAPC3,0.375256188,Correlation
CRY1,SOCS2,0.405016134,Correlation
CRY1,TMED10,0.3465775,Correlation
CRY1,WASF1,0.410032754,Correlation
CRY1,ZFC3H1,0.464136608,Correlation
CRY1,ZFX,0.551514216,Correlation
CRY1,ZFYVE26,0.488075043,Correlation
CRY1,ZNF12,0.200761466,Correlation
CRY1,ZNF573,0.542509616,Correlation
CTBP2,AGO3,0.41832753,Correlation
CTBP2,BCLAF1,0.292085959,Correlation
CTBP2,CARD8,0.223776816,Correlation
CTBP2,CBLB,0.466812337,Correlation
CTBP2,CNOT1,0.458037339,Correlation
CTBP2,HCFC2,0.47100666,Correlation
CTBP2,HLA-B,0.356557813,Correlation
CTBP2,HNMT,0.384211312,Correlation
CTBP2,MYOF,0.324258396,Correlation
CTBP2,OAT,0.301829887,Correlation
CTBP2,PCNA,0.340049254,Correlation
CTBP2,PLCB1,0.303205897,Correlation
CTBP2,PPP4R2,0.326472914,Correlation
CTBP2,RAP1A,0.441177995,Correlation
CTBP2,TPP1,0.392374969,Correlation
CTSH,ABCA8,0.417851288,Correlation
CTSH,BTG1,0.39628351,Correlation
CTSH,CNOT1,0.458458058,Correlation
CTSH,EIF1B,0.345309007,Correlation
CTSH,ENPP2,0.461699641,Correlation
CTSH,ERBB4,0.455418718,Correlation
CTSH,GIN1,0.462814832,Correlation
CTSH,GSAP,0.438409101,Correlation
CTSH,MGST3,0.303081433,Correlation
CTSH,TGOLN2,0.384105826,Correlation
CTSH,YY1AP1,0.62005985,Correlation
CTSH,ZCCHC10,0.567927371,Correlation
CXorf56,CLCN6,0.551862925,Correlation
CXorf56,SMNDC1,0.50809069,Correlation
CXorf56,STAG2,0.608073871,Correlation
CYP2E1,SMNDC1,0.392391116,Correlation
DDX21,AKR1C1,0.37625303,Correlation
DDX21,ANXA1,0.37890991,Correlation
DDX21,ATM,0.288209181,Correlation
DDX21,CEBPZ,0.376603462,Correlation
DDX21,CPOX,0.279563084,Correlation
