Entity 1	Entity 2	Weight	Network group	Networks
ALDOA	MPI	0.027981931	Co-expression	"[Rieger-Chu-2004, Smirnov-Cheung-2009]"
FBP1	GMDS	0.027191311	Co-expression	[Burington-Shaughnessy-2008]
ZFYVE26	VPS13B	0.027025979	Co-expression	"[Gysin-McMahon-2012, Smirnov-Cheung-2009]"
FBP2	PFKFB1	0.026702276	Co-expression	"[Bild-Nevins-2006 B, Salaverria-Siebert-2011]"
ACTN1	PLOD2	0.02593207	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006]"
SF3B1	ZNF518A	0.025344984	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013]"
MXI1	PTPN13	0.025266312	Co-expression	[Bild-Nevins-2006 B]
OTUB1	PHPT1	0.025041563	Co-expression	[Bahr-Bowler-2013]
ALDOA	FBP1	0.024693537	Co-expression	"[Bild-Nevins-2006 B, Ramaswamy-Golub-2001]"
OTUB1	TSTA3	0.024657335	Co-expression	"[Mallon-McKay-2013, Smirnov-Cheung-2009]"
PFKM	PFKP	0.024604637	Co-expression	"[Chen-Brown-2002, Smirnov-Cheung-2009]"
ALDOC	RAB40B	0.02438247	Co-expression	[Chen-Brown-2002]
GBAS	RAB40B	0.02433913	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011]"
PLOD2	HK2	0.024096588	Co-expression	[Mallon-McKay-2013]
ALDOC	PFKFB3	0.024039321	Co-expression	"[Cheok-Evans-2003, Salaverria-Siebert-2011]"
SORD	GMDS	0.023913181	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012]"
PMM1	RAB40B	0.023902357	Co-expression	[Gysin-McMahon-2012]
SERBP1	HK2	0.023746494	Co-expression	[Burington-Shaughnessy-2008]
KPNA6	HK1	0.023634325	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006]"
BPTF	NKTR	0.023484251	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011]"
KCTD12	ANXA1	0.023457158	Co-expression	[Smirnov-Cheung-2009]
PFKFB3	PFKFB1	0.023451384	Co-expression	[Mallon-McKay-2013]
SF3B1	PRPF3	0.023203736	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006]"
GMPPA	PHPT1	0.023006717	Co-expression	[Bahr-Bowler-2013]
FPGT	MPHOSPH9	0.022948863	Co-expression	[Innocenti-Brown-2011]
PPP2CA	SF3B1	0.022708592	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011, Wu-Garvey-2007]"
TCF4	CDH11	0.022682625	Co-expression	"[Chen-Brown-2002, Innocenti-Brown-2011]"
TSTA3	GMPPB	0.022498249	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006]"
SORD	KHK	0.022262825	Co-expression	"[Chen-Brown-2002, Wang-Maris-2006]"
TARDBP	KPNA6	0.022155225	Co-expression	[Kang-Willman-2010]
MXI1	HK1	0.022011576	Co-expression	[Kang-Willman-2010]
SPARC	JAG1	0.021970163	Co-expression	"[Gysin-McMahon-2012, Salaverria-Siebert-2011]"
ANXA1	JAG1	0.021919994	Co-expression	"[Innocenti-Brown-2011, Salaverria-Siebert-2011]"
ZFP36	PFKFB3	0.021784028	Co-expression	"[Bahr-Bowler-2013, Ramaswamy-Golub-2001]"
MPI	FUK	0.021684688	Co-expression	[Innocenti-Brown-2011]
KCTD12	PFKP	0.021577312	Co-expression	[Burington-Shaughnessy-2008]
PFKM	PTPN13	0.021412082	Co-expression	[Bild-Nevins-2006 B]
AKR1B1	STMN1	0.021197241	Co-expression	"[Burington-Shaughnessy-2008, Smirnov-Cheung-2009]"
HK3	DCN	0.021137146	Co-expression	[Smirnov-Cheung-2009]
TUBB4B	TPI1	0.020937866	Co-expression	[Gysin-McMahon-2012]
PFKM	GBAS	0.020615847	Co-expression	"[Mallon-McKay-2013, Roth-Zlotnik-2006]"
PRPF3	ZNF518A	0.020443008	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006]"
TUBB4B	AKR1B1	0.020310206	Co-expression	"[Cheok-Evans-2003, Wu-Garvey-2007]"
PFKL	ALDOC	0.020204941	Co-expression	"[Salaverria-Siebert-2011, Wu-Garvey-2007]"
PMM1	KPNA6	0.020170892	Co-expression	[Rieger-Chu-2004]
NUTF2	PHPT1	0.020062363	Co-expression	[Bahr-Bowler-2013]
RPL35A	NDUFS5	0.019665865	Co-expression	[Innocenti-Brown-2011]
MPI	PFKFB4	0.0196208	Co-expression	[Mallon-McKay-2013]
BPTF	VPS13B	0.019498236	Co-expression	[Bahr-Bowler-2013]
OTUB1	PFKP	0.019414015	Co-expression	[Wu-Garvey-2007]
SPARC	TSTA3	0.01934718	Co-expression	[Perou-Botstein-1999]
MPI	NDUFS5	0.019339733	Co-expression	"[Cheok-Evans-2003, Wu-Garvey-2007]"
TARDBP	PPP2CA	0.019183205	Co-expression	[Rieger-Chu-2004]
GMDS	MPI	0.019149985	Co-expression	[Burington-Shaughnessy-2008]
AKR1B1	SCN1B	0.019110924	Co-expression	"[Gysin-McMahon-2012, Wu-Garvey-2007]"
CST3	MPI	0.019100852	Co-expression	[Wu-Garvey-2007]
PFKP	PFKFB3	0.019090997	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011]"
OTUB1	KPNA6	0.019069093	Co-expression	"[Cheok-Evans-2003, Rieger-Chu-2004]"
MXI1	RPL37	0.018900976	Co-expression	[Roth-Zlotnik-2006]
CSRP1	OTUB1	0.018841505	Co-expression	[Bahr-Bowler-2013]
PRPF3	POGZ	0.018780404	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Salaverria-Siebert-2011]"
SPARC	DCN	0.018715311	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Salaverria-Siebert-2011]"
MXI1	ALDOC	0.018584069	Co-expression	[Smirnov-Cheung-2009]
ACTN1	ALDOA	0.018511845	Co-expression	[Cheok-Evans-2003]
PMM1	PPP1R7	0.01846804	Co-expression	"[Cheok-Evans-2003, Wang-Maris-2006]"
ZFYVE26	ZNF518A	0.018217847	Co-expression	[Chen-Brown-2002]
HK3	FBP1	0.018155855	Co-expression	"[Bahr-Bowler-2013, Wu-Garvey-2007]"
ALDOA	PFKM	0.018153675	Co-expression	"[Chen-Brown-2002, Roth-Zlotnik-2006]"
PFKFB3	PFKFB4	0.018132051	Co-expression	[Bild-Nevins-2006 B]
BGN	MTMR1	0.017829122	Co-expression	[Perou-Botstein-1999]
PFKFB3	TPI1	0.017542329	Co-expression	[Salaverria-Siebert-2011]
SPARC	GMDS	0.017419789	Co-expression	[Rieger-Chu-2004]
ALDOA	HK1	0.017304747	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013]"
TSTA3	AKR1B10	0.017281143	Co-expression	"[Gysin-McMahon-2012, Wang-Maris-2006]"
ALDOA	PFKP	0.016917488	Co-expression	"[Chen-Brown-2002, Rieger-Chu-2004]"
PPP2CB	CREG1	0.016715877	Co-expression	[Bild-Nevins-2006 B]
MPI	HK1	0.016520286	Co-expression	[Ramaswamy-Golub-2001]
STMN1	MTMR2	0.016514329	Co-expression	[Mallon-McKay-2013]
FBP1	CST3	0.01640044	Co-expression	[Ramaswamy-Golub-2001]
SCN1B	PFKFB2	0.01611143	Co-expression	[Mallon-McKay-2013]
PFKFB3	HK1	0.016109753	Co-expression	[Salaverria-Siebert-2011]
PPP1R7	MPI	0.015969731	Co-expression	[Bild-Nevins-2006 B]
PFKFB3	NKTR	0.015950859	Co-expression	[Gysin-McMahon-2012]
TPI1	HK1	0.015839841	Co-expression	[Roth-Zlotnik-2006]
PPP2CA	C12orf5	0.015835361	Co-expression	"[Mallon-McKay-2013, Salaverria-Siebert-2011]"
SPARC	PFKFB3	0.015722565	Co-expression	[Roth-Zlotnik-2006]
STMN1	KHK	0.015718097	Co-expression	[Boldrick-Relman-2002]
PMM2	GMPPB	0.015690566	Co-expression	"[Innocenti-Brown-2011, Roth-Zlotnik-2006]"
TSTA3	GMDS	0.015474166	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012]"
SPARC	PPP2CB	0.015432489	Co-expression	[Wu-Garvey-2007]
ANXA1	GMPPB	0.015354047	Co-expression	[Kang-Willman-2010]
AKR1B1	CREG1	0.015340274	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011]"
BPTF	RAB40B	0.015310455	Co-expression	[Wang-Maris-2006]
PMM1	TSTA3	0.015254511	Co-expression	[Burington-Shaughnessy-2008]
TPI1	HK2	0.01524069	Co-expression	[Wang-Maris-2006]
POGZ	ZNF518A	0.015211349	Co-expression	[Salaverria-Siebert-2011]
ZFP36	ACTN1	0.015206809	Co-expression	[Ramaswamy-Golub-2001]
GMDS	GMPPA	0.014962388	Co-expression	[Arijs-Rutgeerts-2009]
KCTD12	CST3	0.014706234	Co-expression	"[Salaverria-Siebert-2011, Wang-Maris-2006]"
PFKM	PFKFB2	0.014647445	Co-expression	[Mallon-McKay-2013]
MTMR1	RAB40B	0.014562299	Co-expression	[Wu-Garvey-2007]
ZFP36	CDH11	0.014560929	Co-expression	[Cheok-Evans-2003]
PTPN13	DCN	0.014492895	Co-expression	[Innocenti-Brown-2011]
ACTN1	MTMR1	0.014339736	Co-expression	[Alizadeh-Staudt-2000]
TARDBP	SF3B1	0.014332686	Co-expression	[Kang-Willman-2010]
NUTF2	GMDS	0.014319449	Co-expression	[Smirnov-Cheung-2009]
SCN1B	CDH11	0.014214775	Co-expression	[Cheok-Evans-2003]
PLOD2	PFKP	0.014185671	Co-expression	[Rieger-Chu-2004]
PPP2CA	FPGT	0.014150267	Co-expression	[Bild-Nevins-2006 B]
ALDOA	PFKL	0.014143311	Co-expression	"[Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
TPI1	NDUFS5	0.014089297	Co-expression	[Wang-Maris-2006]
ANXA1	PTPN13	0.013947248	Co-expression	[Salaverria-Siebert-2011]
ALDOA	PPP1R7	0.013933446	Co-expression	[Burington-Shaughnessy-2008]
GBAS	AKR1B1	0.013902934	Co-expression	[Salaverria-Siebert-2011]
TSTA3	GMPPA	0.013892682	Co-expression	[Arijs-Rutgeerts-2009]
ALDOA	NUTF2	0.013837797	Co-expression	[Wang-Maris-2006]
PFKL	TPI1	0.013787293	Co-expression	[Arijs-Rutgeerts-2009]
BGN	CDH11	0.013633607	Co-expression	"[Chen-Brown-2002, Salaverria-Siebert-2011]"
ACTN1	HK3	0.013610185	Co-expression	[Wu-Garvey-2007]
TUBB4B	PFKP	0.013568463	Co-expression	[Smirnov-Cheung-2009]
KCTD12	CDH11	0.013560657	Co-expression	"[Bild-Nevins-2006 B, Innocenti-Brown-2011, Mallon-McKay-2013]"
FBP2	KHK	0.013388407	Co-expression	[Kang-Willman-2010]
PFKL	NUTF2	0.013377781	Co-expression	[Bild-Nevins-2006 B]
MXI1	MPI	0.013333701	Co-expression	[Gysin-McMahon-2012]
KCTD12	TCF4	0.013312762	Co-expression	[Wu-Garvey-2007]
BPTF	POGZ	0.01328734	Co-expression	[Roth-Zlotnik-2006]
NUTF2	TPI1	0.013226673	Co-expression	[Gysin-McMahon-2012]
CSRP1	CST3	0.013152901	Co-expression	[Wang-Maris-2006]
PFKL	CST3	0.013128977	Co-expression	[Arijs-Rutgeerts-2009]
TUBB4B	PMM2	0.013126992	Co-expression	[Arijs-Rutgeerts-2009]
PFKM	FBP2	0.013124301	Co-expression	"[Mallon-McKay-2013, Roth-Zlotnik-2006]"
ALDOC	ALDOB	0.013040345	Co-expression	[Chen-Brown-2002]
PMM2	GMPPA	0.013027153	Co-expression	[Salaverria-Siebert-2011]
ALDOA	ANXA1	0.01300781	Co-expression	[Burington-Shaughnessy-2008]
ANXA1	HK1	0.012978149	Co-expression	[Chen-Brown-2002]
MTMR6	FPGT	0.012966325	Co-expression	[Salaverria-Siebert-2011]
ALDOA	PFKFB3	0.012915772	Co-expression	[Salaverria-Siebert-2011]
ALDOA	CST3	0.012699674	Co-expression	[Ramaswamy-Golub-2001]
CSRP1	PLOD2	0.012506851	Co-expression	[Gysin-McMahon-2012]
FBP1	PFKFB2	0.012327946	Co-expression	[Wu-Garvey-2007]
SERBP1	PFKP	0.012312013	Co-expression	[Salaverria-Siebert-2011]
SORD	PFKFB2	0.012151626	Co-expression	[Ramaswamy-Golub-2001]
TUBB4B	HK1	0.012005487	Co-expression	[Roth-Zlotnik-2006]
KCTD12	HK1	0.011985316	Co-expression	[Innocenti-Brown-2011]
KCTD12	MTMR2	0.01173575	Co-expression	[Innocenti-Brown-2011]
CREG1	RAB40B	0.01162491	Co-expression	[Chen-Brown-2002]
RPL37	SERBP1	0.011608855	Co-expression	[Innocenti-Brown-2011]
TUBB4B	GMPPB	0.011607977	Co-expression	[Smirnov-Cheung-2009]
FBP1	KHK	0.01156707	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006]"
PFKP	MPI	0.01155066	Co-expression	[Rieger-Chu-2004]
FBP2	PFKFB3	0.011484209	Co-expression	[Mallon-McKay-2013]
AKR1B10	MTMR7	0.011429043	Co-expression	[Cheok-Evans-2003]
ZFP36	PMM2	0.01134952	Co-expression	[Chen-Brown-2002]
PFKL	MPI	0.011348062	Co-expression	[Arijs-Rutgeerts-2009]
TARDBP	MTMR1	0.011146196	Co-expression	[Burington-Shaughnessy-2008]
ZNF518A	FUK	0.011063853	Co-expression	[Arijs-Rutgeerts-2009]
GBAS	FPGT	0.011025461	Co-expression	[Rieger-Chu-2004]
HK3	SCN1B	0.011016948	Co-expression	[Salaverria-Siebert-2011]
PFKFB3	HK2	0.010985123	Co-expression	[Innocenti-Brown-2011]
TUBB4B	NUTF2	0.010978209	Co-expression	[Gysin-McMahon-2012]
TARDBP	MPHOSPH9	0.010971884	Co-expression	[Cheok-Evans-2003]
ZFP36	TUBB4B	0.010953555	Co-expression	[Kang-Willman-2010]
NUTF2	PFDN1	0.010855941	Co-expression	[Smirnov-Cheung-2009]
MTMR6	PFKFB3	0.01084684	Co-expression	[Arijs-Rutgeerts-2009]
GBAS	PFDN1	0.010832677	Co-expression	[Kang-Willman-2010]
PPP2CB	PPP1R7	0.010818977	Co-expression	"[Cheok-Evans-2003, Ramaswamy-Golub-2001]"
TUBB4B	SCN1B	0.010790998	Co-expression	[Wu-Garvey-2007]
GBAS	SERBP1	0.010742946	Co-expression	[Wu-Garvey-2007]
PMM1	PFDN1	0.010737823	Co-expression	[Rieger-Chu-2004]
STMN1	ZNF518A	0.010717411	Co-expression	[Bild-Nevins-2006 B]
MTMR6	C12orf5	0.010715961	Co-expression	[Bahr-Bowler-2013]
NUTF2	STMN1	0.010623878	Co-expression	[Ramaswamy-Golub-2001]
PPP2CA	GBAS	0.010523828	Co-expression	"[Bahr-Bowler-2013, Salaverria-Siebert-2011]"
SORD	SERBP1	0.010495502	Co-expression	[Salaverria-Siebert-2011]
PPP2CB	AKR1B10	0.010475107	Co-expression	[Arijs-Rutgeerts-2009]
BGN	PFKFB3	0.010267513	Co-expression	[Chen-Brown-2002]
ALDOA	GMPPB	0.010258908	Co-expression	[Arijs-Rutgeerts-2009]
PFKM	TPI1	0.01022955	Co-expression	[Roth-Zlotnik-2006]
ZFP36	CSRP1	0.010175225	Co-expression	[Mallon-McKay-2013]
CREG1	POGZ	0.010105575	Co-expression	[Kang-Willman-2010]
FBP2	CDH11	0.010096926	Co-expression	[Kang-Willman-2010]
CREG1	AKR1B10	0.010014435	Co-expression	[Innocenti-Brown-2011]
ALDOA	HK3	0.009915156	Co-expression	[Bahr-Bowler-2013]
PFDN1	STMN1	0.009908932	Co-expression	[Cheok-Evans-2003]
TCF4	PTPN13	0.009679388	Co-expression	[Mallon-McKay-2013]
PPP2CA	BBIP1	0.009643331	Co-expression	[Bild-Nevins-2006 B]
ALDOC	HK2	0.009536032	Co-expression	[Rieger-Chu-2004]
FBP2	SCN1B	0.009503251	Co-expression	[Mallon-McKay-2013]
PPP2CA	MTMR6	0.009295874	Co-expression	[Innocenti-Brown-2011]
PFKP	TPI1	0.0092948	Co-expression	[Bild-Nevins-2006 B]
JAG1	C12orf5	0.009237129	Co-expression	[Arijs-Rutgeerts-2009]
TCF4	VPS13B	0.009232952	Co-expression	[Salaverria-Siebert-2011]
KCTD12	RPL37	0.009168115	Co-expression	[Arijs-Rutgeerts-2009]
PFKP	HK1	0.009099792	Co-expression	[Chen-Brown-2002]
HK3	HK1	0.009096378	Co-expression	[Bahr-Bowler-2013]
SF3B1	SERBP1	0.009007711	Co-expression	[Salaverria-Siebert-2011]
AKR1B10	HK2	0.008728635	Co-expression	[Gysin-McMahon-2012]
ANXA1	AKR1B10	0.008726036	Co-expression	[Bild-Nevins-2006 B]
ZFP36	TCF4	0.008614159	Co-expression	[Smirnov-Cheung-2009]
SORD	C12orf5	0.008580041	Co-expression	[Smirnov-Cheung-2009]
SCN1B	PFKFB4	0.008543919	Co-expression	[Burington-Shaughnessy-2008]
TCF4	JAG1	0.00841436	Co-expression	[Innocenti-Brown-2011]
PPP2CB	C12orf5	0.008387017	Co-expression	[Smirnov-Cheung-2009]
ALDOA	TUBB4B	0.008342722	Co-expression	[Smirnov-Cheung-2009]
ANXA1	PFKP	0.008304919	Co-expression	[Chen-Brown-2002]
PFKM	RPL37	0.008257846	Co-expression	[Arijs-Rutgeerts-2009]
PRPF3	ZFYVE26	0.008203366	Co-expression	[Roth-Zlotnik-2006]
ACTN1	JAG1	0.008179769	Co-expression	[Salaverria-Siebert-2011]
PLOD2	TPI1	0.008043859	Co-expression	[Rieger-Chu-2004]
GMPPA	FUK	0.007925153	Co-expression	[Roth-Zlotnik-2006]
TUBB4B	PFKM	0.007840069	Co-expression	[Smirnov-Cheung-2009]
RPL37	GMDS	0.007835136	Co-expression	[Chen-Brown-2002]
TCF4	BPTF	0.007625246	Co-expression	[Rieger-Chu-2004]
POGZ	MTMR1	0.007618662	Co-expression	[Wu-Garvey-2007]
TUBB4B	STMN1	0.007545209	Co-expression	[Burington-Shaughnessy-2008]
AKR1B10	GMDS	0.007473538	Co-expression	[Gysin-McMahon-2012]
PPP2CB	ZFYVE26	0.007401448	Co-expression	[Cheok-Evans-2003]
MTMR2	JAG1	0.007312727	Co-expression	[Innocenti-Brown-2011]
ACTN1	CSRP1	0.007226367	Co-expression	[Salaverria-Siebert-2011]
SORD	NDUFS5	0.007139788	Co-expression	[Burington-Shaughnessy-2008]
HK2	HK1	0.007135897	Co-expression	[Arijs-Rutgeerts-2009]
ZFP36	CST3	0.007082528	Co-expression	[Salaverria-Siebert-2011]
SORD	ALDOB	0.007064984	Co-expression	[Innocenti-Brown-2011]
SORD	MPI	0.007028857	Co-expression	[Burington-Shaughnessy-2008]
PPP2CA	PPP2CB	0.007020258	Co-expression	[Innocenti-Brown-2011]
ALDOA	PLOD2	0.006948722	Co-expression	[Arijs-Rutgeerts-2009]
CSRP1	SORD	0.006892543	Co-expression	[Ramaswamy-Golub-2001]
PPP1R7	HK1	0.006878061	Co-expression	[Mallon-McKay-2013]
PPP1R7	FUK	0.006868981	Co-expression	[Ramaswamy-Golub-2001]
JAG1	HK1	0.00678993	Co-expression	[Arijs-Rutgeerts-2009]
PPP2CB	SORD	0.006744382	Co-expression	[Ramaswamy-Golub-2001]
ALDOA	FBP2	0.006702508	Co-expression	[Roth-Zlotnik-2006]
FBP1	PFKFB4	0.006592787	Co-expression	[Arijs-Rutgeerts-2009]
CREG1	HK2	0.006588278	Co-expression	[Bahr-Bowler-2013]
RPL37	NDUFS5	0.006536192	Co-expression	"[Cheok-Evans-2003, Wu-Garvey-2007]"
PRPF3	NKTR	0.006298991	Co-expression	[Roth-Zlotnik-2006]
BGN	JAG1	0.006236142	Co-expression	[Burington-Shaughnessy-2008]
PFKL	HK1	0.006185513	Co-expression	[Smirnov-Cheung-2009]
ANXA1	PFKFB3	0.00618357	Co-expression	[Arijs-Rutgeerts-2009]
AKR1B1	DCN	0.006171133	Co-expression	[Arijs-Rutgeerts-2009]
PPP2CB	CSRP1	0.006047527	Co-expression	[Rieger-Chu-2004]
TARDBP	TUBB4B	0.005968377	Co-expression	[Cheok-Evans-2003]
MXI1	PLOD2	0.005895523	Co-expression	[Arijs-Rutgeerts-2009]
HK1	GMPPB	0.005826449	Co-expression	[Arijs-Rutgeerts-2009]
PMM1	BBIP1	0.005761659	Co-expression	[Arijs-Rutgeerts-2009]
PFKP	HK2	0.005671097	Co-expression	[Innocenti-Brown-2011]
NUTF2	C12orf5	0.005239266	Co-expression	[Smirnov-Cheung-2009]
TARDBP	PMM1	0.005223323	Co-expression	[Perou-Botstein-1999]
FBP2	AKR1B10	0.004731495	Co-expression	[Kang-Willman-2010]
BGN	PLOD2	0.004667583	Co-expression	[Salaverria-Siebert-2011]
ANXA1	C12orf5	0.00444594	Co-expression	[Arijs-Rutgeerts-2009]
PPP2CA	PPP1R7	0.004345098	Co-expression	[Salaverria-Siebert-2011]
CREG1	PFKFB4	0.004340875	Co-expression	[Bahr-Bowler-2013]
RPL37	VPS13B	0.004284691	Co-expression	[Cheok-Evans-2003]
BGN	OTUB1	0.004283379	Co-expression	[Burington-Shaughnessy-2008]
PPP2CA	OTUB1	0.004236176	Co-expression	[Salaverria-Siebert-2011]
PPP2CA	KCTD12	0.004212552	Co-expression	[Wu-Garvey-2007]
SF3B1	RPL37	0.004129896	Co-expression	[Cheok-Evans-2003]
SPARC	ACTN1	0.004079338	Co-expression	[Salaverria-Siebert-2011]
BGN	ALDOC	0.003884	Co-expression	[Burington-Shaughnessy-2008]
PLOD2	DCN	0.003818063	Co-expression	[Salaverria-Siebert-2011]
HK3	CREG1	0.003704746	Co-expression	[Salaverria-Siebert-2011]
TCF4	PMM1	0.003667116	Co-expression	[Perou-Botstein-1999]
STMN1	TPI1	0.003558376	Co-expression	[Chen-Brown-2002]
RPL37	SCN1B	0.00353932	Co-expression	[Wu-Garvey-2007]
NUTF2	OTUB1	0.003489818	Co-expression	[Innocenti-Brown-2011]
PFKM	KCTD12	0.003389673	Co-expression	[Arijs-Rutgeerts-2009]
CDH11	DCN	0.003342718	Co-expression	[Salaverria-Siebert-2011]
ALDOC	PFKFB4	0.003328953	Co-expression	[Cheok-Evans-2003]
PTPN13	CDH11	0.003321833	Co-expression	[Innocenti-Brown-2011]
RPL37	ZFYVE26	0.003274402	Co-expression	[Cheok-Evans-2003]
KCTD12	CREG1	0.003016395	Co-expression	[Salaverria-Siebert-2011]
PLOD2	CDH11	0.002914698	Co-expression	[Salaverria-Siebert-2011]
ACTN1	CDH11	0.002867718	Co-expression	[Salaverria-Siebert-2011]
SORD	PFKFB1	0.002770336	Co-expression	[Innocenti-Brown-2011]
PMM1	FUK	0.002765323	Co-expression	[Arijs-Rutgeerts-2009]
PPP2CA	HK1	0.002758226	Co-expression	[Salaverria-Siebert-2011]
AKR1B1	RPL37	0.0026939	Co-expression	[Wu-Garvey-2007]
CSRP1	PPP1R7	0.00266994	Co-expression	[Cheok-Evans-2003]
KCTD12	PPP1R7	0.002105676	Co-expression	[Cheok-Evans-2003]
PPP1R7	ZFYVE26	0.002076222	Co-expression	[Cheok-Evans-2003]
SPARC	AKR1B1	0.001455768	Co-expression	[Arijs-Rutgeerts-2009]
PPP1R7	NDUFS5	0.00134104	Co-expression	[Cheok-Evans-2003]
OTUB1	PPP1R7	6.19E-04	Co-expression	[Cheok-Evans-2003]
