Entity 1	Entity 2	Weight	Network group	Networks
BGN	TGFB1	0.027486381	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011]"
KCTD12	PDGFA	0.027342113	Co-expression	"[Cheok-Evans-2003, Wang-Maris-2006]"
ZFYVE26	VPS13B	0.027025979	Co-expression	"[Gysin-McMahon-2012, Smirnov-Cheung-2009]"
CST3	CSF1	0.026202707	Co-expression	"[Bild-Nevins-2006 B, Salaverria-Siebert-2011]"
ACTN1	PLOD2	0.02593207	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006]"
PLOD2	IL15	0.025722443	Co-expression	"[Kang-Willman-2010, Wu-Garvey-2007]"
SF3B1	ZNF518A	0.025344984	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013]"
MXI1	PTPN13	0.025266312	Co-expression	[Bild-Nevins-2006 B]
SCN1B	CSF1	0.025114002	Co-expression	[Innocenti-Brown-2011]
PTPN13	CSF2	0.024987632	Co-expression	[Wang-Maris-2006]
CXCL1	CSF3	0.024743266	Co-expression	"[Boldrick-Relman-2002, Mallon-McKay-2013]"
GBAS	RAB40B	0.02433913	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011]"
ZFP36	IL1B	0.023910634	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003]"
IL1B	IL10	0.023600641	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013]"
BPTF	NKTR	0.023484251	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011]"
KCTD12	ANXA1	0.023457158	Co-expression	[Smirnov-Cheung-2009]
TNF	CSF2	0.023216993	Co-expression	[Arijs-Rutgeerts-2009]
SF3B1	PRPF3	0.023203736	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006]"
PPP2CA	SF3B1	0.022708592	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011, Wu-Garvey-2007]"
TCF4	CDH11	0.022682625	Co-expression	"[Chen-Brown-2002, Innocenti-Brown-2011]"
CSF3	IL1A	0.022544298	Co-expression	[Alizadeh-Staudt-2000]
TARDBP	KPNA6	0.022155225	Co-expression	[Kang-Willman-2010]
SPARC	JAG1	0.021970163	Co-expression	"[Gysin-McMahon-2012, Salaverria-Siebert-2011]"
ANXA1	JAG1	0.021919994	Co-expression	"[Innocenti-Brown-2011, Salaverria-Siebert-2011]"
PRPF3	ZNF518A	0.020443008	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006]"
ACTN1	CSF1	0.019935954	Co-expression	[Ramaswamy-Golub-2001]
IL6	CSF2	0.019887989	Co-expression	[Arijs-Rutgeerts-2009]
IL12B	TNF	0.019842347	Co-expression	[Arijs-Rutgeerts-2009]
RPL35A	NDUFS5	0.019665865	Co-expression	[Innocenti-Brown-2011]
BPTF	VPS13B	0.019498236	Co-expression	[Bahr-Bowler-2013]
IL12B	IFNG	0.019465359	Co-expression	[Arijs-Rutgeerts-2009]
TARDBP	PPP2CA	0.019183205	Co-expression	[Rieger-Chu-2004]
OTUB1	KPNA6	0.019069093	Co-expression	"[Cheok-Evans-2003, Rieger-Chu-2004]"
MXI1	RPL37	0.018900976	Co-expression	[Roth-Zlotnik-2006]
CSRP1	OTUB1	0.018841505	Co-expression	[Bahr-Bowler-2013]
PRPF3	POGZ	0.018780404	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Salaverria-Siebert-2011]"
SPARC	DCN	0.018715311	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Salaverria-Siebert-2011]"
IL1B	CDH11	0.018528838	Co-expression	[Smirnov-Cheung-2009]
CREG1	IFNB1	0.018494848	Co-expression	[Cheok-Evans-2003]
CXCL1	IL10	0.018467139	Co-expression	[Wu-Garvey-2007]
IL6	IFNB1	0.018340958	Co-expression	[Ramaswamy-Golub-2001]
ZFYVE26	ZNF518A	0.018217847	Co-expression	[Chen-Brown-2002]
OTUB1	CSF1	0.018133258	Co-expression	"[Burington-Shaughnessy-2008, Cheok-Evans-2003]"
CXCL2	ZNF518A	0.01802459	Co-expression	[Rieger-Chu-2004]
IL13	CXCL1	0.017745025	Co-expression	[Rieger-Chu-2004]
IL6	PLOD2	0.017110708	Co-expression	"[Salaverria-Siebert-2011, Wang-Maris-2006]"
ANXA1	IL10	0.016958499	Co-expression	[Smirnov-Cheung-2009]
PPP2CB	CREG1	0.016715877	Co-expression	[Bild-Nevins-2006 B]
CSRP1	PDGFA	0.016535636	Co-expression	[Wang-Maris-2006]
BPTF	IL1A	0.016203917	Co-expression	"[Rieger-Chu-2004, Wang-Maris-2006]"
SPARC	PPP2CB	0.015432489	Co-expression	[Wu-Garvey-2007]
ZFP36	IL10	0.015375838	Co-expression	[Innocenti-Brown-2011]
BPTF	RAB40B	0.015310455	Co-expression	[Wang-Maris-2006]
POGZ	ZNF518A	0.015211349	Co-expression	[Salaverria-Siebert-2011]
ZFP36	ACTN1	0.015206809	Co-expression	[Ramaswamy-Golub-2001]
IFNB1	IL4	0.01519994	Co-expression	[Roth-Zlotnik-2006]
ANXA1	CXCL2	0.015187233	Co-expression	[Arijs-Rutgeerts-2009]
KCTD12	CST3	0.014706234	Co-expression	"[Salaverria-Siebert-2011, Wang-Maris-2006]"
ZFP36	CDH11	0.014560929	Co-expression	[Cheok-Evans-2003]
PTPN13	DCN	0.014492895	Co-expression	[Innocenti-Brown-2011]
CXCL1	CD4	0.014441081	Co-expression	[Burington-Shaughnessy-2008]
HLA-DRA	CD4	0.014379581	Co-expression	[Bild-Nevins-2006 B]
TARDBP	SF3B1	0.014332686	Co-expression	[Kang-Willman-2010]
IL13	CXCL2	0.01421647	Co-expression	[Burington-Shaughnessy-2008]
SCN1B	CDH11	0.014214775	Co-expression	[Cheok-Evans-2003]
HLA-DRA	IL1B	0.014158251	Co-expression	[Roth-Zlotnik-2006]
CDH11	IL10	0.014088741	Co-expression	[Burington-Shaughnessy-2008]
PLOD2	TGFB1	0.014077647	Co-expression	[Mallon-McKay-2013]
ANXA1	PTPN13	0.013947248	Co-expression	[Salaverria-Siebert-2011]
IL15	CXCL2	0.013834799	Co-expression	[Smirnov-Cheung-2009]
MXI1	CXCL2	0.013831522	Co-expression	[Ramaswamy-Golub-2001]
CXCL1	IL1A	0.013758338	Co-expression	[Boldrick-Relman-2002]
TUBB4B	TNF	0.013751039	Co-expression	[Kang-Willman-2010]
BGN	CDH11	0.013633607	Co-expression	"[Chen-Brown-2002, Salaverria-Siebert-2011]"
HLA-DRA	RPL37	0.013587686	Co-expression	"[Rieger-Chu-2004, Wu-Garvey-2007]"
KCTD12	CDH11	0.013560657	Co-expression	"[Bild-Nevins-2006 B, Innocenti-Brown-2011, Mallon-McKay-2013]"
KCTD12	TCF4	0.013312762	Co-expression	[Wu-Garvey-2007]
BPTF	POGZ	0.01328734	Co-expression	[Roth-Zlotnik-2006]
SPARC	PDGFA	0.01324815	Co-expression	[Wang-Maris-2006]
CSRP1	CST3	0.013152901	Co-expression	[Wang-Maris-2006]
IL1B	IFNG	0.012852956	Co-expression	[Innocenti-Brown-2011]
CSF3	CSF2	0.012847659	Co-expression	[Arijs-Rutgeerts-2009]
HLA-DRA	IL15	0.012726431	Co-expression	[Arijs-Rutgeerts-2009]
CXCL1	IL4	0.012707892	Co-expression	[Gysin-McMahon-2012]
MXI1	IL15	0.012656215	Co-expression	[Rieger-Chu-2004]
CSF3	PFDN1	0.012612787	Co-expression	[Rieger-Chu-2004]
CSRP1	PLOD2	0.012506851	Co-expression	[Gysin-McMahon-2012]
TNF	CSF3	0.012402357	Co-expression	[Arijs-Rutgeerts-2009]
IL6	VPS13B	0.012322703	Co-expression	[Smirnov-Cheung-2009]
PTPN13	PDGFA	0.012315331	Co-expression	[Smirnov-Cheung-2009]
IL13	IL4	0.012243192	Co-expression	[Wang-Maris-2006]
TCF4	TNF	0.011969082	Co-expression	[Smirnov-Cheung-2009]
HLA-DRA	PLEKHB1	0.011898475	Co-expression	[Gysin-McMahon-2012]
IL15	HLA-DRB1	0.011741128	Co-expression	[Arijs-Rutgeerts-2009]
IL15	PTPN13	0.011715564	Co-expression	[Boldrick-Relman-2002]
ANXA1	IL15	0.01169102	Co-expression	[Rieger-Chu-2004]
CREG1	RAB40B	0.01162491	Co-expression	[Chen-Brown-2002]
RPL37	SERBP1	0.011608855	Co-expression	[Innocenti-Brown-2011]
SCN1B	IL2	0.011348389	Co-expression	[Burington-Shaughnessy-2008]
ACTN1	IL1B	0.011181998	Co-expression	[Arijs-Rutgeerts-2009]
CST3	HLA-DRB1	0.011103728	Co-expression	[Bahr-Bowler-2013]
TUBB4B	NUTF2	0.010978209	Co-expression	[Gysin-McMahon-2012]
TARDBP	MPHOSPH9	0.010971884	Co-expression	[Cheok-Evans-2003]
ZFP36	TUBB4B	0.010953555	Co-expression	[Kang-Willman-2010]
TCF4	IL1A	0.010949864	Co-expression	[Rieger-Chu-2004]
NUTF2	PFDN1	0.010855941	Co-expression	[Smirnov-Cheung-2009]
GBAS	PFDN1	0.010832677	Co-expression	[Kang-Willman-2010]
PPP2CB	PPP1R7	0.010818977	Co-expression	"[Cheok-Evans-2003, Ramaswamy-Golub-2001]"
TUBB4B	SCN1B	0.010790998	Co-expression	[Wu-Garvey-2007]
CXCL1	IL15	0.010768859	Co-expression	[Gysin-McMahon-2012]
GBAS	SERBP1	0.010742946	Co-expression	[Wu-Garvey-2007]
STMN1	ZNF518A	0.010717411	Co-expression	[Bild-Nevins-2006 B]
HLA-DRB1	CSF1	0.010654415	Co-expression	[Chen-Brown-2002]
NUTF2	STMN1	0.010623878	Co-expression	[Ramaswamy-Golub-2001]
IL1B	CSF3	0.010589934	Co-expression	[Boldrick-Relman-2002]
ACTN1	CXCL1	0.010578343	Co-expression	[Arijs-Rutgeerts-2009]
PPP2CA	GBAS	0.010523828	Co-expression	"[Bahr-Bowler-2013, Salaverria-Siebert-2011]"
IL12B	IFNB1	0.010428215	Co-expression	[Burington-Shaughnessy-2008]
CSF3	DCN	0.010258473	Co-expression	[Gysin-McMahon-2012]
IL6	IL12B	0.010236732	Co-expression	[Smirnov-Cheung-2009]
ZFP36	CSRP1	0.010175225	Co-expression	[Mallon-McKay-2013]
IL6	IL4	0.010158534	Co-expression	[Smirnov-Cheung-2009]
CREG1	POGZ	0.010105575	Co-expression	[Kang-Willman-2010]
IFNG	CSF1	0.009951006	Co-expression	[Salaverria-Siebert-2011]
PFDN1	STMN1	0.009908932	Co-expression	[Cheok-Evans-2003]
HLA-DRA	CST3	0.009872714	Co-expression	[Bahr-Bowler-2013]
IL6	IFNG	0.009774097	Co-expression	[Innocenti-Brown-2011]
TCF4	PTPN13	0.009679388	Co-expression	[Mallon-McKay-2013]
PPP2CA	BBIP1	0.009643331	Co-expression	[Bild-Nevins-2006 B]
ZFP36	CSF3	0.009625001	Co-expression	[Arijs-Rutgeerts-2009]
IFNB1	IFNG	0.009480963	Co-expression	[Wu-Garvey-2007]
TCF4	VPS13B	0.009232952	Co-expression	[Salaverria-Siebert-2011]
KCTD12	RPL37	0.009168115	Co-expression	[Arijs-Rutgeerts-2009]
SF3B1	SERBP1	0.009007711	Co-expression	[Salaverria-Siebert-2011]
IFNG	IL10	0.008720053	Co-expression	[Salaverria-Siebert-2011]
ZFP36	TCF4	0.008614159	Co-expression	[Smirnov-Cheung-2009]
TCF4	JAG1	0.00841436	Co-expression	[Innocenti-Brown-2011]
SPARC	IL15	0.008226935	Co-expression	[Boldrick-Relman-2002]
PRPF3	ZFYVE26	0.008203366	Co-expression	[Roth-Zlotnik-2006]
ACTN1	JAG1	0.008179769	Co-expression	[Salaverria-Siebert-2011]
ZFYVE26	IL10	0.008079013	Co-expression	[Wang-Maris-2006]
IL13	IL5	0.007987777	Co-expression	[Roth-Zlotnik-2006]
CSF3	SCN1B	0.007824616	Co-expression	[Burington-Shaughnessy-2008]
TCF4	BPTF	0.007625246	Co-expression	[Rieger-Chu-2004]
TUBB4B	STMN1	0.007545209	Co-expression	[Burington-Shaughnessy-2008]
PLOD2	PDGFA	0.007469997	Co-expression	[Salaverria-Siebert-2011]
PPP2CB	ZFYVE26	0.007401448	Co-expression	[Cheok-Evans-2003]
HLA-DRA	GBAS	0.007309115	Co-expression	[Bahr-Bowler-2013]
ACTN1	CSRP1	0.007226367	Co-expression	[Salaverria-Siebert-2011]
ZFP36	CST3	0.007082528	Co-expression	[Salaverria-Siebert-2011]
IL15	CD4	0.007023032	Co-expression	[Chen-Brown-2002]
PPP2CA	PPP2CB	0.007020258	Co-expression	[Innocenti-Brown-2011]
RPL37	NDUFS5	0.006536192	Co-expression	"[Cheok-Evans-2003, Wu-Garvey-2007]"
TNF	JAG1	0.006367969	Co-expression	[Burington-Shaughnessy-2008]
PRPF3	NKTR	0.006298991	Co-expression	[Roth-Zlotnik-2006]
BGN	JAG1	0.006236142	Co-expression	[Burington-Shaughnessy-2008]
SPARC	HLA-DRB1	0.006219935	Co-expression	[Alizadeh-Staudt-2000]
BGN	HLA-DRB1	0.006134932	Co-expression	[Smirnov-Cheung-2009]
CXCL1	JAG1	0.006080989	Co-expression	[Innocenti-Brown-2011]
PPP2CB	CSRP1	0.006047527	Co-expression	[Rieger-Chu-2004]
TARDBP	TUBB4B	0.005968377	Co-expression	[Cheok-Evans-2003]
MXI1	PLOD2	0.005895523	Co-expression	[Arijs-Rutgeerts-2009]
SF3B1	IL1A	0.005784318	Co-expression	[Bild-Nevins-2006 B]
IL12B	CSF3	0.005443995	Co-expression	[Bild-Nevins-2006 B]
CDH11	PDGFA	0.00540625	Co-expression	[Salaverria-Siebert-2011]
CREG1	IL15	0.005405101	Co-expression	[Bahr-Bowler-2013]
HLA-DRB1	CSF2	0.005276355	Co-expression	[Smirnov-Cheung-2009]
IL13	TNF	0.005223344	Co-expression	[Burington-Shaughnessy-2008]
CD4	HLA-DRB1	0.005066175	Co-expression	[Chen-Brown-2002]
IL12B	IL5	0.005016032	Co-expression	[Wang-Maris-2006]
ANXA1	CXCL1	0.004707158	Co-expression	[Arijs-Rutgeerts-2009]
BGN	PLOD2	0.004667583	Co-expression	[Salaverria-Siebert-2011]
BGN	CD4	0.004538022	Co-expression	[Chen-Brown-2002]
PPP2CA	PPP1R7	0.004345098	Co-expression	[Salaverria-Siebert-2011]
RPL37	VPS13B	0.004284691	Co-expression	[Cheok-Evans-2003]
OTUB1	BGN	0.004283379	Co-expression	[Burington-Shaughnessy-2008]
TNF	CST3	0.00426146	Co-expression	[Burington-Shaughnessy-2008]
CSF3	HLA-DRB1	0.00425198	Co-expression	[Smirnov-Cheung-2009]
PPP2CA	OTUB1	0.004236176	Co-expression	[Salaverria-Siebert-2011]
PPP2CA	KCTD12	0.004212552	Co-expression	[Wu-Garvey-2007]
SF3B1	RPL37	0.004129896	Co-expression	[Cheok-Evans-2003]
SPARC	ACTN1	0.004079338	Co-expression	[Salaverria-Siebert-2011]
PLOD2	DCN	0.003818063	Co-expression	[Salaverria-Siebert-2011]
RPL37	SCN1B	0.00353932	Co-expression	[Wu-Garvey-2007]
NUTF2	OTUB1	0.003489818	Co-expression	[Innocenti-Brown-2011]
CDH11	DCN	0.003342718	Co-expression	[Salaverria-Siebert-2011]
PTPN13	CDH11	0.003321833	Co-expression	[Innocenti-Brown-2011]
RPL37	ZFYVE26	0.003274402	Co-expression	[Cheok-Evans-2003]
KCTD12	CREG1	0.003016395	Co-expression	[Salaverria-Siebert-2011]
PLOD2	CDH11	0.002914698	Co-expression	[Salaverria-Siebert-2011]
ACTN1	CDH11	0.002867718	Co-expression	[Salaverria-Siebert-2011]
CSRP1	PPP1R7	0.00266994	Co-expression	[Cheok-Evans-2003]
KCTD12	PPP1R7	0.002105676	Co-expression	[Cheok-Evans-2003]
PPP1R7	ZFYVE26	0.002076222	Co-expression	[Cheok-Evans-2003]
BGN	TNF	0.001727099	Co-expression	[Burington-Shaughnessy-2008]
PPP1R7	NDUFS5	0.00134104	Co-expression	[Cheok-Evans-2003]
OTUB1	PPP1R7	6.19E-04	Co-expression	[Cheok-Evans-2003]
HLA-DRA	HLA-DRB1	2.553651612	Physical interactions	"[IREF-BIND, IREF-DIP, IREF-INTACT, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
IL13	IL4	1.08051135	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
TNF	CSF1	0.521783363	Physical interactions	"[IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
ACTN1	CSRP1	0.518797666	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-HPRD, IREF-SMALL-SCALE-STUDIES]"
SPARC	PDGFA	0.363279138	Physical interactions	"[IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
BGN	TNF	0.260969436	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
TUBB4B	PFDN1	0.242724195	Physical interactions	[Hutchins-Peters-2010]
TNF	IFNG	0.208135393	Physical interactions	"[IREF-HPRD, IREF-SMALL-SCALE-STUDIES]"
TNF	DCN	0.172616629	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
ANXA1	OTUB1	0.170141712	Physical interactions	"[IREF-INTACT, Vinayagam-Wanker-2011]"
BGN	TGFB1	0.13415581	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
TGFB1	DCN	0.093207232	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
SPARC	TGFB1	0.089698281	Physical interactions	"[IREF-HPRD, IREF-OPHID, IREF-SMALL-SCALE-STUDIES]"
PPP2CA	PFDN1	0.070346452	Physical interactions	[Kristensen-Foster-2012]
TARDBP	SERBP1	0.067115605	Physical interactions	[Freibaum-Taylor-2010]
TARDBP	PRPF3	0.067115605	Physical interactions	[Freibaum-Taylor-2010]
ANXA1	CD4	0.041608067	Physical interactions	"[BIOGRID-SMALL-SCALE-STUDIES, IREF-SMALL-SCALE-STUDIES]"
TARDBP	SF3B1	0.041002333	Physical interactions	[Havugimana-Emili-2012]
ZFP36	TNF	0.035482273	Physical interactions	[BIOGRID-SMALL-SCALE-STUDIES]
