Pathway1,Pathway2,vec
Cholinergic.synapse_Homo.sapiens_hsa04725,Insulin.secretion_Homo.sapiens_hsa04911,0.4375
Amphetamine.addiction_Homo.sapiens_hsa05031,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.428571429
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.428571429
Long.term.depression_Homo.sapiens_hsa04730,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.428571429
Cholinergic.synapse_Homo.sapiens_hsa04725,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.428571429
Cocaine.addiction_Homo.sapiens_hsa05030,Nicotine.addiction_Homo.sapiens_hsa05033,0.428571429
Amphetamine.addiction_Homo.sapiens_hsa05031,Nicotine.addiction_Homo.sapiens_hsa05033,0.428571429
Dopaminergic.synapse_Homo.sapiens_hsa04728,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.421052632
Insulin.resistance_Homo.sapiens_hsa04931,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.421052632
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Long.term.potentiation_Homo.sapiens_hsa04720,0.416666667
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.416666667
Influenza.A_Homo.sapiens_hsa05164,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.411764706
Dopaminergic.synapse_Homo.sapiens_hsa04728,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.411764706
Circadian.entrainment_Homo.sapiens_hsa04713,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.409090909
Long.term.potentiation_Homo.sapiens_hsa04720,Circadian.entrainment_Homo.sapiens_hsa04713,0.4
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.4
Cholinergic.synapse_Homo.sapiens_hsa04725,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.4
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Melanogenesis_Homo.sapiens_hsa04916,0.4
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.4
Cholinergic.synapse_Homo.sapiens_hsa04725,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.4
Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,Renin.secretion_Homo.sapiens_hsa04924,0.4
Alzheimer.s.disease_Homo.sapiens_hsa05010,Huntington.s.disease_Homo.sapiens_hsa05016,0.391304348
Insulin.signaling.pathway_Homo.sapiens_hsa04910,AMPK.signaling.pathway_Homo.sapiens_hsa04152,0.388888889
Cholinergic.synapse_Homo.sapiens_hsa04725,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.388888889
Insulin.secretion_Homo.sapiens_hsa04911,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.384615385
Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.384615385
Long.term.potentiation_Homo.sapiens_hsa04720,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.380952381
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.380952381
Long.term.potentiation_Homo.sapiens_hsa04720,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.380952381
Glutamatergic.synapse_Homo.sapiens_hsa04724,Long.term.potentiation_Homo.sapiens_hsa04720,0.375
Long.term.depression_Homo.sapiens_hsa04730,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.375
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Insulin.secretion_Homo.sapiens_hsa04911,0.375
Hepatitis.B_Homo.sapiens_hsa05161,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.375
Glutamatergic.synapse_Homo.sapiens_hsa04724,Alcoholism_Homo.sapiens_hsa05034,0.375
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.375
Insulin.resistance_Homo.sapiens_hsa04931,Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,0.375
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Melanogenesis_Homo.sapiens_hsa04916,0.375
Cholinergic.synapse_Homo.sapiens_hsa04725,Serotonergic.synapse_Homo.sapiens_hsa04726,0.375
Long.term.potentiation_Homo.sapiens_hsa04720,Oocyte.meiosis_Homo.sapiens_hsa04114,0.375
Insulin.resistance_Homo.sapiens_hsa04931,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.375
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.37037037
TNF.signaling.pathway_Homo.sapiens_hsa04668,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.368421053
Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.363636364
Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.363636364
Serotonergic.synapse_Homo.sapiens_hsa04726,Renin.secretion_Homo.sapiens_hsa04924,0.363636364
Insulin.secretion_Homo.sapiens_hsa04911,Vasopressin.regulated.water.reabsorption_Homo.sapiens_hsa04962,0.363636364
Glutamatergic.synapse_Homo.sapiens_hsa04724,Cocaine.addiction_Homo.sapiens_hsa05030,0.36
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.36
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.357142857
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.357142857
Long.term.depression_Homo.sapiens_hsa04730,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.357142857
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.357142857
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.357142857
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.357142857
Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.357142857
Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.357142857
Long.term.depression_Homo.sapiens_hsa04730,Gap.junction_Homo.sapiens_hsa04540,0.352941176
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.352941176
Dopaminergic.synapse_Homo.sapiens_hsa04728,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.352941176
TNF.signaling.pathway_Homo.sapiens_hsa04668,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.352941176
Amphetamine.addiction_Homo.sapiens_hsa05031,Long.term.potentiation_Homo.sapiens_hsa04720,0.35
Glutamatergic.synapse_Homo.sapiens_hsa04724,Circadian.entrainment_Homo.sapiens_hsa04713,0.346153846
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Circadian.entrainment_Homo.sapiens_hsa04713,0.333333333
Glutamatergic.synapse_Homo.sapiens_hsa04724,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.333333333
Circadian.entrainment_Homo.sapiens_hsa04713,Cholinergic.synapse_Homo.sapiens_hsa04725,0.333333333
Long.term.depression_Homo.sapiens_hsa04730,Cholinergic.synapse_Homo.sapiens_hsa04725,0.333333333
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.333333333
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Neurotrophin.signaling.pathway_Homo.sapiens_hsa04722,0.333333333
Amphetamine.addiction_Homo.sapiens_hsa05031,Insulin.secretion_Homo.sapiens_hsa04911,0.333333333
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,0.333333333
Dopaminergic.synapse_Homo.sapiens_hsa04728,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.333333333
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.333333333
Circadian.entrainment_Homo.sapiens_hsa04713,Alcoholism_Homo.sapiens_hsa05034,0.333333333
Insulin.resistance_Homo.sapiens_hsa04931,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.333333333
Dopaminergic.synapse_Homo.sapiens_hsa04728,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.333333333
Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.333333333
Long.term.depression_Homo.sapiens_hsa04730,Serotonergic.synapse_Homo.sapiens_hsa04726,0.333333333
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Serotonergic.synapse_Homo.sapiens_hsa04726,0.333333333
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.333333333
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.333333333
Glutamatergic.synapse_Homo.sapiens_hsa04724,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.333333333
Gap.junction_Homo.sapiens_hsa04540,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.333333333
Long.term.potentiation_Homo.sapiens_hsa04720,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.333333333
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.333333333
Melanogenesis_Homo.sapiens_hsa04916,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.333333333
Serotonergic.synapse_Homo.sapiens_hsa04726,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.333333333
Oocyte.meiosis_Homo.sapiens_hsa04114,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.333333333
Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.333333333
Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,Nicotine.addiction_Homo.sapiens_hsa05033,0.333333333
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.32
Glutamatergic.synapse_Homo.sapiens_hsa04724,Serotonergic.synapse_Homo.sapiens_hsa04726,0.318181818
Long.term.potentiation_Homo.sapiens_hsa04720,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.315789474
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.315789474
Cholinergic.synapse_Homo.sapiens_hsa04725,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.315789474
Long.term.potentiation_Homo.sapiens_hsa04720,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.315789474
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.315789474
Dopaminergic.synapse_Homo.sapiens_hsa04728,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.315789474
TNF.signaling.pathway_Homo.sapiens_hsa04668,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.315789474
Dopaminergic.synapse_Homo.sapiens_hsa04728,Serotonergic.synapse_Homo.sapiens_hsa04726,0.315789474
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,0.3125
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.3125
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.3125
Gap.junction_Homo.sapiens_hsa04540,Serotonergic.synapse_Homo.sapiens_hsa04726,0.3125
Gap.junction_Homo.sapiens_hsa04540,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.3125
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Oocyte.meiosis_Homo.sapiens_hsa04114,0.3125
Tuberculosis_Homo.sapiens_hsa05152,Pertussis_Homo.sapiens_hsa05133,0.3125
Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,Melanogenesis_Homo.sapiens_hsa04916,0.307692308
Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.307692308
Insulin.secretion_Homo.sapiens_hsa04911,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.307692308
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,ErbB.signaling.pathway_Homo.sapiens_hsa04012,0.307692308
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Pertussis_Homo.sapiens_hsa05133,0.307692308
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,Pertussis_Homo.sapiens_hsa05133,0.307692308
Long.term.depression_Homo.sapiens_hsa04730,Renin.secretion_Homo.sapiens_hsa04924,0.307692308
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Renin.secretion_Homo.sapiens_hsa04924,0.307692308
Cocaine.addiction_Homo.sapiens_hsa05030,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.304347826
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Long.term.depression_Homo.sapiens_hsa04730,0.304347826
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.304347826
Platelet.activation_Homo.sapiens_hsa04611,Rap1.signaling.pathway_Homo.sapiens_hsa04015,0.304347826
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Melanogenesis_Homo.sapiens_hsa04916,0.304347826
Circadian.entrainment_Homo.sapiens_hsa04713,Long.term.depression_Homo.sapiens_hsa04730,0.3
Amphetamine.addiction_Homo.sapiens_hsa05031,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.3
Dopaminergic.synapse_Homo.sapiens_hsa04728,Insulin.secretion_Homo.sapiens_hsa04911,0.3
Influenza.A_Homo.sapiens_hsa05164,Hepatitis.B_Homo.sapiens_hsa05161,0.3
Cholinergic.synapse_Homo.sapiens_hsa04725,Alcoholism_Homo.sapiens_hsa05034,0.3
Platelet.activation_Homo.sapiens_hsa04611,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.3
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.3
Glutamatergic.synapse_Homo.sapiens_hsa04724,Nicotine.addiction_Homo.sapiens_hsa05033,0.3
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.3
Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.3
RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,NOD.like.receptor.signaling.pathway_Homo.sapiens_hsa04621,0.3
Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,Vasopressin.regulated.water.reabsorption_Homo.sapiens_hsa04962,0.3
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.296296296
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.296296296
Hepatitis.B_Homo.sapiens_hsa05161,Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,0.294117647
Long.term.potentiation_Homo.sapiens_hsa04720,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.294117647
Cholinergic.synapse_Homo.sapiens_hsa04725,Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,0.294117647
Insulin.signaling.pathway_Homo.sapiens_hsa04910,Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,0.294117647
Alcoholism_Homo.sapiens_hsa05034,Melanogenesis_Homo.sapiens_hsa04916,0.294117647
Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,Vascular.smooth.muscle.contraction_Homo.sapiens_hsa04270,0.294117647
Circadian.entrainment_Homo.sapiens_hsa04713,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.294117647
Dopaminergic.synapse_Homo.sapiens_hsa04728,Renin.secretion_Homo.sapiens_hsa04924,0.294117647
Circadian.entrainment_Homo.sapiens_hsa04713,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.291666667
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Glucagon.signaling.pathway_Homo.sapiens_hsa04922,0.291666667
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,0.291666667
Apoptosis_Homo.sapiens_hsa04210,TNF.signaling.pathway_Homo.sapiens_hsa04668,0.285714286
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,0.285714286
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Cholinergic.synapse_Homo.sapiens_hsa04725,0.285714286
Glutamatergic.synapse_Homo.sapiens_hsa04724,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.285714286
Insulin.resistance_Homo.sapiens_hsa04931,Hepatitis.B_Homo.sapiens_hsa05161,0.285714286
Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,Serotonergic.synapse_Homo.sapiens_hsa04726,0.285714286
Inflammatory.mediator.regulation.of.TRP.channels_Homo.sapiens_hsa04750,Oocyte.meiosis_Homo.sapiens_hsa04114,0.285714286
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.285714286
Long.term.depression_Homo.sapiens_hsa04730,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.285714286
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.285714286
Toll.like.receptor.signaling.pathway_Homo.sapiens_hsa04620,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.285714286
Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,T.cell.receptor.signaling.pathway_Homo.sapiens_hsa04660,0.285714286
cAMP.signaling.pathway_Homo.sapiens_hsa04024,Nicotine.addiction_Homo.sapiens_hsa05033,0.285714286
Gap.junction_Homo.sapiens_hsa04540,Renin.secretion_Homo.sapiens_hsa04924,0.285714286
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Renin.secretion_Homo.sapiens_hsa04924,0.285714286
Long.term.potentiation_Homo.sapiens_hsa04720,Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,0.28
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Aldosterone.synthesis.and.secretion_Homo.sapiens_hsa04925,0.28
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Cholinergic.synapse_Homo.sapiens_hsa04725,0.28
Long.term.depression_Homo.sapiens_hsa04730,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.277777778
Long.term.potentiation_Homo.sapiens_hsa04720,Amyotrophic.lateral.sclerosis..ALS._Homo.sapiens_hsa05014,0.277777778
GnRH.signaling.pathway_Homo.sapiens_hsa04912,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.277777778
Gap.junction_Homo.sapiens_hsa04540,Estrogen.signaling.pathway_Homo.sapiens_hsa04915,0.277777778
Estrogen.signaling.pathway_Homo.sapiens_hsa04915,Adrenergic.signaling.in.cardiomyocytes_Homo.sapiens_hsa04261,0.277777778
Amphetamine.addiction_Homo.sapiens_hsa05031,Melanogenesis_Homo.sapiens_hsa04916,0.277777778
Circadian.entrainment_Homo.sapiens_hsa04713,Retrograde.endocannabinoid.signaling_Homo.sapiens_hsa04723,0.277777778
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Dopaminergic.synapse_Homo.sapiens_hsa04728,0.275862069
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Alzheimer.s.disease_Homo.sapiens_hsa05010,0.275862069
Dopaminergic.synapse_Homo.sapiens_hsa04728,GnRH.signaling.pathway_Homo.sapiens_hsa04912,0.272727273
Glucagon.signaling.pathway_Homo.sapiens_hsa04922,Huntington.s.disease_Homo.sapiens_hsa05016,0.272727273
Insulin.resistance_Homo.sapiens_hsa04931,Insulin.signaling.pathway_Homo.sapiens_hsa04910,0.272727273
Insulin.resistance_Homo.sapiens_hsa04931,Non.alcoholic.fatty.liver.disease..NAFLD._Homo.sapiens_hsa04932,0.272727273
Oxytocin.signaling.pathway_Homo.sapiens_hsa04921,Melanogenesis_Homo.sapiens_hsa04916,0.272727273
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.272727273
Type.II.diabetes.mellitus_Homo.sapiens_hsa04930,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.272727273
Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.272727273
Thyroid.hormone.synthesis_Homo.sapiens_hsa04918,Renin.secretion_Homo.sapiens_hsa04924,0.272727273
Longevity.regulating.pathway...mammal_Homo.sapiens_hsa04211,Vasopressin.regulated.water.reabsorption_Homo.sapiens_hsa04962,0.272727273
Melanogenesis_Homo.sapiens_hsa04916,Vasopressin.regulated.water.reabsorption_Homo.sapiens_hsa04962,0.272727273
Calcium.signaling.pathway_Homo.sapiens_hsa04020,Gap.junction_Homo.sapiens_hsa04540,0.269230769
cGMP.PKG.signaling.pathway_Homo.sapiens_hsa04022,Sphingolipid.signaling.pathway_Homo.sapiens_hsa04071,0.269230769
Chagas.disease..American.trypanosomiasis._Homo.sapiens_hsa05142,NF.kappa.B.signaling.pathway_Homo.sapiens_hsa04064,0.266666667
Wnt.signaling.pathway_Homo.sapiens_hsa04310,Oocyte.meiosis_Homo.sapiens_hsa04114,0.266666667
Gap.junction_Homo.sapiens_hsa04540,Gastric.acid.secretion_Homo.sapiens_hsa04971,0.266666667
Hepatitis.B_Homo.sapiens_hsa05161,Epithelial.cell.signaling.in.Helicobacter.pylori.infection_Homo.sapiens_hsa05120,0.266666667
AMPK.signaling.pathway_Homo.sapiens_hsa04152,Adipocytokine.signaling.pathway_Homo.sapiens_hsa04920,0.266666667
Hepatitis.B_Homo.sapiens_hsa05161,RIG.I.like.receptor.signaling.pathway_Homo.sapiens_hsa04622,0.266666667
Hepatitis.B_Homo.sapiens_hsa05161,Pertussis_Homo.sapiens_hsa05133,0.266666667
Long.term.potentiation_Homo.sapiens_hsa04720,Nicotine.addiction_Homo.sapiens_hsa05033,0.266666667
Long.term.potentiation_Homo.sapiens_hsa04720,Renin.secretion_Homo.sapiens_hsa04924,0.266666667
Cholinergic.synapse_Homo.sapiens_hsa04725,Renin.secretion_Homo.sapiens_hsa04924,0.266666667
