No C9,No CHMP2B,No sALS,No FTLD,No VCP,No Petrucelli,No Ravits
,STK3,,RAB40B,KPNA6,PTEN,SCN1B
,KPNA6,,PPP1R7,DCN,STMN1,MPHOSPH9
,DCN,,GBAS,BICD1,MINA,LSM5
,SCN1B,,ANXA1,PSMD4,RNF130,ZNF518A
,SF3B1,,SSR4,DUSP1,RTN1,SLC4A7
,ITGA6,,,SCN1B,IREB2,ZNF638
,MPHOSPH9,,,TRIM22,CDS2,PTPN13
,VPS13B,,,MPHOSPH9,DMXL1,RAB40B
,ZNF518A,,,PPP2CB,PRPF3,COX20
,GNG12,,,CREG1,SSFA2,PPP1R7
,NEBL,,,ZCCHC11,CIAPIN1,ZNF493
,BBIP1,,,TPGS2,CTNNA1,SLC2A3
,PTPN13,,,MTUS1,NDUFS5,GBAS
,RAB40B,,,SNAPC5,DYNC1H1,DGUOK
,PPP1R7,,,ZNF518A,TCF4,COX6A1
,GBAS,,,FBN1,ZBTB43,ORAI2
,MAPK14,,,SPINT2,WDR78,ANXA1
,DGKD,,,RPL22,ZIC1,
,DYNLT3,,,TGFBR2,ZFYVE26,
,ANXA1,,,PTPN13,ZFP36,
,,,,RAB40B,MEIS2,
,,,,RBM39,DDX39A,
,,,,PLSCR1,KPNA6,
,,,,S100B,DCN,
,,,,PPP1R7,CAPN2,
,,,,GBAS,CD63,
,,,,ZMYND11,PSMD1,
,,,,ANKS1A,PTPRC,
,,,,ANXA1,SCN1B,
,,,,TXNL4A,MPHOSPH9,
,,,,,ITM2A,
,,,,,MON2,
,,,,,CX3CR1,
,,,,,TNFAIP1,
,,,,,ZNF518A,
,,,,,HLTF,
,,,,,PTPN13,
,,,,,RAB40B,
,,,,,RHOA,
,,,,,PPP1R7,
,,,,,ABCD3,
,,,,,IL6ST,
,,,,,EIF3E,
,,,,,GBAS,
,,,,,DHRS7,
,,,,,ANXA1,
,,,,,C5orf15,
