GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 15:04:47 BST 2017

Gene	Score	Description
MLH3		mutL homolog 3 [Source:HGNC Symbol;Acc:7128]
MLF1IP (CENPU)		MLF1 interacting protein [Source:HGNC Symbol;Acc:21348]
MUS81		MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:29814]
ALMS1		Alstrom syndrome 1 [Source:HGNC Symbol;Acc:428]
ADAM17		ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:195]
UPF3B		UPF3 regulator of nonsense transcripts homolog B (yeast) [Source:HGNC Symbol;Acc:20439]
KRIT1		KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]
GOLGA7		golgin A7 [Source:HGNC Symbol;Acc:24876]
EFEMP1		EGF containing fibulin-like extracellular matrix protein 1 [Source:HGNC Symbol;Acc:3218]
CLK4		CDC-like kinase 4 [Source:HGNC Symbol;Acc:13659]
HNMT		histamine N-methyltransferase [Source:HGNC Symbol;Acc:5028]
ARMC1		armadillo repeat containing 1 [Source:HGNC Symbol;Acc:17684]
ABCA8		ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:38]
TRAK1		trafficking protein, kinesin binding 1 [Source:HGNC Symbol;Acc:29947]
C6orf120		chromosome 6 open reading frame 120 [Source:HGNC Symbol;Acc:21247]
ZCCHC10		zinc finger, CCHC domain containing 10 [Source:HGNC Symbol;Acc:25954]
KAT6A		K(lysine) acetyltransferase 6A [Source:HGNC Symbol;Acc:13013]
SASH1		SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:19182]
FOXN3		forkhead box N3 [Source:HGNC Symbol;Acc:1928]
MAP4K3		mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:6865]
CDK12		cyclin-dependent kinase 12 [Source:HGNC Symbol;Acc:24224]
TPP1		tripeptidyl peptidase I [Source:HGNC Symbol;Acc:2073]
SCAF11		SR-related CTD-associated factor 11 [Source:HGNC Symbol;Acc:10784]
AUTS2		autism susceptibility candidate 2 [Source:HGNC Symbol;Acc:14262]
CBLB		Cbl proto-oncogene B, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:1542]
CARD8		caspase recruitment domain family, member 8 [Source:HGNC Symbol;Acc:17057]
TMCO1		transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:18188]
ITPR2		inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:6181]
MAP4K5		mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:6867]
PAPOLA		poly(A) polymerase alpha [Source:HGNC Symbol;Acc:14981]
CEP57		centrosomal protein 57kDa [Source:HGNC Symbol;Acc:30794]
RBM12		RNA binding motif protein 12 [Source:HGNC Symbol;Acc:9898]
TWIST1		twist basic helix-loop-helix transcription factor 1 [Source:HGNC Symbol;Acc:12428]
MED14		mediator complex subunit 14 [Source:HGNC Symbol;Acc:2370]
ENPP2		ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:3357]
ZNF292		zinc finger protein 292 [Source:HGNC Symbol;Acc:18410]
MON2		MON2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29177]
ZFYVE26		zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]
NEK1		NIMA-related kinase 1 [Source:HGNC Symbol;Acc:7744]
ZCCHC8		zinc finger, CCHC domain containing 8 [Source:HGNC Symbol;Acc:25265]
PIGA		phosphatidylinositol glycan anchor biosynthesis, class A [Source:HGNC Symbol;Acc:8957]
HIPK1		homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:19006]
JMJD1C		jumonji domain containing 1C [Source:HGNC Symbol;Acc:12313]
RPS6KA2		ribosomal protein S6 kinase, 90kDa, polypeptide 2 [Source:HGNC Symbol;Acc:10431]
NAA50		N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:HGNC Symbol;Acc:29533]
GPNMB		glycoprotein (transmembrane) nmb [Source:HGNC Symbol;Acc:4462]
CDH11		cadherin 11, type 2, OB-cadherin (osteoblast) [Source:HGNC Symbol;Acc:1750]
WSB1		WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:19221]
SMC5		structural maintenance of chromosomes 5 [Source:HGNC Symbol;Acc:20465]
CPSF6		cleavage and polyadenylation specific factor 6, 68kDa [Source:HGNC Symbol;Acc:13871]
U2SURP		U2 snRNP-associated SURP domain containing [Source:HGNC Symbol;Acc:30855]
PDE4B		phosphodiesterase 4B, cAMP-specific [Source:HGNC Symbol;Acc:8781]
HMGN4		high mobility group nucleosomal binding domain 4 [Source:HGNC Symbol;Acc:4989]
CALD1		caldesmon 1 [Source:HGNC Symbol;Acc:1441]
LPL		lipoprotein lipase [Source:HGNC Symbol;Acc:6677]
SLC35A3		solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3 [Source:HGNC Symbol;Acc:11023]
PTPRA		protein tyrosine phosphatase, receptor type, A [Source:HGNC Symbol;Acc:9664]
NBR1		neighbor of BRCA1 gene 1 [Source:HGNC Symbol;Acc:6746]
SSFA2		sperm specific antigen 2 [Source:HGNC Symbol;Acc:11319]
IFRD1		interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]
MFN1		mitofusin 1 [Source:HGNC Symbol;Acc:18262]
LPP		LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:6679]
SETD2		SET domain containing 2 [Source:HGNC Symbol;Acc:18420]
GSAP		gamma-secretase activating protein [Source:HGNC Symbol;Acc:28042]
RBPJ		recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:5724]
DENND4A		DENN/MADD domain containing 4A [Source:HGNC Symbol;Acc:24321]
PALLD		palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:17068]
NSMAF		neutral sphingomyelinase (N-SMase) activation associated factor [Source:HGNC Symbol;Acc:8017]
RIT1		Ras-like without CAAX 1 [Source:HGNC Symbol;Acc:10023]
ATP8B1		ATPase, aminophospholipid transporter, class I, type 8B, member 1 [Source:HGNC Symbol;Acc:3706]
MYOF		myoferlin [Source:HGNC Symbol;Acc:3656]
CLIC4		chloride intracellular channel 4 [Source:HGNC Symbol;Acc:13518]
ZFC3H1		zinc finger, C3H1-type containing [Source:HGNC Symbol;Acc:28328]
AGO3		argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:18421]
SEC24A		SEC24 family, member A (S. cerevisiae) [Source:HGNC Symbol;Acc:10703]
HLA-B		major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:4932]
PRPF4B		pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:17346]
ANKRD28		ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:29024]
PNN		pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]
SOCS2		suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:19382]
RAB27A		RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:9766]
SLC26A2		solute carrier family 26 (anion exchanger), member 2 [Source:HGNC Symbol;Acc:10994]
TCF12		transcription factor 12 [Source:HGNC Symbol;Acc:11623]
TMED10		transmembrane emp24-like trafficking protein 10 (yeast) [Source:HGNC Symbol;Acc:16998]
NEK4		NIMA-related kinase 4 [Source:HGNC Symbol;Acc:11399]
PHF3		PHD finger protein 3 [Source:HGNC Symbol;Acc:8921]
CTSH		cathepsin H [Source:HGNC Symbol;Acc:2535]
CTBP2		C-terminal binding protein 2 [Source:HGNC Symbol;Acc:2495]
SAT1		spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:10540]
BCLAF1		BCL2-associated transcription factor 1 [Source:HGNC Symbol;Acc:16863]
MAN2A1		mannosidase, alpha, class 2A, member 1 [Source:HGNC Symbol;Acc:6824]
TMX1		thioredoxin-related transmembrane protein 1 [Source:HGNC Symbol;Acc:15487]
STRN3		striatin, calmodulin binding protein 3 [Source:HGNC Symbol;Acc:15720]
LRBA		LPS-responsive vesicle trafficking, beach and anchor containing [Source:HGNC Symbol;Acc:1742]
SPEN		spen homolog, transcriptional regulator (Drosophila) [Source:HGNC Symbol;Acc:17575]
CREG1		cellular repressor of E1A-stimulated genes 1 [Source:HGNC Symbol;Acc:2351]
SRSF10		serine/arginine-rich splicing factor 10 [Source:HGNC Symbol;Acc:16713]
AMD1		adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:457]
BTG1		B-cell translocation gene 1, anti-proliferative [Source:HGNC Symbol;Acc:1130]
ROCK1		Rho-associated, coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:10251]
MARK3		MAP/microtubule affinity-regulating kinase 3 [Source:HGNC Symbol;Acc:6897]
UNC13B		unc-13 homolog B (C. elegans) [Source:HGNC Symbol;Acc:12566]
CPOX		coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:2321]
OGT		O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:8127]
SH3GLB1		SH3-domain GRB2-like endophilin B1 [Source:HGNC Symbol;Acc:10833]
REL		v-rel avian reticuloendotheliosis viral oncogene homolog [Source:HGNC Symbol;Acc:9954]
KLF6		Kruppel-like factor 6 [Source:HGNC Symbol;Acc:2235]
FAM65B		family with sequence similarity 65, member B [Source:HGNC Symbol;Acc:13872]
PRPSAP1		phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:HGNC Symbol;Acc:9466]
ERBB4		v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432]
PHKB		phosphorylase kinase, beta [Source:HGNC Symbol;Acc:8927]
GNA13		guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:4381]
HEXB		hexosaminidase B (beta polypeptide) [Source:HGNC Symbol;Acc:4879]
ITGA6		integrin, alpha 6 [Source:HGNC Symbol;Acc:6142]
ABI1		abl-interactor 1 [Source:HGNC Symbol;Acc:11320]
PNISR		PNN-interacting serine/arginine-rich protein [Source:HGNC Symbol;Acc:21222]
RBM5		RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]
DHX29		DEAH (Asp-Glu-Ala-His) box polypeptide 29 [Source:HGNC Symbol;Acc:15815]
SMAD5		SMAD family member 5 [Source:HGNC Symbol;Acc:6771]
PLOD2		procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:9082]
CPSF7		cleavage and polyadenylation specific factor 7, 59kDa [Source:HGNC Symbol;Acc:30098]
CRY1		cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]
SH2B3		SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:29605]
CNOT1		CCR4-NOT transcription complex, subunit 1 [Source:HGNC Symbol;Acc:7877]
TIMP2		TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:11821]
AKR1B1		aldo-keto reductase family 1, member B1 (aldose reductase) [Source:HGNC Symbol;Acc:381]
ANXA1		annexin A1 [Source:HGNC Symbol;Acc:533]
STAG2		stromal antigen 2 [Source:HGNC Symbol;Acc:11355]
FHL1		four and a half LIM domains 1 [Source:HGNC Symbol;Acc:3702]
KCTD12		potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:14678]
PUM2		pumilio RNA-binding family member 2 [Source:HGNC Symbol;Acc:14958]
PLSCR1		phospholipid scramblase 1 [Source:HGNC Symbol;Acc:9092]
ATM		ataxia telangiectasia mutated [Source:HGNC Symbol;Acc:795]
SRSF4		serine/arginine-rich splicing factor 4 [Source:HGNC Symbol;Acc:10786]
CRLF3		cytokine receptor-like factor 3 [Source:HGNC Symbol;Acc:17177]
CEBPZ		CCAAT/enhancer binding protein (C/EBP), zeta [Source:HGNC Symbol;Acc:24218]
ZBTB5		zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:23836]
PABPC1		poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]
IFITM2		interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:5413]
NCOA6		nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:15936]
ADNP		activity-dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:15766]
UBXN7		UBX domain protein 7 [Source:HGNC Symbol;Acc:29119]
RAP1A		RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:9855]
RCN2		reticulocalbin 2, EF-hand calcium binding domain [Source:HGNC Symbol;Acc:9935]
POT1		protection of telomeres 1 [Source:HGNC Symbol;Acc:17284]
VCAN		versican [Source:HGNC Symbol;Acc:2464]
AHR		aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:348]
FLNC		filamin C, gamma [Source:HGNC Symbol;Acc:3756]
LAPTM5		lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:29612]
RAP1B		RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:9857]
PSAP		prosaposin [Source:HGNC Symbol;Acc:9498]
SPARC		secreted protein, acidic, cysteine-rich (osteonectin) [Source:HGNC Symbol;Acc:11219]
SMNDC1		survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:16900]
PRDX4		peroxiredoxin 4 [Source:HGNC Symbol;Acc:17169]
CHD1		chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:1915]
EPS8		epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:3420]
DDX21		DEAD (Asp-Glu-Ala-Asp) box helicase 21 [Source:HGNC Symbol;Acc:2744]
TNFAIP3		tumor necrosis factor, alpha-induced protein 3 [Source:HGNC Symbol;Acc:11896]
SF3A1		splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]
MAP3K7		mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:6859]
ABL1		c-abl oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:76]
EIF3E		eukaryotic translation initiation factor 3, subunit E [Source:HGNC Symbol;Acc:3277]
HCLS1		hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:4844]
EEF1A1		eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189]
LYN		v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Source:HGNC Symbol;Acc:6735]
TARDBP		TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]
HNRNPA2B1		heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]
PCNA		proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:8729]
UBC	1.79	ubiquitin C [Source:HGNC Symbol;Acc:12468]
SF3A2	1.60	splicing factor 3a, subunit 2, 66kDa [Source:HGNC Symbol;Acc:10766]
DMTF1	1.56	cyclin D binding myb-like transcription factor 1 [Source:HGNC Symbol;Acc:14603]
NUDT21	1.56	nudix (nucleoside diphosphate linked moiety X)-type motif 21 [Source:HGNC Symbol;Acc:13870]
MAGOH	1.54	mago-nashi homolog, proliferation-associated (Drosophila) [Source:HGNC Symbol;Acc:6815]
RBM39	1.45	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]
SF3A3	1.44	splicing factor 3a, subunit 3, 60kDa [Source:HGNC Symbol;Acc:10767]
SRRM2	1.38	serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:16639]
TCERG1	1.37	transcription elongation regulator 1 [Source:HGNC Symbol;Acc:15630]
HNRNPA1	1.36	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:5031]
EIF4A3	1.33	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:18683]
UPF3A	1.33	UPF3 regulator of nonsense transcripts homolog A (yeast) [Source:HGNC Symbol;Acc:20332]
PPP1CB	1.29	protein phosphatase 1, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9282]
DHX15	1.26	DEAH (Asp-Glu-Ala-His) box helicase 15 [Source:HGNC Symbol;Acc:2738]
MAML1	1.25	mastermind-like 1 (Drosophila) [Source:HGNC Symbol;Acc:13632]
SNRNP200	1.21	small nuclear ribonucleoprotein 200kDa (U5) [Source:HGNC Symbol;Acc:30859]
KIAA0907	1.20	KIAA0907 [Source:HGNC Symbol;Acc:29145]
SRRM1	1.19	serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:16638]
TRA2A	1.18	transformer 2 alpha homolog (Drosophila) [Source:HGNC Symbol;Acc:16645]
LUC7L3	1.18	LUC7-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:24309]
SRSF11	1.15	serine/arginine-rich splicing factor 11 [Source:HGNC Symbol;Acc:10782]
C1orf63	1.14	chromosome 1 open reading frame 63 [Source:HGNC Symbol;Acc:25234]
FNBP4	1.13	formin binding protein 4 [Source:HGNC Symbol;Acc:19752]
BNIP2	1.12	BCL2/adenovirus E1B 19kDa interacting protein 2 [Source:HGNC Symbol;Acc:1083]
ATXN2	1.11	ataxin 2 [Source:HGNC Symbol;Acc:10555]
RAD21	1.10	RAD21 homolog (S. pombe) [Source:HGNC Symbol;Acc:9811]
SEC24B	1.09	SEC24 family, member B (S. cerevisiae) [Source:HGNC Symbol;Acc:10704]
THUMPD1	1.09	THUMP domain containing 1 [Source:HGNC Symbol;Acc:23807]
MGEA5	1.08	meningioma expressed antigen 5 (hyaluronidase) [Source:HGNC Symbol;Acc:7056]
YWHAE	1.07	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:HGNC Symbol;Acc:12851]
DDX5	1.07	DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]
PIK3R1	1.03	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:HGNC Symbol;Acc:8979]
UPF2	1.03	UPF2 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:17854]
SCAF8	1.02	SR-related CTD-associated factor 8 [Source:HGNC Symbol;Acc:20959]
PPWD1	1.02	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:28954]
SREK1	1.02	splicing regulatory glutamine/lysine-rich protein 1 [Source:HGNC Symbol;Acc:17882]
WWP1	1.01	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:17004]
RASA1	1.01	RAS p21 protein activator (GTPase activating protein) 1 [Source:HGNC Symbol;Acc:9871]
DDX17	1.01	DEAD (Asp-Glu-Ala-Asp) box helicase 17 [Source:HGNC Symbol;Acc:2740]
TOP2B	1.01	topoisomerase (DNA) II beta 180kDa [Source:HGNC Symbol;Acc:11990]
PRPS2	1.00	phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:9465]
CRK	1.00	v-crk avian sarcoma virus CT10 oncogene homolog [Source:HGNC Symbol;Acc:2362]
HNRNPH3	1.00	heterogeneous nuclear ribonucleoprotein H3 (2H9) [Source:HGNC Symbol;Acc:5043]
YTHDF3	0.99	YTH domain family, member 3 [Source:HGNC Symbol;Acc:26465]
KDM6A	0.99	lysine (K)-specific demethylase 6A [Source:HGNC Symbol;Acc:12637]
RLF	0.98	rearranged L-myc fusion [Source:HGNC Symbol;Acc:10025]
SLC25A36	0.98	solute carrier family 25 (pyrimidine nucleotide carrier ), member 36 [Source:HGNC Symbol;Acc:25554]
SRSF1	0.98	serine/arginine-rich splicing factor 1 [Source:HGNC Symbol;Acc:10780]
NR3C1	0.97	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) [Source:HGNC Symbol;Acc:7978]
MORC3	0.97	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:23572]
BIRC2	0.97	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:590]
COL3A1	0.96	collagen, type III, alpha 1 [Source:HGNC Symbol;Acc:2201]
SNAPC1	0.96	small nuclear RNA activating complex, polypeptide 1, 43kDa [Source:HGNC Symbol;Acc:11134]
HNRNPK	0.96	heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:5044]
UBR5	0.95	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:16806]
PPIG	0.95	peptidylprolyl isomerase G (cyclophilin G) [Source:HGNC Symbol;Acc:14650]
SYK	0.95	spleen tyrosine kinase [Source:HGNC Symbol;Acc:11491]
TBC1D4	0.95	TBC1 domain family, member 4 [Source:HGNC Symbol;Acc:19165]
PAN2	0.93	PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20074]
USP8	0.93	ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:12631]
PPP2R5E	0.93	protein phosphatase 2, regulatory subunit B', epsilon isoform [Source:HGNC Symbol;Acc:9313]
SF3B1	0.93	splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:10768]
SMG1	0.92	SMG1 phosphatidylinositol 3-kinase-related kinase [Source:HGNC Symbol;Acc:30045]
CREBZF	0.92	CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:24905]
ARGLU1	0.92	arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:25482]
NBN	0.92	nibrin [Source:HGNC Symbol;Acc:7652]
CNOT2	0.92	CCR4-NOT transcription complex, subunit 2 [Source:HGNC Symbol;Acc:7878]
BTAF1	0.91	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa [Source:HGNC Symbol;Acc:17307]
NUP153	0.91	nucleoporin 153kDa [Source:HGNC Symbol;Acc:8062]
PUM1	0.91	pumilio RNA-binding family member 1 [Source:HGNC Symbol;Acc:14957]
PCF11	0.90	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:30097]
B2M	0.90	beta-2-microglobulin [Source:HGNC Symbol;Acc:914]
SMCHD1	0.90	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:29090]
ZNF217	0.90	zinc finger protein 217 [Source:HGNC Symbol;Acc:13009]
ZNF638	0.90	zinc finger protein 638 [Source:HGNC Symbol;Acc:17894]
ZBTB11	0.89	zinc finger and BTB domain containing 11 [Source:HGNC Symbol;Acc:16740]
PAXIP1	0.88	PAX interacting (with transcription-activation domain) protein 1 [Source:HGNC Symbol;Acc:8624]
STAG1	0.88	stromal antigen 1 [Source:HGNC Symbol;Acc:11354]
