"","variance....RankVar"
"SOAT1",8303.5
"SOCS2",1274.4
"SORBS1",10142.3
"SPARC",314.3
"SPEN",730.166666666667
"SREK1",7698.96666666667
"SRRM1",3453.36666666667
"SRSF10",9216.56666666667
"SRSF4",7140.96666666667
"SSFA2",5751.46666666667
"SSR2",3195.46666666667
"STAG2",3403.06666666667
"STK3",2743.36666666667
"STOM",30.7
"STRN3",6555.76666666667
"STX16",1614.66666666667
"STX2",1048.56666666667
"SUCO",3325.06666666667
"SUN1",10484.8
"TARDBP",1336.66666666667
"TBC1D2B",2181.2
"TCF12",8155.06666666667
"TENM1",7541.36666666667
"TGOLN2",13927.2
"THUMPD2",3488.56666666667
"TIMM8A",14714.2666666667
"TIMP2",10182.5666666667
"TMCO1",4844.66666666667
"TMED10",2022.16666666667
"TMEM165",1780.26666666667
"TMEM38B",12362.7
"TMEM43",2659.36666666667
"TMEM5",1016.8
"TMX1",5612
"TNFAIP3",10305.0666666667
"TPP1",12246.3
"TRAK1",9886.8
"TRIM38",7237.76666666667
"TRIM5",453.366666666667
"TRIT1",3119.06666666667
"TTF1",5808.26666666667
"TWIST1",3183.76666666667
"TWSG1",7462.26666666667
"U2SURP",4259.2
"UBXN7",3688.3
"UNC13B",9988
"UPF3B",9839.06666666667
"USP1",4897.36666666667
"USP3",1112.16666666667
"VCAN",9392.66666666667
"WDR11",7665.06666666667
"WRN",497.366666666667
"WSB1",9887.46666666667
"WTAP",5153.36666666667
"XBP1",8037.36666666667
"YTHDF1",175.866666666667
"YY1AP1",2265.9
"ZBTB10",5922.16666666667
"ZBTB5",7471.6
"ZCCHC10",8240.56666666667
"ZCCHC6",5301.9
"ZCCHC8",3937.36666666667
"ZFC3H1",6143.86666666667
"ZFHX3",4613.86666666667
"ZFX",4259.06666666667
"ZFYVE26",1656.16666666667
"ZNF12",5690.66666666667
"ZNF141",1328.96666666667
"ZNF146",1600.16666666667
"ZNF226",11701.3666666667
"ZNF292",13813.0666666667
"ZNF536",4157.86666666667
"ZNF573",1169.86666666667
"ZNF611",15532.5666666667
"ZNF83",3912.96666666667
