,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TARDBP,Hsa2 MR for TARDBP,Hsa3 MR for TARDBP,Mcc MR for TARDBP,Mmu MR for Tardbp,Mmu2 MR for Tardbp,Cfa MR for TARDBP,Gga MR for TARDBP,Dre MR for tardbp
11,POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",5431,3,20.4,47.4 ,383.0 ,,195.8 ,61.8 ,34.5 ,49.5 ,
12,NSUN2,"NOP2/Sun RNA methyltransferase family, member 2",54888,3,21.8,168.8 ,177.4 ,196.5 ,487.2 ,194.4 ,151.1 ,1537.8 ,
13,PNN,"pinin, desmosome associated protein",5411,3,23.2,13.8 ,13.6 ,67.5 ,131.1 ,34.2 ,188.7 ,743.9 ,
14,NUP85,"nucleoporin 85kDa",79902,3,27.5,650.7 ,143.0 ,,191.2 ,179.8 ,437.5 ,327.1 ,738.8 
15,SFPQ,"splicing factor proline/glutamine-rich",6421,3,33.2,48.2 ,76.7 ,,11.2 ,115.4 ,,227.2 ,22.2 
16,DHX9,"DEAH (Asp-Glu-Ala-His) box helicase 9",1660,3,33.5,75.4 ,102.1 ,1.4 ,28.6 ,26.8 ,16.8 ,,
17,VPRBP,"Vpr (HIV-1) binding protein",9730,3,37.4,134.6 ,1646.6 ,43.8 ,836.6 ,590.6 ,,3959.6 ,
18,TDG,"thymine-DNA glycosylase",6996,3,41.7,1332.1 ,777.1 ,,,2111.6 2155.0 2195.3 ,106.2 ,143.0 ,
19,KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",10657,3,42.0,253.9 ,290.6 ,20.5 ,185.1 ,1167.4 ,743.4 ,1090.2 ,170.8 152.9 
20,NUP107,"nucleoporin 107kDa",57122,3,43.0,173.2 ,376.6 ,,155.2 ,281.8 ,196.4 ,,256.4 
21,PRPF4B,"pre-mRNA processing factor 4B",8899,3,45.6,61.0 ,138.9 ,,45.9 ,37.1 ,,578.1 ,
22,TRA2B,"transformer 2 beta homolog (Drosophila)",6434,3,46.7,60.1 ,49.9 ,,2.2 ,77.5 ,36.9 ,113.1 ,
23,HNRNPK,"heterogeneous nuclear ribonucleoprotein K",3190,3,49.6,78.2 ,114.3 ,8.8 ,18.6 ,43.4 ,,,
24,CNOT6,"CCR4-NOT transcription complex, subunit 6",57472,3,54.0,356.1 ,113.5 ,,63.9 ,635.1 ,24.4 ,2318.9 ,2485.9 
25,EXOSC10,"exosome component 10",5394,2,56.0,1579.5 ,555.0 ,665.7 ,955.7 ,3105.2 ,22.6 ,404.9 ,1498.8 
26,IWS1,"IWS1 homolog (S. cerevisiae)",55677,3,58.5,1118.3 ,659.0 ,253.0 ,174.1 ,131.5 ,1091.8 ,740.0 ,
27,NOL11,"nucleolar protein 11",25926,3,60.2,666.9 ,145.5 ,452.2 ,123.0 ,442.5 ,202.1 ,198.1 ,1457.6 
28,PITPNB,"phosphatidylinositol transfer protein, beta",23760,3,63.1,42.3 ,85.8 ,528.5 ,239.0 ,3875.2 ,43.5 ,339.1 ,6706.7 
29,HNRNPH3,"heterogeneous nuclear ribonucleoprotein H3 (2H9)",3189,3,63.4,31.0 ,3.0 ,165.9 ,84.9 ,40.0 ,37.1 ,13.0 ,
30,YWHAG,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma",7532,3,63.5,6792.6 ,1826.9 ,,837.4 ,2164.7 ,806.9 ,727.1 ,
31,CPSF6,"cleavage and polyadenylation specific factor 6, 68kDa",11052,3,63.6,33.9 ,97.5 ,,19.1 ,114.3 ,91.0 ,260.7 ,
32,PRPF3,"pre-mRNA processing factor 3",9129,3,64.5,164.4 ,414.2 ,26.5 ,52.4 ,58.1 ,,224.6 ,1590.4 
33,C17orf85,"chromosome 17 open reading frame 85",55421,3,66.5,326.3 ,2713.8 ,296.9 ,912.7 ,859.5 ,673.1 ,2143.3 ,4410.7 
34,CELF1,"CUGBP, Elav-like family member 1",10658,2,67.2,231.2 ,207.1 ,54.5 ,,,57.8 ,,
35,ANKRD27,"ankyrin repeat domain 27 (VPS9 domain)",84079,3,67.6,2174.2 ,2218.6 ,652.7 ,858.4 ,6453.2 ,1273.9 ,3338.1 ,1491.7 
36,DKC1,"dyskeratosis congenita 1, dyskerin",1736,3,69.5,252.2 ,91.7 ,16.1 ,178.7 ,45.7 ,390.3 ,515.0 ,331.9 
37,CSE1L,"CSE1 chromosome segregation 1-like (yeast)",1434,3,70.2,812.0 ,242.1 ,11.8 ,68.7 ,41.4 ,4.2 ,71.9 ,303.9 
38,BMS1,"BMS1 ribosome biogenesis factor",9790,3,70.5,111.2 ,886.3 ,320.2 ,381.2 ,32.3 ,130.2 ,244.0 ,
39,DDX47,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 47",51202,3,72.9,1432.6 ,417.2 ,8.4 ,1185.4 ,2070.5 ,533.2 ,729.4 ,1172.0 
40,CASP2,"caspase 2, apoptosis-related cysteine peptidase",835,2,75.0,1438.9 ,2574.7 ,,358.3 ,682.7 ,927.7 ,258.8 ,9026.6 
41,YTHDF1,"YTH N(6)-methyladenosine RNA binding protein 1",54915,3,75.7,3872.5 ,442.1 ,,480.1 ,697.2 ,2573.2 ,141.8 ,1604.9 
42,FAM98B,"family with sequence similarity 98, member B",283742,3,76.9,821.6 ,219.3 ,,137.3 ,231.3 ,2463.2 ,7265.5 ,
43,NUP133,"nucleoporin 133kDa",55746,3,78.2,568.1 ,1365.1 ,9377.5 ,565.1 ,519.8 ,221.9 ,1061.2 ,522.0 
44,GTPBP4,"GTP binding protein 4",23560,3,79.5,211.2 ,480.9 ,527.8 ,174.1 ,50.9 ,40.1 ,835.4 ,4947.9 
45,CTCF,"CCCTC-binding factor (zinc finger protein)",10664,3,80.0,260.2 ,322.7 ,,369.6 ,222.5 ,282.6 ,136.2 ,
46,ORC2,"origin recognition complex, subunit 2",4999,3,86.5,258.4 ,452.4 ,427.4 ,584.4 ,201.6 ,507.6 ,1664.3 ,2793.4 
47,PSMC6,"proteasome (prosome, macropain) 26S subunit, ATPase, 6",5706,3,86.5,599.8 ,616.8 ,3687.9 ,373.0 ,235.7 ,1149.9 ,43.2 ,99.5 
48,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1",3181,3,86.5,17.8 ,3.2 ,,4.2 ,2.0 ,170.4 ,173.0 ,
49,LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",26065,3,87.0,31.3 ,41.5 ,32.0 ,78.8 ,1238.0 ,6.3 ,266.7 ,3802.1 
50,PUM1,"pumilio RNA-binding family member 1",9698,3,88.2,375.6 ,1552.1 ,291.3 ,1004.0 ,900.2 ,435.7 ,144.9 ,5912.1 
51,UBP1,"upstream binding protein 1 (LBP-1a)",7342,3,88.3,1004.6 ,243.7 ,103.6 ,350.3 ,1556.7 ,246.7 ,115.2 ,
52,NUP153,"nucleoporin 153kDa",9972,3,89.3,1517.9 ,176.8 ,2870.4 ,126.0 ,411.1 ,162.5 ,3037.3 ,
53,MRFAP1,"Morf4 family associated protein 1",93621,2,91.4,150.2 ,694.6 ,,558.6 ,3078.3 ,7990.1 ,,
54,STK35,"serine/threonine kinase 35",140901,3,91.8,1735.1 ,2397.7 ,9780.6 ,6590.9 ,8640.8 ,1630.1 ,12720.0 ,6564.0 
55,TEX10,"testis expressed 10",54881,3,92.0,1193.9 ,389.9 ,442.6 ,1199.9 ,409.3 ,473.2 ,198.0 ,2536.5 
56,PAPD7,"PAP associated domain containing 7",11044,3,92.6,3354.6 ,664.2 ,111.5 ,1692.9 ,10637.9 ,2256.3 ,,
57,MSH6,"mutS homolog 6",2956,3,92.9,277.6 ,854.3 ,95.0 ,99.5 ,238.4 ,300.4 ,206.4 ,2755.2 
58,HARS2,"histidyl-tRNA synthetase 2, mitochondrial",23438,3,95.5,223.9 ,286.5 ,1088.3 ,750.8 ,2872.8 ,620.5 ,,
59,FOXJ3,"forkhead box J3",22887,3,96.0,7498.1 ,3569.1 ,118.0 ,661.0 ,6448.9 ,75.5 ,,
60,ZNF330,"zinc finger protein 330",27309,3,96.1,178.5 ,1302.6 ,2402.6 ,591.1 ,353.6 ,2901.2 ,399.1 ,1159.5 
61,LUC7L3,"LUC7-like 3 (S. cerevisiae)",51747,3,100.7,35.5 ,43.0 ,85.5 ,121.6 ,12.4 ,,2622.1 ,
62,ZNF326,"zinc finger protein 326",284695,3,103.0,109.2 ,83.0 ,223.1 ,622.9 ,160.4 ,1579.5 ,153.4 ,9683.5 
63,RBM4,"RNA binding motif protein 4",5936,1,103.1,689.2 ,294.8 ,12.8 ,1992.8 ,7555.3 ,900.7 ,,
64,ANKLE2,"ankyrin repeat and LEM domain containing 2",23141,3,103.4,1812.4 ,8200.5 ,1615.9 ,1349.7 ,3341.2 ,13.1 ,7327.5 ,
65,SART3,"squamous cell carcinoma antigen recognized by T cells 3",9733,2,106.7,9.8 ,500.9 ,,844.0 ,1072.1 ,105.3 ,4875.7 ,121.7 
66,NCL,"nucleolin",4691,3,107.4,77.0 ,42.9 ,12766.8 ,43.6 ,9.5 ,48.2 ,,
67,TCP1,"t-complex 1",6950,3,108.0,159.0 ,160.2 ,352.3 ,81.7 ,384.4 ,435.6 ,45.0 ,638.2 
68,RBM15,"RNA binding motif protein 15",64783,3,108.8,106.0 ,4584.2 ,,796.5 ,11034.7 ,275.6 ,,1020.3 
69,UTP6,"UTP6, small subunit (SSU) processome component, homolog (yeast)",55813,3,115.6,158.8 ,1302.6 ,,56.7 ,71.0 ,68.4 ,235.2 ,1665.6 
70,PRDM10,"PR domain containing 10",56980,1,115.7,5047.9 ,4342.9 ,1287.2 ,8994.2 ,5312.5 ,10112.8 ,3112.9 ,
71,GMEB1,"glucocorticoid modulatory element binding protein 1",10691,3,119.3,1602.4 ,15377.3 ,236.3 ,2150.4 ,3539.4 ,380.4 ,12415.6 ,697.3 
72,NASP,"nuclear autoantigenic sperm protein (histone-binding)",4678,3,119.8,116.7 ,54.6 ,149.5 ,130.1 ,67.8 ,311.3 ,,
73,SET,"SET nuclear proto-oncogene",6418,3,120.0,585.5 ,983.5 ,4136.1 ,,474.3 ,117.3 ,81.8 ,113.7 
74,LRRC47,"leucine rich repeat containing 47",57470,2,120.5,1912.8 ,9714.9 ,,1149.6 ,5700.0 ,6521.0 ,190.2 ,
75,CASP3,"caspase 3, apoptosis-related cysteine peptidase",836,3,120.6,738.7 ,1025.6 ,1552.8 ,463.4 ,858.0 ,581.9 ,1478.8 ,
76,TBP,"TATA box binding protein",6908,3,123.7,2736.8 ,210.4 ,,88.7 ,1875.2 ,1093.6 ,221.4 ,3940.5 
77,TCERG1,"transcription elongation regulator 1",10915,3,128.0,225.4 ,134.8 ,1189.3 ,18.7 ,200.7 ,159.6 ,,176.7 
78,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,3,132.2,516.7 ,53.0 ,7663.0 ,165.9 ,29.9 ,56.9 ,41.5 ,3930.0 2108.6 
79,HNRNPU,"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)",3192,3,133.9,17.0 ,74.4 ,87.4 ,3.5 ,25.4 ,29.2 ,9.4 ,30.4 
80,CCT8,"chaperonin containing TCP1, subunit 8 (theta)",10694,3,134.5,332.4 ,124.2 ,82.4 ,30.3 ,63.7 ,533.7 ,122.3 ,2463.8 
81,ZNF207,"zinc finger protein 207",7756,2,135.0,439.8 ,69.3 ,,17.7 ,18.8 ,,1.0 ,
82,CCT4,"chaperonin containing TCP1, subunit 4 (delta)",10575,2,136.7,882.4 ,522.2 ,69.2 ,118.3 ,1364.2 ,,13.8 ,517.9 
83,SERBP1,"SERPINE1 mRNA binding protein 1",26135,3,137.7,126.0 ,139.4 ,,38.2 ,50.5 ,390.7 ,,
84,RLIM,"ring finger protein, LIM domain interacting",51132,3,137.9,2073.3 ,11136.5 ,1140.3 ,1505.7 ,314.1 ,825.1 ,1029.2 ,386.3 
85,PTCD3,"pentatricopeptide repeat domain 3",55037,3,138.6,219.1 ,393.4 ,,344.7 ,59.6 ,39.2 ,367.6 ,2053.3 
86,NCOA5,"nuclear receptor coactivator 5",57727,3,139.1,1270.7 ,586.5 ,107.0 ,267.4 ,2344.5 ,1404.0 ,4217.7 ,183.3 
87,PPP1R8,"protein phosphatase 1, regulatory subunit 8",5511,2,139.1,689.6 ,961.2 ,6378.8 ,476.8 ,1352.0 ,146.5 ,137.9 ,283.2 
88,TRIP12,"thyroid hormone receptor interactor 12",9320,3,140.7,592.4 ,1550.1 ,,1950.0 ,170.0 ,197.2 ,2016.9 ,4296.9 
89,RNF4,"ring finger protein 4",6047,3,142.9,2885.2 ,1751.8 ,,234.0 ,1105.5 ,12.0 ,363.4 ,3279.1 
90,SRSF7,"serine/arginine-rich splicing factor 7",6432,3,143.2,28.9 ,24.2 ,,51.8 ,87.6 ,92.7 ,,
91,USP14,"ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)",9097,3,143.6,1813.8 ,334.1 ,1832.3 ,147.2 ,220.7 ,1087.5 ,201.4 ,334.2 
92,CDC23,"cell division cycle 23",8697,3,143.8,329.4 ,404.4 ,,111.0 ,118.3 ,26.6 ,398.7 ,985.2 
93,FEN1,"flap structure-specific endonuclease 1",2237,3,145.0,1086.2 ,753.3 ,,331.4 ,1978.4 ,259.2 ,1142.1 ,418.5 
94,KIAA0907,"KIAA0907",22889,3,145.4,1498.7 ,102.2 ,210.3 ,565.7 ,1463.2 ,454.3 ,813.8 ,5867.8 
95,MAP3K4,"mitogen-activated protein kinase kinase kinase 4",4216,3,145.5,1947.0 ,779.6 ,285.9 ,1598.4 ,4252.7 ,121.5 ,2044.0 ,3203.5 
96,NUP205,"nucleoporin 205kDa",23165,3,145.9,293.8 ,985.3 ,135.3 ,176.6 ,253.7 ,68.0 ,347.2 ,
97,CCT2,"chaperonin containing TCP1, subunit 2 (beta)",10576,3,146.4,382.1 ,299.4 ,45.2 ,241.0 ,89.2 ,808.3 ,51.7 ,1433.0 
98,POLR3E,"polymerase (RNA) III (DNA directed) polypeptide E (80kD)",55718,3,147.9,2656.3 ,1404.7 ,363.9 ,1653.4 ,2195.4 ,156.2 ,1664.3 ,1521.6 
99,CCT6A,"chaperonin containing TCP1, subunit 6A (zeta 1)",908,3,149.5,237.9 ,718.0 ,21.9 ,63.2 ,1091.2 ,,10.9 ,620.2 
100,FBXO45,"F-box protein 45",200933,3,151.1,643.6 ,5776.4 ,,1164.1 ,4770.2 ,2175.6 ,3179.7 ,
101,ERCC3,"excision repair cross-complementation group 3",2071,3,152.0,1292.7 ,388.7 ,685.5 ,2446.0 ,2014.0 ,2093.3 ,69.1 ,2160.7 
102,NCBP1,"nuclear cap binding protein subunit 1, 80kDa",4686,3,152.8,325.9 ,1716.7 ,1754.3 ,192.2 ,1062.5 ,67.5 ,233.9 ,
103,PWP1,"PWP1 homolog (S. cerevisiae)",11137,3,155.8,369.6 ,900.2 ,,194.1 ,1706.2 ,919.0 ,730.6 ,1126.4 
104,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",80155,3,156.2,249.4 ,1153.4 ,,162.1 ,31.9 ,243.3 ,73.6 ,351.9 
105,UPF2,"UPF2 regulator of nonsense transcripts homolog (yeast)",26019,3,156.6,1100.4 ,905.4 ,,1275.0 ,148.7 ,249.4 ,228.8 ,
106,HNRNPA3,"heterogeneous nuclear ribonucleoprotein A3",220988,3,157.7,,3.7 ,,,,230.8 ,,
107,AMMECR1L,"AMMECR1-like",83607,3,160.6,3177.7 ,14388.5 ,,1333.6 ,4969.9 ,1864.3 ,632.7 ,
108,SNRNP200,"small nuclear ribonucleoprotein 200kDa (U5)",23020,3,161.5,503.4 ,150.3 ,23.2 ,816.2 ,318.5 ,940.9 ,,
109,YLPM1,"YLP motif containing 1",56252,3,161.6,906.4 ,1430.6 ,18.5 ,919.3 ,1055.9 ,196.5 ,497.4 ,129.0 
110,YTHDF2,"YTH N(6)-methyladenosine RNA binding protein 2",51441,3,163.7,610.6 ,321.7 ,,564.9 ,2133.8 ,627.5 ,907.6 ,1535.9 
111,PANK4,"pantothenate kinase 4",55229,3,165.0,4639.2 ,6457.5 ,,199.3 ,5194.9 ,441.4 ,,6240.8 
112,MTF2,"metal response element binding transcription factor 2",22823,3,165.1,51.1 ,204.3 ,,120.9 ,68.7 ,630.9 ,212.4 ,
113,NUP35,"nucleoporin 35kDa",129401,3,165.1,1082.4 ,382.7 ,1256.9 ,322.2 ,2540.0 ,343.3 ,241.4 ,1422.6 
114,NUP155,"nucleoporin 155kDa",9631,3,166.1,671.5 ,1567.4 ,,324.3 ,84.6 ,40.2 ,901.8 ,5525.1 
115,LUC7L2,"LUC7-like 2 (S. cerevisiae)",51631,3,167.1,42.4 ,81.3 ,64.6 ,488.3 ,366.3 ,190.7 ,12.8 ,
116,SRSF3,"serine/arginine-rich splicing factor 3",6428,3,170.6,133.8 ,84.7 ,,9.5 ,16.7 ,777.4 ,126.8 ,
117,UPF3B,"UPF3 regulator of nonsense transcripts homolog B (yeast)",65109,3,172.5,1739.9 ,126.0 ,446.8 ,80.9 ,32.5 ,1121.3 ,,7686.3 
118,STARD7,"StAR-related lipid transfer (START) domain containing 7",56910,3,173.5,167.6 ,995.4 ,279.2 ,1524.5 ,4040.7 ,25.3 ,,7303.9 
119,ILKAP,"integrin-linked kinase-associated serine/threonine phosphatase",80895,3,174.1,180.3 ,6829.4 ,27.4 ,776.2 ,1607.8 ,1974.5 ,123.3 ,
120,E2F3,"E2F transcription factor 3",1871,3,174.7,2769.8 ,448.1 ,749.4 ,273.6 ,899.2 ,1781.5 ,9344.2 ,
121,PSMC2,"proteasome (prosome, macropain) 26S subunit, ATPase, 2",5701,3,175.5,923.1 ,1024.8 ,,547.2 ,975.4 ,1551.9 ,131.1 ,568.0 
122,TRIT1,"tRNA isopentenyltransferase 1",54802,3,176.1,708.1 ,245.3 ,,1082.6 ,645.2 ,483.0 ,2121.4 ,3813.4 
123,CAND1,"cullin-associated and neddylation-dissociated 1",55832,3,177.7,189.9 ,1808.3 ,,484.6 ,560.3 ,435.1 ,561.1 ,387.8 
124,COIL,"coilin",8161,3,177.7,663.7 ,1926.9 ,,2197.5 ,3806.1 ,1860.1 ,60.9 ,5191.0 
125,DDX1,"DEAD (Asp-Glu-Ala-Asp) box helicase 1",1653,3,179.6,54.4 ,134.5 ,,757.8 ,136.9 ,115.0 ,308.2 ,7532.1 
126,PSMD1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",5707,3,179.6,464.0 ,2042.2 ,324.3 ,773.0 ,36.7 ,,286.6 ,273.8 
127,DDX46,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 46",9879,3,181.3,33.7 ,114.3 ,316.3 ,104.4 ,52.0 ,47.4 ,1122.4 ,745.2 
128,ASUN,"asunder spermatogenesis regulator",55726,3,182.4,1791.7 ,655.1 ,380.9 ,305.1 ,254.6 ,686.5 ,3557.0 ,1420.5 
129,GNL2,"guanine nucleotide binding protein-like 2 (nucleolar)",29889,3,183.6,805.0 ,452.4 ,735.9 ,773.0 ,127.2 ,84.4 ,628.6 ,
130,THOC1,"THO complex 1",9984,3,185.6,268.7 ,199.8 ,,346.4 ,26.9 ,303.2 ,665.0 ,521.9 
131,RARS,"arginyl-tRNA synthetase",5917,3,186.1,588.7 ,1461.0 ,,292.6 ,422.9 ,310.1 ,353.8 ,2404.2 
132,TAF5,"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa",6877,3,186.8,951.8 ,546.3 ,,864.3 ,3387.3 ,,4265.4 ,473.5 
133,QTRTD1,"queuine tRNA-ribosyltransferase domain containing 1",79691,3,187.7,421.2 ,4091.1 ,,282.7 ,82.8 ,93.1 ,392.9 ,3682.9 
134,LBR,"lamin B receptor",3930,3,188.0,188.9 ,246.8 ,232.1 ,214.7 ,1078.8 ,84.6 ,1453.3 ,395.2 
135,TRIM37,"tripartite motif containing 37",4591,3,189.6,693.5 ,1221.0 ,2880.9 ,307.1 ,1208.5 ,265.9 ,2740.7 ,
136,TP53BP1,"tumor protein p53 binding protein 1",7158,3,189.6,1020.9 ,3094.4 ,198.6 ,1084.8 ,230.4 ,370.1 ,302.1 ,3047.5 
137,RRM1,"ribonucleotide reductase M1",6240,3,190.4,733.0 ,943.9 ,293.0 ,155.5 ,429.9 ,34.3 ,2024.8 ,652.0 
138,XPO1,"exportin 1",7514,3,191.1,111.3 ,186.0 ,,25.8 ,19.0 ,288.5 ,765.4 ,
139,RPUSD4,"RNA pseudouridylate synthase domain containing 4",84881,3,192.1,1085.6 ,1785.1 ,237.2 ,1589.8 ,2872.6 ,6606.9 ,702.0 ,5195.9 
140,RAN,"RAN, member RAS oncogene family",5901,3,192.1,715.8 ,182.7 ,126.0 ,,930.4 ,,59.4 ,406.3 
141,USP1,"ubiquitin specific peptidase 1",7398,3,192.6,390.2 ,615.9 ,415.3 ,173.3 ,729.1 ,218.3 ,228.3 ,1584.1 
142,FAM98A,"family with sequence similarity 98, member A",25940,3,193.5,937.9 ,777.4 ,,213.8 ,194.6 ,118.5 ,30.9 ,758.4 
143,PHF13,"PHD finger protein 13",148479,2,194.7,6131.2 ,4346.8 ,,4343.8 ,6655.4 ,13774.1 ,,
144,RNF34,"ring finger protein 34, E3 ubiquitin protein ligase",80196,2,195.2,228.2 ,4313.2 ,99.0 ,2425.7 ,5653.7 ,552.9 ,548.8 ,
145,EIF2B5,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa",8893,3,196.3,209.7 ,3255.5 ,411.9 ,807.8 ,2791.2 ,,2841.0 ,3440.9 
146,RPL7L1,"ribosomal protein L7-like 1",285855,3,196.4,1888.0 ,4550.6 ,1334.8 ,132.2 ,1179.0 ,1289.0 ,72.4 ,1394.8 
147,USP7,"ubiquitin specific peptidase 7 (herpes virus-associated)",7874,3,197.2,129.7 ,772.3 ,,395.0 ,79.7 ,132.8 ,152.3 ,572.5 
148,QRICH1,"glutamine-rich 1",54870,3,198.4,4949.1 ,1321.4 ,,406.4 ,1515.8 ,4691.0 ,,269.9 
149,HNRNPA1,"heterogeneous nuclear ribonucleoprotein A1",3178,3,202.4,70.8 ,13.4 ,581.0 ,,,,,
150,CRKL,"v-crk avian sarcoma virus CT10 oncogene homolog-like",1399,2,206.3,1839.2 ,821.2 ,102.6 ,1391.4 ,2681.6 ,1435.5 ,5470.5 ,2273.5 
151,EIF5B,"eukaryotic translation initiation factor 5B",9669,3,207.5,361.4 ,347.9 ,985.7 ,432.8 ,115.0 ,756.7 ,1553.7 ,234.2 
152,PSMA1,"proteasome (prosome, macropain) subunit, alpha type, 1",5682,3,208.1,1428.7 ,887.4 ,977.6 ,337.4 ,682.3 ,982.4 ,374.7 ,1398.8 
153,CUL3,"cullin 3",8452,3,208.4,11772.4 ,1317.8 ,1794.5 ,864.8 ,438.3 ,999.1 ,1588.2 ,
154,HTATSF1,"HIV-1 Tat specific factor 1",27336,3,209.3,136.8 ,2833.9 ,251.1 ,349.1 ,368.4 ,,772.5 ,626.8 
155,CTPS1,"CTP synthase 1",1503,3,209.4,839.8 ,365.4 ,835.2 ,396.4 ,247.7 ,,316.7 ,209.4 
156,PRPF38A,"pre-mRNA processing factor 38A",84950,3,211.7,824.9 ,6.7 ,537.6 ,636.2 ,358.1 ,278.8 ,592.5 ,2480.3 
157,HEATR1,"HEAT repeat containing 1",55127,3,212.1,429.9 ,832.3 ,129.8 ,592.1 ,388.9 ,125.9 ,858.5 ,
158,AREL1,"apoptosis resistant E3 ubiquitin protein ligase 1",9870,3,212.3,4214.0 ,3020.5 ,,1661.5 ,11470.7 ,917.2 ,1622.0 ,
159,NAA35,"N(alpha)-acetyltransferase 35, NatC auxiliary subunit",60560,3,212.8,390.7 ,792.8 ,,196.2 ,77.8 ,543.2 ,677.8 ,791.4 
160,HNRNPDL,"heterogeneous nuclear ribonucleoprotein D-like",9987,3,213.2,23.1 ,49.4 ,291.0 ,85.5 ,20.0 ,237.2 ,1697.3 ,58.0 
161,HNRNPAB,"heterogeneous nuclear ribonucleoprotein A/B",3182,3,213.3,299.1 ,419.2 ,,48.0 ,503.9 ,,17.6 ,7.1 86.0 
162,GNL3,"guanine nucleotide binding protein-like 3 (nucleolar)",26354,3,216.4,589.4 ,246.2 ,202.8 ,478.4 ,101.0 ,,56.7 ,607.6 
163,PRRC2C,"proline-rich coiled-coil 2C",23215,3,217.5,3503.8 ,783.7 ,106.2 ,2923.5 ,412.2 ,394.5 ,55.8 ,
164,NAA25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",80018,3,218.5,258.3 ,738.4 ,1361.7 ,125.7 ,838.8 ,622.2 ,406.1 ,211.1 
165,EDRF1,"erythroid differentiation regulatory factor 1",26098,3,218.6,629.6 ,759.9 ,1326.5 ,1162.4 ,1202.3 ,,626.3 ,
166,SRP54,"signal recognition particle 54kDa",6729,3,218.8,862.1 ,767.4 ,719.8 ,2646.7 ,624.5 745.0 ,1371.0 ,907.8 ,558.6 
167,UBAP2L,"ubiquitin associated protein 2-like",9898,3,219.5,2433.2 ,176.7 ,178.7 ,,,,,2226.6 
168,RBM28,"RNA binding motif protein 28",55131,3,221.0,402.8 ,152.3 ,1440.5 ,733.0 ,54.6 ,690.6 ,,1965.8 
169,UTP18,"UTP18 small subunit (SSU) processome component homolog (yeast)",51096,3,222.7,587.2 ,1493.4 ,,203.7 ,700.7 ,1148.8 ,100.7 ,
170,NOL9,"nucleolar protein 9",79707,3,223.7,756.9 ,10630.7 ,1451.0 ,727.0 ,2128.2 ,1048.9 ,,679.9 
171,PSMD5,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5",5711,3,224.7,3645.5 ,6916.6 ,,45.0 ,1144.7 ,,851.0 ,1379.7 
