GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (500),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
positive regulation of cell-cell adhesion (GO:0022409),251,23,5.98,+,3.84,6.00E-04
cellular response to lipid (GO:0071396),474,33,11.3,+,2.92,6.18E-04
positive regulation of T cell activation (GO:0050870),212,21,5.05,+,4.15,6.26E-04
programmed cell death (GO:0012501),921,50,21.96,+,2.28,7.23E-04
immune response-regulating signaling pathway (GO:0002764),433,31,10.32,+,3,8.48E-04
regulation of cell killing (GO:0031341),66,12,1.57,+,7.63,8.50E-04
innate immune response-activating signal transduction (GO:0002758),197,20,4.7,+,4.26,8.68E-04
apoptotic process (GO:0006915),899,49,21.43,+,2.29,8.74E-04
adaptive immune response (GO:0002250),299,25,7.13,+,3.51,9.06E-04
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474),95,14,2.26,+,6.18,9.54E-04
regulation of response to external stimulus (GO:0032101),821,46,19.57,+,2.35,1.02E-03
regulation of cellular process (GO:0050794),10404,306,248.05,+,1.23,1.03E-03
regulation of leukocyte mediated cytotoxicity (GO:0001910),55,11,1.31,+,8.39,1.14E-03
regulation of lymphocyte proliferation (GO:0050670),202,20,4.82,+,4.15,1.29E-03
regulation of mononuclear cell proliferation (GO:0032944),204,20,4.86,+,4.11,1.50E-03
regulation of molecular function (GO:0065009),2882,111,68.71,+,1.62,1.61E-03
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484),10,6,0.24,+,25.17,1.68E-03
response to oxygen-containing compound (GO:1901700),1484,68,35.38,+,1.92,1.88E-03
immune response-activating signal transduction (GO:0002757),402,29,9.58,+,3.03,1.89E-03
single-organism process (GO:0044699),12433,351,296.42,+,1.18,2.24E-03
intracellular receptor signaling pathway (GO:0030522),171,18,4.08,+,4.42,2.24E-03
regulation of T cell proliferation (GO:0042129),154,17,3.67,+,4.63,2.51E-03
positive regulation of lymphocyte mediated immunity (GO:0002708),75,12,1.79,+,6.71,3.25E-03
antigen processing and presentation (GO:0019882),216,20,5.15,+,3.88,3.62E-03
positive regulation of cellular metabolic process (GO:0031325),2835,108,67.59,+,1.6,4.24E-03
leukocyte differentiation (GO:0002521),304,24,7.25,+,3.31,4.46E-03
regulation of lymphocyte differentiation (GO:0045619),144,16,3.43,+,4.66,5.12E-03
cellular process (GO:0009987),14523,395,346.25,+,1.14,5.47E-03
positive regulation of cell killing (GO:0031343),40,9,0.95,+,9.44,5.99E-03
negative regulation of innate immune response (GO:0045824),40,9,0.95,+,9.44,5.99E-03
regulation of adaptive immune response (GO:0002819),129,15,3.08,+,4.88,6.58E-03
T cell aggregation (GO:0070489),227,20,5.41,+,3.7,7.71E-03
T cell activation (GO:0042110),227,20,5.41,+,3.7,7.71E-03
regulation of protein metabolic process (GO:0051246),2530,98,60.32,+,1.62,8.01E-03
regulation of leukocyte differentiation (GO:1902105),249,21,5.94,+,3.54,8.21E-03
lymphocyte aggregation (GO:0071593),229,20,5.46,+,3.66,8.79E-03
regulation of cellular protein metabolic process (GO:0032268),2368,93,56.46,+,1.65,9.09E-03
regulation of inflammatory response (GO:0050727),317,24,7.56,+,3.18,9.18E-03
regulation of signaling (GO:0023051),3096,114,73.81,+,1.54,9.99E-03
regulation of hemopoiesis (GO:1903706),320,24,7.63,+,3.15,1.08E-02
cellular response to external stimulus (GO:0071496),278,22,6.63,+,3.32,1.27E-02
regulation of phosphorylation (GO:0042325),1411,63,33.64,+,1.87,1.29E-02
leukocyte aggregation (GO:0070486),235,20,5.6,+,3.57,1.30E-02
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091),235,20,5.6,+,3.57,1.30E-02
regulation of cell communication (GO:0010646),3048,112,72.67,+,1.54,1.41E-02
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753),33,8,0.79,+,10.17,1.44E-02
positive regulation of natural killer cell differentiation (GO:0032825),8,5,0.19,+,26.21,1.46E-02
positive regulation of inflammatory response (GO:0050729),120,14,2.86,+,4.89,1.47E-02
toll-like receptor signaling pathway (GO:0002224),87,12,2.07,+,5.79,1.50E-02
regulation of interferon-beta production (GO:0032648),45,9,1.07,+,8.39,1.56E-02
regulation of lymphocyte mediated immunity (GO:0002706),121,14,2.88,+,4.85,1.61E-02
negative regulation of signal transduction (GO:0009968),1118,53,26.65,+,1.99,1.75E-02
response to interferon-beta (GO:0035456),24,7,0.57,+,12.23,1.94E-02
negative regulation of cytokine production (GO:0001818),221,19,5.27,+,3.61,2.04E-02
positive regulation of leukocyte mediated cytotoxicity (GO:0001912),35,8,0.83,+,9.59,2.21E-02
negative regulation of cell death (GO:0060548),920,46,21.93,+,2.1,2.22E-02
negative regulation of immune response (GO:0050777),125,14,2.98,+,4.7,2.34E-02
positive regulation of leukocyte mediated immunity (GO:0002705),91,12,2.17,+,5.53,2.36E-02
positive regulation of leukocyte proliferation (GO:0070665),144,15,3.43,+,4.37,2.48E-02
regulation of protein phosphorylation (GO:0001932),1316,59,31.38,+,1.88,2.53E-02
regulation of autophagy (GO:0010506),268,21,6.39,+,3.29,2.55E-02
antigen processing and presentation of peptide antigen via MHC class Ib (GO:0002428),9,5,0.21,+,23.3,2.58E-02
negative regulation of signaling (GO:0023057),1225,56,29.21,+,1.92,2.62E-02
response to inorganic substance (GO:0010035),511,31,12.18,+,2.54,2.62E-02
positive regulation of immune effector process (GO:0002699),165,16,3.93,+,4.07,2.88E-02
positive regulation of response to external stimulus (GO:0032103),272,21,6.48,+,3.24,3.19E-02
regulation of catalytic activity (GO:0050790),2375,91,56.62,+,1.61,3.34E-02
positive regulation of intracellular signal transduction (GO:1902533),907,45,21.62,+,2.08,3.48E-02
positive regulation of cellular protein metabolic process (GO:0032270),1426,62,34,+,1.82,3.64E-02
positive regulation of adaptive immune response (GO:0002821),79,11,1.88,+,5.84,3.67E-02
maternal process involved in female pregnancy (GO:0060135),65,10,1.55,+,6.45,4.22E-02
negative regulation of cell proliferation (GO:0008285),661,36,15.76,+,2.28,4.65E-02
negative regulation of cell communication (GO:0010648),1221,55,29.11,+,1.89,4.92E-02
JAK-STAT cascade (GO:0007259),52,9,1.24,+,7.26,4.94E-02
regulation of interleukin-12 production (GO:0032655),52,9,1.24,+,7.26,4.94E-02
STAT cascade (GO:0097696),52,9,1.24,+,7.26,4.94E-02
