GO biological process complete,Homo sapiens - REFLIST (20972),upload_1 (510),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
cellular response to stress (GO:0033554),1619,99,39.37,+,2.51,1.93E-13
tRNA transport (GO:0051031),34,17,0.83,+,20.56,3.30E-13
regulation of cellular process (GO:0050794),10404,346,253.01,+,1.37,5.26E-13
cellular component organization (GO:0016043),5318,215,129.32,+,1.66,8.78E-13
negative regulation of cellular process (GO:0048523),4232,183,102.91,+,1.78,1.28E-12
regulation of biological process (GO:0050789),10933,357,265.87,+,1.34,1.34E-12
RNA 3'-end processing (GO:0031123),100,24,2.43,+,9.87,1.52E-12
positive regulation of macromolecule biosynthetic process (GO:0010557),1594,96,38.76,+,2.48,1.71E-12
cellular macromolecule catabolic process (GO:0044265),829,65,20.16,+,3.22,1.94E-12
"transcription, DNA-templated (GO:0006351)",2564,129,62.35,+,2.07,4.98E-12
nucleic acid-templated transcription (GO:0097659),2565,129,62.38,+,2.07,5.13E-12
regulation of translation (GO:0006417),345,40,8.39,+,4.77,9.58E-12
negative regulation of nucleobase-containing compound metabolic process (GO:0045934),1337,84,32.51,+,2.58,1.81E-11
rRNA metabolic process (GO:0016072),268,35,6.52,+,5.37,2.02E-11
sister chromatid segregation (GO:0000819),180,29,4.38,+,6.63,3.01E-11
positive regulation of cellular biosynthetic process (GO:0031328),1730,98,42.07,+,2.33,3.62E-11
mRNA 3'-end processing (GO:0031124),73,20,1.78,+,11.27,4.45E-11
rRNA processing (GO:0006364),262,34,6.37,+,5.34,6.12E-11
positive regulation of gene expression (GO:0010628),1663,95,40.44,+,2.35,6.33E-11
biological regulation (GO:0065007),11561,366,281.14,+,1.3,6.93E-11
regulation of cell cycle (GO:0051726),967,68,23.52,+,2.89,6.97E-11
cellular macromolecular complex assembly (GO:0034622),759,59,18.46,+,3.2,7.72E-11
positive regulation of biological process (GO:0048518),5214,206,126.79,+,1.62,8.18E-11
regulation of telomere maintenance (GO:0032204),66,19,1.6,+,11.84,8.98E-11
positive regulation of biosynthetic process (GO:0009891),1762,98,42.85,+,2.29,1.11E-10
regulation of cellular amide metabolic process (GO:0034248),374,40,9.09,+,4.4,1.27E-10
regulation of cell cycle process (GO:0010564),573,50,13.93,+,3.59,1.42E-10
chromosome segregation (GO:0007059),287,35,6.98,+,5.01,1.46E-10
nuclear import (GO:0051170),137,25,3.33,+,7.5,1.63E-10
macromolecule catabolic process (GO:0009057),966,67,23.49,+,2.85,2.13E-10
cellular protein metabolic process (GO:0044267),3553,156,86.4,+,1.81,2.15E-10
negative regulation of macromolecule biosynthetic process (GO:0010558),1373,83,33.39,+,2.49,2.22E-10
"DNA-templated transcription, termination (GO:0006353)",102,22,2.48,+,8.87,2.30E-10
cellular protein modification process (GO:0006464),2891,135,70.3,+,1.92,2.75E-10
protein modification process (GO:0036211),2891,135,70.3,+,1.92,2.75E-10
regulation of RNA biosynthetic process (GO:2001141),3629,158,88.25,+,1.79,2.75E-10
positive regulation of cellular process (GO:0048522),4713,190,114.61,+,1.66,2.86E-10
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1279,79,31.1,+,2.54,3.43E-10
mitotic nuclear envelope disassembly (GO:0007077),44,16,1.07,+,14.95,3.48E-10
nuclear envelope organization (GO:0006998),82,20,1.99,+,10.03,3.73E-10
chromatin organization (GO:0006325),653,53,15.88,+,3.34,3.76E-10
regulation of nucleic acid-templated transcription (GO:1903506),3612,157,87.84,+,1.79,3.99E-10
ribonucleoprotein complex assembly (GO:0022618),200,29,4.86,+,5.96,4.10E-10
termination of RNA polymerase II transcription (GO:0006369),63,18,1.53,+,11.75,5.10E-10
DNA replication (GO:0006260),220,30,5.35,+,5.61,7.03E-10
interspecies interaction between organisms (GO:0044419),872,62,21.21,+,2.92,7.54E-10
"symbiosis, encompassing mutualism through parasitism (GO:0044403)",872,62,21.21,+,2.92,7.54E-10
negative regulation of biosynthetic process (GO:0009890),1461,85,35.53,+,2.39,8.23E-10
nuclear envelope disassembly (GO:0051081),47,16,1.14,+,14,9.36E-10
membrane disassembly (GO:0030397),47,16,1.14,+,14,9.36E-10
"regulation of transcription, DNA-templated (GO:0006355)",3588,155,87.25,+,1.78,1.05E-09
nuclear chromosome segregation (GO:0098813),241,31,5.86,+,5.29,1.21E-09
ribonucleoprotein complex subunit organization (GO:0071826),210,29,5.11,+,5.68,1.35E-09
protein localization to nucleus (GO:0034504),168,26,4.09,+,6.36,2.00E-09
mitotic nuclear division (GO:0007067),371,38,9.02,+,4.21,2.16E-09
negative regulation of cellular biosynthetic process (GO:0031327),1434,83,34.87,+,2.38,2.22E-09
regulation of telomere maintenance via telomere lengthening (GO:1904356),50,16,1.22,+,13.16,2.36E-09
nucleus organization (GO:0006997),142,24,3.45,+,6.95,2.70E-09
viral process (GO:0016032),831,59,20.21,+,2.92,3.37E-09
multi-organism cellular process (GO:0044764),836,59,20.33,+,2.9,4.31E-09
nitrogen compound transport (GO:0071705),502,44,12.21,+,3.6,5.01E-09
organelle organization (GO:0006996),2885,131,70.16,+,1.87,5.85E-09
regulation of telomere maintenance via telomerase (GO:0032210),45,15,1.09,+,13.71,7.37E-09
spliceosomal complex assembly (GO:0000245),54,16,1.31,+,12.18,7.39E-09
regulation of mitotic cell cycle (GO:0007346),491,43,11.94,+,3.6,9.54E-09
mitotic prometaphase (GO:0000236),99,20,2.41,+,8.31,1.11E-08
protein localization to organelle (GO:0033365),583,47,14.18,+,3.32,1.42E-08
protein ubiquitination (GO:0016567),651,50,15.83,+,3.16,1.51E-08
"regulation of mRNA splicing, via spliceosome (GO:0048024)",67,17,1.63,+,10.43,1.62E-08
sister chromatid cohesion (GO:0007062),114,21,2.77,+,7.58,1.69E-08
regulation of protein metabolic process (GO:0051246),2530,118,61.52,+,1.92,2.18E-08
intracellular transport (GO:0046907),1230,73,29.91,+,2.44,2.39E-08
macromolecular complex assembly (GO:0065003),1393,79,33.88,+,2.33,2.52E-08
regulation of mitotic cell cycle phase transition (GO:1901990),308,33,7.49,+,4.41,2.60E-08
regulation of RNA splicing (GO:0043484),105,20,2.55,+,7.83,3.14E-08
regulation of cell cycle phase transition (GO:1901987),329,34,8,+,4.25,3.18E-08
nuclear division (GO:0000280),493,42,11.99,+,3.5,4.18E-08
positive regulation of RNA metabolic process (GO:0051254),1408,79,34.24,+,2.31,4.24E-08
positive regulation of chromosome organization (GO:2001252),62,16,1.51,+,10.61,5.65E-08
positive regulation of telomerase RNA localization to Cajal body (GO:1904874),15,10,0.36,+,27.41,6.31E-08
regulation of telomerase RNA localization to Cajal body (GO:1904872),15,10,0.36,+,27.41,6.31E-08
nucleic acid phosphodiester bond hydrolysis (GO:0090305),284,31,6.91,+,4.49,7.57E-08
regulation of cellular protein metabolic process (GO:0032268),2368,111,57.59,+,1.93,8.79E-08
cellular localization (GO:0051641),1979,98,48.13,+,2.04,9.84E-08
regulation of cellular response to stress (GO:0080135),588,45,14.3,+,3.15,2.32E-07
organelle fission (GO:0048285),522,42,12.69,+,3.31,2.43E-07
"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",12,9,0.29,+,30.84,2.53E-07
negative regulation of cellular protein metabolic process (GO:0032269),982,61,23.88,+,2.55,3.07E-07
single-organism nuclear import (GO:1902593),120,20,2.92,+,6.85,3.25E-07
protein import into nucleus (GO:0006606),120,20,2.92,+,6.85,3.25E-07
protein targeting to nucleus (GO:0044744),120,20,2.92,+,6.85,3.25E-07
positive regulation of protein localization to Cajal body (GO:1904871),8,8,0.19,+,41.12,3.37E-07
regulation of protein localization to Cajal body (GO:1904869),8,8,0.19,+,41.12,3.37E-07
G-protein coupled receptor signaling pathway (GO:0007186),1202,2,29.23,-, < 0.2,3.59E-07
positive regulation of telomere maintenance via telomerase (GO:0032212),32,12,0.78,+,15.42,3.72E-07
chromatin modification (GO:0016569),465,39,11.31,+,3.45,3.90E-07
negative regulation of protein metabolic process (GO:0051248),1040,63,25.29,+,2.49,3.92E-07
protein import (GO:0017038),167,23,4.06,+,5.66,4.70E-07
positive regulation of telomere maintenance via telomere lengthening (GO:1904358),33,12,0.8,+,14.95,5.27E-07
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),138,21,3.36,+,6.26,5.47E-07
protein metabolic process (GO:0019538),4130,162,100.43,+,1.61,6.28E-07
peptidyl-amino acid modification (GO:0018193),873,56,21.23,+,2.64,6.50E-07
regulation of cellular component organization (GO:0051128),2303,106,56,+,1.89,8.43E-07
positive regulation of establishment of protein localization to telomere (GO:1904851),9,8,0.22,+,36.55,8.47E-07
DNA conformation change (GO:0071103),258,28,6.27,+,4.46,8.85E-07
"regulation of protein localization to chromosome, telomeric region (GO:1904814)",14,9,0.34,+,26.44,9.69E-07
negative regulation of RNA metabolic process (GO:0051253),1198,68,29.13,+,2.33,9.79E-07
macromolecule localization (GO:0033036),2157,101,52.45,+,1.93,1.03E-06
negative regulation of protein ubiquitination (GO:0031397),129,20,3.14,+,6.38,1.13E-06
modification-dependent macromolecule catabolic process (GO:0043632),506,40,12.3,+,3.25,1.22E-06
positive regulation of telomere maintenance (GO:0032206),46,13,1.12,+,11.62,1.79E-06
regulation of establishment of protein localization to telomere (GO:0070203),10,8,0.24,+,32.9,1.93E-06
positive regulation of DNA metabolic process (GO:0051054),199,24,4.84,+,4.96,2.50E-06
transcription from RNA polymerase II promoter (GO:0006366),731,49,17.78,+,2.76,2.59E-06
DNA-dependent DNA replication (GO:0006261),107,18,2.6,+,6.92,2.66E-06
regulation of establishment of protein localization to chromosome (GO:0070202),11,8,0.27,+,29.91,4.04E-06
ubiquitin-dependent protein catabolic process (GO:0006511),490,38,11.92,+,3.19,6.02E-06
protein polyubiquitination (GO:0000209),244,26,5.93,+,4.38,6.03E-06
establishment of localization in cell (GO:0051649),1511,77,36.74,+,2.1,6.77E-06
regulation of chromatin organization (GO:1902275),160,21,3.89,+,5.4,7.49E-06
modification-dependent protein catabolic process (GO:0019941),498,38,12.11,+,3.14,9.33E-06
proteolysis involved in cellular protein catabolic process (GO:0051603),544,40,13.23,+,3.02,9.50E-06
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437),76,15,1.85,+,8.12,9.64E-06
regulation of response to stress (GO:0080134),1384,72,33.66,+,2.14,1.11E-05
regulation of cellular amino acid metabolic process (GO:0006521),54,13,1.31,+,9.9,1.20E-05
cell division (GO:0051301),481,37,11.7,+,3.16,1.26E-05
positive regulation of RNA biosynthetic process (GO:1902680),1362,71,33.12,+,2.14,1.35E-05
anaphase-promoting complex-dependent catabolic process (GO:0031145),78,15,1.9,+,7.91,1.36E-05
regulation of protein modification by small protein conjugation or removal (GO:1903320),273,27,6.64,+,4.07,1.37E-05
negative regulation of ubiquitin-protein transferase activity (GO:0051444),80,15,1.95,+,7.71,1.91E-05
positive regulation of ubiquitin protein ligase activity (GO:1904668),81,15,1.97,+,7.62,2.25E-05
cellular protein catabolic process (GO:0044257),562,40,13.67,+,2.93,2.34E-05
regulation of DNA biosynthetic process (GO:2000278),95,16,2.31,+,6.93,2.51E-05
multi-organism process (GO:0051704),2297,101,55.86,+,1.81,2.96E-05
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)",21,9,0.51,+,17.62,3.21E-05
viral gene expression (GO:0019080),126,18,3.06,+,5.87,3.31E-05
positive regulation of DNA biosynthetic process (GO:2000573),59,13,1.43,+,9.06,3.41E-05
negative regulation of mRNA metabolic process (GO:1903312),38,11,0.92,+,11.9,3.42E-05
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436),71,14,1.73,+,8.11,3.48E-05
positive regulation of nucleic acid-templated transcription (GO:1903508),1342,69,32.63,+,2.11,4.09E-05
"positive regulation of transcription, DNA-templated (GO:0045893)",1342,69,32.63,+,2.11,4.09E-05
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),72,14,1.75,+,8,4.14E-05
regulation of ubiquitin protein ligase activity (GO:1904666),85,15,2.07,+,7.26,4.24E-05
protein catabolic process (GO:0030163),599,41,14.57,+,2.81,4.39E-05
nuclear pore organization (GO:0006999),15,8,0.36,+,21.93,4.44E-05
chromatin organization (GO:0016568),289,27,7.03,+,3.84,4.46E-05
negative regulation of ubiquitin protein ligase activity (GO:1904667),73,14,1.78,+,7.89,4.92E-05
regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000058),101,16,2.46,+,6.51,5.87E-05
negative regulation of DNA metabolic process (GO:0051053),116,17,2.82,+,6.03,6.18E-05
negative regulation of mRNA processing (GO:0050686),31,10,0.75,+,13.27,6.34E-05
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",63,13,1.53,+,8.49,7.34E-05
system process (GO:0003008),1833,13,44.58,-,0.29,7.74E-05
negative regulation of translation (GO:0017148),134,18,3.26,+,5.52,8.39E-05
viral life cycle (GO:0019058),300,27,7.3,+,3.7,9.58E-05
regulation of glucose transport (GO:0010827),106,16,2.58,+,6.21,1.14E-04
positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060),92,15,2.24,+,6.7,1.19E-04
negative regulation of protein modification process (GO:0031400),573,39,13.93,+,2.8,1.22E-04
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),66,13,1.6,+,8.1,1.26E-04
DNA recombination (GO:0006310),226,23,5.5,+,4.18,1.33E-04
posttranscriptional gene silencing (GO:0016441),44,11,1.07,+,10.28,1.51E-04
RNA secondary structure unwinding (GO:0010501),44,11,1.07,+,10.28,1.51E-04
"regulation of DNA-templated transcription, elongation (GO:0032784)",45,11,1.09,+,10.05,1.89E-04
negative regulation of cellular amide metabolic process (GO:0034249),142,18,3.45,+,5.21,2.00E-04
regulation of protein ubiquitination (GO:0031396),251,24,6.1,+,3.93,2.07E-04
RNA phosphodiester bond hydrolysis (GO:0090501),143,18,3.48,+,5.18,2.22E-04
"DNA-templated transcription, elongation (GO:0006354)",98,15,2.38,+,6.29,2.69E-04
negative regulation of RNA splicing (GO:0033119),27,9,0.66,+,13.71,2.71E-04
multi-organism metabolic process (GO:0044033),145,18,3.53,+,5.1,2.72E-04
viral transcription (GO:0019083),115,16,2.8,+,5.72,3.44E-04
positive regulation of ubiquitin-protein transferase activity (GO:0051443),100,15,2.43,+,6.17,3.49E-04
mitotic sister chromatid segregation (GO:0000070),100,15,2.43,+,6.17,3.49E-04
regulation of signal transduction by p53 class mediator (GO:1901796),165,19,4.01,+,4.74,3.63E-04
regulation of ubiquitin-protein transferase activity (GO:0051438),116,16,2.82,+,5.67,3.86E-04
cellular catabolic process (GO:0044248),1395,68,33.92,+,2,4.11E-04
histone modification (GO:0016570),345,28,8.39,+,3.34,4.36E-04
activation of innate immune response (GO:0002218),206,21,5.01,+,4.19,5.44E-04
regulation of cellular amine metabolic process (GO:0033238),75,13,1.82,+,7.13,5.44E-04
positive regulation of cellular component organization (GO:0051130),1175,60,28.57,+,2.1,5.82E-04
regulation of histone modification (GO:0031056),136,17,3.31,+,5.14,5.93E-04
regulation of transcription from RNA polymerase II promoter (GO:0006357),1834,82,44.6,+,1.84,5.96E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),228,22,5.54,+,3.97,6.77E-04
positive regulation of mRNA processing (GO:0050685),22,8,0.53,+,14.95,8.19E-04
proteasomal protein catabolic process (GO:0010498),295,25,7.17,+,3.48,1.03E-03
sensory perception (GO:0007600),952,3,23.15,-, < 0.2,1.14E-03
neurological system process (GO:0050877),1271,7,30.91,-,0.23,1.18E-03
posttranscriptional gene silencing by RNA (GO:0035194),43,10,1.05,+,9.56,1.29E-03
double-strand break repair (GO:0006302),163,18,3.96,+,4.54,1.50E-03
transcription elongation from RNA polymerase II promoter (GO:0006368),83,13,2.02,+,6.44,1.71E-03
cell cycle checkpoint (GO:0000075),202,20,4.91,+,4.07,1.76E-03
negative regulation of cell cycle (GO:0045786),440,31,10.7,+,2.9,1.84E-03
cellular component assembly (GO:0022607),2109,89,51.29,+,1.74,1.92E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),285,24,6.93,+,3.46,2.05E-03
nucleobase-containing compound catabolic process (GO:0034655),351,27,8.54,+,3.16,2.13E-03
NIK/NF-kappaB signaling (GO:0038061),85,13,2.07,+,6.29,2.23E-03
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",100,14,2.43,+,5.76,2.23E-03
pore complex assembly (GO:0046931),17,7,0.41,+,16.93,2.28E-03
establishment of protein localization to organelle (GO:0072594),376,28,9.14,+,3.06,2.43E-03
protein folding (GO:0006457),227,21,5.52,+,3.8,2.62E-03
regulation of cellular catabolic process (GO:0031329),379,28,9.22,+,3.04,2.84E-03
maturation of SSU-rRNA (GO:0030490),47,10,1.14,+,8.75,2.88E-03
positive regulation of innate immune response (GO:0045089),249,22,6.06,+,3.63,2.95E-03
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",36,9,0.88,+,10.28,2.97E-03
protein targeting (GO:0006605),427,30,10.38,+,2.89,3.06E-03
regulation of cellular protein catabolic process (GO:1903362),250,22,6.08,+,3.62,3.15E-03
positive regulation of mRNA metabolic process (GO:1903313),48,10,1.17,+,8.57,3.48E-03
stimulatory C-type lectin receptor signaling pathway (GO:0002223),104,14,2.53,+,5.54,3.53E-03
regulation of histone methylation (GO:0031060),61,11,1.48,+,7.42,3.79E-03
maintenance of DNA methylation (GO:0010216),6,5,0.15,+,34.27,3.98E-03
innate immune response activating cell surface receptor signaling pathway (GO:0002220),106,14,2.58,+,5.43,4.41E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322),195,19,4.74,+,4.01,4.46E-03
single-organism intracellular transport (GO:1902582),508,33,12.35,+,2.67,4.49E-03
ion transport (GO:0006811),1204,7,29.28,-,0.24,4.53E-03
mRNA splice site selection (GO:0006376),28,8,0.68,+,11.75,4.97E-03
innate immune response-activating signal transduction (GO:0002758),197,19,4.79,+,3.97,5.18E-03
