Gene 1,Gene 2,Weight,Network group,PPI Level
SQSTM1,MAPT,0.006330001,Physical interactions,SQSTM9
SQSTM1,MAPT,0.004959649,Physical interactions,SQSTM10
SQSTM1,PABPC1,0.027452368,Physical interactions,PABPC1
SQSTM1,SOD1,0.007382631,Physical interactions,PABPC1
SQSTM1,SOD1,0.0440755,Physical interactions,PABPC1
TARDBP,ARHGEF28,0.19709127,Physical interactions,TARDBP
TARDBP,ARHGEF28,0.12985976,Physical interactions,TARDBP
TARDBP,ATXN2,0.96076894,Physical interactions,PABPC1
TARDBP,ATXN2,0.062296197,Physical interactions,PABPC1
TARDBP,FUS,0.051138733,Physical interactions,TARDBP
TARDBP,FUS,0.037279796,Physical interactions,TARDBP
TARDBP,HNRNPA1,0.09660951,Physical interactions,PABPC1
TARDBP,HNRNPA1,0.067115605,Physical interactions,PABPC1
TARDBP,HNRNPA1,0.015707098,Physical interactions,PABPC1
TARDBP,HNRNPA1,0.013765685,Physical interactions,PABPC1
TARDBP,HNRNPA2B1,0.067115605,Physical interactions,TARDBP
TARDBP,MATR3,0.067115605,Physical interactions,TARDBP
TARDBP,PABPC1,0.067115605,Physical interactions,PABPC1
TARDBP,PABPC1,0.02501695,Physical interactions,PABPC1
TARDBP,SQSTM1,0.016513586,Physical interactions,PABPC1
TARDBP,SQSTM1,0.01484991,Physical interactions,PABPC1
TARDBP,UBQLN2,0.06862859,Physical interactions,TARDBP
TARDBP,UBQLN2,0.05358739,Physical interactions,TARDBP
TBK1,OPTN,0.02144197,Physical interactions,OPTN
TBK1,OPTN,0.0210462,Physical interactions,OPTN
TBK1,OPTN,0.020436082,Physical interactions,OPTN
TBK1,OPTN,0.008378667,Physical interactions,OPTN
TUBA4A,DCTN1,0.045369506,Physical interactions,
TUBA4A,DCTN1,0.012717838,Physical interactions,
TUBA4A,MAPT,0.009861206,Physical interactions,
TUBA4A,MAPT,0.013180167,Physical interactions,
VCP,ALS2,0.060633905,Physical interactions,VCP
VCP,DIAPH3,0.060633905,Physical interactions,VCP
VCP,HNRNPA1,0.060633905,Physical interactions,VCP
VCP,OPTN,0.012144608,Physical interactions,VCP
VCP,RNF19A,0.027492585,Physical interactions,VCP
VCP,RNF19A,0.020553997,Physical interactions,VCP
VCP,RNF19A,0.048596855,Physical interactions,VCP
VCP,SPAST,0.060633905,Physical interactions,VCP
VCP,SQSTM1,0.037839454,Physical interactions,SQSTM1
VCP,TARDBP,0.067115605,Physical interactions,TARDBP
VCP,TARDBP,0.015609276,Physical interactions,TARDBP
VCP,TARDBP,0.015177436,Physical interactions,TARDBP
VEGFA,KDR,0.14645924,Physical interactions,
VEGFA,KDR,0.029225,Physical interactions,
VEGFA,KDR,0.8716346,Physical interactions,
VEGFA,KDR,0.22830053,Physical interactions,
VEGFA,KDR,0.05829038,Physical interactions,
VEGFA,KDR,0.01728482,Physical interactions,
VEGFA,KDR,0.025375197,Physical interactions,
VEGFA,KDR,0.08555708,Physical interactions,
