ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
205544_s_at	-1.96 	5.34 	-6.80 	9.53E-09	8.98E-06	9.809924384	CR2
204140_at	-0.71 	5.28 	-6.80 	9.68E-09	8.98E-06	9.796062832	TPST1
204119_s_at	-1.84 	6.36 	-6.71 	1.33E-08	1.18E-05	9.502724182	ADK
211597_s_at	-1.69 	4.47 	-6.67 	1.53E-08	1.28E-05	9.370431699	HOPX
39318_at	-2.20 	7.79 	-6.67 	1.55E-08	1.28E-05	9.357558559	TCL1A
202113_s_at	-2.26 	5.15 	-6.59 	2.07E-08	1.60E-05	9.090149457	SNX2
203146_s_at	-1.03 	6.12 	-6.59 	2.09E-08	1.60E-05	9.082688943	GABBR1
212599_at	-1.44 	4.84 	-6.58 	2.16E-08	1.60E-05	9.050449043	AUTS2
205776_at	-0.73 	4.59 	-6.47 	3.29E-08	2.36E-05	8.659616527	FMO5
215767_at	2.60 	5.10 	6.43 	3.76E-08	2.62E-05	8.536052726	ZNF804A
208704_x_at	-1.78 	7.49 	-6.38 	4.49E-08	3.03E-05	8.369299418	APLP2
215933_s_at	-1.66 	4.59 	-6.17 	9.93E-08	6.32E-05	7.631743187	HHEX
205148_s_at	-0.96 	4.99 	-6.11 	1.23E-07	7.39E-05	7.435491844	CLCN4
207269_at	3.32 	6.93 	6.10 	1.28E-07	7.46E-05	7.394677017	DEFA4
208634_s_at	-1.45 	7.32 	-6.09 	1.31E-07	7.46E-05	7.377529627	MACF1
205965_at	0.84 	7.18 	6.01 	1.77E-07	9.85E-05	7.095482788	BATF
212845_at	-0.71 	4.27 	-6.00 	1.85E-07	0.00010075	7.05132526	SAMD4A
206613_s_at	-0.85 	3.90 	-5.99 	1.92E-07	0.000101692	7.020252438	TAF1A
212364_at	-0.70 	3.85 	-5.96 	2.12E-07	0.000109723	6.927647855	MYO1B
219032_x_at	-2.04 	6.92 	-5.92 	2.46E-07	0.000124734	6.786972105	OPN3
204982_at	-1.10 	5.37 	-5.89 	2.71E-07	0.000133959	6.699687896	GIT2
205997_at	-2.46 	6.95 	-5.81 	3.71E-07	0.000179871	6.40507962	ADAM28
201859_at	1.81 	8.82 	5.74 	4.66E-07	0.000220842	6.194169574	SRGN
208248_x_at	-1.86 	6.99 	-5.69 	5.71E-07	0.0002649	6.00536895	APLP2
218715_at	-1.16 	7.34 	-5.67 	6.13E-07	0.000273133	5.938926962	UTP6
218284_at	-1.08 	5.54 	-5.62 	7.40E-07	0.000323197	5.763955772	SMAD3
212456_at	0.76 	7.36 	5.60 	7.82E-07	0.000335275	5.711769842	CLUH
218806_s_at	-0.63 	4.29 	-5.56 	9.11E-07	0.000383042	5.570174121	VAV3
207641_at	1.22 	7.72 	5.55 	9.34E-07	0.000385438	5.546989538	TNFRSF13B
212486_s_at	-0.48 	3.51 	-5.54 	9.67E-07	0.000391746	5.514828371	FYN
204622_x_at	2.87 	6.29 	5.52 	1.05E-06	0.000413159	5.435408089	NR4A2
216033_s_at	-0.60 	4.40 	-5.52 	1.06E-06	0.000413159	5.432116112	FYN
204689_at	-1.32 	5.57 	-5.47 	1.24E-06	0.000474488	5.287237927	HHEX
216248_s_at	3.17 	6.21 	5.44 	1.40E-06	0.000529686	5.169016132	NR4A2
205207_at	1.46 	5.85 	5.43 	1.46E-06	0.000541207	5.133382771	IL6
210644_s_at	-1.10 	5.63 	-5.41 	1.57E-06	0.000572727	5.065383321	LAIR1
204912_at	1.82 	7.50 	5.39 	1.65E-06	0.000592487	5.018731133	IL10RA
205883_at	-1.20 	5.08 	-5.39 	1.70E-06	0.000601336	4.990073882	ZBTB16
209829_at	-1.81 	5.78 	-5.36 	1.85E-06	0.000642952	4.913226526	FAM65B
210105_s_at	-1.39 	5.89 	-5.35 	1.94E-06	0.000665268	4.867097001	FYN
209498_at	1.42 	5.71 	5.31 	2.19E-06	0.000738896	4.755339839	CEACAM1
202599_s_at	-1.73 	4.74 	-5.30 	2.28E-06	0.000756681	4.719256102	NRIP1
212975_at	-0.90 	6.73 	-5.26 	2.66E-06	0.000872983	4.572617117	DENND3
202332_at	1.34 	6.42 	5.25 	2.71E-06	0.000875149	4.556748217	CSNK1E
201179_s_at	-1.22 	5.79 	-5.24 	2.87E-06	0.000913204	4.503825849	GNAI3
208072_s_at	-0.87 	7.51 	-5.22 	3.02E-06	0.000922518	4.457449266	DGKD
202770_s_at	-0.70 	5.33 	-5.22 	3.04E-06	0.000922518	4.449477528	CCNG2
204458_at	0.60 	4.95 	5.22 	3.10E-06	0.000922518	4.43174908	PLA2G15
203431_s_at	-0.64 	4.69 	-5.22 	3.10E-06	0.000922518	4.430571094	ARHGAP32
210681_s_at	-1.27 	6.51 	-5.22 	3.11E-06	0.000922518	4.43029326	USP15
221581_s_at	-0.97 	6.08 	-5.19 	3.41E-06	0.00099949	4.343534686	LAT2
202768_at	1.76 	7.85 	5.18 	3.53E-06	0.001021027	4.311586851	FOSB
213864_s_at	-1.15 	9.93 	-5.17 	3.67E-06	0.001048981	4.274509704	NAP1L1
206003_at	-0.74 	5.01 	-5.15 	3.98E-06	0.001123514	4.198917914	CEP135
212715_s_at	-0.85 	4.71 	-5.12 	4.31E-06	0.001200185	4.125923563	MICAL3
218158_s_at	-1.28 	4.94 	-5.11 	4.52E-06	0.00124376	4.081267079	APPL1
209623_at	-0.86 	6.61 	-5.11 	4.60E-06	0.001248682	4.066204652	MCCC2
217838_s_at	-1.32 	6.54 	-5.09 	4.90E-06	0.001315246	4.006723041	EVL
209995_s_at	-1.63 	7.44 	-5.07 	5.17E-06	0.001371098	3.956988128	TCL1A
207445_s_at	-0.61 	3.81 	-5.06 	5.43E-06	0.00142323	3.911354223	CCR9
203795_s_at	-0.74 	5.69 	-5.02 	6.18E-06	0.001600901	3.790404591	BCL7A
220980_s_at	-0.78 	7.72 	-5.02 	6.25E-06	0.001600901	3.78056213	ADPGK
212690_at	-1.35 	6.84 	-4.95 	7.89E-06	0.001997423	3.564596359	DDHD2
205101_at	-0.88 	5.13 	-4.94 	8.31E-06	0.002046026	3.516734196	CIITA
205804_s_at	-1.35 	6.90 	-4.94 	8.32E-06	0.002046026	3.514887708	TRAF3IP3
219255_x_at	2.06 	5.82 	4.94 	8.36E-06	0.002046026	3.51118966	IL17RB
219173_at	-0.98 	5.62 	-4.91 	9.08E-06	0.002199364	3.43401121	MYO15B
220146_at	-1.28 	4.33 	-4.88 	1.03E-05	0.002467171	3.317415197	TLR7
212967_x_at	-1.14 	9.45 	-4.87 	1.04E-05	0.002474816	3.304628158	NAP1L1
203521_s_at	-1.24 	5.18 	-4.86 	1.08E-05	0.002523649	3.276696162	ZNF318
212646_at	-1.82 	6.28 	-4.86 	1.11E-05	0.002570993	3.249752814	RFTN1
219471_at	-1.74 	7.46 	-4.84 	1.15E-05	0.002647796	3.212852963	KIAA0226L
201889_at	-1.83 	7.87 	-4.84 	1.17E-05	0.002648448	3.20271252	FAM3C
209583_s_at	-1.91 	6.48 	-4.84 	1.18E-05	0.002648448	3.193703488	CD200
214771_x_at	-0.87 	7.61 	-4.82 	1.24E-05	0.002745572	3.145455874	MPRIP
202241_at	2.00 	8.67 	4.82 	1.24E-05	0.002745572	3.141773972	TRIB1
210180_s_at	1.60 	5.58 	4.81 	1.28E-05	0.002789323	3.117986756	TRA2B
205419_at	1.81 	6.46 	4.80 	1.37E-05	0.002954165	3.0557262	GPR183
202780_at	-1.07 	6.53 	-4.78 	1.46E-05	0.003121774	2.995630588	OXCT1
212561_at	-1.17 	5.66 	-4.76 	1.52E-05	0.003226877	2.956080213	DENND5A
204142_at	1.51 	5.41 	4.75 	1.59E-05	0.003303633	2.91362288	ENOSF1
219770_at	0.72 	5.78 	4.75 	1.60E-05	0.003303633	2.906052226	GTDC1
204285_s_at	3.16 	6.58 	4.75 	1.61E-05	0.003303633	2.903258341	PMAIP1
203395_s_at	0.80 	4.35 	4.74 	1.65E-05	0.003339766	2.881122741	HES1
216944_s_at	-0.68 	4.01 	-4.74 	1.67E-05	0.003345987	2.871015412	ITPR1
59375_at	-0.71 	5.65 	-4.73 	1.69E-05	0.003362553	2.858132179	MYO15B
202080_s_at	-0.87 	8.38 	-4.69 	1.94E-05	0.003718878	2.731622471	TRAK1
222201_s_at	-0.94 	4.54 	-4.69 	1.94E-05	0.003718878	2.730616311	CASP8AP2
203679_at	0.62 	6.29 	4.69 	1.95E-05	0.003718878	2.724396823	TMED1
218807_at	-1.39 	7.03 	-4.68 	2.05E-05	0.003866985	2.680355443	VAV3
209926_at	0.60 	6.22 	4.68 	2.07E-05	0.003872001	2.671341869	MEF2BNB
210244_at	1.44 	5.44 	4.67 	2.12E-05	0.003944657	2.646382544	CAMP
208923_at	1.35 	7.10 	4.65 	2.24E-05	0.004129691	2.596264253	CYFIP1
202121_s_at	1.10 	7.06 	4.64 	2.37E-05	0.004303034	2.543163294	CHMP2A
202968_s_at	-0.74 	5.26 	-4.64 	2.38E-05	0.004303034	2.5430319	DYRK2
218948_at	-1.11 	4.65 	-4.63 	2.45E-05	0.004395189	2.515927029	QRSL1
206111_at	2.22 	6.88 	4.58 	2.91E-05	0.005186316	2.35536016	RNASE2
212197_x_at	-0.80 	8.47 	-4.56 	3.06E-05	0.005363054	2.309684615	MPRIP
212918_at	-1.46 	6.44 	-4.56 	3.08E-05	0.005367792	2.301614229	RECQL
217853_at	1.89 	7.84 	4.53 	3.45E-05	0.005962423	2.197272703	TNS3
205733_at	-0.95 	6.04 	-4.52 	3.52E-05	0.006025848	2.180351692	BLM
201858_s_at	1.84 	8.28 	4.51 	3.68E-05	0.006251245	2.139322365	SRGN
204960_at	1.34 	8.09 	4.50 	3.77E-05	0.00636338	2.115860735	PTPRCAP
209269_s_at	0.41 	4.32 	4.50 	3.80E-05	0.006367043	2.108353531	SYK
212655_at	0.52 	4.15 	4.48 	4.01E-05	0.006659992	2.05986015	ZCCHC14
205681_at	1.31 	4.42 	4.48 	4.04E-05	0.006672491	2.051257314	BCL2A1
211256_x_at	-0.73 	6.40 	-4.46 	4.39E-05	0.007171413	1.975915096	BTN2A1
202645_s_at	-0.60 	6.71 	-4.45 	4.41E-05	0.007171413	1.971048103	MEN1
215358_x_at	-0.79 	5.39 	-4.45 	4.46E-05	0.007199695	1.960447742	ZNF37BP
205262_at	0.68 	5.28 	4.45 	4.49E-05	0.007199695	1.954024555	KCNH2
207005_s_at	0.74 	6.12 	4.45 	4.53E-05	0.007208732	1.946244369	BCL2
202018_s_at	2.91 	6.18 	4.42 	4.92E-05	0.00777786	1.869492038	LTF
205307_s_at	-0.90 	5.34 	-4.41 	5.13E-05	0.008009492	1.831157992	KMO
201885_s_at	0.92 	7.86 	4.41 	5.14E-05	0.008009492	1.829390385	CYB5R3
218856_at	1.17 	5.91 	4.40 	5.23E-05	0.008086693	1.814100394	TNFRSF21
217388_s_at	-1.54 	5.52 	-4.40 	5.28E-05	0.008112293	1.804793379	KYNU
218309_at	1.06 	4.66 	4.39 	5.39E-05	0.008211172	1.786186926	CAMK2N1
216945_x_at	-0.80 	5.52 	-4.39 	5.42E-05	0.008211172	1.780963444	PASK
203133_at	0.79 	10.10 	4.39 	5.54E-05	0.008333545	1.761050224	SEC61B
220734_s_at	0.61 	6.27 	4.38 	5.62E-05	0.008403589	1.747109262	GLTPD1
217523_at	0.94 	4.25 	4.38 	5.68E-05	0.008411079	1.737842004	CD44
216834_at	3.11 	7.84 	4.38 	5.72E-05	0.008411079	1.730314541	RGS1
205298_s_at	-0.79 	6.96 	-4.38 	5.74E-05	0.008411079	1.727888945	BTN2A2
200999_s_at	1.39 	10.13 	4.37 	5.82E-05	0.008477009	1.714631446	CKAP4
209218_at	-1.17 	5.18 	-4.37 	5.94E-05	0.008594131	1.695956814	SQLE
209477_at	0.65 	6.87 	4.36 	5.98E-05	0.008594338	1.689961969	EMD
219551_at	-1.60 	8.46 	-4.36 	6.10E-05	0.008663893	1.671299895	EAF2
218973_at	-0.81 	5.37 	-4.36 	6.10E-05	0.008663893	1.670694269	EFTUD1
213579_s_at	1.09 	5.94 	4.34 	6.49E-05	0.009151268	1.614345237	EP300
206983_at	-0.63 	3.82 	-4.33 	6.64E-05	0.00931043	1.592620061	CCR6
36888_at	-0.56 	6.88 	-4.33 	6.69E-05	0.009323541	1.585539177	HAUS5
221058_s_at	0.94 	5.73 	4.32 	6.94E-05	0.009581554	1.552615444	CKLF
213182_x_at	0.74 	5.66 	4.31 	7.03E-05	0.009581554	1.540265971	CDKN1C
210640_s_at	1.66 	5.81 	4.31 	7.05E-05	0.009581554	1.537590537	GPER1
210378_s_at	0.74 	6.59 	4.31 	7.11E-05	0.009603029	1.529920159	SSNA1
200998_s_at	1.50 	8.10 	4.29 	7.59E-05	0.010124176	1.47029205	CKAP4
208018_s_at	1.50 	5.71 	4.29 	7.59E-05	0.010124176	1.470084487	HCK
209993_at	-0.39 	3.96 	-4.29 	7.68E-05	0.010184289	1.459123225	ABCB1
203949_at	1.57 	5.77 	4.28 	7.95E-05	0.010425895	1.427520566	MPO
202519_at	-1.02 	6.32 	-4.28 	7.95E-05	0.010425895	1.426601638	MLXIP
212560_at	-2.14 	5.20 	-4.28 	8.02E-05	0.010450212	1.419048453	SORL1
213172_at	-0.37 	3.77 	-4.26 	8.44E-05	0.010934859	1.371895637	TTC9
203520_s_at	-0.80 	5.28 	-4.26 	8.57E-05	0.010974955	1.358035309	ZNF318
208752_x_at	-0.89 	9.69 	-4.26 	8.57E-05	0.010974955	1.357870053	NAP1L1
212487_at	0.69 	7.55 	4.25 	8.80E-05	0.011200786	1.333823023	GPATCH8
218372_at	0.52 	6.08 	4.24 	9.10E-05	0.011520695	1.302629831	MED9
221927_s_at	0.47 	5.64 	4.23 	9.29E-05	0.011700218	1.283167368	ABHD11
202951_at	-1.18 	6.08 	-4.23 	9.45E-05	0.011757651	1.268214705	STK38
203046_s_at	-0.62 	5.11 	-4.23 	9.47E-05	0.011757651	1.266203611	TIMELESS
218276_s_at	-0.96 	5.05 	-4.22 	9.50E-05	0.011757651	1.263176602	SAV1
203684_s_at	0.49 	5.44 	4.21 	9.85E-05	0.012092781	1.229668058	BCL2
201254_x_at	-0.52 	12.70 	-4.21 	9.88E-05	0.012092781	1.227117473	RPS6
212841_s_at	0.86 	6.15 	4.21 	9.93E-05	0.012092904	1.222062261	PPFIBP2
220132_s_at	-0.50 	3.57 	-4.20 	0.000103561	0.012541554	1.183502435	CLEC2D
218173_s_at	-0.71 	4.61 	-4.19 	0.000105384	0.012637395	1.167432235	WHSC1L1
204080_at	0.53 	6.87 	4.19 	0.000105486	0.012637395	1.166540834	TOE1
218938_at	1.00 	5.90 	4.19 	0.000107064	0.012757743	1.152879569	FBXL15
205685_at	-0.67 	4.94 	-4.18 	0.000110398	0.013085138	1.124646876	CD86
210829_s_at	-0.74 	5.37 	-4.17 	0.000113685	0.01340341	1.097646584	SSBP2
205504_at	-0.69 	6.99 	-4.16 	0.000116797	0.013626089	1.072797322	BTK
202696_at	-0.75 	6.06 	-4.15 	0.000122549	0.014222716	1.028564329	OXSR1
222029_x_at	0.61 	6.10 	4.14 	0.000125927	0.014539044	1.003550391	PFDN6
213106_at	-1.25 	5.58 	-4.13 	0.000128721	0.014746554	0.983367714	ATP8A1
218992_at	-0.62 	5.19 	-4.13 	0.000129278	0.014746554	0.979396075	PLGRKT
218723_s_at	2.08 	6.96 	4.13 	0.000130369	0.014746554	0.971663783	RGCC
211956_s_at	0.59 	11.98 	4.13 	0.000130372	0.014746554	0.971648271	EIF1
213645_at	1.07 	5.49 	4.13 	0.000131384	0.014785971	0.964536722	ENOSF1
209405_s_at	0.60 	6.82 	4.12 	0.000132812	0.014871616	0.954592472	FAM3A
212430_at	0.78 	6.07 	4.12 	0.000134168	0.014948334	0.945251476	RBM38
202970_at	-0.38 	4.78 	-4.11 	0.000138001	0.015298942	0.919348157	DYRK2
213174_at	-0.61 	5.65 	-4.10 	0.000142727	0.015744483	0.888394413	TTC9
204440_at	1.13 	8.25 	4.10 	0.000144909	0.015844233	0.874450478	CD83
209627_s_at	1.14 	4.87 	4.10 	0.000145053	0.015844233	0.873532339	OSBPL3
202125_s_at	-1.21 	6.60 	-4.09 	0.000146053	0.0158756	0.867219634	TRAK2
204057_at	-1.26 	8.48 	-4.08 	0.000151164	0.016351366	0.835608269	IRF8
210416_s_at	-0.43 	5.41 	-4.07 	0.000156735	0.01687206	0.802352353	CHEK2
201759_at	0.44 	5.81 	4.07 	0.000160193	0.017131814	0.782298446	TBCD
203408_s_at	-1.54 	6.96 	-4.06 	0.000161374	0.017131814	0.775549929	SATB1
201731_s_at	-0.58 	7.26 	-4.06 	0.000161709	0.017131814	0.773646603	TPR
210254_at	1.84 	4.97 	4.06 	0.000162965	0.017131814	0.766535567	MS4A3
209339_at	-0.59 	4.98 	-4.06 	0.000162992	0.017131814	0.766387538	SIAH2
209760_at	-0.85 	7.22 	-4.06 	0.000164703	0.017230447	0.756790928	KIAA0922
201888_s_at	-0.58 	4.11 	-4.05 	0.000166918	0.017306466	0.744524489	IL13RA1
219756_s_at	0.37 	4.62 	4.05 	0.000166983	0.017306466	0.744162466	POF1B
203241_at	-0.79 	6.33 	-4.04 	0.000171763	0.017719436	0.718241246	UVRAG
210786_s_at	-0.36 	3.85 	-4.03 	0.000178409	0.018318158	0.683382187	FLI1
202963_at	-0.88 	8.09 	-4.03 	0.000179734	0.018318158	0.676584136	RFX5
201669_s_at	1.69 	6.52 	4.03 	0.000180318	0.018318158	0.673609892	MARCKS
211743_s_at	2.08 	6.82 	4.03 	0.000180855	0.018318158	0.670877068	PRG2
210113_s_at	-0.58 	6.56 	-4.02 	0.000185797	0.018710531	0.64612708	NLRP1
217935_s_at	-0.49 	6.09 	-4.02 	0.000186408	0.018710531	0.643111461	UQCC1
204236_at	-1.27 	6.48 	-4.01 	0.000191593	0.01914467	0.617930808	FLI1
201447_at	-0.74 	6.44 	-4.01 	0.000192571	0.019145942	0.613258562	TIA1
202284_s_at	0.88 	7.92 	4.01 	0.000193324	0.019145942	0.609674842	CDKN1A
208980_s_at	0.86 	10.77 	4.00 	0.000199298	0.019650212	0.581746529	UBC
200965_s_at	-1.36 	6.40 	-4.00 	0.000200993	0.019723859	0.573975547	ABLIM1
204061_at	-0.63 	4.18 	-3.99 	0.000202616	0.019723859	0.566592324	PRKX
204193_at	-0.68 	7.87 	-3.99 	0.000203529	0.019723859	0.562470113	CHKB
210649_s_at	-0.62 	4.26 	-3.99 	0.00020373	0.019723859	0.561564102	ARID1A
218916_at	0.66 	5.59 	3.99 	0.00020447	0.019723859	0.558234651	ZNF768
221940_at	-0.40 	5.70 	-3.99 	0.000206094	0.019765425	0.550977814	RPUSD2
203956_at	0.92 	6.41 	3.99 	0.000206675	0.019765425	0.548393666	MORC2
221839_s_at	0.88 	7.34 	3.97 	0.000214953	0.020323115	0.512367048	UBAP2
204841_s_at	-0.27 	3.68 	-3.97 	0.000216061	0.020323115	0.507653125	EEA1
213069_at	-0.47 	4.27 	-3.97 	0.00021697	0.020323115	0.503799466	HEG1
205429_s_at	-0.38 	3.86 	-3.97 	0.000217244	0.020323115	0.502645807	MPP6
209341_s_at	-0.93 	7.14 	-3.97 	0.000217674	0.020323115	0.500828276	IKBKB
218385_at	0.84 	7.15 	3.97 	0.000217979	0.020323115	0.499546136	MRPS18A
202401_s_at	0.62 	6.14 	3.96 	0.00022241	0.020564158	0.481089616	SRF
38340_at	-0.64 	6.95 	-3.96 	0.000225622	0.020774916	0.467941548	HIP1R
220938_s_at	0.42 	5.60 	3.95 	0.000230103	0.021100352	0.449907689	GMEB1
214791_at	-1.05 	6.70 	-3.95 	0.000234282	0.021395525	0.433405435	SP140L
213457_at	1.41 	5.06 	3.95 	0.000235929	0.021457945	0.426984995	MFHAS1
208614_s_at	-0.74 	6.94 	-3.94 	0.00023903	0.021651604	0.415014456	FLNB
201119_s_at	0.70 	8.30 	3.94 	0.000241186	0.021758513	0.406780584	COX8A
205562_at	-0.50 	5.87 	-3.93 	0.000245881	0.022092648	0.389108439	RPP38
44790_s_at	-1.55 	6.07 	-3.93 	0.000246977	0.022101988	0.385032786	KIAA0226L
48659_at	-0.45 	6.89 	-3.93 	0.000250261	0.02220649	0.372928499	MIIP
212381_at	-0.56 	4.44 	-3.93 	0.000251057	0.02220649	0.37001768	USP24
219355_at	-0.94 	4.58 	-3.93 	0.000251135	0.02220649	0.369733928	CXorf57
205038_at	-0.54 	5.85 	-3.92 	0.00025792	0.022492915	0.345303063	IKZF1
214179_s_at	0.63 	6.99 	3.92 	0.00025799	0.022492915	0.345055052	NFE2L1
202660_at	0.84 	3.93 	3.92 	0.000258191	0.022492915	0.344341613	ITPR2
205929_at	-0.52 	5.64 	-3.91 	0.000263274	0.022826991	0.32647926	GPA33
212721_at	-0.89 	7.08 	-3.91 	0.000265349	0.022908749	0.319287579	SREK1
219582_at	-0.45 	4.77 	-3.91 	0.000266273	0.022908749	0.316102027	OGFRL1
207494_s_at	0.42 	6.27 	3.90 	0.000269292	0.02307938	0.30577403	ZNF76
203467_at	0.46 	5.28 	3.90 	0.000270372	0.023083161	0.302107574	PMM1
218872_at	0.76 	5.47 	3.90 	0.000275749	0.023452386	0.284069647	TESC
213060_s_at	-0.63 	4.82 	-3.89 	0.000278922	0.023608033	0.273593778	CHI3L2
216206_x_at	0.97 	6.13 	3.89 	0.000279698	0.023608033	0.271046636	MAP2K7
207769_s_at	0.90 	6.40 	3.89 	0.000281932	0.023706755	0.26376262	PQBP1
204563_at	-1.97 	8.22 	-3.89 	0.000286627	0.023921321	0.248637261	SELL
204621_s_at	1.75 	5.25 	3.89 	0.000286631	0.023921321	0.248626557	NR4A2
208972_s_at	0.60 	8.12 	3.88 	0.000289088	0.024036359	0.240810681	ATP5G1
201243_s_at	1.89 	5.88 	3.88 	0.000290725	0.024082618	0.235640104	ATP1B1
220917_s_at	-0.84 	5.22 	-3.87 	0.0003	0.024758889	0.206888718	WDR19
206707_x_at	-0.90 	7.12 	-3.87 	0.000303414	0.024948222	0.196531277	FAM65B
202761_s_at	1.42 	5.48 	3.86 	0.000308255	0.025253089	0.182042763	SYNE2
217168_s_at	0.93 	10.18 	3.86 	0.000311712	0.025442803	0.171834176	HERPUD1
209795_at	2.13 	6.28 	3.85 	0.000315771	0.025680035	0.159994603	CD69
209852_x_at	-0.58 	5.88 	-3.85 	0.000317052	0.025690436	0.156290289	PSME3
210867_at	0.34 	3.83 	3.85 	0.000318999	0.025697618	0.150686861	CNOT4
212687_at	1.36 	7.54 	3.85 	0.000319627	0.025697618	0.148889235	LIMS1
218543_s_at	-1.23 	7.32 	-3.85 	0.0003206	0.025697618	0.146106109	PARP12
213528_at	-0.76 	5.44 	-3.85 	0.000323156	0.025809631	0.138840905	METTL18
212247_at	-0.59 	5.33 	-3.84 	0.000330709	0.026268675	0.117702025	NUP205
205115_s_at	-0.41 	5.66 	-3.84 	0.000331261	0.026268675	0.116176582	RBM19
205613_at	-0.76 	5.18 	-3.83 	0.000344308	0.027110314	0.080841816	SYT17
203010_at	-0.56 	6.41 	-3.82 	0.0003477	0.027280983	0.071876339	STAT5A
200644_at	-1.01 	6.64 	-3.82 	0.000351188	0.027363198	0.062747455	MARCKSL1
204862_s_at	0.69 	6.92 	3.82 	0.000351204	0.027363198	0.062706868	NME3
220199_s_at	-0.76 	4.34 	-3.82 	0.000352902	0.027399701	0.058295963	AIDA
217866_at	-0.54 	7.39 	-3.80 	0.000370093	0.028634669	0.014807895	CPSF7
220019_s_at	-0.48 	5.40 	-3.80 	0.000372964	0.028673512	0.007743927	ZNF224
213489_at	0.45 	6.03 	3.80 	0.000373169	0.028673512	0.007242572	MAPRE2
208703_s_at	-1.12 	4.77 	-3.79 	0.000383397	0.029358196	-0.017472694	APLP2
212365_at	-0.53 	4.67 	-3.79 	0.000386958	0.029529372	-0.025920967	MYO1B
218842_at	-0.67 	4.37 	-3.79 	0.000388829	0.029570905	-0.030329702	RPAP3
202804_at	-0.63 	6.24 	-3.78 	0.000400111	0.03032543	-0.056465559	ABCC1
214060_at	-0.48 	4.89 	-3.77 	0.000408743	0.030874679	-0.075966467	SSBP1
206676_at	1.90 	4.58 	3.77 	0.000411502	0.030978034	-0.082110745	CEACAM8
203033_x_at	-0.68 	7.22 	-3.77 	0.000414188	0.031075228	-0.088053056	FH
206600_s_at	0.47 	4.14 	3.77 	0.000418754	0.031299433	-0.098067712	SLC16A5
219053_s_at	0.54 	5.43 	3.76 	0.000419985	0.031299433	-0.100749605	VPS37C
211115_x_at	-0.38 	4.50 	-3.76 	0.000422253	0.031363532	-0.105667617	GEMIN2
203509_at	-1.25 	7.02 	-3.76 	0.000424271	0.031408746	-0.110022556	SORL1
213238_at	-1.36 	5.51 	-3.76 	0.000427411	0.031536401	-0.116755846	ATP10D
206978_at	2.15 	6.27 	3.76 	0.000432297	0.031791575	-0.12713574	CCR2
219424_at	0.43 	4.97 	3.75 	0.000435008	0.031791575	-0.132844193	EBI3
210281_s_at	1.00 	4.88 	3.75 	0.000435149	0.031791575	-0.133141455	ZMYM2
208268_at	-1.12 	4.58 	-3.75 	0.000437743	0.031876591	-0.138568825	ADAM28
213534_s_at	-0.64 	5.37 	-3.74 	0.000452724	0.032860065	-0.169289001	PASK
211583_x_at	-0.67 	5.30 	-3.73 	0.000461789	0.033409269	-0.187387121	NCR3
206697_s_at	0.57 	5.86 	3.73 	0.000464037	0.033463197	-0.191817705	HP
206920_s_at	-0.51 	4.85 	-3.73 	0.000468416	0.033573574	-0.200391092	GLE1
218040_at	-0.61 	5.75 	-3.73 	0.000468581	0.033573574	-0.200711226	PRPF38B
33760_at	0.25 	3.89 	3.73 	0.000470176	0.033579925	-0.203813565	PEX14
