COLGALT1,ABCA13,,,,PDE3B,,,,ATRX,MFNG,PRKAA1,NFKB1,HLA-DPA1,NCF4,THBS3,EFNB2,EXT1
SUV39H2,ABCB5,,,,PDPK1,,,,CCND1,MMP3,PROS1,NFKBIA,HLA-DPB1,CLDN11,THBS4,EFNB3,F3
EHMT1,,,,,PIK3C3,,,,BCL2L1,COX1,SGK1,NFKBIB,HLA-DQA1,PECAM1,TLR2,EPHB1,F13A1
SETD7,,,,,PIK3CA,,,,BDKRB2,MX1,SLC2A3,NOS2,HLA-DQB1,PIK3CA,TLR4,EPHB2,FAT1
SETDB2,,,,,PIK3CB,,,,CFB,GADD45B,SOX2,PRKCB,HLA-DRA,PIK3CB,TNF,EPHB3,FBN1
DOT1L,,,,,PIK3R1,,,,BFSP1,NFKBIA,SPP1,MAPK1,HLA-DRB1,PIK3CD,VCAM1,EPHB4,FCER2
SUV420H2,,,,,PIK3R2,,,,BGN,NINJ1,STAT1,MAPK3,HLA-DRB4,PIK3CG,SDC3,EPHB6,FKBP5
SETD8,,,,,PPM1A,,,,BMP2,NOS2,STAT3,MAPK11,HLA-E,PIK3R1,KLRK1,EPO,FOXC1
,,,,,PRKAA1,,,,BMP4,NPAS2,ZEB1,MAPK13,HLA-F,PIK3R2,TLR9,EPOR,FN1
,,,,,PRKAA2,,,,BNIP2,PDGFB,TNF,PTGS2,HLA-G,PLCG1,,ERBB2,FOS
,,,,,PRKAB1,,,,BRCA1,POU2AF1,UCP1,PTPN6,ITGA2,PLCG2,,ERBB3,GAS6
,,,,,PRKAB2,,,,ZFP36L2,KLK6,ZFP36,RELA,ITGA5,PRKCA,,FCER1A,GATA3
,,,,,PRKAG1,,,,BST1,PTGS2,ZNF12,MAPK12,ITGAM,PRKCB,,MS4A2,GATA6
,,,,,MAPK1,,,,BTD,CCL2,BHLHE40,STAT1,ITGAV,PRKCG,,FCER1G,GCNT1
,,,,,MAPK3,,,,BYSL,CCL20,TNFSF11,MAP3K7,ITGB1,MAPK11,,FER,GJA5
,,,,,MAP2K1,,,,C1R,SNAPC4,CADPS,TGFB1,ITGB2,MAPK13,,FES,GNAI1
,,,,,MAP2K2,,,,C1S,SPP1,SOCS1,TGFB2,ITGB3,PTK2,,FGF1,GUCY1B3
,,,,,PTPN11,,,,C5,STAT1,ABCC3,TGFB3,ITGB5,PTPN11,,FGF2,GZMB
,,,,,RAF1,,,,C6,TCF7,SOCS2,TLR2,LAMP1,PXN,,FGF3,HLA-DQA1
,,,,,RHEB,,,,C7,TIMP1,SOCS3,TLR4,LAMP2,RAC1,,FGF4,HPCAL1
,,,,,RPS6,,,,CA12,TLR2,NMI,TNF,M6PR,RAC2,,FGF5,HSPA8
,,,,,RPS6KB1,,,,CAD,TLR3,ADIPOQ,TRAF6,MBL2,RAP1A,,FGF6,TNC
,,,,,SHC1,,,,CAMK2B,TLR4,ABCC5,FCGR2C,MPO,RAP1B,,FGF7,ID3
,,,,,SOS1,,,,CAMK2D,TLR5,ABCC4,TAB1,MRC1,ROCK1,,FGF8,IFNG
,,,,,STK11,,,,CAST,TNF,CITED2,TAB2,MSR1,MAPK12,,FGF9,IGF1
,,,,,TSC1,,,,CASP1,TNS1,NEU3,IRAK4,NCF2,CXCL12,,FGF10,IGHE
,,,,,TSC2,,,,CASP4,VIM,PIM2,MARCKSL1,NCF4,SIPA1,,FGF11,IL1RN
,,,,,YWHAB,,,,CAV1,TNFSF10,C10orf10,NCF1,NOS1,THY1,,FGF12,IL2RB
,,,,,FGF23,,,,CBFB,RAB11B,PTP4A3,,OLR1,CLDN5,,FGF14,IL4R
,,,,,IRS2,,,,CCNA2,UBE2L6,RHOBTB3,,PIK3C3,TXK,,FGFR3,IL6
,,,,,FGF18,,,,CCNC,CHST2,SBNO2,,RAB5A,VASP,,FGR,IL10
,,,,,FGF17,,,,CCND2,CHST10,SLC39A14,,RAB5B,VAV1,,FIGF,IL10RA
,,,,,FGF16,,,,CCND3,LITAF,MAFF,,RAB5C,VCAM1,,FLT1,IL13
,,,,,ATP6V0E1,,,,CCNE1,CLEC2B,RETN,,RAC1,VCL,,FLT3,IL13RA1
,,,,,ATP6V0D1,,,,CCNF,KLHL18,,,SFTPD,EZR,,FLT4,IL13RA2
,,,,,ATP6V1F,,,,CCNG1,ZDHHC17,,,TAP1,CXCR4,,FRK,INHBA
,,,,,KL,,,,CCNH,LY96,,,TAP2,PIK3R3,,GAB1,ITGAM
,,,,,ATP6V1G1,,,,CD1A,IL17RA,,,TFRC,CLDN10,,GDNF,JUN
,,,,,FGF19,,,,CD34,RASGRP3,,,THBS1,CLDN8,,GFRA1,ANOS1
,,,,,TCIRG1,,,,CD36,KLF15,,,THBS2,CLDN6,,GHR,KCNK3
,,,,,FRS2,,,,CDC6,CLDN18,,,THBS3,CLDN2,,GPC1,LIFR
,,,,,ATP6V0A2,,,,CDC25A,DDIT4,,,THBS4,CLDN1,,GRB2,LOX
,,,,,SHC2,,,,CDC25B,TRPV5,,,TLR2,CLDN9,,GRB7,MXD1
,,,,,FGF20,,,,CDC42,CYSLTR2,,,TLR4,ROCK2,,GRB10,MAD2L1
,,,,,FGF22,,,,CDH1,WIZ,,,TUBA4A,BCAR1,,GRB14,MAF
,,,,,EEF2K,,,,CDH2,CCDC71,,,TUBB2A,MYL9,,RAPGEF1,MAL
,,,,,PIK3R4,,,,CDH11,NDRG4,,,TUBA1A,RAPGEF3,,GSN,MAOA
,,,,,ATP6V0A4,,,,CDH13,AMN,,,RAB7A,VAV3,,HGF,MCM2
,,,,,ATP6V1D,,,,CDK2,C1orf105,,,EEA1,MYL12A,,HLA-DMA,MCM3
,,,,,PRKAG2,,,,CDK4,,,,STX7,CLDN16,,HLA-DMB,MCM4
,,,,,ATP6V1H,,,,CDK6,,,,MARCO,RAPGEF4,,HLA-DOA,MCM5
,,,,,CAB39,,,,CDKN1A,,,,ATP6V0E1,PIK3R5,,HLA-DOB,MCM6
,,,,,SHC3,,,,CDKN1B,,,,FCGR2C,CLDN14,,HLA-DPA1,MCM7
,,,,,PRKAG3,,,,CDKN1C,,,,ATP6V0D1,CLDN15,,HLA-DPB1,MET
,,,,,TLR9,,,,CDSN,,,,HGS,CLDN17,,HLA-DQA1,MTHFR
,,,,,STRADB,,,,CEACAM5,,,,ATP6V1F,NOX1,,HLA-DRA,MYC
,,,,,RPTOR,,,,CEBPD,,,,VAMP3,CTNNA3,,HLA-DRB1,NFIL3
,,,,,TRIB3,,,,CFL1,,,,ATP6V1G1,MYLPF,,HLX,NFKB1
,,,,,MLST8,,,,CTSC,,,,SEC22B,CLDN20,,IGHE,NKG7
,,,,,CAB39L,,,,CEACAM7,,,,MRC2,NOX3,,IK,NNMT
,,,,,ATP6V1E2,,,,FOXN3,,,,TCIRG1,F11R,,IL2,SLC11A2
,,,,,STRADA,,,,CHI3L1,,,,CLEC4M,CLDN18,,IL2RA,PAWR
,,,,,THEM4,,,,CHI3L2,,,,TLR6,JAM2,,IL2RB,PCDH7
,,,,,ATP6V1G3,,,,TBCB,,,,TUBA1B,MYL7,,IL2RG,ENPP1
,,,,,ATP6V0E2,,,,CKS1B,,,,TUBB3,RASSF5,,IL3,PIK3CG
,,,,,ATP6V0D2,,,,CLCN7,,,,TUBB4A,JAM3,,IL3RA,PMCH
,,,,,ATP6V1C2,,,,CNN2,,,,TUBB4B,ESAM,,IL4,UBL3
,,,,,,,,,COL1A1,,,,SEC61B,MYL10,,IL4R,POU4F1
,,,,,,,,,COL4A2,,,,CORO1A,MYL12B,,IL5RA,DNAJC3
,,,,,,,,,COL17A1,,,,PLA2R1,CLDN23,,IL6,PTGER2
,,,,,,,,,COPA,,,,SEC61G,CLDN19,,IL6R,PTX3
,,,,,,,,,COPB1,,,,ATP6V0A2,NCF1,,IL6ST,ABCD3
,,,,,,,,,MAP3K8,,,,STX12,,,IL7,RASA2
,,,,,,,,,CPD,,,,NOX1,,,CXCL8,RBMS1
,,,,,,,,,CLDN4,,,,SEC61A1,,,IL9,RDX
,,,,,,,,,CREM,,,,CD209,,,IL9R,REL
,,,,,,,,,CRK,,,,NOX3,,,IL10,RELA
,,,,,,,,,CRYAA,,,,ATP6V0A4,,,IL10RA,RGS2
,,,,,,,,,CRYAB,,,,DYNC1LI1,,,IL11,S100A9
,,,,,,,,,CSF1,,,,ATP6V1D,,,IL11RA,S100P
,,,,,,,,,CSRP2,,,,ATP6V1H,,,IL12A,SATB1
,,,,,,,,,CST4,,,,TUBA8,,,IL12B,ATXN1
,,,,,,,,,CTBP1,,,,STX18,,,IL12RB1,SERPINB3
,,,,,,,,,CTF1,,,,SEC61A2,,,IL12RB2,SERPINB4
,,,,,,,,,CTNNB1,,,,TUBB7P,,,IL13,CCL2
,,,,,,,,,CTSD,,,,CLEC7A,,,IL13RA1,CCL22
,,,,,,,,,CTSH,,,,COLEC11,,,IL13RA2,XCL1
,,,,,,,,,CTSK,,,,DYNC2H1,,,IL15,SELE
,,,,,,,,,CTSL,,,,TUBAL3,,,IL15RA,ST6GAL1
,,,,,,,,,CYB5A,,,,TUBB1,,,IL18,ST8SIA1
,,,,,,,,,CYB561,,,,COLEC12,,,FOXK2,SLC22A4
,,,,,,,,,CYP1A1,,,,RILP,,,ILK,SOS1
,,,,,,,,,CYP1B1,,,,TUBB6,,,IMPA1,TCF7
,,,,,,,,,CD55,,,,TUBA1C,,,IMPA2,TFPI
,,,,,,,,,DAPK1,,,,ATP6V1E2,,,INPP5B,TIMP2
,,,,,,,,,DAXX,,,,TUBA3D,,,INPP5D,TIMP3
,,,,,,,,,DBP,,,,ATP6V1G3,,,INSR,TLR4
,,,,,,,,,AKR1C1,,,,ATP6V0E2,,,INSRR,TMOD1
,,,,,,,,,AKR1C2,,,,PIKFYVE,,,IRS1,TOP2A
,,,,,,,,,DDIT3,,,,TUBB,,,ITK,TP53BP2
,,,,,,,,,CFD,,,,ATP6V0D2,,,JAK1,UPP1
,,,,,,,,,DHPS,,,,ATP6V1C2,,,JAK2,VCAM1
,,,,,,,,,DPP4,,,,RAB7B,,,JAK3,VDR
,,,,,,,,,DPYSL2,,,,TUBB2B,,,KDR,CXCR4
,,,,,,,,,DRD2,,,,NCF1,,,KIT,ALX1
,,,,,,,,,ECM2,,,,SFTPA1,,,LCK,CDC45
,,,,,,,,,DUSP5,,,,,,,LCP2,HIST2H2BE
,,,,,,,,,E2F1,,,,,,,LIF,FCN3
,,,,,,,,,E2F3,,,,,,,LIFR,SOCS1
,,,,,,,,,E2F4,,,,,,,PRICKLE3,RIPK2
,,,,,,,,,E2F5,,,,,,,LY6E,ALDH1A2
,,,,,,,,,S1PR1,,,,,,,MATK,MAP3K14
,,,,,,,,,LPAR1,,,,,,,MPL,SOCS3
,,,,,,,,,EDN1,,,,,,,MUC1,CH25H
,,,,,,,,,EEF1A1,,,,,,,MUSK,CCPG1
,,,,,,,,,EEF1G,,,,,,,NCK1,STK17B
,,,,,,,,,EFNB1,,,,,,,NTF3,CYTH1
,,,,,,,,,EFNB3,,,,,,,OCRL,KLF4
,,,,,,,,,EGFR,,,,,,,OSM,CHST10
,,,,,,,,,EGR2,,,,,,,PDGFA,ARHGAP32
,,,,,,,,,EPHA2,,,,,,,PDGFB,TOX
,,,,,,,,,ELF3,,,,,,,PDGFRB,NUAK1
,,,,,,,,,ENG,,,,,,,PIK3C2A,ARHGAP25
,,,,,,,,,ENO1,,,,,,,PIK3C2B,HS3ST1
,,,,,,,,,EPAS1,,,,,,,PIK3C2G,BCL2L11
,,,,,,,,,EPB41L2,,,,,,,PIK3C3,MED16
,,,,,,,,,STOM,,,,,,,PIK3CA,ARL4C
,,,,,,,,,EPHA1,,,,,,,PIK3CB,RASGRP1
,,,,,,,,,EPHB2,,,,,,,PIM1,PDZK1IP1
,,,,,,,,,EPHB6,,,,,,,PIK3CD,DENND4A
,,,,,,,,,EPOR,,,,,,,PIK3CG,CCL26
,,,,,,,,,EPS15,,,,,,,PIK3R1,CITED2
,,,,,,,,,ETV5,,,,,,,PIK3R2,ENOX2
,,,,,,,,,EVI2A,,,,,,,PI4KA,POSTN
,,,,,,,,,EVI2B,,,,,,,PI4KB,SPINT2
,,,,,,,,,F2R,,,,,,,PIP4K2A,FGL2
,,,,,,,,,F3,,,,,,,PLA2G4A,TFEC
,,,,,,,,,ACSL4,,,,,,,PLCG1,COBLL1
,,,,,,,,,FBLN1,,,,,,,PRKCE,ELL2
,,,,,,,,,EFEMP1,,,,,,,PRKCH,DAAM1
,,,,,,,,,FGF6,,,,,,,PRKD1,TNIK
,,,,,,,,,FGF7,,,,,,,PRKCQ,SULF1
,,,,,,,,,FGFR3,,,,,,,PRKCZ,SSBP2
,,,,,,,,,FKBP1B,,,,,,,PRLR,FJX1
,,,,,,,,,FOXG1,,,,,,,PTEN,PVRL3
,,,,,,,,,FOXF2,,,,,,,PTK6,LRRTM2
,,,,,,,,,FOXM1,,,,,,,PTPN1,PPP1R16B
,,,,,,,,,FLG,,,,,,,PTPN2,HSPB8
,,,,,,,,,FLT3LG,,,,,,,PTPN6,TPK1
,,,,,,,,,FMO2,,,,,,,PTPN7,DKK2
,,,,,,,,,FMO3,,,,,,,PTPN11,PRR16
,,,,,,,,,FPR1,,,,,,,PTPN12,MS4A4A
,,,,,,,,,FUS,,,,,,,PTPN13,DACT1
,,,,,,,,,ACKR1,,,,,,,PTPRH,LRRN3
,,,,,,,,,G6PD,,,,,,,PTPRJ,DPPA4
,,,,,,,,,GALR1,,,,,,,RASA1,C1orf106
,,,,,,,,,GALT,,,,,,,RASA2,DOK5
,,,,,,,,,GAPDH,,,,,,,RET,BBX
,,,,,,,,,GAS1,,,,,,,RYK,HRASLS
,,,,,,,,,GAS6,,,,,,,S100A13,AICDA
,,,,,,,,,GATA3,,,,,,,SDC2,PKNOX2
,,,,,,,,,GBP2,,,,,,,SH3BP2,SAMSN1
,,,,,,,,,GCNT1,,,,,,,ITSN1,SLC39A8
,,,,,,,,,GJB1,,,,,,,SHB,ABHD8
,,,,,,,,,GM2A,,,,,,,SHC1,RNF219
,,,,,,,,,GPM6B,,,,,,,SLA,SUV39H2
,,,,,,,,,GPER1,,,,,,,SOS1,SLC38A1
,,,,,,,,,GRK5,,,,,,,SOS2,ARID5B
,,,,,,,,,GRB7,,,,,,,SRMS,TMEM259
,,,,,,,,,GRN,,,,,,,STAT1,RSAD2
,,,,,,,,,CXCL1,,,,,,,STAT4,SCGB3A1
,,,,,,,,,CXCL3,,,,,,,STAT6,EGLN3
,,,,,,,,,GSK3A,,,,,,,SYK,OSBPL11
,,,,,,,,,GSTM1,,,,,,,SYP,RNF19B
,,,,,,,,,GSTM3,,,,,,,TRA,GCSAM
,,,,,,,,,GSTM5,,,,,,,TEC,
,,,,,,,,,GUCY2F,,,,,,,TEK,
,,,,,,,,,GYPC,,,,,,,TFF1,
,,,,,,,,,HAS2,,,,,,,TFF2,
,,,,,,,,,HAS3,,,,,,,TFF3,
,,,,,,,,,HDGF,,,,,,,TGFA,
,,,,,,,,,HEXB,,,,,,,THPO,
,,,,,,,,,HGF,,,,,,,TIAM1,
,,,,,,,,,UBE2K,,,,,,,TIE1,
,,,,,,,,,HLA-DOA,,,,,,,TPTE,
,,,,,,,,,MR1,,,,,,,TXK,
,,,,,,,,,HMGB1,,,,,,,TYK2,
,,,,,,,,,HMGCS1,,,,,,,UGCG,
,,,,,,,,,HNMT,,,,,,,VAV1,
,,,,,,,,,HNRNPA2B1,,,,,,,VEGFA,
,,,,,,,,,HOXA1,,,,,,,VEGFC,
,,,,,,,,,HOXA2,,,,,,,WIPF1,
,,,,,,,,,HOXA3,,,,,,,LAT2,
,,,,,,,,,HPN,,,,,,,ZAP70,
,,,,,,,,,HRH2,,,,,,,SCG2,
,,,,,,,,,HSF2,,,,,,,GPANK1,
,,,,,,,,,HSPA4,,,,,,,STAM,
,,,,,,,,,HSP90AA1,,,,,,,FGF23,
,,,,,,,,,ICAM1,,,,,,,PIP5K1A,
,,,,,,,,,ID1,,,,,,,PIP5K1B,
,,,,,,,,,ID2,,,,,,,PIP4K2B,
,,,,,,,,,ID3,,,,,,,NCK2,
,,,,,,,,,ID4,,,,,,,IRS4,
,,,,,,,,,IDH2,,,,,,,PIK3R3,
,,,,,,,,,IFIT2,,,,,,,DGKZ,
,,,,,,,,,IFIT1,,,,,,,API5,
,,,,,,,,,IFIT3,,,,,,,SOCS1,
,,,,,,,,,IFNAR2,,,,,,,IRS2,
,,,,,,,,,IFRD1,,,,,,,TNK1,
,,,,,,,,,IGF2,,,,,,,IL18RAP,
,,,,,,,,,IGFBP4,,,,,,,IL1RL2,
,,,,,,,,,IL1B,,,,,,,IL18R1,
,,,,,,,,,IL1R1,,,,,,,FGF18,
,,,,,,,,,IL1RN,,,,,,,FGF17,
,,,,,,,,,IL6ST,,,,,,,FGF16,
,,,,,,,,,IL13RA1,,,,,,,SOCS2,
,,,,,,,,,ILF3,,,,,,,SYNJ1,
,,,,,,,,,IMPA2,,,,,,,SYNJ2,
,,,,,,,,,INPP1,,,,,,,SPHK1,
,,,,,,,,,INSR,,,,,,,SOCS3,
,,,,,,,,,ITGA6,,,,,,,DOK2,
,,,,,,,,,ITGA2,,,,,,,SH2D2A,
,,,,,,,,,ITGAM,,,,,,,ANGPTL1,
,,,,,,,,,ITGAV,,,,,,,LPAR2,
,,,,,,,,,JAG2,,,,,,,OSMR,
,,,,,,,,,JUN,,,,,,,REPS2,
,,,,,,,,,KCNMB1,,,,,,,FCMR,
,,,,,,,,,KIF11,,,,,,,DLGAP2,
,,,,,,,,,KPNA2,,,,,,,CRLF1,
,,,,,,,,,KRT4,,,,,,,PDLIM7,
,,,,,,,,,KRT7,,,,,,,SOCS6,
,,,,,,,,,KRT8,,,,,,,KL,
,,,,,,,,,KRT18,,,,,,,GRAP2,
,,,,,,,,,KRT19,,,,,,,NCR1,
,,,,,,,,,AFF3,,,,,,,RASAL2,
,,,,,,,,,LAMA3,,,,,,,IL27RA,
,,,,,,,,,LAMA4,,,,,,,SH3BP5,
,,,,,,,,,LAMC1,,,,,,,NRG2,
,,,,,,,,,LAMC2,,,,,,,BCAR1,
,,,,,,,,,STMN1,,,,,,,SOCS5,
,,,,,,,,,LCN2,,,,,,,ARHGAP32,
,,,,,,,,,LCP2,,,,,,,GAB2,
,,,,,,,,,LDLR,,,,,,,FGF19,
,,,,,,,,,LEPR,,,,,,,SH2B3,
,,,,,,,,,LGALS3,,,,,,,SH2D3A,
,,,,,,,,,LIF,,,,,,,IL18BP,
,,,,,,,,,LIMS1,,,,,,,EBI3,
,,,,,,,,,LMNA,,,,,,,SORBS3,
,,,,,,,,,LPL,,,,,,,KLRG1,
,,,,,,,,,LRP4,,,,,,,RABEPK,
,,,,,,,,,LTA,,,,,,,SPRY3,
,,,,,,,,,LTF,,,,,,,SPRY1,
,,,,,,,,,LUM,,,,,,,SPRY2,
,,,,,,,,,TACSTD2,,,,,,,STAM2,
,,,,,,,,,TM4SF1,,,,,,,VAV3,
,,,,,,,,,SMAD3,,,,,,,SH2B2,
,,,,,,,,,MCM5,,,,,,,TGOLN2,
,,,,,,,,,ME1,,,,,,,GRAP,
,,,,,,,,,MEF2BNB-MEF2B,,,,,,,FRS3,
,,,,,,,,,MAP3K5,,,,,,,FRS2,
,,,,,,,,,MEST,,,,,,,LILRB4,
,,,,,,,,,MFNG,,,,,,,MAP4K1,
,,,,,,,,,MGAT1,,,,,,,PTENP1,
,,,,,,,,,MGST1,,,,,,,PDAP1,
,,,,,,,,,MGST2,,,,,,,PIP5K1C,
,,,,,,,,,MID1,,,,,,,CLCF1,
,,,,,,,,,MIPEP,,,,,,,PIK3R5,
,,,,,,,,,MITF,,,,,,,RASD2,
,,,,,,,,,MAP3K11,,,,,,,LPAR3,
,,,,,,,,,MME,,,,,,,CBLC,
,,,,,,,,,MMP1,,,,,,,PRKD3,
,,,,,,,,,MMP2,,,,,,,SHC2,
,,,,,,,,,MMP13,,,,,,,PRKD2,
,,,,,,,,,MPP3,,,,,,,SH2B1,
,,,,,,,,,MSR1,,,,,,,IBTK,
,,,,,,,,,MST1,,,,,,,PTPN22,
,,,,,,,,,MVK,,,,,,,FGF20,
,,,,,,,,,MYBL2,,,,,,,FGF22,
