Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
MTFP1,0.678245558,2.426539928,5.336371139,0.000145466,0.184961594,0.828904676,1.600192598,3.438386353,4.403182983,3.679558915,6.070321682,5.337527573,5.337527573,6.002459384,7.033782249,5.337527573,6.830231684,7.310910889,3
CEBPD,2.149374807,2.844933267,5.260301579,0.000165558,0.186140078,0.73268459,4.436354975,1.623454493,2.406030592,3.679558915,9.643870042,13.09036046,7.885287371,5.645402644,7.557127796,9.661060835,15.19224215,29.39387568,8
ADD3-AS1,-0.948559845,2.022764117,-5.194889382,0.000185159,0.189192862,0.649088998,-1.929945149,6.09791418,4.886591994,9.452742597,4.440327817,3.892896067,3.073783553,2.793118538,3.073783553,3.567039588,3.435251875,3.168866178,3
ATP11C,-0.890294672,2.049265096,-5.196800965,0.000184553,0.189192862,0.651543173,-1.853554676,5.42197434,7.036627822,7.143117717,4.906503006,3.673874163,3.284056208,2.85873801,4.216816206,3.320705187,2.634929919,3.58853925,8
ORC6,-0.688539208,3.897653612,-5.161869008,0.000195963,0.189192862,0.606589657,-1.611650824,20.38418979,22.21643597,20.71055052,14.85545167,13.02397745,15.97282011,14.85545167,12.7977607,11.93380002,12.5930767,9.734555238,11
SLC17A6,-1.37036403,3.017188477,-5.180114705,0.000189914,0.189192862,0.630097882,-2.585357933,21.67105928,15.48569744,12.56107789,4.157011881,5.181946689,5.336841822,8.352576902,6.169997132,11.63315694,6.257707061,5.386317614,8
SCN1A,-1.033549286,5.50649209,-5.082584349,0.000224684,0.211803199,0.50372624,-2.047054179,67.75743757,83.73343506,79.03685182,39.55452951,41.92924645,29.69484013,42.08744185,58.11214931,25.23579464,39.75745709,31.61384735,11
VAT1,0.71996573,5.367336469,5.011690966,0.000254096,0.22051868,0.410774382,1.647142907,34.8188381,22.71245065,29.93927656,55.92852306,50.28796896,42.07200594,39.57150995,44.08327683,48.33066729,44.44281767,56.4847103,8
NQO1,0.737598863,3.445871104,4.931211834,0.000345077,0.232812305,0.29433099,1.695222797,8.043501826,7.442521729,7.261496747,17.91471757,11.94201176,12.62383285,14.23562223,9.99559556,13.61162529,14.17624716,12.56598769,7.5
CAPS2,-0.635144796,1.249933516,-4.943037032,0.000286428,0.237279339,0.319886448,-1.553093618,2.673200291,4.067389246,3.2330594,2.283947674,2.270825466,2.132522041,2.283947674,2.270825466,1.98862988,1.974107761,1.739495118,9
DOCK4,0.855695435,4.546681518,4.887450398,0.000315742,0.250191179,0.245672968,1.809630857,17.41941526,12.54836911,16.01132103,25.43692752,26.38611213,28.38024906,23.94111484,20.87083419,26.54429903,31.03435498,41.41524659,11
NOG,-0.915907618,1.027371813,-4.807760904,0.000363335,0.252126286,0.138312411,-1.886755681,3.106735453,2.286162251,4.763863709,1.856125086,1.826829802,1.622830621,1.778525985,2.229234599,1.363080161,1.576737863,1.590453586,5
CNOT2,0.684711336,3.198072301,4.77326613,0.000386201,0.255791065,0.091489024,1.607380334,4.704782864,6.976735425,8.360684111,12.0275609,9.814208038,10.78358269,9.559852293,10.87712266,9.813956678,10.33336658,10.55824823,11
AK074476,-0.658328855,1.990994802,-4.716290675,0.000427307,0.265489055,0.013690138,-1.578253395,5.195415357,5.27960379,6.197427598,3.646573755,2.95494795,4.437219794,3.735103483,2.808644361,3.996485511,3.735103483,3.076674874,3
ANGPTL4,0.980268638,2.389571161,4.585716399,0.000539618,0.279484531,-0.166740188,1.972832727,3.318178467,3.45035202,2.85365416,6.90786895,6.040670214,6.554121384,11.23515128,4.602013663,4.775212966,5.903683197,6.279249763,5
APOC1,1.010725229,4.770160891,4.640420467,0.000489231,0.279484531,-0.090790422,2.014923729,16.14047488,17.35878295,15.72577238,28.69523018,39.27303005,22.21643597,30.577004,30.577004,28.69523018,57.94710434,36.41826438,8
C4A ,1.631591049,4.11538436,4.578195141,0.000546956,0.279484531,-0.177222548,3.098545276,6.407422805,5.876632664,11.72555373,18.50483163,27.66076968,20.21548749,18.50483163,14.2878516,18.50483163,34.1686359,55.52029222,10
DFNA5,0.866315861,5.741086561,4.649713429,0.00048117,0.279484531,-0.077939443,1.823001643,40.90524684,31.35847196,32.18058453,55.92865932,54.93925575,76.81544115,67.05944938,46.4847103,56.34223186,95.80759972,62.50780094,10
LRP10,0.823336086,3.35539517,4.604909186,0.000521353,0.279484531,-0.140034985,1.769493039,8.754488663,6.75618753,5.218313347,10.48480235,13.57114879,11.92456498,13.78717412,12.25571713,8.908795652,10.48480235,15.61511741,5
MIR6840 ,0.757785141,5.023962561,4.619620808,0.000507788,0.279484531,-0.119607644,1.690892733,19.42507561,29.19674368,19.30569259,33.97732448,45.22501046,42.33701974,33.57562058,32.85683618,48.82352822,33.57562058,33.57562058,10
RCN1,0.703376128,1.31189004,4.668501392,0.00046529,0.279484531,-0.05200372,1.628310835,1.980728304,1.647099139,1.618966243,3.383306601,3.643976032,2.702256498,2.625030317,2.427578978,2.249976775,2.612679869,3.350448762,6
STOM,1.684694582,4.457309185,4.594068085,0.00053159,0.279484531,-0.155111762,3.214723335,14.35841041,4.350992244,13.27888131,26.44404318,46.5302494,22.12869331,22.84647253,21.13075104,27.57586015,37.37896264,51.15120176,8
UPF3A,-0.552141758,5.190702361,-4.599616817,0.000526325,0.279484531,-0.1473926,-1.466260824,46.59263585,43.02521483,56.01104644,27.93949651,32.8831253,27.72946294,33.98359823,38.60279207,33.23691912,34.42212259,35.9198556,11
CDC14B,0.678807349,1.167341571,4.560080145,0.000565058,0.280859732,-0.202508858,1.600815841,1.655539206,1.438864884,1.703802602,3.049058808,2.288353064,3.140007063,2.288353064,2.511711285,1.905348826,3.043188956,2.475476041,3
KCNIP4,-0.861355761,4.541356411,-4.523328697,0.00060372,0.288213023,-0.253979935,-1.81674478,30.80694777,45.39857264,33.21198422,19.40516616,13.11552216,23.21432257,25.79176255,21.85287695,18.13733001,16.7558258,23.21432257,11
PDDC1,0.61885169,3.26399938,4.521700107,0.000605495,0.288213023,-0.256266068,1.535652396,7.978377369,6.214228189,7.013359533,10.37435209,13.10776843,13.009904,11.79344826,9.884286973,8.614682708,10.886344,9.56048026,7
CD81,0.777890909,3.824414329,4.498266206,0.000631651,0.296905022,-0.28921059,1.714622415,9.749574608,8.290351641,10.84722338,12.09577894,20.33158137,20.52919444,15.12331194,16.1230004,12.5930767,19.46646956,17.43138073,10
CDK3 ,0.482721622,1.394378531,4.495031155,0.000635352,0.296905022,-0.293765789,1.397377312,1.904196689,2.466888056,1.863545477,3.053125054,3.088618216,3.06366253,3.06366253,2.490231117,2.840789081,2.714643349,2.783966817,4
FAM107A,1.303954948,5.075358063,4.472369141,0.000661922,0.306700034,-0.325724455,2.469048111,19.81175536,10.39756703,25.89537755,30.0709196,45.21198303,67.90482078,30.92742604,33.97694879,43.31083672,47.0151557,60.73580083,7
C12orf76,-0.900966876,2.816452183,-4.453744222,0.00068462,0.309462773,-0.352053575,-1.867317015,9.408445923,10.93330301,13.27360748,6.127170289,6.257707061,7.146712131,3.603399109,6.35653522,6.580011456,4.807227919,7.818232269,6
ZNF285 ,0.529473693,1.82532494,4.426919697,0.000718738,0.316911306,-0.390074389,1.443402534,2.834062533,2.177742436,3.237891324,3.61458454,4.101325117,3.932214223,4.112679494,4.517461933,3.592990128,3.597114553,3.958453261,4
SLC1A3,2.05376151,4.695092058,4.413201696,0.000736862,0.319745354,-0.409563642,4.151870685,17.24125553,5.324603758,8.478886844,19.85215345,57.50318895,66.27188172,20.16290189,30.33059807,26.53413604,44.21198303,83.4057759,8
MXI1,0.659677235,4.755659704,4.390432374,0.000767995,0.32217739,-0.441979683,1.579729162,16.85475823,22.54597143,19.13048482,24.41247337,43.21198303,29.30296659,28.08647841,31.44700953,27.61621934,32.68065383,31.21632642,9
CHI3L1,2.810266451,5.173310784,4.437152581,0.002869758,0.332364941,-0.472491232,8.094688484,15.22110581,9.487426036,29.91378653,57.76324877,135.8248321,26.1036279,119.711141,56.04657719,28.98134803,120.1042055,241.2459209,8
CPSF4,0.467746519,3.067043359,4.342467692,0.000838116,0.338461922,-0.510538864,1.382947624,6.309836335,7.021105874,6.549075886,10.48480235,9.113868965,8.78722079,10.93823717,7.723249947,8.895366654,9.113868965,8.583418208,3
SMARCC2,0.515081301,3.158728609,4.330793707,0.000856164,0.339443112,-0.527280833,1.429074671,6.693526511,7.345452272,6.647234532,10.07718113,10.0783115,12.75149551,8.429571077,8.878125456,10.59960442,8.878125456,9.666126393,9
LOC100506248 ,0.856859234,5.622094587,4.213347128,0.001296838,0.343461534,-0.706069341,1.811141534,50.49401477,38.29455441,33.04140307,64.80952881,108.5145551,75.93682734,58.727995,54.49646323,71.64824154,87.98383822,72.88380904,11
AK021933,-0.622959655,1.332245678,-4.292970823,0.000917448,0.346820678,-0.581671269,-1.540031281,3.503368,3.17695876,3.679558915,2.053889548,2.235105535,1.706810144,2.117745899,2.760287715,2.345283421,2.02463717,2.895881891,8
CRTC3,0.56795449,2.480141564,4.304449566,0.000898384,0.346820678,-0.565140756,1.482420246,4.642583636,3.671196364,4.317131609,6.673246112,6.257707061,5.560899752,5.061324231,5.970674613,8.08233121,6.705542284,5.829735587,7
IFITM2,1.271745891,4.830213513,4.299988324,0.000905744,0.346820678,-0.571562934,2.414535861,15.16098291,15.98935929,13.87668081,24.67680467,53.28645518,41.1617888,23.67312555,24.71274069,29.47089971,49.7527792,63.21198303,9
KCTD20,0.563828123,5.126065941,4.267860771,0.000960622,0.35487846,-0.617903743,1.478186316,24.25307192,25.10215002,29.81967759,47.61152296,44.77641606,45.75743757,33.65570806,36.03112709,35.04891322,34.17616136,36.62330674,11
CD74,1.256703188,4.233683559,4.240226586,0.00101057,0.356764893,-0.657890948,2.389490759,12.04200717,9.857289784,8.385854494,18.96052945,50.9246985,14.77385857,23.58543048,20.14892149,18.75910707,32.44335966,25.44561726,8
CTSH,0.998271596,2.130312944,4.231168569,0.001027519,0.356764893,-0.671023522,1.997605359,3.349126088,2.03816612,2.716662563,4.3764703,8.977076677,6.968826517,4.3764703,4.3764703,4.3764703,4.3764703,6.082018966,5
FAM126A,1.106549421,2.282605603,4.199135264,0.00108985,0.356764893,-0.717566132,2.153300134,3.377465809,2.355038459,2.716662563,5.0137765,4.697962207,5.0137765,3.788314143,7.031013759,6.282010319,7.659020126,11.06268104,10
GREM2,-0.657326833,1.327694091,-4.179024643,0.001130962,0.356764893,-0.74686454,-1.577157603,2.794509298,3.450326159,4.431890348,2.186835599,2.132381276,1.931647267,2.291333379,2.706718478,1.764196651,2.744660391,2.155275028,10
HLA-DMB,0.630483833,1.674524591,4.201441648,0.001085234,0.356764893,-0.714209916,1.548084084,2.283947674,2.221996232,2.47012956,3.015325255,4.514608018,2.879239466,3.400041441,4.698677266,3.551625715,3.954718917,3.180677187,5
MAFF,1.179061073,5.126229738,4.168679876,0.00115273,0.356764893,-0.761958892,2.264293655,14.62911408,21.50128779,22.77013064,56.87714745,48.33550525,73.92556576,38.5473332,26.0087068,27.39360189,45.90634696,51.39919944,11
SACS,-0.947946436,4.791054375,-4.186026613,0.00111647,0.356764893,-0.736656784,-1.929124743,32.51608292,47.93925575,57.09105113,23.72701431,26.06038513,26.06038513,22.3020213,34.04269427,15.18047096,17.23937869,25.70541081,11
SP3,0.601800555,4.487442947,4.217395969,0.001053854,0.356764893,-0.691015337,1.517609437,13.37854444,15.96229952,21.27170243,29.51701123,24.25335597,24.03307722,23.38288615,23.2389418,23.31072844,23.38288615,31.25184365,11
ZMIZ2,0.50247313,4.383650529,4.18397382,0.001120699,0.356764893,-0.739648672,1.416639948,14.75815164,17.48389701,16.48693775,25.19680399,22.02296325,27.35432569,24.38941941,20.67824422,18.21518944,24.58639958,22.48081825,5
SERPINE2,1.567631956,3.553843227,4.131965534,0.001233535,0.362681085,-0.815657094,2.964177737,11.54642714,3.336029235,3.927837504,12.9742737,19.32671613,18.86920491,14.09721961,13.77724934,8.302082569,17.34047164,29.28045898,8
CHMP5,-0.763958743,4.214481431,-4.260984801,0.006414573,0.372873633,-0.759344455,-1.701218894,21.92456693,28.99163968,40.88416893,15.84303491,15.18695619,16.33926897,15.36938758,21.24087865,16.77331521,16.6396182,19.21025188,10.5
DPY30 ,-0.63841942,4.672477581,-4.080621965,0.001356438,0.373377959,-0.891079457,-1.556622829,27.85859351,40.39380121,38.69929323,24.93995972,16.48236368,24.93995972,26.48348967,24.6748849,20.89130679,19.8924401,24.45924357,11
KLK7,-0.77535806,5.23067219,-4.092414336,0.001327137,0.373377959,-0.873723429,-1.711614802,57.64662551,48.25776979,61.47181988,47.5193302,22.47632177,27.78902491,32.90247097,35.57805153,28.26198325,40.49782252,30.75745837,11
STAT5B,0.629612143,3.091119768,4.067994352,0.001388553,0.373985829,-0.909686588,1.547148999,5.297463111,8.2322151,5.47583042,9.814208038,10.71226736,7.994983512,8.202327858,9.766218287,8.696415356,12.02980719,10.22977557,6
SMCR8,0.552942673,3.363311824,4.057894972,0.0014148,0.377152553,-0.924584414,1.467075047,7.816856998,7.819049282,7.727133096,12.94126428,13.54278579,11.02293985,12.75533885,13.40784505,9.437821126,10.24798265,9.084215156,10
LASP1,0.579955277,4.739659726,4.052199594,0.001429826,0.377660682,-0.932992079,1.49480291,28.34408984,16.8752243,16.58504934,29.72257294,29.20159367,32.91772746,29.13704625,29.72257294,30.67782532,26.72505684,30.75745837,11
G3BP2,-0.781938626,5.482165848,-4.049128831,0.001437996,0.377992496,-0.937527092,-1.719439824,49.4847103,64.11421437,91.84072907,31.50106913,41.53130212,38.8675438,50.84834666,46.84772705,36.35917528,29.23328395,37.93624727,11
STXBP3,-0.497781898,4.186419145,-4.039228569,0.001464664,0.381335718,-0.952157057,-1.41204092,21.25904675,25.20685572,23.91058897,18.99905243,14.55264917,16.97105965,14.70089376,21.13075104,16.612832,14.80287654,15.86831991,11
SAFB2,0.362629844,5.214469238,4.021136287,0.001514719,0.390647585,-0.978927554,1.285767549,33.08624881,30.31046254,29.493222,42.27858502,39.47942146,40.10409971,33.65581536,39.76061755,41.67951497,42.40130157,39.47942146,11
SEC61A2,-0.631095637,3.378879423,-4.013755164,0.005362567,0.394199123,-1.055549303,-1.549433528,13.68377413,14.34441059,17.32880303,10.29867153,10.13057859,6.940700707,10.7760686,11.17674505,10.35951281,8.631953525,9.432129971,10
ANKRD6,-0.764465908,2.58188369,-3.978858951,0.001638658,0.401765031,-1.041657155,-1.698741001,7.030577419,7.916759589,12.25266325,7.048772252,3.900682532,4.935750389,5.943230648,4.767684956,5.052401377,4.388657047,6.094427985,7
TRIM35,0.422250347,2.143897685,3.97319944,0.001656022,0.403529797,-1.050072707,1.340016112,3.802304496,3.411388771,3.514175697,5.205128875,4.009028574,4.946995957,4.423970199,4.42141996,5.618870977,5.075516128,4.786693447,6
LOC100288778 ,0.732293799,3.634258009,3.913223479,0.002548076,0.403629506,-1.15188017,1.664902996,9.592966411,16.50587783,16.38049764,23.66153887,20.712208,20.83259125,29.18997703,27.00790505,22.80465205,31.15981872,19.50052339,9.5
AHCYL1,0.930512702,5.010316061,3.947223376,0.001738177,0.403823818,-1.088752612,1.905953209,18.22838204,17.49383846,20.76740092,27.6229374,72.69895776,51.03016485,24.21342949,44.89748831,31.46342657,36.4438219,46.07453499,11
CERS1 ,0.740888279,3.706601959,3.945004347,0.001745386,0.403823818,-1.092060969,1.671204496,9.035681904,8.436633763,9.5203948,13.01221352,21.67952427,16.45926533,13.01221352,12.67354889,13.01221352,21.31444253,12.18739924,5
S100A11,0.501255565,1.334757767,3.943712948,0.001749596,0.403823818,-1.093986614,1.415444876,2.167624144,1.930145775,1.797261534,3.120696011,2.787468738,2.549550748,2.502907061,2.706718478,3.310282435,2.208300397,3.183478054,3
AKT3,-0.403411478,3.065383471,-2.297252717,0.001818417,0.406063337,-1.124839953,-1.322631785,6.058270591,4.814850739,6.058270591,14.2878216,11.71466169,9.545050226,11.01725672,7.533954589,11.23515128,7.081138784,7.58513742,6
ATP1B2,1.205096889,3.683500379,3.912755973,0.001853688,0.406063337,-1.140211819,2.305527524,15.1123371,4.090844304,5.544838034,19.88906998,22.03469514,13.02583008,14.55402356,14.55839656,13.07959552,18.20816852,15.95025235,10
CDK7,-0.876043145,1.698748343,-3.906101146,0.001876882,0.406063337,-1.150164831,-1.835334651,4.186691192,4.241840765,7.245628894,1.979830928,3.593380377,3.700946721,3.265426059,2.648104943,1.9812131,2.567336041,2.830621551,6
DYNLT1,0.540975894,2.672713709,3.896653854,0.00191032,0.406063337,-1.164303868,1.454956373,4.602547985,4.080864663,6.090338677,6.32462996,6.619155396,5.753537841,7.360924422,7.189952495,7.12988161,8.361139881,8.148283668,10
IRAK1,0.589126129,4.014812826,3.849623442,0.002086098,0.406063337,-1.234855463,1.504335264,10.86489573,10.88065409,14.65962783,16.73371058,21.05119367,19.44086226,20.81799139,14.84947347,13.69699201,20.58558274,19.03898106,4
KLF15,0.504727297,3.633992493,3.876787254,0.001982644,0.406063337,-1.194073071,1.418855134,8.356760065,9.80855206,10.8812349,16.62774626,13.19690546,12.46381638,12.56494868,11.58294233,12.46381638,15.91382639,15.33434963,3
RDX,-1.251513206,5.273738336,-3.89849223,0.001903766,0.406063337,-1.161551633,-2.380910196,60.63901978,62.66340866,101.1297323,36.9334499,36.75743762,22.21643597,40.78459715,48.36381815,21.77724477,14.98289852,38.93925576,11
SC5D,-0.673661257,4.748792196,-3.930111622,0.001794571,0.406063337,-1.114281073,-1.595115904,33.00448761,39.03749797,41.7818361,22.16677598,26.84858754,21.75583829,26.84858754,32.30289736,18.9941704,17.34047164,26.65209743,11
SLCO4A1,1.224533814,2.60216875,3.872705725,0.001997846,0.406063337,-1.200195113,2.336799272,2.799591219,3.613835076,3.47267947,4.42369975,9.076787167,6.510542197,5.817894643,5.895696195,6.848430624,12.5930767,15.22484437,4
TMEM14A,-0.860279445,5.453701807,-3.887074742,0.001944849,0.406063337,-1.178651607,-1.815389912,54.03016485,59.93446165,95.47636319,37.3472857,31.72128687,38.31790288,50.01597634,54.18558668,31.66134748,26.1472814,36.37787584,11
WRB,-0.862762903,3.541531728,-3.863577412,0.002032281,0.406063337,-1.213894422,-1.818517619,14.07674747,20.65387219,20.02047739,6.511383253,15.30773411,12.50182722,9.163830729,11.59329505,9.814208038,7.943603598,8.881522512,10
C9orf72,-0.773288744,3.05314972,-3.878107019,0.008100475,0.413891456,-1.260248277,-1.717401043,9.185475856,12.42392788,16.38167546,8.140069046,7.187778494,6.556310378,6.948902456,9.669583287,6.132550086,6.075118292,7.940939587,7.5
ACYP2 ,-1.000662152,2.488025899,-3.814083153,0.002229855,0.415498813,-1.288347985,-2.000918148,5.195415357,11.14893628,13.84475212,4.044387699,4.59658581,6.303795626,5.195415357,6.116007614,4.373747087,3.532237337,3.755378184,7
C12orf75,-0.788450166,1.119503753,-3.827992321,0.002172423,0.415498813,-1.267395116,-1.727217979,2.546415889,3.345899848,3.966602525,3.027160777,1.390744586,2.03621631,1.669254082,2.022476372,1.757200267,1.497005187,1.979830928,3
C1orf109,-0.614162616,3.109883621,-3.817836095,0.002214207,0.415498813,-1.282692285,-1.530669292,8.857237695,11.23515128,16.36835624,8.264967868,6.725507448,7.26423225,7.855614763,8.931548894,7.619866816,6.525841464,8.652103076,11
C6orf203,-0.389647734,0.737322835,-3.810488985,0.002244946,0.415498813,-1.293765957,-1.310073482,1.8218044,1.943929716,2.358328821,1.383667116,1.523177708,1.691330108,1.642107455,1.43508761,1.642107455,1.460961653,1.642107455,6
NKAIN2,-0.654412493,3.648826189,-3.824801317,0.002185464,0.415498813,-1.272200051,-1.573974854,19.17253022,17.07910565,16.21388913,17.7124488,9.515578796,11.60068776,11.23515128,9.825583736,9.814208038,9.192206533,11.69568924,10
KIAA1211,-0.980838531,4.359108062,-4.322989208,0.017857236,0.417469285,-0.794779549,-1.98148559,33.41672063,45.88172902,36.08269796,31.81384061,20.69536642,25.72179193,26.648613,22.90538547,18.71653144,8.515139107,17.85002618,11
HLA-DRB1 ,0.850510583,2.972784835,3.784345917,0.002357907,0.41856675,-1.333219915,1.80313896,4.809904881,5.311777542,5.232469358,7.612092859,14.06473536,7.125695088,14.82718862,7.612092859,7.221830457,9.378912805,8.952881786,3
NAV2,0.542681668,4.655848217,3.787670247,0.002343226,0.41856675,-1.328198627,1.456677661,25.30039914,17.82576605,15.63309487,32.54201911,25.97521825,26.81918112,27.51504163,23.77568686,33.08661567,26.8529038,28.12114843,11
SLC2A14 ,-0.678178453,2.849502817,-3.784696742,0.002356353,0.41856675,-1.332689946,-1.60011817,8.084032003,10.57362073,12.21598184,7.319647586,7.018410631,4.738814816,5.608894929,8.871388072,5.284118861,6.301959754,6.473633754,11
ASAP3,0.43311603,5.031819317,3.778743367,0.002382861,0.418916227,-1.341685219,1.350146567,27.54600885,29.83401938,22.128284,32.12107918,37.27550816,40.63400735,40.36760594,34.00036579,32.12107918,35.63166604,33.04073008,8
LOC101928061 ,-0.045740001,3.513157666,-0.326643408,0.002398001,0.420226615,-1.346778688,-1.032212496,10.21098081,5.874098477,6.011766973,11.10101899,16.07218816,13.62086583,14.77385857,11.60847447,12.36312122,13.48167103,17.15654673,10
TNS3,1.702916143,3.84176436,3.771644857,0.002414867,0.420284897,-1.352415977,3.255583503,13.35443526,2.223056985,7.558226133,15.99532696,22.02468245,25.66723221,12.58658715,12.52574268,33.97269652,17.16479249,28.22224276,9
STMN2,-1.845877363,8.206593117,-3.758192544,0.002535397,0.422956433,-1.373490564,-3.596675304,457.9652101,841.1492512,1176.536011,67.76739464,280.3198553,128.8004693,340.6092323,518.2632045,202.4482611,227.0301648,227.6152862,11
B3GALT4,-0.579395851,2.34417371,-3.756730863,0.00248355,0.424054029,-1.374979742,-1.49422339,5.195415357,6.803746333,8.89558254,4.154462565,4.83797133,4.91471805,4.91471805,4.67054123,4.783734496,3.451291139,4.91471805,3
TYRP1,-1.852191014,4.693781474,-3.754413912,0.002494398,0.424054029,-1.378487338,-3.610480909,59.56532588,61.8004297,77.52247041,18.09170279,24.36824661,52.17582826,25.7581413,22.05562715,5.284118861,15.91382639,11.12480381,11
ALKBH6,-0.381945143,6.189452843,-3.737916322,0.00257305,0.427850077,-1.403479836,-1.303097599,74.09308432,100.3938012,93.11231066,65.51376332,66.95580123,64.07052791,74.84834666,70.64788276,70.64788276,62.05143294,69.32941294,11
ASAH2B,-0.533888077,1.500618773,-3.723898346,0.002641869,0.427850077,-1.424739171,-1.447825847,2.772367015,4.204148666,4.358316862,2.706718478,2.521984284,2.716662563,2.275907599,3.073783553,2.299768223,2.261660766,2.716662563,7
