"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Cytokine.cytokine.receptor.interaction..KEGG.",31,0.193586898373235,0.383460922035765,2,255,"Cytokine.cytokine.receptor.interaction..KEGG."
"IL.7.up.reg..targets..Netpath.",32,1,1,0,51,"IL.7.up.reg..targets..Netpath."
"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways.",33,0.195643327569268,0.383460922035765,1,137,"Regulation.of.toll.like.receptor.signaling.pathway..Wikipathways."
"Toll.like.receptor.signaling.pathway..KEGG.",34,0.119140085939804,0.253820183089148,1,100,"Toll.like.receptor.signaling.pathway..KEGG."
"Toll.like.receptor.signaling.pathway..Wikipathways.",35,0.119140085939804,0.253820183089148,1,100,"Toll.like.receptor.signaling.pathway..Wikipathways."
"X.TRAF6.55...Static.Module.",36,1,1,0,54,"X.TRAF6.55...Static.Module."
"IL.4.down.reg..targets..Netpath.",37,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",38,0.0101121100698696,0.0495493393423609,2,75,"IL.6.up.reg..targets..Netpath."
"Cell.adhesion.molecules..CAMs...KEGG.",39,0.00717241269633642,0.0439310277650606,3,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Integrin.cell.surface.interactions..Reactome.",40,0.013731600191464,0.0611680372165214,2,84,"Integrin.cell.surface.interactions..Reactome."
"Malaria..KEGG.",41,0.0355984199809143,0.10902016119155,1,50,"Malaria..KEGG."
"Amoebiasis..KEGG.",42,0.0253218907024002,0.101591042216371,2,106,"Amoebiasis..KEGG."
"Rheumatoid.arthritis..KEGG.",43,0.0926932381959212,0.216284222457149,1,86,"Rheumatoid.arthritis..KEGG."
"Leishmaniasis..KEGG.",44,0.0634280090129272,0.163577496928075,1,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",45,0.217306488975784,0.409539152300515,1,147,"Phagosome..KEGG."
"Tuberculosis..KEGG.",46,0.084061110931668,0.205949721782587,2,173,"Tuberculosis..KEGG."
"IL.5.up.reg..targets..Netpath.",47,1,1,0,125,"IL.5.up.reg..targets..Netpath."
"Gene.Expression..Reactome.",48,0.710595454502275,1,1,416,"Gene.Expression..Reactome."
"Metabolism.of.RNA..Reactome.",49,1,1,0,161,"Metabolism.of.RNA..Reactome."
