Gene1,Gene2,corRvec,Interaction
ATP5E,BTN3A3,1,Correlation
AURKAIP1,BTN3A3,1,Correlation
BBIP1,BTN3A3,1,Correlation
ACTN1,C14orf1,0.5,Correlation
AHCTF1,C14orf1,0.5,Correlation
ALDH3A2,C14orf1,1,Correlation
ANKRD17,C14orf1,0.5,Correlation
AP2S1,C14orf1,1,Correlation
ARHGAP29,C14orf1,1,Correlation
ARIH1,C14orf1,0.5,Correlation
ATP2C1,C14orf1,1,Correlation
ATP5C1,C14orf1,1,Correlation
ATP5E,C14orf1,1,Correlation
AURKAIP1,C14orf1,1,Correlation
BBIP1,C14orf1,1,Correlation
BTN3A3,C14orf1,1,Correlation
ACTN1,C1orf61,0.5,Correlation
ADGRF5,C1orf61,1,Correlation
AHCTF1,C1orf61,0.5,Correlation
ALPK1,C1orf61,0.5,Correlation
BGN,C1orf61,1,Correlation
BPTF,C1orf61,0.5,Correlation
ADGRF5,C6orf106,0.5,Correlation
ALPK1,C6orf106,1,Correlation
ANXA1,C6orf106,0.866025404,Correlation
ATM,C6orf106,0.5,Correlation
BGN,C6orf106,0.5,Correlation
BPTF,C6orf106,1,Correlation
C1orf61,C6orf106,0.5,Correlation
ACTN1,CCDC53,0.5,Correlation
AHCTF1,CCDC53,0.5,Correlation
ALDH3A2,CCDC53,1,Correlation
ANKRD17,CCDC53,0.5,Correlation
AP2S1,CCDC53,1,Correlation
ARHGAP29,CCDC53,1,Correlation
ARIH1,CCDC53,0.5,Correlation
ATP2C1,CCDC53,1,Correlation
ATP5C1,CCDC53,1,Correlation
ATP5E,CCDC53,1,Correlation
AURKAIP1,CCDC53,1,Correlation
BBIP1,CCDC53,1,Correlation
BTN3A3,CCDC53,1,Correlation
C14orf1,CCDC53,1,Correlation
ACTN1,CCDC93,1,Correlation
ADGRF5,CCDC93,0.5,Correlation
AHCTF1,CCDC93,1,Correlation
ALDH3A2,CCDC93,0.5,Correlation
AP2S1,CCDC93,0.5,Correlation
ARHGAP29,CCDC93,0.5,Correlation
ATP2C1,CCDC93,0.5,Correlation
ATP5C1,CCDC93,0.5,Correlation
ATP5E,CCDC93,0.5,Correlation
AURKAIP1,CCDC93,0.5,Correlation
BBIP1,CCDC93,0.5,Correlation
BGN,CCDC93,0.5,Correlation
BTN3A3,CCDC93,0.5,Correlation
C14orf1,CCDC93,0.5,Correlation
C1orf61,CCDC93,0.5,Correlation
CCDC53,CCDC93,0.5,Correlation
ALDH3A2,CCT3,0.5,Correlation
ANKRD17,CCT3,1,Correlation
AP2S1,CCT3,0.5,Correlation
ARHGAP29,CCT3,0.5,Correlation
ARIH1,CCT3,1,Correlation
ATM,CCT3,0.5,Correlation
ATP2C1,CCT3,0.5,Correlation
ATP5C1,CCT3,0.5,Correlation
ATP5E,CCT3,0.5,Correlation
AURKAIP1,CCT3,0.5,Correlation
BBIP1,CCT3,0.5,Correlation
BTN3A3,CCT3,0.5,Correlation
C14orf1,CCT3,0.5,Correlation
CCDC53,CCT3,0.5,Correlation
ACTN1,CDC16,0.5,Correlation
AHCTF1,CDC16,0.5,Correlation
ALDH3A2,CDC16,1,Correlation
ANKRD17,CDC16,0.5,Correlation
AP2S1,CDC16,1,Correlation
ARHGAP29,CDC16,1,Correlation
ARIH1,CDC16,0.5,Correlation
ATP2C1,CDC16,1,Correlation
ATP5C1,CDC16,1,Correlation
ATP5E,CDC16,1,Correlation
AURKAIP1,CDC16,1,Correlation
BBIP1,CDC16,1,Correlation
BTN3A3,CDC16,1,Correlation
C14orf1,CDC16,1,Correlation
CCDC53,CDC16,1,Correlation
CCDC93,CDC16,0.5,Correlation
CCT3,CDC16,0.5,Correlation
ACTN1,CDH11,1,Correlation
ADGRF5,CDH11,0.5,Correlation
AHCTF1,CDH11,1,Correlation
ALDH3A2,CDH11,0.5,Correlation
AP2S1,CDH11,0.5,Correlation
ARHGAP29,CDH11,0.5,Correlation
ATP2C1,CDH11,0.5,Correlation
ATP5C1,CDH11,0.5,Correlation
ATP5E,CDH11,0.5,Correlation
AURKAIP1,CDH11,0.5,Correlation
BBIP1,CDH11,0.5,Correlation
BGN,CDH11,0.5,Correlation
BTN3A3,CDH11,0.5,Correlation
C14orf1,CDH11,0.5,Correlation
C1orf61,CDH11,0.5,Correlation
CCDC53,CDH11,0.5,Correlation
CCDC93,CDH11,1,Correlation
CDC16,CDH11,0.5,Correlation
ACTN1,CELF1,1,Correlation
ADGRF5,CELF1,0.5,Correlation
AHCTF1,CELF1,1,Correlation
ALDH3A2,CELF1,0.5,Correlation
AP2S1,CELF1,0.5,Correlation
ARHGAP29,CELF1,0.5,Correlation
ATP2C1,CELF1,0.5,Correlation
ATP5C1,CELF1,0.5,Correlation
ATP5E,CELF1,0.5,Correlation
AURKAIP1,CELF1,0.5,Correlation
BBIP1,CELF1,0.5,Correlation
BGN,CELF1,0.5,Correlation
BTN3A3,CELF1,0.5,Correlation
C14orf1,CELF1,0.5,Correlation
C1orf61,CELF1,0.5,Correlation
CCDC53,CELF1,0.5,Correlation
CCDC93,CELF1,1,Correlation
CDC16,CELF1,0.5,Correlation
CDH11,CELF1,1,Correlation
ALDH3A2,CEP170B,0.5,Correlation
ANKRD17,CEP170B,1,Correlation
AP2S1,CEP170B,0.5,Correlation
ARHGAP29,CEP170B,0.5,Correlation
ARIH1,CEP170B,1,Correlation
ATM,CEP170B,0.5,Correlation
ATP2C1,CEP170B,0.5,Correlation
ATP5C1,CEP170B,0.5,Correlation
ATP5E,CEP170B,0.5,Correlation
AURKAIP1,CEP170B,0.5,Correlation
BBIP1,CEP170B,0.5,Correlation
BTN3A3,CEP170B,0.5,Correlation
C14orf1,CEP170B,0.5,Correlation
CCDC53,CEP170B,0.5,Correlation
CCT3,CEP170B,1,Correlation
CDC16,CEP170B,0.5,Correlation
ACTN1,CIAPIN1,0.5,Correlation
AHCTF1,CIAPIN1,0.5,Correlation
ALDH3A2,CIAPIN1,1,Correlation
ANKRD17,CIAPIN1,0.5,Correlation
AP2S1,CIAPIN1,1,Correlation
ARHGAP29,CIAPIN1,1,Correlation
ARIH1,CIAPIN1,0.5,Correlation
ATP2C1,CIAPIN1,1,Correlation
ATP5C1,CIAPIN1,1,Correlation
ATP5E,CIAPIN1,1,Correlation
AURKAIP1,CIAPIN1,1,Correlation
BBIP1,CIAPIN1,1,Correlation
BTN3A3,CIAPIN1,1,Correlation
C14orf1,CIAPIN1,1,Correlation
CCDC53,CIAPIN1,1,Correlation
CCDC93,CIAPIN1,0.5,Correlation
CCT3,CIAPIN1,0.5,Correlation
CDC16,CIAPIN1,1,Correlation
CDH11,CIAPIN1,0.5,Correlation
CELF1,CIAPIN1,0.5,Correlation
CEP170B,CIAPIN1,0.5,Correlation
ALDH3A2,CLCN5,0.5,Correlation
ANKRD17,CLCN5,1,Correlation
AP2S1,CLCN5,0.5,Correlation
ARHGAP29,CLCN5,0.5,Correlation
ARIH1,CLCN5,1,Correlation
ATM,CLCN5,0.5,Correlation
ATP2C1,CLCN5,0.5,Correlation
ATP5C1,CLCN5,0.5,Correlation
ATP5E,CLCN5,0.5,Correlation
AURKAIP1,CLCN5,0.5,Correlation
BBIP1,CLCN5,0.5,Correlation
BTN3A3,CLCN5,0.5,Correlation
C14orf1,CLCN5,0.5,Correlation
CCDC53,CLCN5,0.5,Correlation
CCT3,CLCN5,1,Correlation
CDC16,CLCN5,0.5,Correlation
CEP170B,CLCN5,1,Correlation
CIAPIN1,CLCN5,0.5,Correlation
ACTN1,CLNS1A,0.5,Correlation
AHCTF1,CLNS1A,0.5,Correlation
ALDH3A2,CLNS1A,1,Correlation
ANKRD17,CLNS1A,0.5,Correlation
AP2S1,CLNS1A,1,Correlation
ARHGAP29,CLNS1A,1,Correlation
ARIH1,CLNS1A,0.5,Correlation
ATP2C1,CLNS1A,1,Correlation
ATP5C1,CLNS1A,1,Correlation
ATP5E,CLNS1A,1,Correlation
AURKAIP1,CLNS1A,1,Correlation
BBIP1,CLNS1A,1,Correlation
BTN3A3,CLNS1A,1,Correlation
C14orf1,CLNS1A,1,Correlation
CCDC53,CLNS1A,1,Correlation
CCDC93,CLNS1A,0.5,Correlation
CCT3,CLNS1A,0.5,Correlation
CDC16,CLNS1A,1,Correlation
CDH11,CLNS1A,0.5,Correlation
CELF1,CLNS1A,0.5,Correlation
CEP170B,CLNS1A,0.5,Correlation
CIAPIN1,CLNS1A,1,Correlation
CLCN5,CLNS1A,0.5,Correlation
ACTN1,COA3,0.5,Correlation
AHCTF1,COA3,0.5,Correlation
ALDH3A2,COA3,1,Correlation
ANKRD17,COA3,0.5,Correlation
AP2S1,COA3,1,Correlation
ARHGAP29,COA3,1,Correlation
ARIH1,COA3,0.5,Correlation
ATP2C1,COA3,1,Correlation
ATP5C1,COA3,1,Correlation
ATP5E,COA3,1,Correlation
AURKAIP1,COA3,1,Correlation
BBIP1,COA3,1,Correlation
BTN3A3,COA3,1,Correlation
C14orf1,COA3,1,Correlation
CCDC53,COA3,1,Correlation
CCDC93,COA3,0.5,Correlation
CCT3,COA3,0.5,Correlation
CDC16,COA3,1,Correlation
CDH11,COA3,0.5,Correlation
CELF1,COA3,0.5,Correlation
CEP170B,COA3,0.5,Correlation
CIAPIN1,COA3,1,Correlation
CLCN5,COA3,0.5,Correlation
CLNS1A,COA3,1,Correlation
ACTN1,COL4A1,1,Correlation
ADGRF5,COL4A1,0.5,Correlation
AHCTF1,COL4A1,1,Correlation
ALDH3A2,COL4A1,0.5,Correlation
AP2S1,COL4A1,0.5,Correlation
ARHGAP29,COL4A1,0.5,Correlation
ATP2C1,COL4A1,0.5,Correlation
ATP5C1,COL4A1,0.5,Correlation
ATP5E,COL4A1,0.5,Correlation
AURKAIP1,COL4A1,0.5,Correlation
BBIP1,COL4A1,0.5,Correlation
BGN,COL4A1,0.5,Correlation
BTN3A3,COL4A1,0.5,Correlation
C14orf1,COL4A1,0.5,Correlation
C1orf61,COL4A1,0.5,Correlation
CCDC53,COL4A1,0.5,Correlation
CCDC93,COL4A1,1,Correlation
CDC16,COL4A1,0.5,Correlation
CDH11,COL4A1,1,Correlation
CELF1,COL4A1,1,Correlation
CIAPIN1,COL4A1,0.5,Correlation
CLNS1A,COL4A1,0.5,Correlation
COA3,COL4A1,0.5,Correlation
ALDH3A2,COPG1,0.5,Correlation
ANKRD17,COPG1,1,Correlation
AP2S1,COPG1,0.5,Correlation
ARHGAP29,COPG1,0.5,Correlation
ARIH1,COPG1,1,Correlation
ATM,COPG1,0.5,Correlation
ATP2C1,COPG1,0.5,Correlation
ATP5C1,COPG1,0.5,Correlation
ATP5E,COPG1,0.5,Correlation
AURKAIP1,COPG1,0.5,Correlation
BBIP1,COPG1,0.5,Correlation
BTN3A3,COPG1,0.5,Correlation
C14orf1,COPG1,0.5,Correlation
CCDC53,COPG1,0.5,Correlation
CCT3,COPG1,1,Correlation
CDC16,COPG1,0.5,Correlation
CEP170B,COPG1,1,Correlation
CIAPIN1,COPG1,0.5,Correlation
CLCN5,COPG1,1,Correlation
CLNS1A,COPG1,0.5,Correlation
COA3,COPG1,0.5,Correlation
ACTN1,CREB3L2,0.5,Correlation
ADGRF5,CREB3L2,1,Correlation
AHCTF1,CREB3L2,0.5,Correlation
ALPK1,CREB3L2,0.5,Correlation
BGN,CREB3L2,1,Correlation
BPTF,CREB3L2,0.5,Correlation
C1orf61,CREB3L2,1,Correlation
C6orf106,CREB3L2,0.5,Correlation
CCDC93,CREB3L2,0.5,Correlation
CDH11,CREB3L2,0.5,Correlation
CELF1,CREB3L2,0.5,Correlation
COL4A1,CREB3L2,0.5,Correlation
ACTN1,CREG1,1,Correlation
ADGRF5,CREG1,0.5,Correlation
AHCTF1,CREG1,1,Correlation
ALDH3A2,CREG1,0.5,Correlation
AP2S1,CREG1,0.5,Correlation
ARHGAP29,CREG1,0.5,Correlation
ATP2C1,CREG1,0.5,Correlation
ATP5C1,CREG1,0.5,Correlation
ATP5E,CREG1,0.5,Correlation
AURKAIP1,CREG1,0.5,Correlation
BBIP1,CREG1,0.5,Correlation
BGN,CREG1,0.5,Correlation
BTN3A3,CREG1,0.5,Correlation
C14orf1,CREG1,0.5,Correlation
C1orf61,CREG1,0.5,Correlation
CCDC53,CREG1,0.5,Correlation
CCDC93,CREG1,1,Correlation
CDC16,CREG1,0.5,Correlation
CDH11,CREG1,1,Correlation
CELF1,CREG1,1,Correlation
CIAPIN1,CREG1,0.5,Correlation
CLNS1A,CREG1,0.5,Correlation
COA3,CREG1,0.5,Correlation
COL4A1,CREG1,1,Correlation
CREB3L2,CREG1,0.5,Correlation
ADGRF5,CSRP1,0.5,Correlation
ALPK1,CSRP1,1,Correlation
ANXA1,CSRP1,0.866025404,Correlation
ATM,CSRP1,0.5,Correlation
BGN,CSRP1,0.5,Correlation
BPTF,CSRP1,1,Correlation
C1orf61,CSRP1,0.5,Correlation
C6orf106,CSRP1,1,Correlation
CREB3L2,CSRP1,0.5,Correlation
ACTN1,CST3,0.5,Correlation
ADGRF5,CST3,1,Correlation
AHCTF1,CST3,0.5,Correlation
ALPK1,CST3,0.5,Correlation
BGN,CST3,1,Correlation
BPTF,CST3,0.5,Correlation
C1orf61,CST3,1,Correlation
C6orf106,CST3,0.5,Correlation
CCDC93,CST3,0.5,Correlation
CDH11,CST3,0.5,Correlation
CELF1,CST3,0.5,Correlation
COL4A1,CST3,0.5,Correlation
CREB3L2,CST3,1,Correlation
CREG1,CST3,0.5,Correlation
CSRP1,CST3,0.5,Correlation
ACTN1,CTDSP2,0.5,Correlation
ADGRF5,CTDSP2,1,Correlation
AHCTF1,CTDSP2,0.5,Correlation
ALPK1,CTDSP2,0.5,Correlation
BGN,CTDSP2,1,Correlation
BPTF,CTDSP2,0.5,Correlation
C1orf61,CTDSP2,1,Correlation
C6orf106,CTDSP2,0.5,Correlation
CCDC93,CTDSP2,0.5,Correlation
CDH11,CTDSP2,0.5,Correlation
CELF1,CTDSP2,0.5,Correlation
COL4A1,CTDSP2,0.5,Correlation
CREB3L2,CTDSP2,1,Correlation
CREG1,CTDSP2,0.5,Correlation
CSRP1,CTDSP2,0.5,Correlation
CST3,CTDSP2,1,Correlation
ACTN1,CTNNB1,0.5,Correlation
AHCTF1,CTNNB1,0.5,Correlation
ALDH3A2,CTNNB1,1,Correlation
ANKRD17,CTNNB1,0.5,Correlation
AP2S1,CTNNB1,1,Correlation
ARHGAP29,CTNNB1,1,Correlation
ARIH1,CTNNB1,0.5,Correlation
ATP2C1,CTNNB1,1,Correlation
ATP5C1,CTNNB1,1,Correlation
ATP5E,CTNNB1,1,Correlation
AURKAIP1,CTNNB1,1,Correlation
BBIP1,CTNNB1,1,Correlation
BTN3A3,CTNNB1,1,Correlation
C14orf1,CTNNB1,1,Correlation
CCDC53,CTNNB1,1,Correlation
CCDC93,CTNNB1,0.5,Correlation
CCT3,CTNNB1,0.5,Correlation
CDC16,CTNNB1,1,Correlation
CDH11,CTNNB1,0.5,Correlation
CELF1,CTNNB1,0.5,Correlation
CEP170B,CTNNB1,0.5,Correlation
CIAPIN1,CTNNB1,1,Correlation
CLCN5,CTNNB1,0.5,Correlation
CLNS1A,CTNNB1,1,Correlation
COA3,CTNNB1,1,Correlation
COL4A1,CTNNB1,0.5,Correlation
COPG1,CTNNB1,0.5,Correlation
CREG1,CTNNB1,0.5,Correlation
ACTN1,CXorf40B,1,Correlation
ADGRF5,CXorf40B,0.5,Correlation
AHCTF1,CXorf40B,1,Correlation
ALDH3A2,CXorf40B,0.5,Correlation
AP2S1,CXorf40B,0.5,Correlation
ARHGAP29,CXorf40B,0.5,Correlation
ATP2C1,CXorf40B,0.5,Correlation
ATP5C1,CXorf40B,0.5,Correlation
ATP5E,CXorf40B,0.5,Correlation
AURKAIP1,CXorf40B,0.5,Correlation
BBIP1,CXorf40B,0.5,Correlation
BGN,CXorf40B,0.5,Correlation
BTN3A3,CXorf40B,0.5,Correlation
C14orf1,CXorf40B,0.5,Correlation
C1orf61,CXorf40B,0.5,Correlation
CCDC53,CXorf40B,0.5,Correlation
CCDC93,CXorf40B,1,Correlation
CDC16,CXorf40B,0.5,Correlation
CDH11,CXorf40B,1,Correlation
CELF1,CXorf40B,1,Correlation
CIAPIN1,CXorf40B,0.5,Correlation
CLNS1A,CXorf40B,0.5,Correlation
COA3,CXorf40B,0.5,Correlation
COL4A1,CXorf40B,1,Correlation
CREB3L2,CXorf40B,0.5,Correlation
CREG1,CXorf40B,1,Correlation
CST3,CXorf40B,0.5,Correlation
CTDSP2,CXorf40B,0.5,Correlation
CTNNB1,CXorf40B,0.5,Correlation
ACTN1,CYP1B1,0.5,Correlation
AHCTF1,CYP1B1,0.5,Correlation
ALDH3A2,CYP1B1,1,Correlation
ANKRD17,CYP1B1,0.5,Correlation
AP2S1,CYP1B1,1,Correlation
ARHGAP29,CYP1B1,1,Correlation
ARIH1,CYP1B1,0.5,Correlation
ATP2C1,CYP1B1,1,Correlation
ATP5C1,CYP1B1,1,Correlation
ATP5E,CYP1B1,1,Correlation
AURKAIP1,CYP1B1,1,Correlation
BBIP1,CYP1B1,1,Correlation
BTN3A3,CYP1B1,1,Correlation
C14orf1,CYP1B1,1,Correlation
CCDC53,CYP1B1,1,Correlation
CCDC93,CYP1B1,0.5,Correlation
CCT3,CYP1B1,0.5,Correlation
CDC16,CYP1B1,1,Correlation
CDH11,CYP1B1,0.5,Correlation
CELF1,CYP1B1,0.5,Correlation
CEP170B,CYP1B1,0.5,Correlation
CIAPIN1,CYP1B1,1,Correlation
CLCN5,CYP1B1,0.5,Correlation
CLNS1A,CYP1B1,1,Correlation
COA3,CYP1B1,1,Correlation
COL4A1,CYP1B1,0.5,Correlation
COPG1,CYP1B1,0.5,Correlation
CREG1,CYP1B1,0.5,Correlation
CTNNB1,CYP1B1,1,Correlation
CXorf40B,CYP1B1,0.5,Correlation
ACTN1,DCN,0.5,Correlation
ADGRF5,DCN,1,Correlation
AHCTF1,DCN,0.5,Correlation
ALPK1,DCN,0.5,Correlation
BGN,DCN,1,Correlation
BPTF,DCN,0.5,Correlation
C1orf61,DCN,1,Correlation
C6orf106,DCN,0.5,Correlation
CCDC93,DCN,0.5,Correlation
CDH11,DCN,0.5,Correlation
CELF1,DCN,0.5,Correlation
COL4A1,DCN,0.5,Correlation
CREB3L2,DCN,1,Correlation
CREG1,DCN,0.5,Correlation
CSRP1,DCN,0.5,Correlation
CST3,DCN,1,Correlation
CTDSP2,DCN,1,Correlation
CXorf40B,DCN,0.5,Correlation
ACTN1,DDX5,0.5,Correlation
AHCTF1,DDX5,0.5,Correlation
ALDH3A2,DDX5,1,Correlation
ANKRD17,DDX5,0.5,Correlation
AP2S1,DDX5,1,Correlation
ARHGAP29,DDX5,1,Correlation
ARIH1,DDX5,0.5,Correlation
ATP2C1,DDX5,1,Correlation
ATP5C1,DDX5,1,Correlation
ATP5E,DDX5,1,Correlation
AURKAIP1,DDX5,1,Correlation
BBIP1,DDX5,1,Correlation
BTN3A3,DDX5,1,Correlation
C14orf1,DDX5,1,Correlation
CCDC53,DDX5,1,Correlation
CCDC93,DDX5,0.5,Correlation
CCT3,DDX5,0.5,Correlation
CDC16,DDX5,1,Correlation
CDH11,DDX5,0.5,Correlation
CELF1,DDX5,0.5,Correlation
CEP170B,DDX5,0.5,Correlation
CIAPIN1,DDX5,1,Correlation
CLCN5,DDX5,0.5,Correlation
CLNS1A,DDX5,1,Correlation
COA3,DDX5,1,Correlation
COL4A1,DDX5,0.5,Correlation
COPG1,DDX5,0.5,Correlation
CREG1,DDX5,0.5,Correlation
CTNNB1,DDX5,1,Correlation
CXorf40B,DDX5,0.5,Correlation
CYP1B1,DDX5,1,Correlation
ALDH3A2,DLST,0.5,Correlation
ANKRD17,DLST,1,Correlation
AP2S1,DLST,0.5,Correlation
ARHGAP29,DLST,0.5,Correlation
ARIH1,DLST,1,Correlation
ATM,DLST,0.5,Correlation
ATP2C1,DLST,0.5,Correlation
ATP5C1,DLST,0.5,Correlation
ATP5E,DLST,0.5,Correlation
AURKAIP1,DLST,0.5,Correlation
BBIP1,DLST,0.5,Correlation
BTN3A3,DLST,0.5,Correlation
C14orf1,DLST,0.5,Correlation
CCDC53,DLST,0.5,Correlation
CCT3,DLST,1,Correlation
CDC16,DLST,0.5,Correlation
CEP170B,DLST,1,Correlation
CIAPIN1,DLST,0.5,Correlation
CLCN5,DLST,1,Correlation
CLNS1A,DLST,0.5,Correlation
COA3,DLST,0.5,Correlation
COPG1,DLST,1,Correlation
CTNNB1,DLST,0.5,Correlation
CYP1B1,DLST,0.5,Correlation
DDX5,DLST,0.5,Correlation
ALDH3A2,DMD,0.5,Correlation
ANKRD17,DMD,1,Correlation
AP2S1,DMD,0.5,Correlation
ARHGAP29,DMD,0.5,Correlation
ARIH1,DMD,1,Correlation
ATM,DMD,0.5,Correlation
ATP2C1,DMD,0.5,Correlation
ATP5C1,DMD,0.5,Correlation
ATP5E,DMD,0.5,Correlation
AURKAIP1,DMD,0.5,Correlation
BBIP1,DMD,0.5,Correlation
BTN3A3,DMD,0.5,Correlation
C14orf1,DMD,0.5,Correlation
CCDC53,DMD,0.5,Correlation
CCT3,DMD,1,Correlation
CDC16,DMD,0.5,Correlation
CEP170B,DMD,1,Correlation
CIAPIN1,DMD,0.5,Correlation
CLCN5,DMD,1,Correlation
CLNS1A,DMD,0.5,Correlation
COA3,DMD,0.5,Correlation
COPG1,DMD,1,Correlation
CTNNB1,DMD,0.5,Correlation
CYP1B1,DMD,0.5,Correlation
DDX5,DMD,0.5,Correlation
DLST,DMD,1,Correlation
ADGRF5,DST,0.5,Correlation
ALPK1,DST,1,Correlation
ANXA1,DST,0.866025404,Correlation
ATM,DST,0.5,Correlation
BGN,DST,0.5,Correlation
BPTF,DST,1,Correlation
C1orf61,DST,0.5,Correlation
C6orf106,DST,1,Correlation
CREB3L2,DST,0.5,Correlation
CSRP1,DST,1,Correlation
CST3,DST,0.5,Correlation
CTDSP2,DST,0.5,Correlation
DCN,DST,0.5,Correlation
ACTN1,EIF2S2,1,Correlation
ADGRF5,EIF2S2,0.5,Correlation
AHCTF1,EIF2S2,1,Correlation
ALDH3A2,EIF2S2,0.5,Correlation
AP2S1,EIF2S2,0.5,Correlation
ARHGAP29,EIF2S2,0.5,Correlation
ATP2C1,EIF2S2,0.5,Correlation
ATP5C1,EIF2S2,0.5,Correlation
ATP5E,EIF2S2,0.5,Correlation
AURKAIP1,EIF2S2,0.5,Correlation
BBIP1,EIF2S2,0.5,Correlation
BGN,EIF2S2,0.5,Correlation
BTN3A3,EIF2S2,0.5,Correlation
C14orf1,EIF2S2,0.5,Correlation
C1orf61,EIF2S2,0.5,Correlation
CCDC53,EIF2S2,0.5,Correlation
CCDC93,EIF2S2,1,Correlation
CDC16,EIF2S2,0.5,Correlation
CDH11,EIF2S2,1,Correlation
CELF1,EIF2S2,1,Correlation
CIAPIN1,EIF2S2,0.5,Correlation
CLNS1A,EIF2S2,0.5,Correlation
COA3,EIF2S2,0.5,Correlation
COL4A1,EIF2S2,1,Correlation
CREB3L2,EIF2S2,0.5,Correlation
CREG1,EIF2S2,1,Correlation
CST3,EIF2S2,0.5,Correlation
CTDSP2,EIF2S2,0.5,Correlation
CTNNB1,EIF2S2,0.5,Correlation
CXorf40B,EIF2S2,1,Correlation
CYP1B1,EIF2S2,0.5,Correlation
DCN,EIF2S2,0.5,Correlation
DDX5,EIF2S2,0.5,Correlation
ACTN1,ERGIC2,0.5,Correlation
AHCTF1,ERGIC2,0.5,Correlation
ALDH3A2,ERGIC2,1,Correlation
ANKRD17,ERGIC2,0.5,Correlation
AP2S1,ERGIC2,1,Correlation
ARHGAP29,ERGIC2,1,Correlation
ARIH1,ERGIC2,0.5,Correlation
ATP2C1,ERGIC2,1,Correlation
ATP5C1,ERGIC2,1,Correlation
ATP5E,ERGIC2,1,Correlation
AURKAIP1,ERGIC2,1,Correlation
BBIP1,ERGIC2,1,Correlation
BTN3A3,ERGIC2,1,Correlation
