WHSC1,ABCC3,LAMC1,,,FGF3,REXO4,,,ALDH3A2,GJA4,IGFBP4,HLA-DRB1,COMP,CYBA,CXCL8,CD72,CEBPB,CD9,MCL1,RHOG,TNC,CIITA,C8A,HLA-DRA,CDH15,FCGR3B,CCR1
KMT2D,ABCG2,NCAM1,,,FGF4,ZNF398,,,AKR1B1,CXCL2,IRF1,HLA-DRB4,CTSL,CYBB,IL10,CD79A,CTSC,CD22,MYB,ARRB1,IBSP,CXCL9,C8B,HLA-DRB1,CNTN1,FHL2,CCR3
BBOX1,ABCG1,NCAM2,,,FGF5,DDX54,,,ANG,GZMA,JUN,IFNG,CTSS,PTK2B,IL12A,CD79B,CLCN4,CD27,MYC,ARRB2,ICAM1,NOS2,C8G,HLA-DRB4,CLDN4,FOS,CCR4
PLOD3,ABCC5,NOTCH1,,,FGF6,PPARGC1B,,,ANGPT1,HLA-DQB1,JUNB,IFNGR1,CYBA,GNAI1,IL18,CHRNB1,CPM,CD40,NFIL3,SERPINC1,ICAM2,OAS1,C9,HLA-E,CLDN3,FOSB,CCR5
SETD1A,ABCB6,PRKACA,,,FGF7,NCOA7,,,ANGPT2,HOXB6,LDLR,IFNGR2,CYBB,GNAI2,ITGAL,CHRNG,CPT2,CD79A,ODC1,ATP1B1,ICAM3,PRKCD,CAMK2A,HLA-F,CLDN7,FOSL2,CCR6
KMT2B,ABCC9,PRKACB,,,FGF8,,,,ANK3,ICAM1,VWA5A,IL1A,DYNC1H1,GNAI3,ITGB2,CISH,CREM,CD79B,OSM,ATP1B2,ICAM4,EIF2AK2,CAMK2B,HLA-G,VCAN,FYN,CCR7
SETDB1,ABCC4,PRKACG,,,FGF9,,,,ANXA2,ID3,MCL1,IL1B,DYNC1I1,ARHGAP35,KLRB1,CNTFR,CSF2RB,CDK1,PIM1,ATP1B3,ITGA6,PSMB9,CAMK2D,IFNG,CTLA4,GRB2,CCR8
AASS,ABCA7,MAPK1,,,FGF10,,,,AOX1,IFI16,MMP3,IL4,DYNC1I2,ICAM1,LRP1,CRK,CSF3R,CDKN1B,RARA,ATP2A1,ITGA2,PTPN11,CAMK2G,IL2,GLG1,IFNAR1,CRK
EHMT2,ABCA9,MAPK3,,,FGFR1,,,,NUDT2,IL2RA,MMP9,IL10,DYNC1LI2,ITGA4,MET,CRKL,VCAN,CHEK1,CCL2,ATP2A2,ITGA2B,REG1A,CAPZA1,IL4,HLA-A,IFNAR2,CRKL
SETD1B,ABCA8,MAP2K1,,,FGFR3,,,,APBB2,IL6,ABCC1,IL12A,FCAR,ITGAL,MYD88,CSF1,CTSL,CHN1,CCL4,ATP2A3,ITGA3,SPI1,CAPZA2,IL5,HLA-B,IFNB1,CSK
COLGALT2,ABCB8,MAP2K2,,,FGFR2,,,,APEX1,IL7R,MUC5AC,IL12B,FCGR1A,ITGAM,PECAM1,CSF1R,CYP1A1,CRHR1,CCL7,ATP2B1,ITGA4,STAT1,CASP1,IL10,HLA-C,IFNG,CX3CR1
SETD2,ABCB10,PRKX,,,FGFR4,,,,APOC1,CXCL8,MX1,IRAK1,FCGR2A,ITGB1,CCL2,CSF2RA,CYP1B1,CSNK2B,SPP1,ATP2B2,ITGA5,STAT2,CASP8,IL12A,HLA-DMA,IFNGR1,DOCK2
SUV420H1,ABCB9,PRNP,,,MTOR,,,,APOE,IL18,GADD45B,ITGA4,FCGR2B,ITGB2,SDC1,CSF2RB,CYP2E1,DGUOK,TGFA,ATP2B3,ITGA7,TAP1,CASP10,IL12B,HLA-DMB,IFNGR2,PTK2B
AADAT,ABCA6,CCL5,,,GAB1,,,,AREG,IRF1,TNFRSF11B,ITGAM,FCGR3A,ITK,SDC2,CSF3R,DMD,DRG2,TGFB1,ATP2B4,ITGA9,HIST1H4J,CBL,PRF1,HLA-DOA,IKBKB,FGR
PIPOX,ABCA5,SOD1,,,GRB2,,,,RHOA,ITGA2,PDGFRA,ITGB1,FCGR3B,CD99,SDC4,CSH1,DUSP6,DUSP2,TNF,BSG,ITGAD,HIST1H4L,CD3D,TNF,HLA-DOB,IL1A,FOXO3
WHSC1L1,ABCA12,STIP1,,,GRB10,,,,ARHGAP6,ITPKB,PIM1,ITGB2,HLA-A,MLLT4,SELE,CSK,GPR183,DUSP5,SOCS1,C1QBP,ITGAE,SOCS1,CD3E,,HLA-DPA1,IL1B,GNAI1
TMLHE,ABCG4,,,,HRAS,,,,ASAH1,KCNN2,PLA2G2A,JAK1,HLA-B,MMP2,SELP,CTF1,S1PR1,DVL2,SOCS2,SERPING1,ITGAL,SOCS3,CD3G,,HLA-DPB1,IL1R1,GNAI2
OGDHL,ABCG5,,,,INS,,,,ASNA1,KIT,POU2AF1,JAK2,HLA-C,MMP9,TGFB1,CTLA4,EDNRA,DYRK1A,SOCS3,DAGLA,ITGAM,ISG15,CD247,,HLA-DQA1,ITGB3,GNAI3
ASH1L,ABCG8,,,,INSR,,,,ATF3,LAMA3,POU2F2,JUN,HLA-DMA,MSN,TGFB2,DOCK1,EEF1A2,EFNB3,USP36,CALM1,ITGAV,IRF9,CD4,,HLA-DQB1,JAK1,GNB1
KMT2E,ABCC11,,,,IRS1,,,,ATP1B1,LGALS2,PPARA,MYD88,HLA-DMB,MYL2,TGFB3,DOCK3,EGR2,EPHB2,CLNK,CALU,ITGAX,HIST4H4,CD8A,,HLA-DRA,JUN,GNB2
KMT2C,ABCC10,,,,KRAS,,,,ATP2B2,LPL,PPARD,NCF2,HLA-DOA,MYL5,THBS1,DOK1,ELAVL2,ERBB2,,CAPZA1,ITGB1,,CD8B,,HLA-DRB1,JUNB,GNB3
NSD1,ABCC12,,,,NRAS,,,,ATR,LTB,PPARG,NCF4,HLA-DOB,NCF2,THBS2,EFNB1,ETV3,ERCC2,,CAPZA2,ITGB2,,CD14,,HLA-DRB4,JUND,GNG3
COLGALT1,ABCA13,,,,PDE3B,,,,ATRX,MFNG,PRKAA1,NFKB1,HLA-DPA1,NCF4,THBS3,EFNB2,EXT1,ESR1,,CAPZB,ITGB3,,CD19,,HLA-E,LCK,GNG4
SUV39H2,ABCB5,,,,PDPK1,,,,CCND1,MMP3,PROS1,NFKBIA,HLA-DPB1,CLDN11,THBS4,EFNB3,F3,EVI2A,,CAV1,ITGB4,,CD28,,HLA-F,LCP2,GNG5
EHMT1,,,,,PIK3C3,,,,BCL2L1,COX1,SGK1,NFKBIB,HLA-DQA1,PECAM1,TLR2,EPHB1,F13A1,FRZB,,CD2,ITGB5,,CD80,,HLA-G,MITF,GNG7
SETD7,,,,,PIK3CA,,,,BDKRB2,MX1,SLC2A3,NOS2,HLA-DQB1,PIK3CA,TLR4,EPHB2,FAT1,FYN,,CD9,ITGB6,,CD86,,ICAM1,NCF2,GNG10
SETDB2,,,,,PIK3CB,,,,CFB,GADD45B,SOX2,PRKCB,HLA-DRA,PIK3CB,TNF,EPHB3,FBN1,GABRA2,,CD36,ITGB7,,CD34,,ICAM2,NCF4,GNG11
DOT1L,,,,,PIK3R1,,,,BFSP1,NFKBIA,SPP1,MAPK1,HLA-DRB1,PIK3CD,VCAM1,EPHB4,FCER2,GBP2,,CD47,ITGB8,,CD40,,ICAM3,NFATC1,GNGT1
SUV420H2,,,,,PIK3R2,,,,BGN,NINJ1,STAT1,MAPK3,HLA-DRB4,PIK3CG,SDC3,EPHB6,FKBP5,GNAZ,,CD48,LAMA2,,CD40LG,,ITGA6,NFATC2,GNGT2
SETD8,,,,,PPM1A,,,,BMP2,NOS2,STAT3,MAPK11,HLA-E,PIK3R1,KLRK1,EPO,FOXC1,GNB1,,CD58,LAMA5,,CD44,,ITGA4,NFKB1,CCR10
,,,,,PRKAA1,,,,BMP4,NPAS2,ZEB1,MAPK13,HLA-F,PIK3R2,TLR9,EPOR,FN1,GRK5,,CD63,LAMB1,,CD81,,ITGA9,NFKB2,XCR1
,,,,,PRKAA2,,,,BNIP2,PDGFB,TNF,PTGS2,HLA-G,PLCG1,,ERBB2,FOS,CXCL1,,CDC42,LAMB2,,CDK1,,ITGAL,NFKBIA,CXCR3
,,,,,PRKAB1,,,,BRCA1,POU2AF1,UCP1,PTPN6,ITGA2,PLCG2,,ERBB3,GAS6,GSPT1,,CDK2,LAMC1,,CDC42,,ITGAM,TNFRSF11B,GRK4
,,,,,PRKAB2,,,,ZFP36L2,KLK6,ZFP36,RELA,ITGA5,PRKCA,,FCER1A,GATA3,GSTP1,,CDK5,PDPK1,,CDH1,,ITGAV,PIK3CA,GRK5
,,,,,PRKAG1,,,,BST1,PTGS2,ZNF12,MAPK12,ITGAM,PRKCB,,MS4A2,GATA6,GZMA,,CENPE,PECAM1,,CHUK,,ITGB1,PIK3CB,GRK6
,,,,,MAPK1,,,,BTD,CCL2,BHLHE40,STAT1,ITGAV,PRKCG,,FCER1G,GCNT1,HCLS1,,CFL1,PTK2,,MAP3K8,,ITGB2,PIK3CD,GRB2
,,,,,MAPK3,,,,BYSL,CCL20,TNFSF11,MAP3K7,ITGB1,MAPK11,,FER,GJA5,HDGF,,CLU,PTPN1,,CR2,,ITGB7,PIK3CG,CXCL1
,,,,,MAP2K1,,,,C1R,SNAPC4,CADPS,TGFB1,ITGB2,MAPK13,,FES,GNAI1,HINT1,,COL1A1,RAP1A,,CREB1,,ITGB8,PIK3R1,CXCL2
,,,,,MAP2K2,,,,C1S,SPP1,SOCS1,TGFB2,ITGB3,PTK2,,FGF1,GUCY1B3,HTR2C,,COL1A2,RAP1B,,ATF2,,L1CAM,PIK3R2,CXCL3
,,,,,PTPN11,,,,C5,STAT1,ABCC3,TGFB3,ITGB5,PTPN11,,FGF2,GZMB,IFI16,,CREBBP,SHC1,,CREBBP,,MAG,PLCG2,GSK3A
,,,,,RAF1,,,,C6,TCF7,SOCS2,TLR2,LAMP1,PXN,,FGF3,HLA-DQA1,IFRD1,,CRK,SOS1,,CRK,,CD99,PPARG,GSK3B
,,,,,RHEB,,,,C7,TIMP1,SOCS3,TLR4,LAMP2,RAC1,,FGF4,HPCAL1,IGHM,,MAPK14,SPP1,,CRKL,,MPZ,PPP3CA,HCK
,,,,,RPS6,,,,CA12,TLR2,NMI,TNF,M6PR,RAC2,,FGF5,HSPA8,JCHAIN,,CSK,SRC,,CRP,,NCAM1,PPP3CB,HRAS
,,,,,RPS6KB1,,,,CAD,TLR3,ADIPOQ,TRAF6,MBL2,RAP1A,,FGF6,TNC,CXCL8,,CXADR,SYK,,MAPK14,,NCAM2,PPP3CC,IKBKB
,,,,,SHC1,,,,CAMK2B,TLR4,ABCC5,FCGR2C,MPO,RAP1B,,FGF7,ID3,IL13RA2,,DGKA,THBS1,,CSF2,,NEO1,MAPK1,CXCL8
,,,,,SOS1,,,,CAMK2D,TLR5,ABCC4,TAB1,MRC1,ROCK1,,FGF8,IFNG,ITGA6,,DGKB,TLN1,,CSF2RA,,NRCAM,MAPK3,CXCR1
,,,,,STK11,,,,CAST,TNF,CITED2,TAB2,MSR1,MAPK12,,FGF9,IGF1,IRF1,,DGKG,VCAM1,,CSF2RB,,CLDN11,MAPK8,CXCR2
,,,,,TSC1,,,,CASP1,TNS1,NEU3,IRAK4,NCF2,CXCL12,,FGF10,IGHE,IRF7,,DGKQ,VTN,,CSK,,PDCD1,MAPK11,CXCL10
,,,,,TSC2,,,,CASP4,VIM,PIM2,MARCKSL1,NCF4,SIPA1,,FGF11,IL1RN,ISG20,,CFD,VWF,,CTLA4,,PECAM1,MAPK9,ITK
,,,,,YWHAB,,,,CAV1,TNFSF10,C10orf10,NCF1,NOS1,THY1,,FGF12,IL2RB,ITGB4,,DOCK1,MADCAM1,,CXADR,,PTPRC,MAPK10,JAK2
,,,,,FGF23,,,,CBFB,RAB11B,PTP4A3,,OLR1,CLDN5,,FGF14,IL4R,LCK,,DOCK2,ITGA10,,CYLD,,PTPRF,MAPK13,JAK3
,,,,,IRS2,,,,CCNA2,UBE2L6,RHOBTB3,,PIK3C3,TXK,,FGFR3,IL6,LMNA,,DOCK3,ITGA8,,DDOST,,PTPRM,MAP2K1,KRAS
,,,,,FGF18,,,,CCNC,CHST2,SBNO2,,RAB5A,VASP,,FGR,IL10,LRP2,,EGF,BCAR1,,CFD,,PVR,MAP2K6,LYN
,,,,,FGF17,,,,CCND2,CHST10,SLC39A14,,RAB5B,VAV1,,FIGF,IL10RA,LTBP2,,EP300,RASGRP1,,DUSP3,,PVRL1,MAP2K7,CXCL9
,,,,,FGF16,,,,CCND3,LITAF,MAFF,,RAB5C,VCAM1,,FLT1,IL13,MAD2L1,,F2,RASGRP2,,DUSP4,,PVRL2,RAC1,NFKB1
,,,,,ATP6V0E1,,,,CCNE1,CLEC2B,RETN,,RAC1,VCL,,FLT3,IL13RA1,MCF2,,F2R,LAMC3,,DUSP6,,SDC1,RELA,NFKBIA
,,,,,ATP6V0D1,,,,CCNF,KLHL18,,,SFTPD,EZR,,FLT4,IL13RA2,MCM4,,F2RL2,RAPGEF3,,DUSP7,,SDC2,RELB,NFKBIB
,,,,,ATP6V1F,,,,CCNG1,ZDHHC17,,,TAP1,CXCR4,,FRK,INHBA,CD99,,F3,RAPGEF4,,EGR1,,SDC4,MAPK12,NRAS
,,,,,KL,,,,CCNH,LY96,,,TAP2,PIK3R3,,GAB1,ITGAM,MAP3K10,,F5,ITGA11,,ELK1,,SELE,SPI1,PAK1
,,,,,ATP6V1G1,,,,CD1A,IL17RA,,,TFRC,CLDN10,,GDNF,JUN,NR3C2,,F7,F11R,,EP300,,SELL,STAT1,PF4
,,,,,FGF19,,,,CD34,RASGRP3,,,THBS1,CLDN8,,GFRA1,ANOS1,MYBL2,,F8,APBB1IP,,FCGR1A,,SELP,STAT2,PF4V1
,,,,,TCIRG1,,,,CD36,KLF15,,,THBS2,CLDN6,,GHR,KCNK3,MYC,,F9,JAM2,,FCGR1B,,SELPLG,SYK,PIK3CA
,,,,,FRS2,,,,CDC6,CLDN18,,,THBS3,CLDN2,,GPC1,LIFR,MYL4,,F10,JAM3,,FCGR2B,,SIGLEC1,MAP3K7,PIK3CB
,,,,,ATP6V0A2,,,,CDC25A,DDIT4,,,THBS4,CLDN1,,GRB2,LOX,NCF4,,F11,AMICA1,,FCGR3A,,SPN,TEC,PIK3CD
,,,,,SHC2,,,,CDC25B,TRPV5,,,TLR2,CLDN9,,GRB7,MXD1,NCK1,,F12,LAMA1,,FOS,,CNTN2,TGFB1,PIK3CG
,,,,,FGF20,,,,CDC42,CYSLTR2,,,TLR4,ROCK2,,GRB10,MAD2L1,NFKBIA,,F13A1,,,MTOR,,CLDN5,TGFB2,PIK3R1
,,,,,FGF22,,,,CDH1,WIZ,,,TUBA4A,BCAR1,,GRB14,MAF,NUCB1,,F13B,,,FYB,,VCAM1,TGFBR1,PIK3R2
,,,,,EEF2K,,,,CDH2,CCDC71,,,TUBB2A,MYL9,,RAPGEF1,MAL,P2RY6,,FCER1G,,,FYN,,MADCAM1,TGFBR2,PLCB2
,,,,,PIK3R4,,,,CDH11,NDRG4,,,TUBA1A,RAPGEF3,,GSN,MAOA,PEBP1,,FGA,,,IFI6,,CNTNAP1,TNF,PLCB3
,,,,,ATP6V0A4,,,,CDH13,AMN,,,RAB7A,VAV3,,HGF,MCM2,PAFAH1B1,,FGB,,,GBP1,,ITGA8,TNFRSF1A,PLCB4
,,,,,ATP6V1D,,,,CDK2,C1orf105,,,EEA1,MYL12A,,HLA-DMA,MCM3,PCBP1,,FGG,,,GBP2,,MPZL1,TRAF2,PPBP
,,,,,PRKAG2,,,,CDK4,,,,STX7,CLDN16,,HLA-DMB,MCM4,PDGFA,,FGR,,,GBP3,,CLDN10,TRAF6,PRKACA
,,,,,ATP6V1H,,,,CDK6,,,,MARCO,RAPGEF4,,HLA-DOA,MCM5,PF4,,FIGF,,,GRB2,,CLDN8,TYK2,PRKACB
,,,,,CAB39,,,,CDKN1A,,,,ATP6V0E1,PIK3R5,,HLA-DOB,MCM6,PLCG2,,FLNA,,,RAPGEF1,,CLDN6,TYROBP,PRKACG
,,,,,SHC3,,,,CDKN1B,,,,FCGR2C,CLDN14,,HLA-DPA1,MCM7,POLH,,FN1,,,HCK,,CLDN2,FOSL1,PRKCB
,,,,,PRKAG3,,,,CDKN1C,,,,ATP6V0D1,CLDN15,,HLA-DPB1,MET,PPP1CA,,FYN,,,UBE2K,,CLDN1,PIK3R3,PRKCD
,,,,,TLR9,,,,CDSN,,,,HGS,CLDN17,,HLA-DQA1,MTHFR,PPP1R1A,,GAS6,,,HLA-A,,CLDN9,IKBKG,PRKCZ
,,,,,STRADB,,,,CEACAM5,,,,ATP6V1F,NOX1,,HLA-DRA,MYC,PPP2CA,,GATA1,,,HLA-B,,NRXN3,TNFSF11,MAPK1
,,,,,RPTOR,,,,CEBPD,,,,VAMP3,CTNNA3,,HLA-DRB1,NFIL3,PPP2R1A,,GATA2,,,HLA-C,,NRXN1,SOCS1,MAPK3
,,,,,TRIB3,,,,CFL1,,,,ATP6V1G1,MYLPF,,HLX,NFKB1,PPP2R5E,,GATA3,,,HLA-DMA,,NRXN2,TNFRSF11A,MAP2K1
,,,,,MLST8,,,,CTSC,,,,SEC22B,CLDN20,,IGHE,NKG7,PRKAR2B,,GATA4,,,HLA-DMB,,SDC3,SQSTM1,PRKX
,,,,,CAB39L,,,,CEACAM7,,,,MRC2,NOX3,,IK,NNMT,PRKCA,,GATA6,,,HLA-DOA,,CD226,MAP3K14,PTK2
,,,,,ATP6V1E2,,,,FOXN3,,,,TCIRG1,F11R,,IL2,SLC11A2,PRKCD,,GNA11,,,HLA-DOB,,CLDN16,SOCS3,PXN
,,,,,STRADA,,,,CHI3L1,,,,CLEC4M,CLDN18,,IL2RA,PAWR,PRKCI,,GNA12,,,HLA-DPA1,,NLGN1,FCGR2C,RAC1
,,,,,THEM4,,,,CHI3L2,,,,TLR6,JAM2,,IL2RB,PCDH7,EIF2AK2,,GNA15,,,HLA-DPB1,,NFASC,GAB2,RAC2
,,,,,ATP6V1G3,,,,TBCB,,,,TUBA1B,MYL7,,IL2RG,ENPP1,PSMB5,,GNAI1,,,HLA-DQA1,,ICOSLG,AKT3,RAF1
,,,,,ATP6V0E2,,,,CKS1B,,,,TUBB3,RASSF5,,IL3,PIK3CG,PSMC2,,GNAI2,,,HLA-DQB1,,CLDN14,LILRB2,RAP1A
,,,,,ATP6V0D2,,,,CLCN7,,,,TUBB4A,JAM3,,IL3RA,PMCH,PSME1,,GNAI3,,,HLA-DQB2,,CADM1,SIRPB1,RAP1B
,,,,,ATP6V1C2,,,,CNN2,,,,TUBB4B,ESAM,,IL4,UBL3,PTGER3,,GNAQ,,,HLA-DRA,,CLDN15,IRF9,RELA
,,,,,,,,,COL1A1,,,,SEC61B,MYL10,,IL4R,POU4F1,PTPN2,,GNAS,,,HLA-DRB1,,PVRL3,TAB1,GRK1
,,,,,,,,,COL4A2,,,,CORO1A,MYL12B,,IL5RA,DNAJC3,PTPRC,,GNB1,,,HLA-DRB4,,CNTNAP2,LILRB1,ROCK1
,,,,,,,,,COL17A1,,,,PLA2R1,CLDN23,,IL6,PTGER2,PTPRZ1,,GNB2,,,HLA-E,,CLDN17,LILRB5,CCL1
,,,,,,,,,COPA,,,,SEC61G,CLDN19,,IL6R,PTX3,RAC2,,GNB3,,,HLA-F,,CD274,LILRB4,CCL2
,,,,,,,,,COPB1,,,,ATP6V0A2,NCF1,,IL6ST,ABCD3,RAD23A,,GNG3,,,HLA-G,,ICOS,LILRA1,CCL4
,,,,,,,,,MAP3K8,,,,STX12,,,IL7,RASA2,RAG2,,GNG4,,,HMGB1,,CLDN20,LILRB3,CCL5
,,,,,,,,,CPD,,,,NOX1,,,CXCL8,RBMS1,DPF2,,GNG5,,,HRAS,,F11R,LILRA3,CCL7
,,,,,,,,,CLDN4,,,,SEC61A1,,,IL9,RDX,RGS7,,GNG7,,,HSPD1,,CLDN18,LILRA2,CCL8
,,,,,,,,,CREM,,,,CD209,,,IL9R,REL,RGS13,,GNG10,,,ICAM1,,NLGN3,TAB2,CCL11
,,,,,,,,,CRK,,,,NOX3,,,IL10,RELA,RIT2,,GNG11,,,ICAM2,,NLGN4X,PIK3R5,CCL13
,,,,,,,,,CRYAA,,,,ATP6V0A4,,,IL10RA,RGS2,RPS3,,GNGT1,,,ICAM3,,NLGN2,LILRA4,CCL14
,,,,,,,,,CRYAB,,,,DYNC1LI1,,,IL11,S100A9,RPS6KA1,,GNGT2,,,ICAM4,,CADM3,NOX1,CCL16
,,,,,,,,,CSF1,,,,ATP6V1D,,,IL11RA,S100P,RPS6KB1,,GP1BA,,,IRF8,,JAM2,BLNK,CCL17
,,,,,,,,,CSRP2,,,,ATP6V1H,,,IL12A,SATB1,SELE,,GP1BB,,,IFI27,,PDCD1LG2,NOX3,CCL18
,,,,,,,,,CST4,,,,TUBA8,,,IL12B,ATXN1,SELL,,GP5,,,IFI35,,CD276,TREM2,CCL19
,,,,,,,,,CTBP1,,,,STX18,,,IL12RB1,SERPINB3,SET,,GP9,,,IFIT2,,JAM3,SIRPG,CCL20
,,,,,,,,,CTF1,,,,SEC61A2,,,IL12RB2,SERPINB4,SLA,,GRB2,,,IFIT1,,ESAM,LILRA6,CCL21
,,,,,,,,,CTNNB1,,,,TUBB7P,,,IL13,CCL2,SMARCC1,,GRB7,,,IFIT3,,CLDN23,OSCAR,CCL22
