"","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","C_C05.CEL","C_C08.CEL","C_C10.CEL"
"Phototransduction (KEGG)",0,1,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"Collecting duct acid secretion (KEGG)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fat digestion and absorption (KEGG)",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,-1,0,0,1,1,1
"Alzheimer's disease (KEGG)",1,1,1,1,1,1,1,1,0,1,0,0,-1,-1,0,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,0,-1
"Influenza A (KEGG)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1
"Endometrial cancer (KEGG)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,-1
"Vitamin D synthesis (Wikipathways)",0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
"Vitamin B12 Metabolism (Wikipathways)",0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,0
"Codeine and morphine metabolism (Wikipathways)",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,-1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,0,1,-1,0,0,1,-1,1,1,1
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",1,1,0,1,0,1,-1,-1,1,1,0,0,0,0,-1,-1,0,-1,-1,0,1,0,-1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,-1,1,1,1
"Blood Clotting Cascade (Wikipathways)",1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,-1,1,1,1
"Fatty Acid Biosynthesis (Wikipathways)",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,-1,1,1,-1,-1,-1
"Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1
"Striated Muscle Contraction (Wikipathways)",0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,-1,1,1,1,0,0,-1,0,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1
"Statin Pathway (Wikipathways)",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
"Urea cycle and metabolism of amino groups (Wikipathways)",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0
"Id Signaling Pathway (Wikipathways)",-1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
"Aflatoxin B1 metabolism (Wikipathways)",-1,-1,0,-1,-1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,-1,1,0,0,1,1
"Estrogen signaling pathway (Wikipathways)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1
"Serotonin Receptor 4/6/7 and NR3C Signaling (Wikipathways)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,1,0,0,1,-1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1
"Signaling by Insulin receptor (Reactome)",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1
"Muscle contraction (Reactome)",0,0,0,0,-1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,-1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,0,1,0,1,0,0,0,0,0,1
"Signaling by GPCR (Reactome)",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"Diabetes pathways (Reactome)",-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,-1,-1
"IL-2 down reg. targets (Netpath)",-1,-1,-1,-1,-1,-1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,-1
"{ABL1,15} (Static Module)",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0
"{ACY1,11} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
"{ARRB2,743} (Static Module)",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"{BRCA1,28} (Static Module)",0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,-1
"{CHRNA1,13} (Static Module)",1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"{DVL1L1,17} (Static Module)",0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0
"{F2,46} (Static Module)",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,-1,1,1,1
"{FCGR2B,50} (Static Module)",-1,-1,-1,0,-1,-1,0,0,-1,-1,1,1,0,1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0
"{HRAS,27} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,1,-1,-1,-1
"{RB1,11} (Static Module)",0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,0,1
"{TCF3,20} (Static Module)",-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1
"{VCP,17} (Static Module)",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,0,1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,-1
