UGT2B15,KHK,EHHADH,GUSB,PANK1,CA8,ABCC2,C1R,CNTF,GNGT1,C8G,,ST6GALNAC6,GATM,C6,HDC,C2,UGT2A1,CHRNA4,ATP6V0A1,CALM1,THRA,F5,HSPA6,,CYP3A4,IPO7,SPTBN4,MARCKSL1
UGT2B17,MPI,GCDH,GYS1,PANK4,CA9,ABCC1,C1S,CNTFR,GUCA1A,C9,,,GLUD1,C7,MAOA,C3,UGT2B28,CHRNB2,CDK1,CAMK4,TIMP4,F7,HSPA8,,CYP51A1,XPOT,,TWIST2
KL,PFKFB1,HADHA,GYS2,PPCDC,CA12,ABCB1,C2,CREBBP,GUCA1B,EGR1,,,OAT,C8A,PAH,C3AR1,UGT1A10,CHRNB4,CRK,CDK5,XBP1,F8,HSPA9,,DHODH,XPO6,,
XYLB,PFKFB2,HADH,HK1,AASDHPPT,CPS1,ABCB4,C3,CSF2,GUCY2F,ELK1,,,ODC1,C8B,PNMT,C5AR1,UGT1A8,CREB1,DOK1,CREB1,PRDM2,F9,DNAJB1,,POR,KPNA6,,
UGT2A1,PFKFB3,KMT2A,HK2,PANK3,CTH,ABCD3,C3AR1,CSF2RA,GUCY2D,FYN,,,OTC,C9,TH,C6,UGT1A6,DDC,EIF4B,GNAI1,PRRC2A,F10,PARK2,,CYP7B1,IPO11,,
DHDH,PFKFB4,OGDH,HK3,PPCS,GLS,ABCD4,C4A,CSF2RB,PDE6A,HSPA1A,,,PYCR1,CD55,TPH1,C7,UGT1A1,ECE1,EIF4E,GNAI2,WISP2,F11,SNCB,,ALKBH3,VAC14,,
CRYL1,PFKL,PLOD1,ENPP1,PANK2,GLUD1,ABCC8,C4BPA,CSF3,PDE6G,HSPA5,,,ALDH18A1,MASP1,,C8G,PGM2,EN1,EIF4EBP1,GNAI3,TRIP11,F12,TTC1,,,XPO5,,
DCXR,PFKM,PLOD2,ENPP3,COASY,GLUD2,TAP1,C4BPB,CSF3R,PDE6B,IL1A,,,SMS,,,C9,UGT2A3,EP300,EIF4G1,GNAL,SAFB2,F13A1,PNMA1,,,,,
UGT2B28,PFKP,SETMAR,PGM1,,GLUL,TAP2,C5,CSH1,RCVRN,IL1B,,,SRM,,,CPB2,,ESR2,FGF1,GNAO1,PHB2,F13B,GPR37L1,,,,,
UGT1A10,PMM1,SUV39H1,PYGB,,HAL,ABCB11,C5AR1,CTF1,RHO,IL6,,,ABHD14A,,,CR1,,FOXM1,FGF2,GNAT1,ATF6,FGA,DNAJA2,,,,,
UGT1A8,PMM2,WHSC1,PYGL,,CA5B,ABCC3,C6,EP300,GRK1,LAMC1,,,PYCRL,,,CR2,,GATA2,FGF3,GNAT2,REXO4,FGB,HSPH1,,,,,
UGT1A6,SORD,KMT2D,PYGM,,CA14,ABCG2,C7,EPO,RGS9,NCAM1,,,NAGS,,,F2,,GATA3,FGF4,GNAZ,ZNF398,FGG,ERP29,,,,,
UGT1A1,TPI1,BBOX1,SI,,GLS2,ABCG1,C8A,EPOR,SLC24A1,NCAM2,,,,,,F2R,,GNB3,FGF5,GNB1,DDX54,FGL1,DNAJB4,,,,,
UGT2A3,TSTA3,PLOD3,UGDH,,CA13,ABCC5,C8B,GH2,GUCA1C,NOTCH1,,,,,,F3,,NR3C1,FGF6,GNB2,PPARGC1B,GAS6,HSPA4L,,,,,
,MTMR1,SETD1A,UGP2,,,ABCB6,C8G,GHR,CALML5,PRKACA,,,,,,F5,,HADHA,FGF7,GNB3,NCOA7,GGCX,HSPBP1,,,,,
,FBP2,KMT2B,UGT2B4,,,ABCC9,C9,GRB2,GRK7,PRKACB,,,,,,F7,,HES1,FGF8,GNG3,,GP1BA,DNAJB5,,,,,
,FPGT,SETDB1,UGT2B15,,,ABCC4,CD59,IFNA1,CALML6,PRKACG,,,,,,F8,,HSPD1,FGF9,GNG4,,GP1BB,TOR1B,,,,,
,MTMR2,AASS,UGT2B17,,,ABCA7,CPB2,IFNA2,GNAT3,MAPK1,,,,,,F9,,HTR1A,FGF10,GNG5,,GP5,TOR2A,,,,,
,MTMR6,EHMT2,MGAM,,,ABCA9,CR1,IFNA4,,MAPK3,,,,,,F10,,HTR2A,FGFR1,GNG7,,GP9,HSPA14,,,,,
,MTMR7,SETD1B,KL,,,ABCA8,CR2,IFNA5,,MAP2K1,,,,,,F12,,IL6,FGFR3,GNG10,,GZMM,DNAJA4,,,,,
,PHPT1,COLGALT2,UGT2A1,,,ABCB8,CD55,IFNA6,,MAP2K2,,,,,,F13B,,IL6R,FGFR2,GNG11,,KLKB1,CALR3,,,,,
,GMPPB,SETD2,TREH,,,ABCB10,CFD,IFNA7,,PRKX,,,,,,FGB,,CXCL8,FGFR4,GNGT1,,SERPINA5,,,,,,
,GMPPA,SUV420H1,UGT2B28,,,ABCB9,F2,IFNA8,,PRNP,,,,,,SERPIND1,,IL10,MTOR,GNGT2,,PF4V1,,,,,,
,AKR1B10,AADAT,UGT1A10,,,ABCA6,F2R,IFNA10,,CCL5,,,,,,KLKB1,,KCNH2,GAB1,ITPR1,,SERPINB6,,,,,,
,TIGAR,PIPOX,UGT1A8,,,ABCA5,F3,IFNA14,,SOD1,,,,,,KNG1,,KCNQ1,GRB2,ITPR2,,SERPINB8,,,,,,
,HKDC1,WHSC1L1,UGT1A6,,,ABCA12,F5,IFNA16,,STIP1,,,,,,CD46,,LMX1B,GRB10,ITPR3,,PRCP,,,,,,
,FUK,TMLHE,UGT1A1,,,ABCG4,F7,IFNA17,,,,,,,,SERPINE1,,MAOA,HRAS,OPRM1,,PROC,,,,,,
,,OGDHL,PGM2,,,ABCG5,F8,IFNA21,,,,,,,,SERPINA5,,NFKB1,INS,PDE1A,,PROS1,,,,,,
,,ASH1L,GBA3,,,ABCG8,F9,IFNAR1,,,,,,,,SERPINA1,,NFYA,INSR,PDE1C,,PRSS1,,,,,,
,,KMT2E,G6PC2,,,ABCC11,F10,IFNAR2,,,,,,,,PLAT,,NKX2-2,IRS1,PDE4A,,TFPI,,,,,,
,,KMT2C,UGT2A3,,,ABCC10,F11,IFNB1,,,,,,,,PLAU,,NKX3-1,KRAS,PDE4B,,THBD,,,,,,
,,NSD1,UXS1,,,ABCC12,F12,IFNG,,,,,,,,PLAUR,,YBX1,NRAS,PDE4C,,VWF,,,,,,
,,COLGALT1,HKDC1,,,ABCA13,F13A1,IFNGR1,,,,,,,,PLG,,POU3F2,PDE3B,PDE4D,,TFPI2,,,,,,
,,SUV39H2,PGM2L1,,,ABCB5,F13B,IFNGR2,,,,,,,,SERPINF2,,REST,PDPK1,PDE1B,,PROZ,,,,,,
,,EHMT1,,,,,FGA,IFNW1,,,,,,,,PROC,,RET,PIK3C3,PDYN,,ADAMTS13,,,,,,
,,SETD7,,,,,FGB,IL2,,,,,,,,PROS1,,RORA,PIK3CA,PLA2G4A,,MMRN1,,,,,,
,,SETDB2,,,,,FGG,IL2RA,,,,,,,,MASP1,,RYR2,PIK3CB,PLCB2,,SERPINA10,,,,,,
,,DOT1L,,,,,SERPIND1,IL2RB,,,,,,,,TFPI,,SCN5A,PIK3R1,PLCB3,,,,,,,,
,,SUV420H2,,,,,CFH,IL2RG,,,,,,,,THBD,,SLC6A4,PIK3R2,PLCB4,,,,,,,,
,,SETD8,,,,,CFI,IL3,,,,,,,,VWF,,SLC9A3,PPM1A,POMC,,,,,,,,
,,,,,,,KLKB1,IL3RA,,,,,,,,MASP2,,SP1,PRKAA1,PPP1CA,,,,,,,,
,,,,,,,KNG1,IL4,,,,,,,,,,TNF,PRKAA2,PPP2CA,,,,,,,,
,,,,,,,MBL2,IL4R,,,,,,,,,,TPH1,PRKAB1,PPP2CB,,,,,,,,
,,,,,,,CD46,IL5,,,,,,,,,,VIPR1,PRKAB2,PPP2R1A,,,,,,,,
,,,,,,,SERPINE1,IL5RA,,,,,,,,,,VIPR2,PRKAG1,PPP2R1B,,,,,,,,
,,,,,,,SERPINA5,IL6,,,,,,,,,,PHOX2B,MAPK1,PPP2R5D,,,,,,,,
,,,,,,,SERPINA1,IL6R,,,,,,,,,,DEAF1,MAPK3,PPP3CA,,,,,,,,
,,,,,,,PLAT,IL6ST,,,,,,,,,,CTCF,MAP2K1,PPP3CB,,,,,,,,
,,,,,,,PLAU,IL7,,,,,,,,,,PPARGC1A,MAP2K2,PPP3CC,,,,,,,,
,,,,,,,PLAUR,IL7R,,,,,,,,,,TLX3,PTPN11,PRKACA,,,,,,,,
,,,,,,,PLG,IL9,,,,,,,,,,FEV,RAF1,PRKACB,,,,,,,,
,,,,,,,SERPINF2,IL9R,,,,,,,,,,CC2D1A,RHEB,PRKACG,,,,,,,,
,,,,,,,PROC,IL10,,,,,,,,,,CDCA7L,RPS6,PRKAR1A,,,,,,,,
,,,,,,,PROS1,IL10RA,,,,,,,,,,TPH2,RPS6KB1,PRKAR1B,,,,,,,,
,,,,,,,MASP1,IL10RB,,,,,,,,,,PPARGC1B,SHC1,PRKAR2A,,,,,,,,
,,,,,,,TFPI,IL11,,,,,,,,,,HES5,SOS1,PRKAR2B,,,,,,,,
,,,,,,,THBD,IL11RA,,,,,,,,,,,STK11,PRKCA,,,,,,,,
,,,,,,,VWF,IL12A,,,,,,,,,,,TSC1,PRKCD,,,,,,,,
,,,,,,,MASP2,IL12B,,,,,,,,,,,TSC2,PRKCG,,,,,,,,
,,,,,,,,IL12RB1,,,,,,,,,,,YWHAB,MAPK1,,,,,,,,
,,,,,,,,IL12RB2,,,,,,,,,,,FGF23,GNB5,,,,,,,,
,,,,,,,,IL13,,,,,,,,,,,IRS2,PLCB1,,,,,,,,
,,,,,,,,IL13RA1,,,,,,,,,,,FGF18,GNG13,,,,,,,,
,,,,,,,,IL13RA2,,,,,,,,,,,FGF17,GNG2,,,,,,,,
,,,,,,,,IL15,,,,,,,,,,,FGF16,GNG12,,,,,,,,
,,,,,,,,IL15RA,,,,,,,,,,,ATP6V0E1,GNB4,,,,,,,,
,,,,,,,,JAK1,,,,,,,,,,,ATP6V0D1,PPP1R1B,,,,,,,,
,,,,,,,,JAK2,,,,,,,,,,,ATP6V1F,GNG8,,,,,,,,
,,,,,,,,JAK3,,,,,,,,,,,KL,ADCY4,,,,,,,,
,,,,,,,,LEP,,,,,,,,,,,ATP6V1G1,GNAT3,,,,,,,,
,,,,,,,,LEPR,,,,,,,,,,,FGF19,,,,,,,,,
,,,,,,,,LIF,,,,,,,,,,,TCIRG1,,,,,,,,,
,,,,,,,,LIFR,,,,,,,,,,,FRS2,,,,,,,,,
,,,,,,,,MPL,,,,,,,,,,,ATP6V0A2,,,,,,,,,
,,,,,,,,MYC,,,,,,,,,,,SHC2,,,,,,,,,
,,,,,,,,OSM,,,,,,,,,,,FGF20,,,,,,,,,
,,,,,,,,PIK3CA,,,,,,,,,,,FGF22,,,,,,,,,
,,,,,,,,PIK3CB,,,,,,,,,,,EEF2K,,,,,,,,,
,,,,,,,,PIM1,,,,,,,,,,,PIK3R4,,,,,,,,,
,,,,,,,,PIK3CD,,,,,,,,,,,ATP6V0A4,,,,,,,,,
,,,,,,,,PIK3CG,,,,,,,,,,,ATP6V1D,,,,,,,,,
,,,,,,,,PIK3R1,,,,,,,,,,,PRKAG2,,,,,,,,,
,,,,,,,,PIK3R2,,,,,,,,,,,ATP6V1H,,,,,,,,,
,,,,,,,,PRL,,,,,,,,,,,CAB39,,,,,,,,,
,,,,,,,,PRLR,,,,,,,,,,,SHC3,,,,,,,,,
,,,,,,,,PTPN6,,,,,,,,,,,PRKAG3,,,,,,,,,
,,,,,,,,PTPN11,,,,,,,,,,,TLR9,,,,,,,,,
,,,,,,,,SOS1,,,,,,,,,,,STRADB,,,,,,,,,
,,,,,,,,SOS2,,,,,,,,,,,RPTOR,,,,,,,,,
,,,,,,,,STAT1,,,,,,,,,,,TRIB3,,,,,,,,,
,,,,,,,,STAT2,,,,,,,,,,,MLST8,,,,,,,,,
,,,,,,,,STAT3,,,,,,,,,,,CAB39L,,,,,,,,,
,,,,,,,,STAT4,,,,,,,,,,,ATP6V1E2,,,,,,,,,
,,,,,,,,STAT5A,,,,,,,,,,,STRADA,,,,,,,,,
,,,,,,,,STAT5B,,,,,,,,,,,THEM4,,,,,,,,,
,,,,,,,,STAT6,,,,,,,,,,,ATP6V1G3,,,,,,,,,
,,,,,,,,TPO,,,,,,,,,,,ATP6V0E2,,,,,,,,,
,,,,,,,,TYK2,,,,,,,,,,,ATP6V0D2,,,,,,,,,
,,,,,,,,STAM,,,,,,,,,,,ATP6V1C2,,,,,,,,,
,,,,,,,,PIK3R3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIAS1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIAS2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OSMR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AKT3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRY3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRY1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRY2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,STAM2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRF9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIAS3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CLCF1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIK3R5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CBLC,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL21R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL23A,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIAS4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL20RA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL20RB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL26,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IFNK,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL22RA1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL21,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CRLF2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRY4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TSLP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL22RA2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOCS4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IL23R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRED1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IFNLR1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPRED2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IFNL2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IFNL1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IFNE,,,,,,,,,,,,,,,,,,,,
