"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000118702",9,1,3,14,2,3,1,6,0,4,0,1,1,2
"ENSG00000118705",1659,1453,1728,2067,1611,1502,2886,2122,2038,1851,1657,1552,1471,1660
"ENSG00000118707",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118729",16,11,13,36,34,56,15,13,35,36,14,19,107,54
"ENSG00000118733",38930,40519,41447,43079,30415,35933,26763,29673,47017,44677,43749,42416,32605,44541
"ENSG00000118762",5145,5331,8475,10949,6510,8071,9185,11207,8478,7999,9446,8906,6816,7121
"ENSG00000118777",32,66,56,79,52,49,34,83,41,58,109,96,27,16
"ENSG00000118785",94,160,59,124,25,25,624,432,240,222,46,42,49,41
"ENSG00000118816",4794,5508,4691,8362,4394,6946,8152,13608,4835,4964,5160,5895,3086,3696
"ENSG00000118849",2967,3141,3223,3080,3348,2694,2820,3407,3823,3524,2416,2181,2380,2384
"ENSG00000118855",1108,1195,1651,2001,1364,1415,1210,2250,1668,1903,1751,1707,993,1693
"ENSG00000118873",4619,5039,6952,8047,5678,5694,5470,7873,6363,5679,7305,6402,3805,4320
"ENSG00000118894",91,81,51,57,42,55,38,43,126,98,43,47,215,51
"ENSG00000118898",1245,794,1008,696,1139,894,1221,1073,1242,925,945,699,962,826
"ENSG00000118900",984,731,1320,1196,1287,961,1260,1647,1332,935,1290,1054,1264,783
"ENSG00000118903",0,0,0,1,0,0,0,3,1,0,0,1,0,0
"ENSG00000118922",19749,19298,14110,28083,12111,24319,8711,21171,15375,17996,11290,22588,10313,20645
"ENSG00000118939",0,0,2,0,0,1,0,0,1,1,0,0,0,0
"ENSG00000118946",2432,3084,2513,4384,1692,2341,7953,8484,3791,4356,3147,3090,3193,2511
"ENSG00000118960",1960,1506,2981,4061,3097,3113,4009,3602,2090,1733,2428,2318,2746,2367
"ENSG00000118961",2743,2801,3911,6069,4126,5194,4778,6322,3991,4043,4085,5089,4946,5464
"ENSG00000118965",1429,1290,2275,2271,1461,1730,1670,1852,2340,2432,1399,1418,1197,912
"ENSG00000118971",3477,3617,4354,6875,4410,5325,6503,9045,4126,4139,3774,4499,5411,5006
"ENSG00000118972",338,316,194,250,240,223,125,93,514,470,55,94,250,463
"ENSG00000118976",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118985",11386,8834,13950,12874,12241,9087,13169,13532,12649,10779,23968,14872,12900,10128
"ENSG00000118990",1,0,0,1,1,0,1,0,3,1,0,2,0,0
"ENSG00000118997",4246,4212,12986,8926,8756,7248,8311,8467,8097,6922,12792,11011,5810,5664
"ENSG00000119004",404,282,405,907,738,1065,1088,1219,529,466,490,647,735,636
"ENSG00000119013",60,69,131,157,104,93,87,338,82,75,80,88,33,114
"ENSG00000119041",1246,1224,1511,2047,1130,1175,1432,1553,1930,1713,1432,1580,540,894
"ENSG00000119042",32661,26192,35259,27182,26677,18228,29671,24647,36137,28651,37427,25454,19103,17121
"ENSG00000119048",2034,2091,2805,3681,2862,2656,3313,2676,2984,2569,2874,2518,2071,2767
"ENSG00000119121",127,147,178,302,94,179,102,43,203,250,158,207,144,253
"ENSG00000119125",3506,4966,9742,9564,7712,6355,12366,12686,6264,5409,12151,7839,6117,4569
"ENSG00000119138",1908,2003,2037,3270,1892,1792,1933,1855,1573,1661,1993,1622,2117,1937
"ENSG00000119139",818,858,641,830,722,849,1038,773,1058,976,672,668,626,743
"ENSG00000119147",62,56,131,202,116,90,196,133,125,92,186,140,135,114
"ENSG00000119185",1554,1763,1876,2147,2496,2384,3307,2307,1913,1857,2113,1972,1763,2830
"ENSG00000119203",522,439,758,1023,928,1112,1099,1389,854,764,841,893,856,792
"ENSG00000119227",1289,1363,1775,2568,2506,2732,3176,2762,1700,1646,1810,1730,2475,2183
"ENSG00000119231",3241,3337,5140,5957,6721,6868,6086,6839,4843,4542,6864,6033,4858,5478
"ENSG00000119242",7224,7491,8379,9558,8509,9161,10435,11517,10365,9767,10053,9228,9437,11098
"ENSG00000119280",686,539,462,884,381,584,1171,786,648,573,453,662,682,767
"ENSG00000119283",201,232,117,1089,120,793,482,1096,377,382,45,410,235,271
"ENSG00000119285",1138,911,1786,1730,1350,1061,1499,1766,1965,1705,1851,1742,584,587
"ENSG00000119314",2232,2327,5161,6031,4167,4160,4779,4923,3533,3266,4776,4292,2075,2639
"ENSG00000119318",2387,2430,3327,4215,2678,2877,2491,3353,2935,2617,3310,3079,1614,1747
"ENSG00000119321",1566,1639,2391,3301,2001,2395,2619,2331,2335,2277,2428,2523,1318,1351
"ENSG00000119326",3612,2871,4997,4379,3418,3042,4306,3322,4712,4073,5235,4336,2465,2431
"ENSG00000119328",568,480,837,841,784,674,818,769,829,744,1142,774,862,750
"ENSG00000119333",96,57,121,162,180,127,120,211,114,103,64,64,70,74
"ENSG00000119335",378,261,376,591,469,535,656,865,377,331,419,360,874,1099
"ENSG00000119383",623,586,426,752,658,720,636,967,567,483,604,635,236,285
"ENSG00000119392",367,311,387,540,575,579,888,1119,445,479,724,534,658,355
"ENSG00000119396",1495,1528,1817,2184,1063,1050,1544,1679,1868,1577,1717,1724,621,1139
"ENSG00000119397",3879,3055,3679,5238,3650,4796,3947,3208,5536,6072,3435,4665,3356,3700
"ENSG00000119401",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119402",2116,2114,4487,5229,3243,3252,5061,5306,3001,2676,4211,3664,1719,2098
"ENSG00000119403",237,243,196,303,313,295,495,583,372,374,224,224,281,240
"ENSG00000119408",938,971,923,1740,752,1222,772,1562,1083,1387,791,1019,630,965
"ENSG00000119411",145,127,72,190,109,204,124,164,121,101,31,73,142,205
"ENSG00000119414",1583,1513,2283,2455,2573,2225,2702,3354,2119,1732,2420,1752,1710,1326
"ENSG00000119421",351,340,434,694,319,348,589,651,386,371,434,369,324,286
"ENSG00000119431",94,62,107,162,116,91,200,104,85,83,52,69,47,23
"ENSG00000119440",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119446",578,674,1010,1378,578,861,1485,1904,818,835,886,837,425,348
"ENSG00000119457",76,60,175,174,208,146,236,143,236,139,295,146,244,100
"ENSG00000119471",508,767,415,917,512,789,719,750,790,922,342,496,301,1264
"ENSG00000119487",7399,7254,9190,10551,8714,8260,11125,10634,8953,8239,10192,9117,6820,7843
"ENSG00000119508",886,1172,1271,1368,933,860,1389,2667,1410,1459,939,981,1003,813
"ENSG00000119509",8834,9264,11004,14819,9784,12163,13580,13794,12187,12412,12191,14550,8614,9711
"ENSG00000119514",93,142,125,250,120,296,28,432,106,142,92,259,36,355
"ENSG00000119522",25972,24019,28461,29613,23724,20562,31774,29360,30709,29058,31137,29336,22715,24333
"ENSG00000119523",447,357,462,681,344,346,476,759,622,590,417,467,364,348
"ENSG00000119535",2,11,1,19,2,1,45,1,5,3,0,10,9,0
"ENSG00000119537",950,644,1186,1558,1016,1242,2540,1938,1220,1124,1061,1059,683,611
"ENSG00000119541",1101,968,1907,2226,1636,1549,1681,2001,1670,1632,1963,1710,992,890
"ENSG00000119547",1941,662,2398,1200,2294,1571,345,70,3232,1336,2782,1024,2120,1341
"ENSG00000119559",47,61,59,58,116,121,107,137,47,65,48,37,54,69
"ENSG00000119574",107,100,109,109,154,185,361,438,115,118,130,69,74,115
"ENSG00000119596",12999,12961,14645,16110,16662,16358,14994,17780,17503,17384,14649,14058,19024,17377
"ENSG00000119599",165,178,258,351,255,339,160,506,190,211,210,244,275,501
"ENSG00000119608",68,74,58,36,56,42,24,25,84,58,43,61,67,52
"ENSG00000119614",1,0,2,3,0,7,0,5,0,1,2,6,0,2
"ENSG00000119616",155,139,310,334,285,292,341,354,274,238,232,243,116,137
"ENSG00000119630",3,2,0,0,9,3,1,1,0,3,0,1,1,0
"ENSG00000119632",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119636",243,229,363,421,737,991,691,1044,414,369,308,395,696,607
"ENSG00000119638",1766,1625,3097,3332,2747,2854,3853,4147,3086,2794,3413,2966,2047,2079
"ENSG00000119640",647,665,817,1342,679,858,2020,1891,908,925,578,716,391,488
"ENSG00000119650",4321,3962,6584,7022,6205,5690,5470,6038,6218,5422,6701,6256,5397,4341
"ENSG00000119655",94,132,109,184,61,127,95,141,147,257,116,120,103,98
"ENSG00000119660",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119661",1285,1143,2035,2054,2182,2239,3099,2530,1596,1545,1816,1387,1540,1561
"ENSG00000119669",107,67,75,150,193,222,248,434,90,55,69,95,58,191
"ENSG00000119673",251,325,194,242,316,408,322,606,338,398,216,276,362,312
"ENSG00000119681",172,221,119,224,100,146,53,199,188,253,127,175,102,157
"ENSG00000119682",1199,1286,1987,2607,1921,2160,2792,2395,1465,1465,1504,1611,1098,1101
"ENSG00000119684",1887,2050,3010,3790,3205,3699,4048,4366,3685,3823,3617,3600,1963,2277
"ENSG00000119685",6770,6830,8212,8497,7543,8226,8349,8699,9165,8318,8745,8495,7284,6864
"ENSG00000119686",25,23,19,10,4,3,14,2,25,18,16,11,28,6
"ENSG00000119688",879,970,490,958,661,697,436,861,914,1114,522,679,648,553
"ENSG00000119689",1259,1255,1131,1561,1039,1076,1602,1470,1392,1237,1287,1228,947,877
"ENSG00000119698",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119699",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119703",203,211,227,283,195,216,261,269,286,262,214,225,87,148
"ENSG00000119705",223,193,270,331,263,351,335,415,312,345,384,241,354,274
"ENSG00000119707",12977,13879,17650,19350,29431,28258,16186,17193,17082,20513,24004,22277,45112,40460
"ENSG00000119711",20,14,20,42,25,15,8,51,50,38,25,31,86,9
"ENSG00000119714",611,627,765,761,611,516,407,721,1142,1059,671,431,752,695
"ENSG00000119715",278,298,186,335,205,299,712,1185,155,218,210,325,282,499
"ENSG00000119718",484,530,561,753,497,509,346,697,654,793,651,566,601,594
"ENSG00000119720",773,759,1057,1422,1157,1148,1458,1651,1152,1290,1319,1302,392,329
"ENSG00000119723",120,181,204,291,278,287,216,508,217,171,277,280,170,141
"ENSG00000119725",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119729",811,585,818,855,930,618,914,652,1288,684,1061,872,894,915
"ENSG00000119737",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119760",1168,1273,1777,2449,1377,2005,2086,3401,1720,2084,1666,1847,1210,1594
"ENSG00000119771",26976,25060,18455,30803,22382,23346,28609,35872,24421,26945,13726,16794,32790,30554
"ENSG00000119772",8296,6178,7605,6440,8719,5507,7903,6724,8531,7078,5992,4628,7995,6340
"ENSG00000119777",326,329,465,405,580,375,398,742,418,411,368,367,362,276
"ENSG00000119778",2655,2189,3660,5217,3391,3911,3569,4294,4000,3277,3266,3661,2061,2179
"ENSG00000119782",73,94,80,92,157,137,185,74,85,76,58,78,182,185
"ENSG00000119787",4789,3751,6958,6926,5616,4945,6397,6450,6023,4464,6273,5199,3216,3405
"ENSG00000119801",1070,1356,1232,1910,673,860,796,1264,1469,1660,1305,1406,698,812
"ENSG00000119812",508,639,881,1272,589,659,745,1257,895,918,814,936,211,534
"ENSG00000119820",1228,1152,1374,1935,1727,2063,2493,2586,1393,1341,1482,1397,959,1061
"ENSG00000119844",900,1005,1355,1484,1014,926,1607,1264,1079,1070,895,832,638,610
"ENSG00000119862",160,176,173,316,112,180,196,421,155,176,211,284,116,164
"ENSG00000119865",3594,2922,3876,4626,4171,3497,6324,5014,4680,3874,4258,3680,3832,3293
"ENSG00000119866",12706,12681,10971,14016,8227,8660,9741,13571,9853,11645,7855,7996,5386,8137
"ENSG00000119878",328,445,419,676,333,376,285,555,427,437,405,438,297,340
"ENSG00000119888",39,14,170,68,103,48,166,146,80,32,129,95,95,73
"ENSG00000119899",1743,1891,2033,2528,3123,3371,3019,3476,2346,1918,2714,2265,2735,2791
"ENSG00000119900",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119906",2663,2120,4607,4514,3927,3335,6803,4363,4972,3698,4368,3310,2835,2210
"ENSG00000119912",3854,4161,4209,5468,3946,4307,4082,4604,5149,4321,4558,4551,2972,3762
"ENSG00000119913",0,0,1,0,3,0,0,0,1,0,1,0,1,0
"ENSG00000119915",12,9,17,8,23,1,51,11,8,15,23,8,48,73
"ENSG00000119917",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119919",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119922",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119927",453,420,600,598,440,347,572,495,482,481,375,397,345,473
"ENSG00000119929",573,581,879,1175,626,676,1221,1248,915,812,1061,998,817,760
"ENSG00000119938",18,52,45,83,53,57,53,73,73,48,88,67,186,144
"ENSG00000119943",515,400,314,343,387,202,275,340,535,429,193,232,474,464
"ENSG00000119946",7896,9086,8274,11360,8408,9289,11526,14724,9812,10728,6914,7118,6857,9100
"ENSG00000119950",3054,3411,2952,4960,2113,4133,3013,4770,3232,4003,2361,3160,1949,3197
"ENSG00000119953",495,464,641,744,377,452,362,609,686,671,560,538,555,225
"ENSG00000119965",547,520,774,897,502,506,828,599,852,766,642,670,524,528
"ENSG00000119969",499,442,328,665,396,712,552,488,553,597,312,479,378,388
"ENSG00000119973",53,34,4,130,4,106,156,125,85,70,7,121,26,44
"ENSG00000119977",649,567,926,1173,891,947,1139,1342,839,695,776,683,986,835
"ENSG00000119979",665,643,756,997,1031,983,904,1037,911,874,726,701,1088,898
"ENSG00000119986",192,233,193,310,220,219,391,275,227,194,191,193,344,110
"ENSG00000120008",1877,1874,3173,3808,2649,2529,3292,3454,2617,2582,3054,2963,985,1448
"ENSG00000120029",6723,6067,8193,9038,8487,7627,9835,9519,8296,6765,9216,8106,6343,6824
"ENSG00000120049",1275,1860,898,927,1116,1108,952,1632,1263,2220,684,676,1284,1267
"ENSG00000120051",85,88,298,408,354,264,441,611,151,260,487,372,239,307
"ENSG00000120053",1121,1303,1936,2686,1694,2233,2183,3515,1496,1384,1681,1782,1330,1321
"ENSG00000120054",1,1,0,0,3,7,5,3,2,3,0,1,2,7
"ENSG00000120055",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120057",37,28,24,37,51,15,15,5,25,33,13,9,6,16
"ENSG00000120063",1451,1456,1525,2183,1446,1440,2025,1749,2041,2064,1453,1598,1107,1147
"ENSG00000120068",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120071",122,90,127,98,119,89,186,170,73,53,98,82,125,139
"ENSG00000120075",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120088",3,1,2,2,2,1,4,0,3,1,63,41,57,32
"ENSG00000120093",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120094",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120129",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120137",2725,2347,4373,4653,2672,2642,5020,4363,4466,3196,3636,3104,1756,1973
"ENSG00000120149",0,1,3,0,4,1,7,0,7,3,6,3,1,116
"ENSG00000120156",1418,707,2631,1468,2206,1297,1373,1314,2213,1536,4820,2351,1993,1144
