GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
NOTCH4,EIF4A1P,,,SRPX,ACACA,,APBA1,CNTFR,PABPC1,STK38,SYT9,HTR1A
C6orf10,ACADS,,,SSH2,BTAF1,,VLDLR,DUSP11,PABPC4,HSPD1,CRIM1,CNR1
HLA-DRA,FGF23,,,THBD,ANKHD1-EIF4EBP3,,VSNL1,NOS1,PABPN1,MATR3,SCN7A,CALB1
C6orf132,BTNL2,,,TLR2,ANKHD1,,IAPP,HTT,PCBP2,YTHDC2,EFEMP1,APP
MRPS18A,CDT1,,,TMEM221,EIF4G1,,DYRK1A,PGA5,PCBP3,NONO,KDR,HTR2A
TBX18,SFTPC,,,TMX1,MYH9,,RCAN1,MT3,POLDIP3,ELAVL1,CDH13,SLC6A4
IL20RA,CARD9,,,TREM2,SUPT6H,,IL1A,PGA4,PRPF19,KHSRP,PON1,STH
RGS17,LDB3,,,TRPV4,COL5A2,,TFCP2,UBQLN3,PRPF8,TUBA1B,CNTN4,HCRT
C6orf70,BBS1,,,TYROBP,EP400,,GAPDH,PGA3,PTBP1,MAP1B,SELL,IREB2
C6orf208,MMAB,,,VSIG4,AHCTF1,,TM2D1,NAIP,PURA,DCD,EWSR1,HSPA9
RAMP3,COL6A3,,,YWHAZ,RICTOR,,DNM1L,FGGY,RALY,HNRNPAB,PARK7,CHM
PKD1L1,AP4M1,,,ZNF333,ZFHX3,,PICALM,CST3,RBM14,IGF2BP2,HNRNPA2B1,SOD2
SUN3,CTNNA3,,,ZNF395,DSCAM,,KCNIP3,TRPM7,RBM8A,FAM120A,NIPA1,CASP9
C7orf57,CD40,,,,INO80,,KLK6,SSR1,RBMXL1,G3BP1,SEMA6A,GSTO1
CDK14,WFS1,,,,DMD,,CDK5,CYFIP2,SRRT,CAPRIN1,ZNF512B,SPR
MDFIC,TPMT,,,,CACNA1A,,SLC6A4,PLEKHB1,SSB,ILF2,RNASE2,GSTO2
PODXL,TMEM82,,,,DNAJC13,,CRH,SPG11,STRAP,HSPH1,PLEKHG5,GAD1
LOC730441,ZFP57,,,,ANKRD17,,OGT,PIGW,SYNCRIP,HNRNPUL2,BCL6,NOS1
CNTNAP2,DYSF,,,,MGA,,CAT,NGFR,UPF1,SSB,RAMP3,HSPA8
LOC100128822,RAI1,,,,CDC42BPB,,CLU,NGF,YBX1,DIMT1L,SS18L1,ADCYAP1
SHH,COMT,,,,ZFC3H1,,MT-ND2,BCR,YBX3,HNRNPA3,PCP4,CP
PTPRN2,VPS13B,,,,EIF3A,,GDNF,TPK1,ZC3H11A,PTBP1,CST3,CNTF
C8orf74,BEGAIN,,,,SCN1A,,BDNF,MAOB,ZC3H14,RPL3,EPHA4,MSX1
CDCA2,GALNS,,,,SMC3,,CIB1,RPS27A,ZC3HAV1,RPS19,ARHGEF28,NQO1
CSMD3,CYP1B1,,,,MDN1,,APLP1,GAP43,ZFR,RPL5,TRPM7,SLC11A2
KLHL38,ABCC6,,,,DNMT1,,MME,SYP,ZNF326,MSI1,SARM1,MAP2
KDM4C,APOE,,,,DMXL2,,CD40,FOLH1,RPL11,RPL10,CX3CR1,ALDH1A1
PTPRD,APOC1,,,,WNK1,,CYP46A1,GRIA1,RPL38,C22orf28,TUBA4A,BCHE
MORN5,PAPPA,,,,CHD1,,S100B,HEXA,RPLP0,SFN,SYNE,NAT2
RAPGEF1,THADA,,,,NCOR1,,NGF,CTSC,RPS14,STAU1,SOD1,STUB1
WDR11,NR,,,,PRPF8,,CSNK1D,HSF1,RPS16,LARP4B,ALS2,KLK6
DOCK1,NDUFS1,,,,NSD1,,APH1A,CYCS,RPS17,RPS20,ALS3,CHRNA4
AP2A2,LAMA2,,,,ZCCHC11,,MSR1,CASP1,RPS18,RPL12,SETX,GFRA1
MUC6,SOD1,,,,KDM3B,,EIF2AK2,RNPEP,RPS19,RPL19,SPG11,MT-ND5
ALX4,SCN4A,,,,COL1A1,,PCSK1N,CTSH,RPS20,DDX3X,FUS,TPH1
CHST1,ZNF592,,,,CHD2,,REG1A,IL10RB,RPS25,SFRS7,ALS7,PENK
TMEM135,SLC37A4,,,,GCN1L1,,SQSTM1,ADA,RPS3,RPL24,VAPB,PSPN
ERC1,ETFDH,,,,SMCHD1,,ASAH2B,UTS2R,RPS3A,SLC25A5,ANG,ARTN
PTPRO,ZNF469,,,,MED12,,UBQLN1,KIFAP3,RPS4X,XRCC5,TARDBP,GRIN2B
FGD4,ABCA1,,,,MED13L,,SYP,NES,RPS7,H1FX,FIG4,RPS27A
DNM1L,RFX6,,,,RANBP2,,NAE1,PAWR,RPS8,HELZ,OPTN,NTF3
PDZRN4,IDUA,,,,USP24,,NRGN,MICE,RPSA,DHX57,ATXN2,TFAM
C13orf15,NPPA,,,,USP7,,MAP2,NTRK2,COIL,RPL31,VCP,GRM1
DACH1,SCN9A,,,,ZNF462,,GFAP,SERPINE2,EFTUD2,RPL35,UBQLN2,NQO2
FARP1,FGF6,,,,COL3A1,,NGFR,NEFL,SNRNP200,HSPA4,SIGMAR1,SQSTM1
DOCK9,HLA-DRA,,,,CHD4,,GRN,SPAST,SNRNPA1,RPL14,CHMP2B,DRD4
GCH1,APOC2,,,,FAT4,,TARDBP,GLUL,LAP,EEF2,PFN1,TOR1A
GPHB5,NIPSNAP3A,,,,SMARCA4,,GLRX,CDR1,LUZP4,RBMX,ERBB4,TAC1
SNORD113-2,RAD51AP1,,,,COPA,,ECE2,HSPB1,PRRC2C,YBX1,HNRNPA1,AKT1
ZNF710,NIPSNAP3B,,,,CKAP5,,APBA3,PSEN1,SF3A1,RPS7,MATR3,NUDT1
PLCG2,,,,,KMT2B,,IL1B,DPP6,SF3B1,FUBP3,CHCHD10,HRH3
ATP2C2,,,,,RIF1,,APBB3,CALB2,SF3B2,GNL3,C9orf72,MAPK14
ATP2A3,,,,,USP32,,MAOB,SLC18A3,SF3B3,HNRNPR,UNC13A,
LOC100507351,,,,,SRCAP,,TMED10,APEX1,SFPQ,RRBP1,DAO,
CTAGE1,,,,,PSME4,,CHRNA7,GSR,SNRPB,SRPK1,DCTN1,
CHAF1A,,,,,ARID1A,,BACE1-AS,CAMK1G,SRSF10,SFRS6,NEFH,
PEPD,,,,,BRWD3,,APOC1,XBP1,SRSF3,TRIM28,PRPH,
TEX101,,,,,CSMD3,,GPR3,TIAM1,SRSF7,DSP,SQSTM1,
XRCC1,,,,,CHD3,,GRIN2B,ARHGEF2,TRA2A,RPL23A,TAF15,
DOK5,,,,,CHD5,,SEMA3A,HNRNPA1L2,TRA2B,JUP,SPAST,
BID,,,,,KMT2E,,NTRK1,FGF1,,HNRNPL,ELP3,
YPEL1,,,,,NOTCH1,,STMN2,MAG,,DDX50,LMNB1,
MIAT,,,,,CLTC,,DLST,HSPA5,,BYSL,,
XRCC6BP1,,,,,NOTCH2,,MARK1,SLC1A1,,NUFIP2,,
RAP2B,,,,,HEATR1,,MARK4,NEFM,,PKP1,,
FAM190A,,,,,SCN3A,,CST3,CREBBP,,SERBP1,,
HSD52,,,,,FRYL,,GRIN2C,TFRC,,MTDH,,
PRSS38,,,,,SCN2A,,PTGS2,ZNF512B,,SRRT,,
NOP58,,,,,BSN,,SORCS3,DYNC1H1,,SNRNP200,,
IQGAP2,,,,,FBN2,,PPP2R4,ALAD,,ZFR,,
MAN1A1,,,,,NCKAP1,,TTR,VPS54,,RPS5,,
SGK223,,,,,ROCK2,,GAL,PRNP,,RPL10A,,
PRICKLE1,,,,,SMARCC2,,RELN,C4orf36,,RPL23,,
LOC100131060,,,,,CLASP1,,STH,EP300,,HSPA5,,
UNQ6975,,,,,FLNA,,VPS26A,LMNB1,,HNRNPA0,,
IKZF2,,,,,PBRM1,,PADI2,AIF1,,ALB,,
PREP,,,,,RNF17,,ACHE,MAP2,,G3BP2,,
TIAM1,,,,,DHX9,,RALGPS2,GRIK1,,CLNS1A,,
NRXN1,,,,,COL2A1,,AATF,TH,,SNRPA1,,
ADH1C,,,,,NAV1,,CTNNA3,GRIK2,,RPS23,,
THSD7A,,,,,FNDC3B,,SOD1,HNRNPDL,,RPL17,,
SPAM1,,,,,KAT6A,,SNCG,TSPO,,RPL28,,
FIGNL2,,,,,SBNO1,,PITRM1,CALB1,,RPL9,,
C14orf177,,,,,WDR7,,TNFRSF21,CNR1,,NKRF,,
FAM149A,,,,,TSC2,,ADAM19,HNRNPC,,NXF1,,
PPARGC1A,,,,,RPTOR,,ABCA1,GRIA4,,NOP56,,
SCN8A,,,,,ATRX,,DKK1,BTBD10,,PCBP1,,
GOLGA8B,,,,,TJP1,,MAPK8,,,LUC7L2,,
FAS,,,,,PTPRD,,LRP8,,,RALY,,
GLUD2,,,,,COL4A1,,SLC18A3,,,FBL,,
UBE2NL,,,,,SCAF8,,MEOX2,,,YTHDF2,,
ACTRT1,,,,,NUP98,,HMOX1,,,EIF3B,,
CNGA2,,,,,RALGAPA1,,MAP1B,,,EIF4A1,,
TSPAN7,,,,,ATRN,,SLC1A3,,,HNRPDL,,
EDA,,,,,ITSN1,,AZIN2,,,RNF219,,
MID1,,,,,SF3B1,,NTRK2,,,FUS,,
BCOR,,,,,MAPK8IP3,,LDLR,,,DAP3,,
GPC4,,,,,RBM25,,SLC1A2,,,ATXN2L,,
MAOB,,,,,BAI3,,SREK1IP1,,,CDC5L,,
MID1IP1,,,,,TANC2,,NQO1,,,DSC1,,
DDX3X,,,,,RBM6,,GAP43,,,POLRMT,,
CDR1,,,,,RSF1,,CHRNA4,,,ADAR,,
STS,,,,,CCDC88A,,CASP2,,,GRSF1,,
MIR651,,,,,RALGAPB,,HM13,,,BAT2,,
PPP1R2P9,,,,,CAMTA1,,CHRM1,,,NCBP1,,
ZNF185,,,,,KDM2A,,PPARG,,,NOP58,,
BEX5,,,,,CTNND2,,HTR2A,,,TSR1,,
ATP2B3,,,,,FASN,,CH25H,,,NOP2,,
FAM9B,,,,,PHIP,,HTR6,,,TRM1L,,
GPR143,,,,,ATAD5,,APOD,,,USP10,,
FRMPD4,,,,,RYR3,,CR1,,,RPL11,,
IGSF1,,,,,LPHN2,,FPR2,,,RPL22,,
LOC286442,,,,,POLR2A,,GRIA1,,,RPL27A,,
OTUD6A,,,,,RBM27,,CREB1,,,EIF3C,,
TRMT2B,,,,,SIN3A,,DLG4,,,PRPF19,,
LOC100129520,,,,,ARFGEF2,,CASP6,,,DDX6,,
TBL1X,,,,,KIAA0368,,NOTCH1,,,SND1,,
VCX2,,,,,RYR2,,CAST,,,LRRC59,,
SATL1,,,,,DEPDC5,,ADAM17,,,MYH9,,
PTCHD1,,,,,TOPBP1,,HRH2,,,C11orf84,,
APOOL,,,,,ZMYM4,,LRRK2,,,EIF4A3,,
PJA1,,,,,CHD9,,PREP,,,FAM98B,,
NOX1,,,,,TNRC6A,,CAV3,,,MRPS27,,
FAM47B,,,,,APC,,HSPA5,,,MRPL12,,
ATXN3L,,,,,KAT6B,,SERPINE2,,,MRPL22,,
MAGEA10-MAGEA5,,,,,ZSWIM8,,GLUL,,,MRPL44,,
STAG2,,,,,THOC2,,MAPK1,,,RPS17,,
STARD8,,,,,ESPL1,,,,,XRN1,,
SPANXN4,,,,,SON,,,,,RPL18A,,
IL1RAPL2,,,,,STAG1,,,,,ASPH,,
CXorf36,,,,,ARFGEF1,,,,,BAG2,,
DIAPH2,,,,,EIF4G3,,,,,C1QBP,,
PASD1,,,,,EHMT1,,,,,CUGBP1,,
REPS2,,,,,YTHDC1,,,,,ELAVL2,,
TGIF2LX,,,,,SOS1,,,,,EIF3I,,
NUDT10,,,,,HECW1,,,,,EIF4G3,,
DDX53,,,,,DOCK2,,,,,GNB2L1,,
NAP1L2,,,,,UBR2,,,,,KPNA2,,
NONE,,,,,USP47,,,,,MAP4,,
GEMIN8,,,,,PPFIA1,,,,,MYBBP1A,,
DMD,,,,,PCF11,,,,,WIBG,,
PCDH11X,,,,,UBAP2L,,,,,FAM98A,,
AMOT,,,,,GAPVD1,,,,,LSM12,,
TAB3,,,,,RLF,,,,,PATL1,,
SAT1,,,,,SMARCA5,,,,,RFC4,,
ODZ1,,,,,NF1,,,,,RBM39,,
PAGE1,,,,,DIP2C,,,,,RUVBL2,,
GLRA2,,,,,LPHN1,,,,,PURB,,
MSL3,,,,,RB1,,,,,VCP,,
GPR50,,,,,ANKRD11,,,,,SR140,,
MIR891A,,,,,FAT3,,,,,PRPF3,,
ZIC3,,,,,STAG2,,,,,C14orf166,,
LRCH2,,,,,F8,,,,,ZC3H11A,,
FAM133A,,,,,TLK2,,,,,ZNF346,,
FMR1NB,,,,,TNRC6B,,,,,EFTUD2,,
KLHL4,,,,,RABGAP1,,,,,MRPS22,,
GABRA3,,,,,RB1CC1,,,,,RPL15,,
VENTXP1,,,,,KIF23,,,,,RPL32,,
SYTL4,,,,,SIPA1L1,,,,,LRRC15,,
POF1B,,,,,BAZ1A,,,,,GIGYF2,,
CXorf58,,,,,ZC3H4,,,,,SNRPD2,,
SYN1,,,,,PPP1R10,,,,,UBAP2L,,
SHROOM4,,,,,SHANK1,,,,,PSMD2,,
IL13RA2,,,,,TAF1,,,,,RPS13,,
CPXCR1,,,,,SPTB,,,,,PGAM5,,
MAMLD1,,,,,TRAPPC8,,,,,VIM,,
CXorf61,,,,,TAOK1,,,,,MRPS34,,
CXorf51,,,,,SUPT5H,,,,,MRPL48,,
SH3BGRL,,,,,IREB2,,,,,RPS24,,
APOO,,,,,PRPF4B,,,,,XRN2,,
LAMP2,,,,,BAZ2A,,,,,RPL13A,,
NRK,,,,,NCOR2,,,,,RPL21,,
CYLC1,,,,,MUC5B,,,,,ATP5A1,,
CASK,,,,,PLXNA4,,,,,SLC25A23,,
EFHC2,,,,,CAD,,,,,CDK4,,
IQSEC2,,,,,DOCK3,,,,,CPSF1,,
GPR101,,,,,SCAF4,,,,,DNAJB6,,
DCAF12L2,,,,,WHSC1L1,,,,,EIF2S3,,
ZNF645,,,,,ZFR,,,,,EIF3A,,
NLGN4X,,,,,HIVEP2,,,,,EIF3H,,
RPS6KA6,,,,,ZFHX4,,,,,QPCTL,,
BCYRN1,,,,,LAMC1,,,,,NACA,,
AGTR2,,,,,PREX1,,,,,AHNAK,,
RAB9A,,,,,JAG1,,,,,NOP14,,
CD99L2,,,,,XPO4,,,,,NOP16,,
LOC100132831,,,,,U2SURP,,,,,PWP2,,
IGBP1,,,,,COL12A1,,,,,RNF10,,
MIR514-2,,,,,SUPT16H,,,,,SRBD1,,
ARHGAP6,,,,,PPFIA3,,,,,SKIV2L2,,
SLC7A3,,,,,SMARCC1,,,,,PURA,,
ZMAT1,,,,,YTHDC2,,,,,SART1,,
RBBP7,,,,,XPO1,,,,,PHGDH,,
HDAC8,,,,,KIAA0430,,,,,EEF1G,,
SOX3,,,,,PCNX,,,,,EIF2C2,,
SHROOM2,,,,,SETD5,,,,,KIAA1967,,
LOC643486,,,,,BAZ1B,,,,,SDAD1,,
ARX,,,,,ZCCHC6,,,,,TPI1,,
LOC442459,,,,,RC3H2,,,,,,,
FAM9C,,,,,KIAA1468,,,,,,,
AWAT2,,,,,POLA1,,,,,,,
USP9X,,,,,ABCA2,,,,,,,
TNMD,,,,,TMEM131,,,,,,,
TFDP3,,,,,RBM5,,,,,,,
HMGB3,,,,,AGO1,,,,,,,
NR0B1,,,,,DHX30,,,,,,,
PNPLA4,,,,,BRWD1,,,,,,,
FUNDC1,,,,,XPO6,,,,,,,
ZNF41,,,,,CTR9,,,,,,,
RPS6KA3,,,,,PLEKHA5,,,,,,,
PCDH19,,,,,TOP1,,,,,,,
AR,,,,,NAV3,,,,,,,
RPL39,,,,,MED14,,,,,,,
PRPS2,,,,,XPO5,,,,,,,
CXorf27,,,,,COL27A1,,,,,,,
SPANXN1,,,,,PPRC1,,,,,,,
VCX3B,,,,,WHSC1,,,,,,,
GRPR,,,,,COL11A2,,,,,,,
SPANXN3,,,,,XPO7,,,,,,,
NCRNA00087,,,,,DOCK9,,,,,,,
NUDT11,,,,,MED12L,,,,,,,
FGF13,,,,,UBE3C,,,,,,,
DACH2,,,,,ARID4A,,,,,,,
Sep-06,,,,,NUMA1,,,,,,,
AWAT1,,,,,PSMD1,,,,,,,
MAP3K15,,,,,CELSR2,,,,,,,
C1GALT1C1,,,,,IGF2R,,,,,,,
IL1RAPL1,,,,,LRP1B,,,,,,,
NKAP,,,,,POGZ,,,,,,,
COL4A6,,,,,PRRC2B,,,,,,,
MAGEA11,,,,,DSCAML1,,,,,,,
ZCCHC16,,,,,SLIT2,,,,,,,
MAGEB1,,,,,RAD54L2,,,,,,,
GRIA3,,,,,ARID2,,,,,,,
ACOT9,,,,,MAST1,,,,,,,
KLF8,,,,,SRRM1,,,,,,,
SH3KBP1,,,,,RBBP6,,,,,,,
PPEF1,,,,,MAP4K4,,,,,,,
ALAS2,,,,,DCC,,,,,,,
CXorf48,,,,,TRAPPC10,,,,,,,
GDPD2,,,,,SPAG9,,,,,,,
MSN,,,,,ARHGEF12,,,,,,,
RRAGB,,,,,CACNA1I,,,,,,,
PRKX,,,,,PTPRT,,,,,,,
NKRF,,,,,GON4L,,,,,,,
LOC100272228,,,,,MYO9B,,,,,,,
TSC22D3,,,,,PTCH1,,,,,,,
MXRA5,,,,,PUM1,,,,,,,
FAM9A,,,,,PRPF3,,,,,,,
KLHL15,,,,,AGO3,,,,,,,
TCEAL2,,,,,DMXL1,,,,,,,
FAM127B,,,,,AQR,,,,,,,
ELTD1,,,,,NUP205,,,,,,,
OLFM3,,,,,CIT,,,,,,,
CAPZA1,,,,,IPO5,,,,,,,
SERBP1,,,,,TNPO1,,,,,,,
VASH2,,,,,FAM135B,,,,,,,
DAB1,,,,,ATAD2B,,,,,,,
DEPDC1,,,,,CYFIP2,,,,,,,
SRGAP2,,,,,DLG5,,,,,,,
MPZL1,,,,,LRRC7,,,,,,,
SPAG17,,,,,PIK3CA,,,,,,,
SLC1A7,,,,,COPB2,,,,,,,
BMP8B,,,,,SYNGAP1,,,,,,,
PRDM2,,,,,GRID2,,,,,,,
FMN2,,,,,ACIN1,,,,,,,
CACNA1E,,,,,CACNA1C,,,,,,,
KIAA1804,,,,,PLXNA1,,,,,,,
SSBP3,,,,,CUL2,,,,,,,
C1orf106,,,,,RIMS2,,,,,,,
ATP1A4,,,,,HDLBP,,,,,,,
DPYD,,,,,PTPRF,,,,,,,
PBX1,,,,,IPO7,,,,,,,
PPP1R12B,,,,,WNK3,,,,,,,
ADORA1,,,,,ZNF236,,,,,,,
RPS6KC1,,,,,TRIM33,,,,,,,
MYOC,,,,,SCN8A,,,,,,,
FLJ31662,,,,,RASA1,,,,,,,
