Entity 1	Entity 2	Weight	Network group	Network
PLOD1	COLGALT1	0.016481422	Co-expression	Salaverria-Siebert-2011
PLOD1	PLOD2	0.0051283683	Co-expression	Salaverria-Siebert-2011
PLOD1	BGN	0.006270815	Co-expression	Salaverria-Siebert-2011
PSMD4	SETDB1	0.03146279	Co-expression	Salaverria-Siebert-2011
KCTD12	CST3	0.004837252	Co-expression	Salaverria-Siebert-2011
KCTD12	CREG1	0.0030163948	Co-expression	Salaverria-Siebert-2011
KCTD12	ID2	0.010335671	Co-expression	Salaverria-Siebert-2011
PABPC1	RPL37	0.010279603	Co-expression	Salaverria-Siebert-2011
PRPF3	POGZ	0.009193744	Co-expression	Salaverria-Siebert-2011
PRPF3	SETDB1	0.01805053	Co-expression	Salaverria-Siebert-2011
PRPF3	PSMD4	0.016962158	Co-expression	Salaverria-Siebert-2011
ACTN1	JAG1	0.008179769	Co-expression	Salaverria-Siebert-2011
ACTN1	CDH11	0.002867718	Co-expression	Salaverria-Siebert-2011
ACTN1	ALDH2	0.00550899	Co-expression	Salaverria-Siebert-2011
ACTN1	PLOD2	0.003104197	Co-expression	Salaverria-Siebert-2011
ACTN1	CSRP1	0.0072263675	Co-expression	Salaverria-Siebert-2011
PLOD3	COLGALT1	0.018942175	Co-expression	Salaverria-Siebert-2011
PLOD3	PLOD1	0.01391369	Co-expression	Salaverria-Siebert-2011
SPARC	DCN	0.0048502404	Co-expression	Salaverria-Siebert-2011
SPARC	JAG1	0.010934691	Co-expression	Salaverria-Siebert-2011
SPARC	CDH11	0.0043848017	Co-expression	Salaverria-Siebert-2011
SPARC	BGN	0.005922172	Co-expression	Salaverria-Siebert-2011
SPARC	ACTN1	0.0040793377	Co-expression	Salaverria-Siebert-2011
ZFP36	COLGALT1	0.01544055	Co-expression	Salaverria-Siebert-2011
ZFP36	CST3	0.007082528	Co-expression	Salaverria-Siebert-2011
SF3B1	SERBP1	0.009007711	Co-expression	Salaverria-Siebert-2011
CCT3	SETDB1	0.008882434	Co-expression	Salaverria-Siebert-2011
CCT3	PSMD4	0.010975882	Co-expression	Salaverria-Siebert-2011
CCT3	PRPF3	0.006838158	Co-expression	Salaverria-Siebert-2011
PPP2CA	PPP1R7	0.004345098	Co-expression	Salaverria-Siebert-2011
PPP2CA	SETD2	0.0035720794	Co-expression	Salaverria-Siebert-2011
PPP2CA	PFDN1	0.0042226394	Co-expression	Salaverria-Siebert-2011
PPP2CA	ACAT2	0.003699899	Co-expression	Salaverria-Siebert-2011
PPP2CA	UBE2L3	0.003925814	Co-expression	Salaverria-Siebert-2011
PPP2CA	OTUB1	0.0042361757	Co-expression	Salaverria-Siebert-2011
PPP2CA	GBAS	0.001980518	Co-expression	Salaverria-Siebert-2011
PPP2CA	PSMD4	0.0035957412	Co-expression	Salaverria-Siebert-2011
PPP2CA	SF3B1	0.0030149734	Co-expression	Salaverria-Siebert-2011
PPP2CA	CCT3	0.0015934375	Co-expression	Salaverria-Siebert-2011
TARDBP	PRPF3	0.01615646	Co-expression	Salaverria-Siebert-2011
COLGALT1	SETD8	0.0071472423	Co-expression	Mallon-McKay-2013
ALDH1B1	OGDHL	0.014818947	Co-expression	Mallon-McKay-2013
ACAT1	OGDHL	0.010250523	Co-expression	Mallon-McKay-2013
ACAT1	PIPOX	0.016233882	Co-expression	Mallon-McKay-2013
BBOX1	OGDHL	0.0067987116	Co-expression	Mallon-McKay-2013
BBOX1	ALDH1B1	0.009030292	Co-expression	Mallon-McKay-2013
KMT2B	KMT2C	0.0076074833	Co-expression	Mallon-McKay-2013
KMT2B	DOT1L	0.008270638	Co-expression	Mallon-McKay-2013
PPP1R7	SNAPC5	0.007895141	Co-expression	Mallon-McKay-2013
PRKD1	PTPN13	0.009158165	Co-expression	Mallon-McKay-2013
POGZ	NKTR	0.018779008	Co-expression	Mallon-McKay-2013
SETDB1	WHSC1L1	0.0091998605	Co-expression	Mallon-McKay-2013
SETDB1	KMT2E	0.00762735	Co-expression	Mallon-McKay-2013
SETDB1	ZFYVE26	0.008782178	Co-expression	Mallon-McKay-2013
SETDB1	POGZ	0.008596531	Co-expression	Mallon-McKay-2013
EHHADH	OGDHL	0.010737116	Co-expression	Mallon-McKay-2013
EHHADH	ACAT1	0.01468698	Co-expression	Mallon-McKay-2013
RPL37	RPL35A	0.0098438375	Co-expression	Mallon-McKay-2013
HADHA	HADH	0.027179841	Co-expression	Mallon-McKay-2013
ALDH9A1	PPP1R7	0.0059191384	Co-expression	Mallon-McKay-2013
PLOD2	COLGALT1	0.008660728	Co-expression	Mallon-McKay-2013
RPLP2	RPL35A	0.011092492	Co-expression	Mallon-McKay-2013
RPLP2	RPL37	0.014991103	Co-expression	Mallon-McKay-2013
KMT2A	SUV420H2	0.012355423	Co-expression	Mallon-McKay-2013
TCF4	PTPN13	0.009679388	Co-expression	Mallon-McKay-2013
GBAS	HADHA	0.025519092	Co-expression	Mallon-McKay-2013
SETD1A	KMT2B	0.004202929	Co-expression	Mallon-McKay-2013
PLOD1	SETD8	0.007753442	Co-expression	Mallon-McKay-2013
PLOD1	COLGALT1	0.004938364	Co-expression	Mallon-McKay-2013
PLOD1	ORAI2	0.010965965	Co-expression	Mallon-McKay-2013
PLOD1	PLOD2	0.010016957	Co-expression	Mallon-McKay-2013
KCTD12	CDH11	0.0062707607	Co-expression	Mallon-McKay-2013
ECHS1	ACAT1	0.0123701645	Co-expression	Mallon-McKay-2013
ECHS1	EHHADH	0.013384837	Co-expression	Mallon-McKay-2013
TUBB4B	KMT2B	0.0078426795	Co-expression	Mallon-McKay-2013
PLOD3	ORAI2	0.008361331	Co-expression	Mallon-McKay-2013
PLOD3	PLOD1	0.004212713	Co-expression	Mallon-McKay-2013
SPARC	CDH11	0.002378476	Co-expression	Mallon-McKay-2013
SPARC	KCTD12	0.00409575	Co-expression	Mallon-McKay-2013
ZFP36	CSRP1	0.010175225	Co-expression	Mallon-McKay-2013
SF3B1	SETMAR	0.014072997	Co-expression	Mallon-McKay-2013
SF3B1	ZNF518A	0.012957609	Co-expression	Mallon-McKay-2013
CCT3	NDUFS5	0.0079187155	Co-expression	Mallon-McKay-2013
CCT3	OTUB1	0.0059747235	Co-expression	Mallon-McKay-2013
SUN1	RAB40B	0.017152503	Co-expression	Burington-Shaughnessy-2008
CELF1	COLGALT2	0.009616395	Co-expression	Burington-Shaughnessy-2008
SETD2	CELF1	0.01532681	Co-expression	Burington-Shaughnessy-2008
SETD2	ALDH3A2	0.012993228	Co-expression	Burington-Shaughnessy-2008
HADH	PTPN13	0.020779677	Co-expression	Burington-Shaughnessy-2008
CST3	JAG1	0.02033954	Co-expression	Burington-Shaughnessy-2008
SETD1B	SETD2	0.014986284	Co-expression	Burington-Shaughnessy-2008
BGN	JAG1	0.0062361425	Co-expression	Burington-Shaughnessy-2008
BGN	OTUB1	0.004283379	Co-expression	Burington-Shaughnessy-2008
KMT2A	CELF1	0.017383978	Co-expression	Burington-Shaughnessy-2008
EHMT2	SETDB1	0.008632364	Co-expression	Burington-Shaughnessy-2008
EHMT2	NUTF2	0.011200393	Co-expression	Burington-Shaughnessy-2008
GBAS	RAB40B	0.011352617	Co-expression	Burington-Shaughnessy-2008
GBAS	SUN1	0.011861272	Co-expression	Burington-Shaughnessy-2008
CD83	BGN	0.004564358	Co-expression	Burington-Shaughnessy-2008
MXI1	RAB40B	0.023924125	Co-expression	Burington-Shaughnessy-2008
PSMD4	EHMT2	0.008560805	Co-expression	Burington-Shaughnessy-2008
COPS7A	GBAS	0.012923517	Co-expression	Burington-Shaughnessy-2008
PABPC1	RPLP2	0.010900213	Co-expression	Burington-Shaughnessy-2008
TUBB4B	STMN1	0.0075452095	Co-expression	Burington-Shaughnessy-2008
PRPF3	SETD1B	0.017407183	Co-expression	Burington-Shaughnessy-2008
SPARC	GCDH	0.017053606	Co-expression	Burington-Shaughnessy-2008
SPARC	ALDH2	0.01794024	Co-expression	Burington-Shaughnessy-2008
SF3B1	ZNF518A	0.012387374	Co-expression	Burington-Shaughnessy-2008
CCT3	PSMD4	0.0067989603	Co-expression	Burington-Shaughnessy-2008
PPP2CA	PFDN1	0.02046453	Co-expression	Burington-Shaughnessy-2008
TARDBP	CCT3	0.0054662176	Co-expression	Burington-Shaughnessy-2008
RNF130	SETD7	0.00315705	Co-expression	Bahr-Bowler-2013
KMT2D	KMT2C	0.00994	Co-expression	Bahr-Bowler-2013
VPS13B	KMT2C	0.019962579	Co-expression	Bahr-Bowler-2013
ASH1L	KMT2D	0.010823973	Co-expression	Bahr-Bowler-2013
DOT1L	KMT2D	0.011452042	Co-expression	Bahr-Bowler-2013
NKTR	KMT2E	0.014586173	Co-expression	Bahr-Bowler-2013
NKTR	ASH1L	0.013272398	Co-expression	Bahr-Bowler-2013
CELF1	ASH1L	0.014950758	Co-expression	Bahr-Bowler-2013
CELF1	NKTR	0.0133154085	Co-expression	Bahr-Bowler-2013
ZMYND11	KMT2E	0.0113077685	Co-expression	Bahr-Bowler-2013
WHSC1	KMT2D	0.0125376955	Co-expression	Bahr-Bowler-2013
BPTF	KMT2C	0.01440982	Co-expression	Bahr-Bowler-2013
BPTF	KMT2E	0.01794961	Co-expression	Bahr-Bowler-2013
BPTF	VPS13B	0.019498236	Co-expression	Bahr-Bowler-2013
BPTF	ASH1L	0.013744113	Co-expression	Bahr-Bowler-2013
BPTF	CELF1	0.014451593	Co-expression	Bahr-Bowler-2013
BPTF	ZMYND11	0.00825808	Co-expression	Bahr-Bowler-2013
CST3	RNF130	0.0037901162	Co-expression	Bahr-Bowler-2013
UBE2L3	PPP1R7	0.011816512	Co-expression	Bahr-Bowler-2013
SETD1B	KMT2D	0.011151922	Co-expression	Bahr-Bowler-2013
ALDH2	RNF130	0.004637079	Co-expression	Bahr-Bowler-2013
CREG1	RNF130	0.0021093776	Co-expression	Bahr-Bowler-2013
RPL37	RPL35A	0.015735053	Co-expression	Bahr-Bowler-2013
HADHA	PPP1R7	0.009055521	Co-expression	Bahr-Bowler-2013
CSRP1	OGDH	0.017199617	Co-expression	Bahr-Bowler-2013
CSRP1	OTUB1	0.018841505	Co-expression	Bahr-Bowler-2013
RPLP2	RPL37	0.015181499	Co-expression	Bahr-Bowler-2013
KMT2A	KMT2C	0.016803758	Co-expression	Bahr-Bowler-2013
KMT2A	KMT2D	0.012105492	Co-expression	Bahr-Bowler-2013
KMT2A	NKTR	0.015137263	Co-expression	Bahr-Bowler-2013
KMT2A	BPTF	0.019590596	Co-expression	Bahr-Bowler-2013
ANXA1	SETD7	0.011978504	Co-expression	Bahr-Bowler-2013
ANXA1	ALDH2	0.01651157	Co-expression	Bahr-Bowler-2013
CD83	PFDN1	0.012668987	Co-expression	Bahr-Bowler-2013
PSMD4	PPP1R7	0.011020282	Co-expression	Bahr-Bowler-2013
KCTD12	ALDH3A2	0.01803488	Co-expression	Bahr-Bowler-2013
ECHS1	PPP1R7	0.0074227857	Co-expression	Bahr-Bowler-2013
ECHS1	HADHA	0.015553701	Co-expression	Bahr-Bowler-2013
ECHS1	OTUB1	0.013737734	Co-expression	Bahr-Bowler-2013
PLOD3	PLOD1	0.01331115	Co-expression	Bahr-Bowler-2013
ZFP36	CD83	0.0135439215	Co-expression	Bahr-Bowler-2013
SF3B1	KMT2E	0.024647655	Co-expression	Bahr-Bowler-2013
SF3B1	NKTR	0.017687488	Co-expression	Bahr-Bowler-2013
PPP2CA	GBAS	0.00854331	Co-expression	Bahr-Bowler-2013
NKTR	ASH1L	0.01504806	Co-expression	Alizadeh-Staudt-2000
SETD2	ASH1L	0.019651197	Co-expression	Alizadeh-Staudt-2000
SETD2	MPHOSPH9	0.016510408	Co-expression	Alizadeh-Staudt-2000
WHSC1	MPHOSPH9	0.01630148	Co-expression	Alizadeh-Staudt-2000
RPLP2	CELF1	0.012777429	Co-expression	Alizadeh-Staudt-2000
KMT2A	EHMT1	0.02007698	Co-expression	Alizadeh-Staudt-2000
PPP2CB	ID2	0.012114015	Co-expression	Alizadeh-Staudt-2000
SPARC	DLST	0.0069540017	Co-expression	Alizadeh-Staudt-2000
SPARC	KCTD12	0.009980402	Co-expression	Alizadeh-Staudt-2000
ZFP36	CD83	0.015460268	Co-expression	Alizadeh-Staudt-2000
SETD2	POGZ	0.017552411	Co-expression	Rieger-Chu-2004
SERBP1	WHSC1	0.008666443	Co-expression	Rieger-Chu-2004
SETDB1	ZFYVE26	0.015579904	Co-expression	Rieger-Chu-2004
HADH	STMN1	0.011866583	Co-expression	Rieger-Chu-2004
PFDN1	SNAPC5	0.0122660985	Co-expression	Rieger-Chu-2004
BPTF	NKTR	0.0091219535	Co-expression	Rieger-Chu-2004
HADHA	SETDB1	0.0127762025	Co-expression	Rieger-Chu-2004
ID2	JAG1	0.011624845	Co-expression	Rieger-Chu-2004
ALDH9A1	ALDH7A1	0.013307658	Co-expression	Rieger-Chu-2004
OTUB1	KPNA6	0.013543677	Co-expression	Rieger-Chu-2004
CSRP1	HADHA	0.0090282615	Co-expression	Rieger-Chu-2004
RPLP2	NDUFS5	0.006907532	Co-expression	Rieger-Chu-2004
RPLP2	AASS	0.0069836024	Co-expression	Rieger-Chu-2004
RPLP2	RPL37	0.004509716	Co-expression	Rieger-Chu-2004
KMT2A	KMT2B	0.017788831	Co-expression	Rieger-Chu-2004
TCF4	BPTF	0.0076252464	Co-expression	Rieger-Chu-2004
TCF4	KMT2A	0.017196285	Co-expression	Rieger-Chu-2004
GBAS	ALDH9A1	0.0102873165	Co-expression	Rieger-Chu-2004
CD83	ZFYVE26	0.010550582	Co-expression	Rieger-Chu-2004
MXI1	RPLP2	0.0068099904	Co-expression	Rieger-Chu-2004
SETD1A	OTUB1	0.014572036	Co-expression	Rieger-Chu-2004
PLOD1	HADHA	0.009169525	Co-expression	Rieger-Chu-2004
KCTD12	DOT1L	0.015832974	Co-expression	Rieger-Chu-2004
PPP2CB	CSRP1	0.0060475273	Co-expression	Rieger-Chu-2004
PPP2CB	SETD1A	0.0074777664	Co-expression	Rieger-Chu-2004
ECHS1	PLOD2	0.01724952	Co-expression	Rieger-Chu-2004
PRPF3	ZNF518A	0.015022117	Co-expression	Rieger-Chu-2004
PRPF3	SETD1B	0.011910632	Co-expression	Rieger-Chu-2004
ACTN1	CST3	0.008434754	Co-expression	Rieger-Chu-2004
ACTN1	ID2	0.006056826	Co-expression	Rieger-Chu-2004
ACTN1	PLOD2	0.009454049	Co-expression	Rieger-Chu-2004
PLOD3	KPNA6	0.018689524	Co-expression	Rieger-Chu-2004
PLOD3	HADHA	0.010411906	Co-expression	Rieger-Chu-2004
ZFP36	KMT2B	0.010657083	Co-expression	Rieger-Chu-2004
CCT3	TUBB4B	0.009961561	Co-expression	Rieger-Chu-2004
PPP2CA	SF3B1	0.011997451	Co-expression	Rieger-Chu-2004
TARDBP	PRPF3	0.012137641	Co-expression	Rieger-Chu-2004
TARDBP	PPP2CA	0.019183205	Co-expression	Rieger-Chu-2004
MAP3K13	OGDHL	0.016621124	Co-expression	Roth-Zlotnik-2006
SUV420H1	KMT2E	0.012406587	Co-expression	Roth-Zlotnik-2006
ALDH7A1	AASS	0.029122679	Co-expression	Roth-Zlotnik-2006
PIPOX	AASS	0.008270757	Co-expression	Roth-Zlotnik-2006
GCDH	PIPOX	0.010924035	Co-expression	Roth-Zlotnik-2006
NKTR	KMT2E	0.008700252	Co-expression	Roth-Zlotnik-2006
ACAT1	GCDH	0.025280463	Co-expression	Roth-Zlotnik-2006
BBOX1	OGDHL	0.0074806553	Co-expression	Roth-Zlotnik-2006
POGZ	NSD1	0.010674782	Co-expression	Roth-Zlotnik-2006
POGZ	KMT2E	0.004787251	Co-expression	Roth-Zlotnik-2006
POGZ	NKTR	0.011155049	Co-expression	Roth-Zlotnik-2006
SETD2	KMT2E	0.011270959	Co-expression	Roth-Zlotnik-2006
EHHADH	PIPOX	0.0054279556	Co-expression	Roth-Zlotnik-2006
EHHADH	GCDH	0.009857738	Co-expression	Roth-Zlotnik-2006
EHHADH	ACAT1	0.009005505	Co-expression	Roth-Zlotnik-2006
BPTF	KMT2E	0.010634856	Co-expression	Roth-Zlotnik-2006
BPTF	POGZ	0.01328734	Co-expression	Roth-Zlotnik-2006
SETD1B	KMT2E	0.0039072186	Co-expression	Roth-Zlotnik-2006
SETD1B	SETD2	0.01055622	Co-expression	Roth-Zlotnik-2006
ALDH2	PIPOX	0.008189177	Co-expression	Roth-Zlotnik-2006
ALDH2	EHHADH	0.007739129	Co-expression	Roth-Zlotnik-2006
CREG1	ALDH3A2	0.015499082	Co-expression	Roth-Zlotnik-2006
HADHA	HADH	0.016582912	Co-expression	Roth-Zlotnik-2006
DLST	HADH	0.0147008095	Co-expression	Roth-Zlotnik-2006
DLST	HADHA	0.023740984	Co-expression	Roth-Zlotnik-2006
ALDH9A1	ALDH3A2	0.01874723	Co-expression	Roth-Zlotnik-2006
ALDH9A1	CREG1	0.014421586	Co-expression	Roth-Zlotnik-2006
PLOD2	ID2	0.023589855	Co-expression	Roth-Zlotnik-2006
CSRP1	ALDH1B1	0.014309373	Co-expression	Roth-Zlotnik-2006
KMT2A	KMT2E	0.0099696135	Co-expression	Roth-Zlotnik-2006
KMT2A	NKTR	0.020281358	Co-expression	Roth-Zlotnik-2006
KMT2A	POGZ	0.012116389	Co-expression	Roth-Zlotnik-2006
TCF4	KMT2E	0.007621846	Co-expression	Roth-Zlotnik-2006
GBAS	SETD7	0.008688715	Co-expression	Roth-Zlotnik-2006
GBAS	TMLHE	0.008552919	Co-expression	Roth-Zlotnik-2006
MXI1	ZMYND11	0.018650336	Co-expression	Roth-Zlotnik-2006
MXI1	RPL37	0.018900976	Co-expression	Roth-Zlotnik-2006
SETD1A	SUV420H2	0.011436433	Co-expression	Roth-Zlotnik-2006
COPS7A	KPNA6	0.011860436	Co-expression	Roth-Zlotnik-2006
COPS7A	UBE2L3	0.012100834	Co-expression	Roth-Zlotnik-2006
ECHS1	PIPOX	0.0052186763	Co-expression	Roth-Zlotnik-2006
ECHS1	GCDH	0.011634507	Co-expression	Roth-Zlotnik-2006
ECHS1	ACAT1	0.010837043	Co-expression	Roth-Zlotnik-2006
ECHS1	HADH	0.006485698	Co-expression	Roth-Zlotnik-2006
ECHS1	EHHADH	0.005123867	Co-expression	Roth-Zlotnik-2006
