IKBKG,DHX15,IL21R,AP2A1,PIK3CG,INPP5D,PSMC4,PIK3CG,HLA-DRB4,CREBBP,PIK3CG,PIK3CB,PIK3CG,ARHGAP35,CBLC,TAF8,PPP3CA,PIAS3,PIK3CB,BRAF,PPP3CA,IFNAR2,PIK3CG,GAB2,PIK3CB,GANAB,IL3RA,INPP5D,IGF1R,PIK3CG,RPS3,EIF2AK4,PIK3CG,MAPK12,KPNA2,SDHB,BRAF,POLR2B,IGF1R,BRAF,PIK3CG,ARPC3,ACTG1,NUP133,VTN,CREB3L3,MLH1,PRPS1L1,PIK3CG,MSH2,TALDO1,IGF1R,BTK,IRAK1,PRPS1L1,MAPK12,,IKBKG,HLA-DRA,POLE,SOS2,ACTG1,,PIK3CG,SRM,,
PRKACB,SNRPD3,PIM1,IL2RG,IRAK1,CD19,PSMB3,PIK3CA,CHUK,HLA-DRB5,PIK3CA,PRKCZ,IGF1R,PIK3CG,BRAF,TBPL1,TEC,MAP3K1,IQGAP2,PIK3CB,ZFP36,CHUK,ACTG1,PIK3CB,PIK3CG,HSPH1,KIT,BTK,KDR,LDHA,RPL35,TYK2,HSP90B1,PIK3CG,IVNS1ABP,ACAT2,PIK3CB,AP2S1,TFG,PIK3CB,CREB3L3,INPP5D,IGF1R,NCBP2,ERBB4,PIK3CA,SOS2,POLE,CCL5,PIK3CA,MOGS,PIK3CA,ATM,CCL5,TKT,PIK3CG,,WASF1,HLA-DRB3,CUL4B,PIK3CG,ICAM1,,,,,
YWHAH,SF3B1,AOX1,PRKCZ,ARHGDIA,BLNK,PSMC1,KIT,LAMB2,HLA-DRB4,RAPGEF1,PIK3CG,TBK1,MYL12B,PIK3CB,TAF5,PIK3CA,FBXW8,ARHGAP35,PIK3CG,TERT,IFNGR1,DNM3,PIK3CG,HSP90B1,SEC31B,HLA-DRA,RAC2,RAC2,PIK3CA,RPS27A,PIK3CB,IGF1R,SOCS1,IFNAR2,GLUD1,PIK3CG,TGM2,RAC2,FOXO3,HIST3H2BB,CFL1,FER,NUP153,KDR,CCL5,PIK3CG,XDH,GRK6,MSH3,OCRL,PRKACB,TAB2,MAP3K8,ALDH7A1,PIAS1,,NFKBIB,B2M,,,,,,,,
USP7,SRSF10,IL6R,AP2A2,SH2B3,BTK,PSMC2,RARA,IFNGR1,CHUK,TCEB1,SOCS1,KDR,ACTG1,PIK3CG,TAF4,CD28,SMURF2,PIK3CG,IGF1R,POLD1,GAB2,MAD2L2,BCR,IGF1R,UBXN6,ITGA6,LCP2,PDGFRB,SCO2,RPS10,IL2RG,GHR,PIK3CA,CREBBP,EHHADH,ICAM1,NDUFA8,IKBKG,SIRT1,IKBKG,RAC2,RAC2,EIF5,DROSHA,BCL3,,ADSS,RAC2,RAC2,PGD,ATG5,TAB1,TAB2,PFKM,TNFRSF1A,,ATG5,HLA-DRB1,,,,,,,,
CHUK,SMNDC1,SOCS7,IGF1R,SH2B2,RAC2,PSMB1,PIM1,IL10RA,IFNGR1,VHL,FLOT1,RAC2,IGF1R,PIK3CA,TAF3,NCK2,SMURF1,MYL12B,PIK3CA,DVL1,TYK2,PIK3CA,PIK3CA,AR,PDIA3,CD59,SOS1,MAGI1,KIT,RPL19,PIK3CG,VTN,SOS1,HLA-DRB5,ESD,VAV2,CREBBP,PRKACB,ATG12,PRKACB,DOCK2,WASF1,XPOT,FLNC,MAP3K8,,PGM1,IKBKG,,SDHB,,ERC1,IRF5,IDH3A,TBK1,,,,,,,,,,,
TYK2,CTNNBL1,IFNAR2,EEA1,SH2B1,IKBKG,PSME1,IKBKG,HSPA6,MCRS1,SOS1,PRKACB,ABL2,VTN,ERBB4,,MAP3K8,HUWE1,ACTG1,SOS1,IKBKG,MAPK12,ARPC3,IKBKG,PIK3CA,HSPA5,HLA-DRB3,SOS2,NGFR,PFKM,RPS12,DOK1,CREB3L3,SOS2,HLA-DRB4,IDH3B,PPP3CA,NDUFA5,PDGFRB,MAPK12,YWHAH,WASF1,MET,CLNS1A,PRKACB,TAB2,,PDE6G,PRKACB,,ATP5J2,,IKBKG,TAB1,,PIK3CA,,,,,,,,,,,
SND1,SF3A2,STAT5B,ERBB4,NTRK1,SOS1,PSMD1,SOS1,TYK2,TAF10,SOS2,SH2B2,SHOC2,KDR,NCK2,,LCP2,SYVN1,TMSB4Y,SOS2,PRKACB,TNFRSF1A,ELMO2,SOS1,CREB3L3,WFS1,IL6R,LAT,PDGFRA,MET,RPS7,TBK1,PPP2R5E,SOCS7,IFNGR1,ME2,PIK3CA,NDUFA1,PDGFRA,PIK3CG,STAT5B,LAT,,NUP50,EIF4B,PGAM5,,NME2,CCR1,,INPP4A,,LAT,IKBKG,,IKBKG,,,,,,,,,,,
PIK3CA,NCBP2,PIAS3,KIF5B,NGFR,PIK3AP1,,SOS2,MAPK12,TAP2,MET,PTPN1,IKBKG,RAC2,ABL2,,IKBKG,WWP1,CFL1,,POLE,FOSL1,WASF1,SOS2,IKBKG,HSPA6,IL9R,,PRKCI,,RPL23,PIK3CA,CD19,,HSPA6,PGLS,SH3BP2,AP2B1,CHUK,IGF1R,CREBBP,ARF6,,EIF3I,ITGA2,TAB1,,POLR3A,VAV3,,DPM1,,,IFNAR1,,SOS1,,,,,,,,,,,
TBPL2,BUD31,CREBBP,KIF5A,MAP3K1,SOS2,,,TNFRSF1A,EIF2AK4,PAK4,PRKCI,PRKACB,FLNC,SOS1,,SOS1,UBE4B,RAC2,,PDGFRB,TEC,MET,,SOS1,DNAJB12,CD22,,MAGI3,,RPL22,IRAK1,KDR,,EIF2AK4,PRPS1L1,RAC2,SDHB,ITGA2,PIK3CA,USP7,,,GEMIN4,GAB1,IKBKG,,POLR1A,STAT5B,,ACLY,,,,,SOS2,,,,,,,,,,,
POLR1C,HSPA6,IL4R,GRK6,KIDINS220,CD22,,,PIK3CA,TYK2,,EXOC7,PAK4,PAK4,SOS2,,SOS2,UBE2A,WASF1,,STAT5B,PIK3CA,,,SOS2,SYVN1,HLA-DRB1,,BRAF,,RPS25,IL2RB,IKBKG,,TYK2,TKT,LCP2,TBPL2,AXIN2,ATM,ACTN1,,,GEMIN5,MSN,,,IMPDH2,CHUK,,LAP3,,,,,IFNAR1,,,,,,,,,,,
POLR1D,CDC5L,IFNGR1,KDR,GAB1,NFKBIB,,,HLA-DRA,TNFRSF1A,,PHKB,BRAP,VAV3,PAK4,,LAT,PIAS1,PAK4,,PDGFRA,BTK,,,,MOGS,,,MAPK12,,RPS29,CD28,IL6R,,MAPK12,PFKM,SOS1,NDUFAB1,BCR,SGK1,ACTN4,,,STRAP,FRS2,,,POLR1B,BRAF,,ALDH7A1,,,,,,,,,,,,,,,,
TBPL1,PRPF40A,IL10RA,AP2S1,FRS2,,,,TAB2,TAF6L,,BRAF,PDGFRB,PDGFRB,,,PAK4,DDB1,VAV3,,CREBBP,TAB2,,,,YOD1,,,VAV2,,RPL22L1,TAB2,EIF4B,,TNFRSF1A,IDH3A,SOS2,NDUFS3,MSH6,SOS1,SND1,,,GEMIN6,BRAF,,,POLR1C,VAV2,,ND4,,,,,,,,,,,,,,,,
PTMA,PLRG1,STAM,VPS35,BRAF,,,,ITGA6,TBPL2,,PIK3CA,NGFR,PDGFRA,,,NFKBIB,UBE2W,PDGFRB,,HLA-DRB5,LCP2,,,,UBE4B,,,EFNA3,,RPL27,TP73,YWHAH,,PIK3CA,,LAT,TBPL1,AR,SOS2,DDB1,,,NUP54,HSPG2,,,POLR1D,PIK3CA,,DNMT1,,,,,,,,,,,,,,,,
HDAC5,WBP11,TYK2,EPS15,MAPK12,,,,TAB1,TBPL1,,PRKAR1A,PDGFRA,LAMB2,,,,UBOX5,PDGFRA,,HLA-DRB4,TAB1,,,,EIF2AK4,,,PIK3CA,,RPS20,IFNAR1,PDGFRB,,HLA-DRA,,IFNAR1,TFAM,MSH2,,RBL1,,,GEMIN7,MAPK12,,,POLR3H,DOCK2,,SHMT1,,,,,,,,,,,,,,,,
PSMD14,LSM5,OSMR,RAB11FIP5,PIK3CA,,,,HLA-DRB3,HLA-DRA,,RAPGEF1,CHUK,ACTN1,,,,UBE2S,ACTN1,,MAP3K1,SQSTM1,,,,CKAP4,,,KIT,,RPL26,NFKBIB,IFNAR2,,HLA-DRB3,,,NDUFS2,PIK3CA,,PIK3CA,,,RAN,VAV2,,,GART,SOS1,,RPN1,,,,,,,,,,,,,,,,
PSMD13,U2SURP,PIAS1,NTRK1,RAPGEF1,,,,HLA-DRB1,TAB2,,TRIP10,PLA2G4C,ITGA2,,,,UBE2U,ITGA2,,CHUK,IFNAR1,,,,DNAJB11,,,RAPGEF1,,RPS21,,NGFR,,HLA-DRB1,,,NDUFS1,COL4A1,,TBPL2,,,KPNB1,PIK3CA,,,ADA,SOS2,,AK1,,,,,,,,,,,,,,,,
PIK3R3,PRPF6,PIK3CA,PDGFRA,SOS1,,,,NFKBIB,TAB1,,SOS1,PLA2G2A,BRAF,,,,TRIP12,LIMK1,,NFYB,,,,,DNAJA2,,,GNAS,,,,PDGFRA,,IFNAR1,,,HAP1,MSH3,,PSMC1,,,,SOS1,,,,NFKBIB,,NTPCR,,,,,,,,,,,,,,,,
IRAK1,SNRPG,IL3RA,PRKCI,SOS2,,,,,TAF5,,SOS2,GAB1,ACTN4,,,,CUL4B,MSN,,TNFRSF1A,,,,,PREB,,,PRKD2,,,,IL4R,,NFKBIB,,,TAF4,KIT,,DNAJA3,,,,SOS2,,,,,,ACAT2,,,,,,,,,,,,,,,,
POLR2B,SNRPE,IL2RB,SMURF2,TP73,,,,,SRSF6,,RHOQ,GAB2,VAV2,,,,,BRAF,,FOSL1,,,,,P4HB,,,LCP2,,,,CHUK,,SLC25A6,,,SLC25A5,RARA,,TBPL1,,,,MET,,,,,,AK8,,,,,,,,,,,,,,,,
CD19,PRPF31,IL6ST,SMURF1,NFKBIB,,,,,HLA-DRB3,,,EFNA3,PIK3CA,,,,,ACTN4,,PIK3CA,,,,,RNF185,,,RAPGEF6,,,,LAMB2,,,,,SLC25A6,ITGA6,,IL6ST,,,,,,,,,,ATP5B,,,,,,,,,,,,,,,,
CREBBP,HNRNPC,SOS1,HSPA6,,,,,,TAF4,,,PIK3CA,COL4A1,,,,,VAV2,,TBPL2,,,,,,,,MET,,,,ITGA2,,,,,,SOS1,,,,,,,,,,,,LDHB,,,,,,,,,,,,,,,,
HLA-DRB5,SRSF6,STAM2,WWP1,,,,,,SRSF7,,,KIT,RAPGEF1,,,,,PIK3CA,,IL2RB,,,,,,,,SKAP1,,,,PPP2R5A,,,,,,SOS2,,,,,,,,,,,,LDHA,,,,,,,,,,,,,,,,
HLA-DRB4,SNRNP200,SOS2,STAM,,,,,,TAF3,,,SOS1,ITGA6,,,,,ARPC3,,TBPL1,,,,,,,,LAT,,,,OSMR,,,,,,MET,,,,,,,,,,,,FDFT1,,,,,,,,,,,,,,,,
IL10RA,SRSF7,PTPN2,EPS15L1,,,,,,HLA-DRB1,,,RAB5A,SOS1,,,,,ITGA6,,HLA-DRA,,,,,,,,EPHA2,,,,EFNA3,,,,,,CSF1R,,,,,,,,,,,,GGT7,,,,,,,,,,,,,,,,
HSPA6,SNRPB,IL9R,AP2B1,,,,,,IFNAR1,,,SOS2,SOS2,,,,,SOS1,,ATM,,,,,,,,,,,,PIK3CA,,,,,,FH,,,,,,,,,,,,GFPT2,,,,,,,,,,,,,,,,
EIF2AK4,,IFNAR1,ARAP1,,,,,,NFKBIB,,,MET,MET,,,,,SOS2,,TCF3,,,,,,,,,,,,COL4A1,,,,,,LEF1,,,,,,,,,,,,EPHX2,,,,,,,,,,,,,,,,
MAPK12,,,IGF2R,,,,,,,,,LAT,,,,,,,,HLA-DRB3,,,,,,,,,,,,KIT,,,,,,TGFA,,,,,,,,,,,,GFPT1,,,,,,,,,,,,,,,,
PSMC6,,,RNF41,,,,,,,,,EPHA2,,,,,,,,SLC25A5,,,,,,,,,,,,IL3RA,,,,,,XIAP,,,,,,,,,,,,ASNS,,,,,,,,,,,,,,,,
POLR3A,,,DNM3,,,,,,,,,ARF6,,,,,,,,RAN,,,,,,,,,,,,IL2RB,,,,,,PIK3R3,,,,,,,,,,,,SYNJ2,,,,,,,,,,,,,,,,
PSMC3,,,DAB2,,,,,,,,,,,,,,,,,HLA-DRB1,,,,,,,,,,,,ITGA6,,,,,,HSP90B1,,,,,,,,,,,,PRDX6,,,,,,,,,,,,,,,,
PSMC4,,,ARPC3,,,,,,,,,,,,,,,,,SLC25A6,,,,,,,,,,,,SGK1,,,,,,DVL1,,,,,,,,,,,,GLUD1,,,,,,,,,,,,,,,,
PSMC1,,,KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOS1,,,,,,TCEB1,,,,,,,,,,,,SYNJ1,,,,,,,,,,,,,,,,
PSMC2,,,IL2RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIK3AP1,,,,,,VHL,,,,,,,,,,,,P4HA1,,,,,,,,,,,,,,,,
HLA-DRA,,,CHMP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOS2,,,,,,NTRK1,,,,,,,,,,,,ALDH18A1,,,,,,,,,,,,,,,,
POLR3H,,,STAM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET,,,,,,STAT5B,,,,,,,,,,,,ADA,,,,,,,,,,,,,,,,
TAB2,,,RAB5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHA2,,,,,,CREBBP,,,,,,,,,,,,ALAS2,,,,,,,,,,,,,,,,
TAB1,,,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFNAR1,,,,,,JUP,,,,,,,,,,,,ACY1,,,,,,,,,,,,,,,,
HLA-DRB3,,,VPS28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAMB2,,,,,,,,,,,,PIGQ,,,,,,,,,,,,,,,,
RAN,,,ARF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAF,,,,,,,,,,,,AKR1B1,,,,,,,,,,,,,,,,
HLA-DRB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLH1,,,,,,,,,,,,PYGM,,,,,,,,,,,,,,,,
NFKBIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNAS,,,,,,,,,,,,TCIRG1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIK3C2B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATIC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPTLC1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUK1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGM3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNMT3B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDH3B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGM2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOX1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGLS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGM1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AASS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDH3A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBR1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLA2G4C,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNMT3A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AKR1A1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NME2,,,,,,,,,,,,,,,,
