,GSM329677.CEL,GSM329679.CEL,GSM329681.CEL,GSM329683.CEL,GSM329686.CEL,GSM329689.CEL,GSM329692.CEL,GSM329694.CEL,GSM329697.CEL,GSM329700.CEL,GSM329703.CEL,GSM329704.CEL,GSM329707.CEL,GSM329709.CEL,GSM329711.CEL,GSM329714.CEL,GSM329660.CEL,GSM329663.CEL,GSM329664.CEL,GSM329666.CEL,GSM329667.CEL,GSM329670.CEL,GSM329672.CEL,GSM329674.CEL
"{CASP3,41} (Static Module)",0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{CBX4,10} (Static Module)",1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1
"{CD4,14} (Static Module)",-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{CDC2,351} (Static Module)",-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{CDK5,14} (Static Module)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{CEBPA,13} (Static Module)",0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1
"{CHRNA1,13} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{CNGB1,17} (Static Module)",0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
"{CNOT2,13} (Static Module)",0,-1,0,1,1,1,-1,0,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
"{CREB1,40} (Static Module)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{CTNNB1,130} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{CTSB,26} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{CYCS,35} (Static Module)",-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,0,0
"{DHX15,14} (Static Module)",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{DLD,16} (Static Module)",-1,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,1,0,0,0,0
"{DLG4,28} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{DNM1,22} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{DVL1L1,17} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"{EGFR,24} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{EP300,115} (Static Module)",0,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1
"{EPRS,15} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{ESR1,24} (Static Module)",-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
"{ETS1,13} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
"{EXOSC10,15} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"{F2,46} (Static Module)",0,-1,1,1,0,1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,0,-1
"{FCGR2B,50} (Static Module)",-1,-1,1,1,-1,1,1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"{FLI1,10} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{FYN,30} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{GAPDH,13} (Static Module)",-1,1,0,-1,-1,-1,0,0,1,0,0,-1,0,1,0,-1,-1,0,-1,0,-1,0,0,0
"{GLI1,45} (Static Module)",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"{GNAT3,28} (Static Module)",0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,1,-1,-1,-1,-1,-1
"{GRB2,414} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{HCLS1,17} (Static Module)",-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{HDAC1,108} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{HIF1A,58} (Static Module)",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
"{HIST3H3,14} (Static Module)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"{HLA-A,53} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{HMGB1,14} (Static Module)",1,-1,1,1,1,1,0,0,-1,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,-1
"{HRAS,27} (Static Module)",1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1
"{HSP90AA1,18} (Static Module)",-1,0,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,0,0,0,0,1,0,1,0,1,0,0
"{HSP90B1,11} (Static Module)",0,0,-1,-1,0,1,0,-1,0,1,1,0,-1,-1,0,1,1,0,0,0,0,1,-1,-1
"{HSPA8,34} (Static Module)",0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{HTATIP,20} (Static Module)",0,0,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0
"{HTT,61} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{IGF1,13} (Static Module)",0,0,1,1,0,1,1,0,0,0,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0
"{INS,35} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{JUN,88} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{KCNAB1,18} (Static Module)",0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"{KCNB1,10} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{LDB1,15} (Static Module)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{LRP1,11} (Static Module)",1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"{MAPK14,123} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{MED1,34} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{MEIS1,22} (Static Module)",1,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0
"{MLH1,20} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{MLLT4,12} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{MMP9,11} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{NAP1L1,23} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{NCOR2,24} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{NDUFS8,49} (Static Module)",-1,1,0,-1,-1,-1,-1,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0
"{NFIC,21} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{NFKB1,33} (Static Module)",-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{NGF,31} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{NME2,10} (Static Module)",-1,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0
"{NOS3,11} (Static Module)",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"{NOTCH1,44} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{NRP1,11} (Static Module)",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0
"{OTX2,18} (Static Module)",0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,-1
"{PAK2,10} (Static Module)",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{PAX6,19} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{PCNA,34} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{PLCG2,30} (Static Module)",1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"{PLG,10} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"{PLXNB1,15} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{POLR2A,195} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{POLR2H,109} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{POR,15} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
"{POU2F1,21} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
"{PPP2CA,20} (Static Module)",-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,1,0,0
"{PRKAA2,24} (Static Module)",-1,-1,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1
"{PRKACA,33} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{PRKCA,14} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{PRKG1,21} (Static Module)",0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"{PTPRF,10} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{RAB5A,41} (Static Module)",0,1,0,-1,-1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
"{RAC1,133} (Static Module)",1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1
"{RAD21,11} (Static Module)",0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1
"{RAD51,13} (Static Module)",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{RAN,17} (Static Module)",-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0
"{RAP1A,22} (Static Module)",1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
"{RARA,17} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{RASGRF1,26} (Static Module)",1,1,0,-1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{RB1,11} (Static Module)",0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
"{ROCK1,10} (Static Module)",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"{RPS27A,138} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{RXRA,51} (Static Module)",1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,-1,1,0,0,0
"{RYR2,15} (Static Module)",-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"{SDC1,30} (Static Module)",0,-1,1,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,0,0,0,-1
"{SEC24B,18} (Static Module)",-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1
"{SEPT2,21} (Static Module)",1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
"{SFPQ,10} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
"{SHH,13} (Static Module)",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{SIX3,11} (Static Module)",0,0,1,1,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
"{SMAD4,27} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{SNX1,11} (Static Module)",0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{SP1,88} (Static Module)",-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{SPI1,10} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1
"{SPTAN1,10} (Static Module)",1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"{SREBF1,11} (Static Module)",1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{SRF,11} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{STX5,12} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{SUMO1,12} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
"{TCF3,20} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{TFAP2A,25} (Static Module)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{TGFBR1,98} (Static Module)",0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1
"{TIA1,10} (Static Module)",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{TJP1,26} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
"{TLE1,10} (Static Module)",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{TP53,109} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{TRAF2,90} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{TRAF6,55} (Static Module)",-1,-1,1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"{UBE2D1,58} (Static Module)",0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{USF1,13} (Static Module)",0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
"{VAMP2,63} (Static Module)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"{VCP,17} (Static Module)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{VHL,12} (Static Module)",-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
ABC transporters (KEGG),1,0,0,1,1,1,1,0,-1,0,0,0,1,0,0,0,1,-1,0,-1,-1,-1,1,-1
ACE Inhibitor Pathway (Wikipathways),0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Acetylcholine Synthesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acute myeloid leukemia (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adherens junction (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipocytokine signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipogenesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aflatoxin B1 metabolism (Wikipathways),1,1,0,1,0,1,1,0,1,-1,0,0,1,1,0,0,0,0,1,1,1,-1,1,0
African trypanosomiasis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alanine and aspartate metabolism (Wikipathways),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alanine, aspartate and glutamate metabolism (KEGG)",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aldosterone-regulated sodium reabsorption (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Allograft rejection (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha-Linolenic acid metabolism (KEGG),0,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1
Alpha6 Beta4 Integrin up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
Alpha6-Beta4 Integrin Signaling Pathway (Wikipathways),0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,-1,0
Alzheimer's disease (KEGG),-1,1,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
Amino sugar and nucleotide sugar metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0
Aminoacyl-tRNA biosynthesis (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Amoebiasis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPK signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amyotrophic lateral sclerosis (ALS) (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Androgen Receptor Signaling Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angiogenesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigen processing and presentation (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1
Apoptosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoptosis (Reactome),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Apoptosis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoptosis Modulation and Signaling (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Apoptosis Modulation by HSP70 (Wikipathways),-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AR down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR up reg. targets (Netpath),-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1
Arachidonate Epoxygenase / Epoxide Hydrolase (Wikipathways),-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Arachidonic acid metabolism (KEGG),-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
Arginine and proline metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (KEGG),0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
Arylamine metabolism (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ascorbate and aldarate metabolism (KEGG),1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,-1,1,0
Asthma (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoimmune thyroid disease (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axon guidance (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axon guidance (Reactome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B Cell Receptor down reg. targets (Netpath),0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
B cell receptor signaling pathway (KEGG),1,-1,1,1,1,1,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,1,-1,-1,1,1,-1,-1
B Cell Receptor Signaling Pathway (Wikipathways),0,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1
B Cell Receptor up reg. targets (Netpath),0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1
