"","meandiff"
"Glycogen Metabolism (Wikipathways)",0.5
"GPCRs, Class C Metabotropic glutamate, pheromone (Wikipathways)",0.333333333333333
"Regulation of Actin Cytoskeleton (Wikipathways)",0
"Hypertrophy Model (Wikipathways)",0.166666666666667
"G13 Signaling Pathway (Wikipathways)",0
"Acetylcholine Synthesis (Wikipathways)",0.166666666666667
"Id Signaling Pathway (Wikipathways)",0.333333333333333
"Cytokines and Inflammatory Response (Wikipathways)",0.166666666666667
"Mismatch repair (Wikipathways)",0
"Glycolysis and Gluconeogenesis (Wikipathways)",1
"Calcium Regulation in the Cardiac Cell (Wikipathways)",0
"Complement Activation, Classical Pathway (Wikipathways)",1
"Biogenic Amine Synthesis (Wikipathways)",0.666666666666667
"ACE Inhibitor Pathway (Wikipathways)",0
"Complement and Coagulation Cascades (Wikipathways)",0.333333333333333
"TGF Beta Signaling Pathway (Wikipathways)",0
"Heme Biosynthesis (Wikipathways)",1.16666666666667
"Monoamine GPCRs (Wikipathways)",0
"EPO Receptor Signaling (Wikipathways)",0
"Interferon type I (Wikipathways)",0
"Delta-Notch Signaling Pathway (Wikipathways)",0
"Senescence and Autophagy (Wikipathways)",0
"Type II interferon signaling (IFNG) (Wikipathways)",0
"Oxidative phosphorylation (Wikipathways)",0
"Hypothetical Network for Drug Addiction (Wikipathways)",0.166666666666667
"ErbB signaling pathway (Wikipathways)",0.166666666666667
"Arachidonate Epoxygenase / Epoxide Hydrolase (Wikipathways)",0
"T Cell Receptor Signaling Pathway (Wikipathways)",0.333333333333333
"Tamoxifen metabolism (Wikipathways)",0.333333333333333
"Sulfation Biotransformation Reaction (Wikipathways)",1
"Arylamine metabolism (Wikipathways)",0.166666666666667
"Benzo(a)pyrene metabolism (Wikipathways)",0
"Estrogen metabolism (Wikipathways)",0.166666666666667
"Glucuronidation (Wikipathways)",0.833333333333333
"Aflatoxin B1 metabolism (Wikipathways)",0.333333333333333
"metapathway biotransformation (Wikipathways)",0.166666666666667
"Methylation Pathways (Wikipathways)",0
"SIDS Susceptibility Pathways (Wikipathways)",0.5
"DNA damage response (Wikipathways)",0
"DNA damage response (only ATM dependent) (Wikipathways)",0
"Estrogen signaling pathway (Wikipathways)",0
"Vitamin A and carotenoid metabolism (Wikipathways)",0.666666666666667
"Serotonin HTR1 Group and FOS Pathway (Wikipathways)",0
"Monoamine Transport (Wikipathways)",0.333333333333333
"Serotonin Receptor 2 and ELK-SRF/GATA4 signaling (Wikipathways)",0
"Serotonin Receptor 4/6/7 and NR3C Signaling (Wikipathways)",0
"Toll-like receptor signaling pathway (Wikipathways)",0
"TCA Cycle (Wikipathways)",0.5
"Nucleotide GPCRs (Wikipathways)",0.166666666666667
"Prostaglandin Synthesis and Regulation (Wikipathways)",0
"Cell Cycle Checkpoints (Reactome)",0
"Signaling by Insulin receptor (Reactome)",0.166666666666667
"Integrin cell surface interactions (Reactome)",0
"Signaling by TGF beta (Reactome)",0
"DNA Repair (Reactome)",0
"Metabolism of proteins (Reactome)",0
"Signaling in Immune system (Reactome)",0
"Metabolism of vitamins and cofactors (Reactome)",0.5
"DNA Replication (Reactome)",0
"Signaling by EGFR (Reactome)",0
"Signalling by NGF (Reactome)",0
"Opioid Signalling (Reactome)",0.333333333333333
"Metabolism of nucleotides (Reactome)",0
"Circadian Clock (Reactome)",0.5
"Hemostasis (Reactome)",0.166666666666667
"Metabolism of carbohydrates (Reactome)",0
"Muscle contraction (Reactome)",0.666666666666667
"Myogenesis (Reactome)",0
"Regulatory RNA pathways (Reactome)",0
"Metabolism of lipids and lipoproteins (Reactome)",0.333333333333333
"Transmembrane transport of small molecules (Reactome)",0.333333333333333
"Signaling by BMP (Reactome)",0
"Metabolism of porphyrins (Reactome)",1
"Synaptic Transmission (Reactome)",0
"Signaling by VEGF (Reactome)",0
"Membrane Trafficking (Reactome)",0
"Regulation of beta-cell development (Reactome)",0
"Signaling by GPCR (Reactome)",0.166666666666667
"Biological oxidations (Reactome)",0.166666666666667
"Transcription (Reactome)",0
"Cell Cycle, Mitotic (Reactome)",0
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (Reactome)",0
"Gene Expression (Reactome)",0
"Signaling by PDGF (Reactome)",0
"Pyruvate metabolism and Citric Acid (TCA) cycle (Reactome)",0.166666666666667
"Metabolism of nitric oxide (Reactome)",0.5
"Diabetes pathways (Reactome)",0
"Metabolism of RNA (Reactome)",0
"Signaling by Wnt (Reactome)",0
"Botulinum neurotoxicity (Reactome)",0.5
"Apoptosis (Reactome)",0
"Signaling by Notch (Reactome)",0
"Influenza Infection (Reactome)",0
"HIV Infection (Reactome)",0
"Cell junction organization (Reactome)",0
"Signaling by Rho GTPases (Reactome)",0.333333333333333
"Integration of energy metabolism (Reactome)",0.333333333333333
"mRNA Processing (Reactome)",0
"Metabolism of amino acids and derivatives (Reactome)",0.666666666666667
"Chromosome Maintenance (Reactome)",0
"Signaling by FGFR (Reactome)",0.833333333333333
"Axon guidance (Reactome)",0
"Interactions of the immunoglobulin superfamily (IgSF) member proteins (Reactome)",0.333333333333333
"EGFR1 up reg. targets (Netpath)",0
"EGFR1 down reg. targets (Netpath)",0.833333333333333
"TGF beta receptor up reg. targets (Netpath)",0.166666666666667
"TGF beta receptor down reg. targets (Netpath)",0.333333333333333
"TNF alpha/NF-kB up reg. targets (Netpath)",0
"TNF alpha/NF-kB down reg. targets (Netpath)",0
"Alpha6 Beta4 Integrin up reg. targets (Netpath)",0
"ID up reg. targets (Netpath)",0.333333333333333
"ID down reg. targets (Netpath)",0
"Hedgehog up reg. targets (Netpath)",0
"Notch up reg. targets (Netpath)",0
"Notch down reg. targets (Netpath)",0
"Wnt up reg. targets (Netpath)",0
"Wnt down reg. targets (Netpath)",0
"AR up reg. targets (Netpath)",0
"AR down reg. targets (Netpath)",0
"Kit Receptor up reg. targets (Netpath)",0
"B Cell Receptor up reg. targets (Netpath)",0
"B Cell Receptor down reg. targets (Netpath)",0
"T Cell Receptor up reg. targets (Netpath)",0
"T Cell Receptor down reg. targets (Netpath)",0
"IL-1 up reg. targets (Netpath)",0
"IL-1 down reg. targets (Netpath)",0
"IL-2 up reg. targets (Netpath)",0
"IL-2 down reg. targets (Netpath)",0
"IL-3 up reg. targets (Netpath)",0
"IL-3 down reg. targets (Netpath)",0
"IL-4 up reg. targets (Netpath)",0
"IL-4 down reg. targets (Netpath)",0
"IL-5 up reg. targets (Netpath)",0
"IL-5 down reg. targets (Netpath)",0.333333333333333
"IL-6 up reg. targets (Netpath)",0
"IL-6 down reg. targets (Netpath)",0
"IL-7 up reg. targets (Netpath)",0.166666666666667
"IL-7 down reg. targets (Netpath)",0
"IL-9 up reg. targets (Netpath)",0
"{ABL1,15} (Static Module)",0.5
"{ACTB,297} (Static Module)",0
"{ACY1,11} (Static Module)",0.666666666666667
"{AKT1,48} (Static Module)",0
"{AP1G1,16} (Static Module)",0.333333333333333
"{APP,28} (Static Module)",0
"{AR,28} (Static Module)",0
"{ARF1,36} (Static Module)",0
"{ARF6,34} (Static Module)",0.166666666666667
"{ARRB2,743} (Static Module)",0
"{ASH2L,391} (Static Module)",0.666666666666667
"{ATP5D,19} (Static Module)",0
"{BCL2,27} (Static Module)",0
"{BCLAF1,25} (Static Module)",0.166666666666667
"{BRCA1,28} (Static Module)",0
"{BSG,21} (Static Module)",0
"{C5,29} (Static Module)",0
"{CALM1,30} (Static Module)",0.166666666666667
"{CASP3,41} (Static Module)",0
"{CBX4,10} (Static Module)",0.5
"{CD4,14} (Static Module)",0
"{CDC2,351} (Static Module)",0
"{CDK5,14} (Static Module)",0.333333333333333
"{CEBPA,13} (Static Module)",0.333333333333333
"{CHRNA1,13} (Static Module)",0
"{CNGB1,17} (Static Module)",0.166666666666667
"{CNOT2,13} (Static Module)",0
"{CREB1,40} (Static Module)",0
"{CTNNB1,130} (Static Module)",0
"{CTSB,26} (Static Module)",0.333333333333333
"{CYCS,35} (Static Module)",0.333333333333333
"{DHX15,14} (Static Module)",0
"{DLD,16} (Static Module)",0.166666666666667
"{DLG4,28} (Static Module)",0
"{DNM1,22} (Static Module)",0
"{DVL1L1,17} (Static Module)",0.333333333333333
"{EGFR,24} (Static Module)",0
"{EP300,115} (Static Module)",0
"{EPRS,15} (Static Module)",0.333333333333333
"{ESR1,24} (Static Module)",0.666666666666667
"{ETS1,13} (Static Module)",0.5
"{EXOSC10,15} (Static Module)",0
"{F2,46} (Static Module)",0.666666666666667
"{FCGR2B,50} (Static Module)",0.166666666666667
"{FLI1,10} (Static Module)",0.166666666666667
"{FYN,30} (Static Module)",0
"{GAPDH,13} (Static Module)",0.5
"{GLI1,45} (Static Module)",0
"{GNAT3,28} (Static Module)",0
"{GRB2,414} (Static Module)",0
"{HCLS1,17} (Static Module)",0
"{HDAC1,108} (Static Module)",0
"{HIF1A,58} (Static Module)",0
"{HIST3H3,14} (Static Module)",0.166666666666667
"{HLA-A,53} (Static Module)",0
"{HMGB1,14} (Static Module)",0.666666666666667
"{HRAS,27} (Static Module)",0
"{HSP90AA1,18} (Static Module)",0
"{HSP90B1,11} (Static Module)",0
"{HSPA8,34} (Static Module)",0.666666666666667
"{HTATIP,20} (Static Module)",0
"{HTT,61} (Static Module)",0
"{IGF1,13} (Static Module)",0
"{INS,35} (Static Module)",0
"{JUN,88} (Static Module)",0.166666666666667
"{KCNAB1,18} (Static Module)",0
"{KCNB1,10} (Static Module)",0.166666666666667
"{LDB1,15} (Static Module)",0
"{LRP1,11} (Static Module)",0.333333333333333
"{MAPK14,123} (Static Module)",0
"{MED1,34} (Static Module)",0
"{MEIS1,22} (Static Module)",0.166666666666667
"{MLH1,20} (Static Module)",0.166666666666667
"{MLLT4,12} (Static Module)",0
"{MMP9,11} (Static Module)",0.166666666666667
"{NAP1L1,23} (Static Module)",0.166666666666667
"{NCOR2,24} (Static Module)",0
"{NDUFS8,49} (Static Module)",0
"{NFIC,21} (Static Module)",0
"{NFKB1,33} (Static Module)",0
"{NGF,31} (Static Module)",0
"{NME2,10} (Static Module)",0
"{NOS3,11} (Static Module)",0
"{NOTCH1,44} (Static Module)",0.166666666666667
"{NRP1,11} (Static Module)",0.333333333333333
"{OTX2,18} (Static Module)",0.5
"{PAK2,10} (Static Module)",0.166666666666667
"{PAX6,19} (Static Module)",0
"{PCNA,34} (Static Module)",0
"{PLCG2,30} (Static Module)",0
"{PLG,10} (Static Module)",0
"{PLXNB1,15} (Static Module)",0.333333333333333
