INSR,TNF,,F2R,C7,,,,CYP7A1,TPI1,UGT1A10,UGT1A4,F8A1,NDUFA3,INS-IGF2
LDLR,MMP23B,,F3,C8A,,,,CYP8B1,TSTA3,UGT1A8,UGT1A1,F8A2,NDUFA4,
LRP2,MMP20,,F5,C8B,,,,CYP11A1,MTMR1,UGT1A7,UGT1A3,F8A3,NDUFA5,
MAT1A,MMP24,,F7,C8G,,,,CYP11B1,FBP2,UGT1A6,MIOX,,NDUFA6,
MPO,MMP26,,F8,C9,,,,CYP11B2,FPGT,UGT1A5,UGT2A3,,NDUFA7,
MTHFR,MMP27,,F9,CD59,,,,CYP17A1,MTMR2,UGT1A9,UGT2A2,,NDUFA8,
MTR,MMP25,,F10,CPB2,,,,CYP19A1,MTMR6,UGT1A4,,,NDUFA9,
MTRR,MMP28,,F12,CR1,,,,CYP24A1,MTMR7,UGT1A1,,,NDUFA10,
MUT,MMP21,,F13B,CR2,,,,CYP26A1,PHPT1,UGT1A3,,,NDUFAB1,
NFKB1,LOC100289688,,FGB,CD55,,,,CYP27A1,GMPPB,UGT2A3,,,NDUFB1,
NFKB2,,,SERPIND1,CFD,,,,CYP27B1,GMPPA,UGT2A2,,,NDUFB2,
SERPINE1,,,KLKB1,F2,,,,CYP51A1,AKR1B10,RPEL1,,,NDUFB4,
PLAT,,,KNG1,F2R,,,,CYB5R3,TIGAR,,,,NDUFB5,
PLG,,,CD46,F3,,,,CYP4F3,HKDC1,,,,NDUFB6,
RELA,,,SERPINE1,F5,,,,POR,FUK,,,,NDUFB7,
SAA1,,,SERPINA5,F7,,,,CYP4F2,,,,,NDUFB8,
SAA2,,,SERPINA1,F8,,,,CYP7B1,,,,,NDUFB9,
SAA4,,,PLAT,F9,,,,CYP46A1,,,,,NDUFB10,
CCL2,,,PLAU,F10,,,,CYP4F8,,,,,NDUFC1,
CCL5,,,PLAUR,F11,,,,CYP2S1,,,,,NDUFC2,
SHMT2,,,PLG,F12,,,,CYB5R4,,,,,NDUFS1,
SOD1,,,SERPINF2,F13A1,,,,CYP39A1,,,,,NDUFS2,
SOD2,,,PROC,F13B,,,,CYB5R2,,,,,NDUFS3,
SOD3,,,PROS1,FGA,,,,CYB5R1,,,,,NDUFV1,
TCN1,,,MASP1,FGB,,,,CYP2W1,,,,,NDUFS4,
TCN2,,,TFPI,FGG,,,,CYP26B1,,,,,NDUFS5,
TNF,,,THBD,SERPIND1,,,,CYP20A1,,,,,NDUFS6,
CUBN,,,VWF,CFH,,,,CYP4F11,,,,,NDUFS8,
MCEE,,,MASP2,CFI,,,,CYP3A43,,,,,NDUFV2,
MMAB,,,LOC653879,KLKB1,,,,CYP4F12,,,,,NDUFV3,
INS-IGF2,,,LOC100133511,KNG1,,,,CYB5B,,,,,ATP5J2,
,,,,MBL2,,,,CYP2U1,,,,,ATP6AP2,
,,,,CD46,,,,CYP2R1,,,,,ATP5H,
,,,,SERPINE1,,,,CYP4F22,,,,,ATP5L,
,,,,SERPINA5,,,,CYP4Z1,,,,,ATP5S,
,,,,SERPINA1,,,,CYP4X1,,,,,NDUFA4L2,
,,,,PLAT,,,,CYP4A22,,,,,NDUFA11,
,,,,PLAU,,,,CYP4V2,,,,,NDUFS7,
,,,,PLAUR,,,,CYP27C1,,,,,LOC100293489,
,,,,PLG,,,,CYP26C1,,,,,,
,,,,SERPINF2,,,,,,,,,,
,,,,PROC,,,,,,,,,,
,,,,PROS1,,,,,,,,,,
,,,,MASP1,,,,,,,,,,
,,,,TFPI,,,,,,,,,,
,,,,THBD,,,,,,,,,,
,,,,VWF,,,,,,,,,,
,,,,MASP2,,,,,,,,,,
